generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,36,0,1,1,8483864805262.672,"[0.0, 8.483867645263672, -2.8399999999999834, -1.0]",8.483867645263672,5.714285714285714,8.483867645263672,2.8399999999999834,0,1,0,77.02139236778021,8483864.805262672,284,1,0
1,2,18,0,1,1,7971893970026.901,"[0.0, 7.971899850027901, -5.879999999999919, -1.0]",7.971899850027901,5.714285714285714,7.971899850027901,5.879999999999919,0,1,0,74.83194100961555,7971893.970026901,588,1,0
1,3,19,0,1,1,7870382406221.098,"[0.0, 7.870385306222098, -2.899999999999982, -1.0]",7.870385306222098,5.714285714285714,7.870385306222098,2.899999999999982,0,1,0,74.47737094014883,7870382.406221097,290,1,0
1,4,13,0,1,1,7752649949468.865,"[0.0, 7.752652849469865, -2.899999999999982, -1.0]",7.752652849469865,5.714285714285714,7.752652849469865,2.899999999999982,0,1,0,73.84310353547335,7752649.949468865,290,1,0
1,5,20,0,0,1,7691830191135.998,"[0.0, 7.691832951136998, -2.759999999999985, -1.0]",7.691832951136998,5.714285714285714,7.691832951136998,2.759999999999985,0,1,0,73.55515685677528,7691830.191135998,276,1,0
1,6,44,0,0,1,7587669852298.107,"[0.0, 7.587672642299108, -2.7899999999999845, -1.0]",7.587672642299108,5.714285714285714,7.587672642299108,2.7899999999999845,0,1,0,73.04889860749245,7587669.852298107,279,1,0
1,7,16,0,0,1,7442430773476.958,"[0.0, 7.442433493477958, -2.719999999999986, -1.0]",7.442433493477958,5.714285714285714,7.442433493477958,2.719999999999986,0,1,0,71.84590681642294,7442430.773476958,272,1,0
1,8,21,0,0,1,7142854462856.143,"[0.0, 7.142857142857142, -2.679999999999987, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.679999999999987,0,1,0,69.70867983996868,7142854.462856143,268,1,0
1,9,40,0,0,1,7142851352856.143,"[0.0, 7.142857142857142, -5.789999999999921, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,5.789999999999921,0,1,0,66.68599480390549,7142851.352856142,579,1,0
1,10,26,0,0,1,7091799984307.035,"[0.0, 7.091805594308036, -5.609999999999925, -1.0]",7.091805594308036,5.714285714285714,7.091805594308036,5.609999999999925,0,1,0,63.85129909403622,7091799.984307035,561,1,0
1,11,31,0,0,1,6902545083824.334,"[0.0, 6.902547563825334, -2.479999999999991, -1.0]",6.902547563825334,5.714285714285714,6.902547563825334,2.479999999999991,0,1,0,61.9453799277544,6902545.083824334,248,1,0
1,12,23,0,0,1,6809815232864.513,"[0.0, 6.809817722865513, -2.489999999999991, -1.0]",6.809817722865513,5.714285714285714,6.809817722865513,2.489999999999991,0,1,0,60.95893697440624,6809815.232864513,249,1,0
1,13,6,0,0,1,6550851884203.8,"[0.0, 6.5508542742047995, -2.389999999999993, -1.0]",6.5508542742047995,5.714285714285714,6.5508542742047995,2.389999999999993,0,1,0,58.3899709507823,6550851.8842038,239,1,0
1,14,12,0,0,1,4900995796820.986,"[0.0, 4.900997706821986, -1.9100000000000015, -1.0]",4.900997706821986,2.857142857142857,4.900997706821986,1.9100000000000015,0,1,0,40.94181904196739,4900995.796820986,191,1,0
1,15,29,0,0,1,4624095531011.835,"[0.0, 4.624105181012835, -9.649999999999839, -1.0]",4.624105181012835,2.857142857142857,4.624105181012835,9.649999999999839,0,1,0,36.79780488481629,4624095.531011835,965,1,0
1,16,35,0,0,1,3074514946039.7363,"[0.0, 3.0745206560407365, -5.709999999999923, -1.0]",3.0745206560407365,2.857142857142857,3.0745206560407365,5.709999999999923,0,1,0,18.435232379240915,3074514.9460397363,571,1,0
1,17,15,0,0,0,3074498597337.17,"[0.0, 3.0745043073381697, -5.709999999999923, -1.0]",3.0745043073381697,2.857142857142857,3.0745043073381697,5.709999999999923,0,1,0,18.43514412571676,3074498.59733717,571,1,0
