generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9171782627091.633,8.571428571428571,9.171785627092634,9.171785627092634,2.99999999999998,0,1,79.4263692125678,300,9171782.627091633,"[0.0, 9.171785627092634, -2.99999999999998, -1.0]",0,48,48,0,39,9,39,9,462.9900000000146,462.9900000000146,46299,46299,10.72682059998624,10.769073700008448,2.142857142857143,2.976600499380203,2.976600499380203,2976590.85375439,9.645625000000305,0.0,0.0,0.0,2.857142857142857,2.142857142857143,2.439750182371333,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,1.180107934134347,3.0466897147042413,2.976600499380203,2.5562065456318703,3.0742209298270087,7.30232892717634,9.171785627092634,0.0,0.0,1.180107934134347,3.0466897147042413,2.976600499380203,2.5562065456318703,3.0742209298270087,7.30232892717634,9.171785627092634,2.5599999999999894,2.7859999999999845,5.009999999999938,5.709999999999923,9.645625000000305,9.828563583219568,5.784999999999921,30.00000000000189,30.00000000000189,5.134423243114725,5.13465444870526,15.785789947911326,18.437188638759835,76.97415930562859,105.979712710199,72.56322458945215,293.60028886719374,293.6017223711824,-30.00000000000189,-30.00000000000189,1180102.924133347,3046683.9247032413,2976590.85375439,2556211.920179198,3074215.219826009,7302326.22517534,9171782.627091633,-30000000.00000189,-30000000.00000189,1180102924133.3472,3046683924703.241,2976590853754.39,2556211920179.1978,3074215219826.009,7302326225175.34,9171782627091.633,256.0,278.6,501.0,571.0,964.5625,982.8563583218811,578.5,3000.0,3000.0
2,9683140120764.904,8.571428571428571,9.683143070765905,9.683143070765905,2.949999999999981,0,1,81.8939056172967,295,9683140.120764904,"[0.0, 9.683143070765905, -2.949999999999981, -1.0]",0,48,48,0,46,2,46,2,243.39000000000192,706.3800000000165,24339,70638,3.308988200034946,14.140630699985195,4.523809523809525,5.700373536064511,5.700373536064511,5700368.465438552,5.07062500000004,0.0,0.0,2.857142857142857,5.714285714285714,4.523809523809525,2.6619856874997496,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8836980547223772,3.0619948250906805,7.142857142857142,5.700373536064511,2.802959179557934,7.677006721496582,9.044268471854075,9.683143070765905,0.0,1.8836980547223772,3.0619948250906805,7.142857142857142,5.700373536064511,2.802959179557934,7.677006721496582,9.044268471854075,9.683143070765905,1.9100000000000015,2.716999999999986,2.7799999999999847,3.0149999999999797,5.07062500000004,5.381253496418122,5.712499999999922,5.83299999999992,30.00000000000189,5.134562413266394,5.136737680688384,18.437507986096534,68.50371109321713,61.05582767949833,55.92726014109681,74.41523246280849,79.56100937277078,293.60104973765556,-30.00000000000189,1883693.0447213773,3061989.082589681,7142853.117856143,5700368.465438552,2802962.3072573943,7677003.961495582,9044265.483853074,9683140.120764904,-30000000.00000189,1883693044721.3772,3061989082589.6807,7142853117856.143,5700368465438.554,2802962307257.3945,7677003961495.582,9044265483853.074,9683140120764.904,191.0,271.7,278.0,301.5,507.0625,538.1253496417756,571.25,583.3000000000001,3000.0
3,9776532074178.688,8.571428571428571,9.776535034179688,9.776535034179688,2.959999999999981,0,1,82.34314998239279,296,9776532.074178688,"[0.0, 9.776535034179688, -2.959999999999981, -1.0]",0,48,48,0,47,1,47,1,210.40000000000165,916.7800000000182,21040,91678,3.836023900017608,18.044044300040696,5.0,6.449117206391835,6.449117206391835,6449112.823057522,4.3833333333333675,0.0,0.0,2.857142857142857,5.714285714285714,5.0,3.1134992453861954,8.571428571428571,8.571428571428571,8.571428571428571,1.335705348423549,2.5633926391601562,3.6223329816545755,7.81806400844029,6.449117206391835,2.7641498211633113,8.802884646824428,9.41676003592355,9.776535034179688,1.335705348423549,2.5633926391601562,3.6223329816545755,7.81806400844029,6.449117206391835,2.7641498211633113,8.802884646824428,9.41676003592355,9.776535034179688,1.6700000000000013,2.127999999999999,2.817499999999984,2.9299999999999815,4.3833333333333675,4.957122541242229,4.8749999999999405,5.725999999999923,30.00000000000189,5.135011323509389,17.953738539151527,35.325097527354956,75.38142465427518,65.03891107999289,49.22646489398334,78.33788437396288,81.26734449788928,293.01228002551943,1335700.338422549,2563387.6291591567,3622328.319153575,7818060.61843929,6449112.823057522,2764151.8404571856,8802881.551823428,9416757.12292255,9776532.074178688,1335700338422.549,2563387629159.1562,3622328319153.5757,7818060618439.289,6449112823057.522,2764151840457.1855,8802881551823.428,9416757122922.55,9776532074178.688,167.0,212.8,281.75,293.0,438.3333333333333,495.71225412419335,487.5,572.6,3000.0
4,10981763246550.338,8.571428571428571,10.981772286551339,10.981772286551339,9.039999999999852,0,1,92.2778868379828,904,10981763.246550338,"[0.0, 10.981772286551339, -9.039999999999852, -1.0]",0,48,48,0,48,0,48,0,170.69999999999845,1087.4800000000166,17070,108748,4.615860900026746,22.72510029998375,4.7023809523809526,6.186518214997792,6.186518214997792,6186514.658746791,3.556249999999968,0.0,0.0,2.857142857142857,2.857142857142857,4.7023809523809526,3.1670918081959587,8.571428571428571,8.571428571428571,8.571428571428571,1.8814686366489957,1.8830904279436382,3.800467082432338,5.542234693254743,6.186518214997792,2.868754631692255,9.296069826398577,9.54449735369001,10.981772286551339,1.8814686366489957,1.8830904279436382,3.800467082432338,5.542234693254743,6.186518214997792,2.868754631692255,9.296069826398577,9.54449735369001,10.981772286551339,1.8600000000000014,2.0230000000000006,2.6924999999999866,2.9199999999999817,3.556249999999968,1.5463540789547194,5.009999999999938,5.762999999999922,9.039999999999852,5.135119095248228,5.135547573631629,28.470538643243344,47.85696180537343,50.88154315515643,28.240786986304126,79.77519964240491,81.1331317640841,92.2778868379828,1881463.6266479956,1883085.4179426383,3800461.927431338,5542231.863253742,6186514.658746791,2868755.1960078366,9296066.92389758,9544494.420689011,10981763.246550338,1881463626647.9956,1883085417942.6382,3800461927431.338,5542231863253.743,6186514658746.79,2868755196007.8364,9296066923897.578,9544494420689.012,10981763246550.338,186.0,202.3,269.25,292.0,355.625,154.63540789547523,501.0,576.3000000000001,904.0
5,10981763246550.338,8.571428571428571,10.981772286551339,10.981772286551339,9.039999999999852,0,1,92.2778868379828,904,10981763.246550338,"[0.0, 10.981772286551339, -9.039999999999852, -1.0]",0,48,48,0,48,0,48,0,144.46999999999903,1231.9500000000157,14447,123195,3.2574894999852404,26.082523000019137,5.535714285714285,7.080729518617903,7.080729518617903,7080726.508825235,3.0097916666666467,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714285,3.0531710960076572,8.571428571428571,8.571428571428571,8.571428571428571,1.8821825299944195,4.397496904645648,5.248433521815709,7.975241797310966,7.080729518617903,2.507295198340861,9.413228716169085,9.68403080531529,10.981772286551339,1.8821825299944195,4.397496904645648,5.248433521815709,7.975241797310966,7.080729518617903,2.507295198340861,9.413228716169085,9.68403080531529,10.981772286551339,1.7800000000000014,2.011000000000001,2.0899999999999994,2.8899999999999824,3.0097916666666467,1.2503807579815396,2.959999999999981,4.722999999999946,9.039999999999852,5.135119876147655,35.64937377758324,44.710794726386666,74.84920944646001,59.956134053352194,23.514259699821253,80.5528391264379,81.77222331687808,92.2778868379828,1882177.5199934195,4397494.569644648,5248431.50181471,7975239.007309966,7080726.508825235,2507295.1239567497,9413225.796168085,9684027.84831429,10981763.246550338,1882177519993.4194,4397494569644.6475,5248431501814.709,7975239007309.966,7080726508825.235,2507295123956.7495,9413225796168.084,9684027848314.291,10981763246550.338,178.0,201.1,209.0,289.0,300.9791666666667,125.0380757981566,296.0,472.3000000000002,904.0
6,10981763246550.338,8.571428571428571,10.981772286551339,10.981772286551339,9.039999999999852,0,1,92.2778868379828,904,10981763.246550338,"[0.0, 10.981772286551339, -9.039999999999852, -1.0]",0,48,48,0,48,0,48,0,149.9099999999989,1381.8600000000147,14991,138186,3.0810972999897785,29.2567185999942,4.761904761904762,6.280655860900879,6.280655860900879,6280652.737774879,3.123124999999977,0.0,2.0000000000000004,2.857142857142857,2.857142857142857,4.761904761904762,2.992810735708699,8.571428571428571,8.571428571428571,8.571428571428571,1.8819536481584822,2.642754146030971,4.514593396868024,5.301625388009208,6.280655860900879,2.6373673409609415,8.975090299333846,9.26355961390904,10.981772286551339,1.8819536481584822,2.642754146030971,4.514593396868024,5.301625388009208,6.280655860900879,2.6373673409609415,8.975090299333846,9.26355961390904,10.981772286551339,1.7000000000000013,1.9070000000000016,1.9900000000000015,2.864999999999983,3.123124999999977,1.4415604338268007,2.962499999999981,5.009999999999938,9.039999999999852,5.134656322014052,14.45254099982267,36.830267906188965,45.28359241783619,52.700649267439225,25.91094740723136,78.85691154003143,79.7974110454321,92.2778868379828,1881948.6381574823,2642748.387029971,4514591.611867024,5301622.388008208,6280652.737774879,2637367.5532845496,8975087.424332846,9263556.706908042,10981763.246550338,1881948638157.4822,2642748387029.9707,4514591611867.024,5301622388008.208,6280652737774.879,2637367553284.55,8975087424332.846,9263556706908.041,10981763246550.338,170.0,190.7,199.0,286.5,312.3125,144.15604338268307,296.25,501.0,904.0
7,11060272496276.9,8.571428571428571,11.060278756277901,11.060278756277901,6.259999999999911,0,1,92.90160242281854,626,11060272.4962769,"[0.0, 11.060278756277901, -6.259999999999911, -1.0]",0,48,48,0,47,1,47,1,175.9200000000008,1557.7800000000154,17592,155778,4.657839399995282,34.00784129998647,4.8809523809523805,6.439792882828486,6.439792882828486,6439789.217827506,3.665000000000017,0.0,2.0000000000000004,2.857142857142857,2.857142857142857,4.8809523809523805,2.9714247557973055,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.699056352887835,4.750986099243164,5.348260062081473,6.439792882828486,2.7771819135386857,9.118616240365165,9.521836689540319,11.060278756277901,0.0,2.699056352887835,4.750986099243164,5.348260062081473,6.439792882828486,2.7771819135386857,9.118616240365165,9.521836689540319,11.060278756277901,1.6300000000000012,1.8610000000000015,2.020000000000001,2.8299999999999836,3.665000000000017,4.13919778862225,2.9724999999999806,5.738999999999923,30.00000000000189,5.134421912720427,18.43738265090942,40.60768623650074,48.46897441148758,60.51029931791709,42.380018631258054,79.33186322264373,81.71478197053075,293.4581938146148,-30.00000000000189,2699050.817886835,4750984.236742163,5348258.012080473,6439789.217827506,2777182.998537646,9118613.320364164,9521833.756539317,11060272.4962769,-30000000.00000189,2699050817886.835,4750984236742.164,5348258012080.473,6439789217827.505,2777182998537.6465,9118613320364.164,9521833756539.318,11060272496276.9,163.0,186.1,202.0,283.0,366.5,413.919778862201,297.25,573.9,3000.0
8,11060272496276.9,8.571428571428571,11.060278756277901,11.060278756277901,6.259999999999911,0,1,92.90160242281854,626,11060272.4962769,"[0.0, 11.060278756277901, -6.259999999999911, -1.0]",0,48,48,0,48,0,48,0,124.10999999999945,1681.8900000000149,12411,168189,2.134922099998221,36.21089210000355,4.940476190476191,6.5973390851702005,6.5973390851702005,6597336.4995442005,2.5856249999999883,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.940476190476191,2.781106282434206,8.571428571428571,8.571428571428571,8.571428571428571,0.04914419991629464,4.574610573904855,5.015333720615931,5.362420763288226,6.5973390851702005,2.368564551319436,9.107213020324707,9.575649806431361,11.060278756277901,0.04914419991629464,4.574610573904855,5.015333720615931,5.362420763288226,6.5973390851702005,2.368564551319436,9.107213020324707,9.575649806431361,11.060278756277901,1.6500000000000012,1.9120000000000015,1.9975000000000014,2.6449999999999876,2.5856249999999883,0.872295597475402,2.8924999999999823,2.945999999999981,6.259999999999911,5.357478599093156,37.54048388749361,42.28803969733417,45.94011465087533,57.12227589993017,20.693208444235783,78.8897047098726,81.44556598216295,92.90160242281854,49139.18991529464,4574608.766903855,5015331.2606149325,5362418.708287225,6597336.4995442005,2368564.3116858685,9107210.137823708,9575646.86643036,11060272.4962769,49139189915.29464,4574608766903.855,5015331260614.932,5362418708287.225,6597336499544.2,2368564311685.8687,9107210137823.707,9575646866430.361,11060272496276.9,165.0,191.2,199.75,264.5,258.5625,87.229559747542,289.25,294.6,626.0
9,11060272496276.9,8.571428571428571,11.060278756277901,11.060278756277901,6.259999999999911,0,1,92.90160242281854,626,11060272.4962769,"[0.0, 11.060278756277901, -6.259999999999911, -1.0]",0,48,48,0,48,0,48,0,135.4399999999992,1817.330000000014,13544,181733,2.5463027000078,38.82766830001492,4.404761904761904,6.1638979117075605,6.1638979117075605,6163895.090039894,2.82166666666665,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.404761904761904,2.5393725009168504,5.714285714285714,8.571428571428571,8.571428571428571,1.8823514665876118,4.135034288678851,4.9276420048304965,5.409510476248605,6.1638979117075605,2.1828507942642146,8.069051333836146,9.34086091177804,11.060278756277901,1.8823514665876118,4.135034288678851,4.9276420048304965,5.409510476248605,6.1638979117075605,2.1828507942642146,8.069051333836146,9.34086091177804,11.060278756277901,1.6800000000000013,1.9550000000000016,2.0675,2.584999999999989,2.82166666666665,1.1442270559445362,2.912499999999982,5.009999999999938,6.259999999999911,5.135353924728406,32.849611731991175,41.24347217194736,46.46955060213804,52.61806192974412,21.110282082302923,75.5412506442517,80.72057099863888,92.90160242281854,1882346.456586612,4135032.0716778506,4927639.929829497,5409508.406247606,6163895.090039894,2182850.7324451753,8069048.518835147,9340856.108777042,11060272.4962769,1882346456586.6118,4135032071677.8506,4927639929829.497,5409508406247.605,6163895090039.894,2182850732445.175,8069048518835.146,9340856108777.041,11060272496276.9,168.0,195.5,206.75,258.5,282.1666666666667,114.422705594456,291.25,501.0,626.0
10,11060272496276.9,8.571428571428571,11.060278756277901,11.060278756277901,6.259999999999911,0,1,92.90160242281854,626,11060272.4962769,"[0.0, 11.060278756277901, -6.259999999999911, -1.0]",0,48,48,0,48,0,48,0,142.92999999999904,1960.260000000013,14293,196026,3.059513500018511,41.95765520003624,5.357142857142857,6.870401019141788,6.870401019141788,6870398.041432454,2.977708333333313,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.357142857142857,2.834733547569204,8.571428571428571,8.571428571428571,8.571428571428571,1.8824659075055803,4.182477678571429,4.888304301670619,5.5893080575125555,6.870401019141788,2.4233418708266803,9.082783971514022,9.586611611502512,11.060278756277901,1.8824659075055803,4.182477678571429,4.888304301670619,5.5893080575125555,6.870401019141788,2.4233418708266803,9.082783971514022,9.586611611502512,11.060278756277901,1.6000000000000012,1.8840000000000015,2.0575,2.859999999999983,2.977708333333313,1.3301648387563911,2.9674999999999807,5.767999999999922,6.259999999999911,5.140852948061365,33.334266246110204,40.857899490743876,48.437604665756226,58.49621987073882,22.564438990961285,79.23235492222011,81.48318954128773,92.90160242281854,1882460.8975045802,4182476.0045704287,4888302.394169619,5589305.932511557,6870398.041432454,2423341.512519976,9082780.99401302,9586607.724501513,11060272.4962769,1882460897504.5803,4182476004570.429,4888302394169.619,5589305932511.557,6870398041432.453,2423341512519.9766,9082780994013.021,9586607724501.512,11060272496276.9,160.0,188.4,205.75,286.0,297.7708333333333,133.01648387564185,296.75,576.8000000000001,626.0
