generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,43,0,1,1,7630517116942.359,"[0.0, 7.630519866943359, -2.7499999999999853, -1.0]",7.630519866943359,5.714285714285714,7.630519866943359,2.7499999999999853,0,1,0,73.1264199912548,7630517.116942359,275,1,0
1,2,1,0,1,1,7426610678959.659,"[0.0, 7.426613398960659, -2.719999999999986, -1.0]",7.426613398960659,5.714285714285714,7.426613398960659,2.719999999999986,0,1,0,71.846001714468,7426610.678959659,272,1,0
1,3,28,0,0,1,7290758360195.707,"[0.0, 7.2907611301967075, -2.769999999999985, -1.0]",7.2907611301967075,5.714285714285714,7.2907611301967075,2.769999999999985,0,1,0,70.79950961470604,7290758.360195707,277,1,0
1,4,29,0,0,1,7280627684171.712,"[0.0, 7.280630384172712, -2.6999999999999864, -1.0]",7.280630384172712,5.714285714285714,7.280630384172712,2.6999999999999864,0,1,0,70.99815018475056,7280627.684171712,270,1,0
1,5,4,0,0,1,7249971152074.893,"[0.0, 7.249973842075892, -2.6899999999999866, -1.0]",7.249973842075892,5.714285714285714,7.249973842075892,2.6899999999999866,0,1,0,70.57494027167559,7249971.152074893,269,1,0
1,6,23,0,0,1,7142854552856.143,"[0.0, 7.142857142857142, -2.5899999999999888, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.5899999999999888,0,1,0,66.40796971321106,7142854.552856143,259,1,0
1,7,19,0,0,1,7142854492856.143,"[0.0, 7.142857142857142, -2.6499999999999875, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6499999999999875,0,1,0,68.89588467031717,7142854.492856143,265,1,0
1,8,44,0,0,1,7142854482856.143,"[0.0, 7.142857142857142, -2.6599999999999873, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6599999999999873,0,1,0,69.31418155878782,7142854.482856142,266,1,0
1,9,42,0,0,1,7142854472856.143,"[0.0, 7.142857142857142, -2.669999999999987, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.669999999999987,0,1,0,67.34170324355364,7142854.472856143,267,1,0
1,10,26,0,0,1,7142853272856.143,"[0.0, 7.142857142857142, -3.8699999999999615, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,3.8699999999999615,0,1,0,69.63083155453205,7142853.272856142,387,1,0
1,11,12,0,0,0,7074032024616.746,"[0.0, 7.074034554617746, -2.52999999999999, -1.0]",7.074034554617746,5.714285714285714,7.074034554617746,2.52999999999999,0,1,0,63.65533497929573,7074032.024616746,253,1,0
1,12,47,0,0,0,6971388280333.821,"[0.0, 6.971391950334821, -3.6699999999999657, -1.0]",6.971391950334821,5.714285714285714,6.971391950334821,3.6699999999999657,0,1,0,62.636671133339405,6971388.280333822,367,1,0
1,13,46,0,0,0,6405356120492.861,"[0.0, 6.405361720493861, -5.599999999999925, -1.0]",6.405361720493861,5.714285714285714,6.405361720493861,5.599999999999925,0,1,0,56.87767433747649,6405356.120492862,560,1,0
1,14,32,0,0,0,5672048805986.724,"[0.0, 5.672051565987724, -2.759999999999985, -1.0]",5.672051565987724,2.857142857142857,5.672051565987724,2.759999999999985,0,1,0,49.27145351469517,5672048.805986724,276,1,0
1,15,10,0,0,0,3073931842314.848,"[0.0, 3.073937552315848, -5.709999999999923, -1.0]",3.073937552315848,2.857142857142857,3.073937552315848,5.709999999999923,0,1,0,18.435133303544717,3073931.842314848,571,1,0
1,16,8,0,0,0,3069305149488.397,"[0.0, 3.069310869489397, -5.7199999999999225, -1.0]",3.069310869489397,2.857142857142857,3.069310869489397,5.7199999999999225,0,1,0,18.4349201347286,3069305.149488397,572,1,0
1,17,39,0,0,0,3069234305110.6074,"[0.0, 3.069240025111607, -5.7199999999999225, -1.0]",3.069240025111607,2.857142857142857,3.069240025111607,5.7199999999999225,0,1,0,18.435289025248494,3069234.3051106073,572,1,0
