generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8273508794117.304,5.714285714285714,8.273511614118304,8.273511614118304,2.819999999999984,0,1,76.14843488484621,282,8273508.794117304,"[0.0, 8.273511614118304, -2.819999999999984, -1.0]",0,48,48,0,41,7,41,7,394.8200000000111,394.8200000000111,39482,39482,19.466010600037407,19.51002679998055,2.5595238095238098,3.599973122278849,3.599973122278849,3599964.8968613283,8.225416666666897,0.0,0.0,0.0,2.857142857142857,2.5595238095238098,2.4907709467747234,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.8834400177001953,3.0687332153320312,3.599973122278849,2.7302130478373323,6.476820537022181,7.4882322038922995,8.273511614118304,0.0,0.0,1.8834400177001953,3.0687332153320312,3.599973122278849,2.7302130478373323,6.476820537022181,7.4882322038922995,8.273511614118304,2.3299999999999943,2.677999999999987,3.2699999999999743,5.009999999999938,8.225416666666897,9.078349693624634,5.722499999999922,30.00000000000189,30.00000000000189,5.134400213137269,5.1347560332797,18.35023623113375,25.0022063407705,71.69559995337931,94.75215821945872,72.37848817743361,293.59625877442306,293.6012256779941,-30.00000000000189,-30.00000000000189,1883435.0076991953,3068727.4903310314,3599964.8968613283,2730218.7025049017,6476813.882021182,7488229.4708913,8273508.794117304,-30000000.00000189,-30000000.00000189,1883435007699.1953,3068727490331.0312,3599964896861.328,2730218702504.9014,6476813882021.182,7488229470891.3,8273508794117.304,233.0,267.8,327.0,501.0,822.5416666666666,907.8349693623958,572.25,3000.0,3000.0
2,8500671926285.272,5.714285714285714,8.500676836286273,8.500676836286273,4.90999999999994,0,1,76.85987254977226,491,8500671.926285272,"[0.0, 8.500676836286273, -4.90999999999994, -1.0]",0,48,48,0,48,0,48,0,160.4699999999987,555.2900000000097,16047,55529,4.837084600003436,24.456309400033206,4.761904761904762,6.2360854375930055,6.2360854375930055,6236082.094467007,3.3431249999999726,0.0,0.0,5.714285714285714,5.714285714285714,4.761904761904762,1.963383631246505,5.714285714285714,5.714285714285714,5.714285714285714,0.01995086669921875,1.8837411063058036,6.17577007838658,7.142857142857142,6.2360854375930055,2.2131046371297303,7.480345453534808,8.016387939453125,8.500676836286273,0.01995086669921875,1.8837411063058036,6.17577007838658,7.142857142857142,6.2360854375930055,2.2131046371297303,7.480345453534808,8.016387939453125,8.500676836286273,2.1199999999999988,2.4279999999999924,2.5974999999999886,2.7299999999999858,3.3431249999999726,1.1874643086741345,4.637499999999946,5.009999999999938,6.31999999999991,5.134475620579906,17.191640500867653,54.19135520607233,66.45779960043728,56.924508619001095,22.764631389014724,72.27163412794471,75.13075542524457,76.85987254977226,19945.85669821875,1883736.0963048036,6175766.75838558,7142854.497856143,6236082.094467007,2213105.4530655467,7480342.723533808,8016385.020452125,8500671.926285272,19945856698.21875,1883736096304.8037,6175766758385.58,7142854497856.143,6236082094467.007,2213105453065.547,7480342723533.809,8016385020452.125,8500671926285.272,212.0,242.8,259.75,273.0,334.3125,118.74643086741597,463.75,501.0,632.0
3,8794318472658.04,8.571428571428571,8.79432133265904,8.79432133265904,2.859999999999983,0,1,77.89768299460411,286,8794318.47265804,"[0.0, 8.79432133265904, -2.859999999999983, -1.0]",0,48,48,0,48,0,48,0,152.43999999999886,707.7300000000087,15244,70773,4.145990299992263,28.69977150001796,5.1190476190476195,6.876967123576573,6.876967123576573,6876963.947742239,3.1758333333333097,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.1190476190476195,1.9306279452651016,5.714285714285714,5.714285714285714,8.571428571428571,1.8831198556082591,2.713094438825335,7.142857142857142,7.58638790675572,6.876967123576573,2.00023620820226,7.958589281354631,8.192218508039202,8.79432133265904,1.8831198556082591,2.713094438825335,7.142857142857142,7.58638790675572,6.876967123576573,2.00023620820226,7.958589281354631,8.192218508039202,8.79432133265904,2.239999999999996,2.6769999999999867,2.7399999999999856,2.7899999999999845,3.1758333333333097,0.9247878885932994,2.859999999999983,5.009999999999938,5.729999999999922,5.134821144049056,14.445113067245986,69.41941373609006,72.9425218179822,63.10486613626896,22.974823196663937,74.85456084273756,75.844382584095,77.89789865165949,1883114.845607259,2713088.924824335,7142854.510356143,7586385.15675472,6876963.947742239,2000236.9857157015,7958586.491353631,8192215.695038201,8794318.47265804,1883114845607.259,2713088924824.335,7142854510356.143,7586385156754.72,6876963947742.239,2000236985715.7017,7958586491353.631,8192215695038.201,8794318472658.04,224.0,267.7,274.0,279.0,317.5833333333333,92.4787888593319,286.0,501.0,573.0
4,9167913544150.787,8.571428571428571,9.167916434151786,9.167916434151786,2.8899999999999824,0,1,79.22106919437647,289,9167913.544150786,"[0.0, 9.167916434151786, -2.8899999999999824, -1.0]",0,48,48,0,48,0,48,0,155.4399999999988,863.1700000000075,15544,86317,5.060464099980891,33.88693300000159,5.297619047619048,7.043951749801636,7.043951749801636,7043948.511467303,3.2383333333333084,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.297619047619048,2.2579853259988876,5.714285714285714,8.571428571428571,8.571428571428571,1.8831198556082591,2.7132851736886163,7.52706732068743,7.869847161429268,7.043951749801636,2.2441255917978205,8.340310369219099,8.74777112688337,9.167916434151786,1.8831198556082591,2.7132851736886163,7.52706732068743,7.869847161429268,7.043951749801636,2.2441255917978205,8.340310369219099,8.74777112688337,9.167916434151786,1.7100000000000013,2.7399999999999856,2.769999999999985,2.8249999999999837,3.2383333333333084,0.9848907158777473,2.902499999999982,5.009999999999938,5.7199999999999225,5.134539470047457,14.444626767391313,72.59133610129356,74.41496438160539,63.30240295405156,24.843195310820207,76.58421266824007,77.79943965375423,79.22106919437647,1883114.845607259,2713279.6666876166,7527064.58318643,7869844.291428268,7043948.511467303,2244126.3726350986,8340307.539218099,8747768.266882371,9167913.544150786,1883114845607.259,2713279666687.6167,7527064583186.43,7869844291428.269,7043948511467.302,2244126372635.099,8340307539218.099,8747768266882.37,9167913544150.787,171.0,274.0,277.0,282.5,323.8333333333333,98.48907158777679,290.25,501.0,572.0
5,9775869951724.725,8.571428571428571,9.775872911725724,9.775872911725724,2.959999999999981,0,1,82.34260649234056,296,9775869.951724725,"[0.0, 9.775872911725724, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,159.09999999999872,1022.2700000000061,15910,102227,4.562174900027458,38.55487539997557,5.892857142857142,7.363285791306269,7.363285791306269,7363282.476721935,3.3145833333333066,0.0,2.0000000000000004,5.714285714285714,5.714285714285714,5.892857142857142,2.569195458917528,8.571428571428571,8.571428571428571,8.571428571428571,1.0339682442801341,2.753138950892857,7.415016038077217,8.109915597098215,7.363285791306269,2.317483281993364,8.8492522920881,9.022547858101982,9.775872911725724,1.0339682442801341,2.753138950892857,7.415016038077217,8.109915597098215,7.363285791306269,2.317483281993364,8.8492522920881,9.022547858101982,9.775872911725724,1.8900000000000015,2.719999999999986,2.7874999999999845,2.859999999999983,3.3145833333333066,1.0198283318229813,3.042499999999979,5.009999999999938,6.019999999999916,5.135504572739592,15.59824198108836,71.84618761949241,75.02809385210276,65.58165916842229,23.803600253254405,77.95821698382497,78.60317233353854,82.34260649234056,1033963.2342791342,2753133.053891857,7415013.318076218,8109911.232097214,7363282.476721935,2317484.005490349,8849248.842087101,9022544.982100982,9775869.951724725,1033963234279.1342,2753133053891.857,7415013318076.218,8109911232097.215,7363282476721.935,2317484005490.349,8849248842087.102,9022544982100.982,9775869951724.725,189.0,272.0,278.75,286.0,331.4583333333333,101.98283318230028,304.25,501.0,602.0
6,9775869951724.725,8.571428571428571,9.775872911725724,9.775872911725724,2.959999999999981,0,1,82.34260649234056,296,9775869.951724725,"[0.0, 9.775872911725724, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,160.44999999999868,1182.7200000000048,16045,118272,5.04621010000119,43.712913700030185,5.833333333333333,7.16318028313773,7.16318028313773,7163176.940428396,3.342708333333306,0.0,0.0,2.857142857142857,5.714285714285714,5.833333333333333,2.971424755797306,8.571428571428571,8.571428571428571,8.571428571428571,1.8819590977260043,1.8838451930454798,5.406248910086496,8.422602244785853,7.16318028313773,2.628517735397819,8.918723378862653,9.202257701328824,9.775872911725724,1.8819590977260043,1.8838451930454798,5.406248910086496,8.422602244785853,7.16318028313773,2.628517735397819,8.918723378862653,9.202257701328824,9.775872911725724,1.8500000000000014,2.7839999999999847,2.819999999999984,2.869999999999983,3.342708333333306,1.0208100124886992,3.3024999999999736,5.009999999999938,5.789999999999921,5.134618753392715,5.1394132314591845,46.39897081628442,76.80256712436676,61.73376399702435,27.301726341559174,78.37536496669054,79.35862554833294,82.34260649234056,1881954.0877250044,1883840.18304448,5406246.842585497,8422599.409784853,7163176.940428396,2628518.517816177,8918720.501361655,9202254.487327823,9775869.951724725,1881954087725.0044,1883840183044.4797,5406246842585.496,8422599409784.852,7163176940428.3955,2628518517816.1777,8918720501361.654,9202254487327.824,9775869951724.725,185.0,278.4,282.0,287.0,334.2708333333333,102.08100124887207,330.25,501.0,579.0
7,9775869951724.725,8.571428571428571,9.775872911725724,9.775872911725724,2.959999999999981,0,1,82.34260649234056,296,9775869.951724725,"[0.0, 9.775872911725724, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,143.14999999999907,1325.870000000004,14315,132587,4.109390900004655,47.95139870001003,6.488095238095238,7.877808468682424,7.877808468682424,7877805.486389759,2.9822916666666472,0.0,2.857142857142857,5.714285714285714,7.142857142857142,6.488095238095238,2.524679769101011,8.571428571428571,8.571428571428571,8.571428571428571,1.8819536481584822,4.766197204589844,7.715210233415876,8.565543038504465,7.877808468682424,2.0306553452395675,9.137716974530901,9.342479433332171,9.775872911725724,1.8819536481584822,4.766197204589844,7.715210233415876,8.565543038504465,7.877808468682424,2.0306553452395675,9.137716974530901,9.342479433332171,9.775872911725724,1.8600000000000014,2.669999999999987,2.817499999999984,2.869999999999983,2.9822916666666472,0.7458447101087458,2.909999999999982,2.9869999999999806,6.039999999999916,5.135021043170127,39.5069935977459,73.44962490908802,77.24045984447002,69.15276046162671,20.123651496132563,79.22115263156593,80.1079759709537,82.34260649234056,1881948.6381574823,4766195.337588843,7715207.475914876,8565540.193503466,7877805.486389759,2030655.7409274222,9137714.0845299,9342476.52333117,9775869.951724725,1881948638157.4822,4766195337588.843,7715207475914.876,8565540193503.465,7877805486389.758,2030655740927.422,9137714084529.9,9342476523331.17,9775869951724.725,186.0,267.0,281.75,287.0,298.2291666666667,74.58447101087613,291.0,298.70000000000005,604.0
8,9775869951724.725,8.571428571428571,9.775872911725724,9.775872911725724,2.959999999999981,0,1,82.34260649234056,296,9775869.951724725,"[0.0, 9.775872911725724, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,149.10999999999893,1474.980000000003,14911,147498,4.628260700032115,52.6711586000165,5.9523809523809526,7.439935547964914,7.439935547964914,7439932.441505581,3.106458333333311,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.9523809523809526,2.847204938833666,8.571428571428571,8.571428571428571,8.571428571428571,1.8818555559430805,4.371923719133649,5.4632609231131415,8.455506733485631,7.439935547964914,2.3491993964622297,9.268082209995814,9.499361855643137,9.775872911725724,1.8818555559430805,4.371923719133649,5.4632609231131415,8.455506733485631,7.439935547964914,2.3491993964622297,9.268082209995814,9.499361855643137,9.775872911725724,1.8000000000000014,2.064,2.7999999999999843,2.869999999999983,3.106458333333311,0.9933161832621646,2.9299999999999815,5.009999999999938,6.199999999999912,5.134455214836635,35.412450704909865,47.00313628464937,76.80274963751435,64.30782481122151,23.148637142755977,79.66412464529276,80.71175982132554,82.34260649234056,1881850.5459420807,4371921.06713265,5463258.838112141,8455503.898484629,7439932.441505581,2349199.7419461673,9268079.309994813,9499358.932642138,9775869.951724725,1881850545942.0806,4371921067132.65,5463258838112.142,8455503898484.631,7439932441505.581,2349199741946.167,9268079309994.814,9499358932642.137,9775869951724.725,180.0,206.4,280.0,287.0,310.6458333333333,99.33161832621855,293.0,501.0,620.0
9,9787352150494.258,8.571428571428571,9.787355150495257,9.787355150495257,2.99999999999998,0,1,82.34755356609821,300,9787352.150494257,"[0.0, 9.787355150495257, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,154.7499999999988,1629.7300000000018,15475,162973,5.069011799991131,57.84706900001038,5.952380952380952,7.234545832588559,7.234545832588559,7234542.608629226,3.2239583333333086,0.0,2.0000000000000004,2.857142857142857,8.571428571428571,5.952380952380952,3.076868567457163,8.571428571428571,8.571428571428571,8.571428571428571,1.8765204293387276,2.6715305873325894,5.243729182652064,8.716739927019393,7.234545832588559,2.6822998366580157,9.339605058942523,9.586091722760882,9.787355150495257,1.8765204293387276,2.6715305873325894,5.243729182652064,8.716739927019393,7.234545832588559,2.6822998366580157,9.339605058942523,9.586091722760882,9.787355150495257,1.8500000000000014,2.061,2.8399999999999834,2.899999999999982,3.2239583333333086,1.064375285443927,2.952499999999981,5.009999999999938,5.919999999999918,5.135056560000521,14.493500305767522,44.62629354931414,77.8762326464057,61.415795779719396,26.63264273623165,80.10774497874081,81.13306680172683,82.34755356609821,1876515.4193377276,2671524.940331589,5243727.165151065,8716737.067018392,7234542.608629226,2682300.493689295,9339602.148941522,9586088.789759882,9787352.150494257,1876515419337.7275,2671524940331.5894,5243727165151.064,8716737067018.393,7234542608629.227,2682300493689.295,9339602148941.523,9586088789759.883,9787352150494.258,185.0,206.1,284.0,290.0,322.3958333333333,106.43752854439495,295.25,501.0,592.0
10,9787352150494.258,8.571428571428571,9.787355150495257,9.787355150495257,2.99999999999998,0,1,82.34755356609821,300,9787352.150494257,"[0.0, 9.787355150495257, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,138.00999999999914,1767.740000000001,13801,176774,3.497198900033254,61.45191950001754,6.071428571428572,7.429149718511671,7.429149718511671,7429146.843302339,2.8752083333333154,0.0,2.857142857142857,2.857142857142857,8.571428571428571,6.071428571428572,3.065331711805651,8.571428571428571,8.571428571428571,8.571428571428571,1.880896432059152,3.852512904575893,5.161408015659877,8.847122192382812,7.429149718511671,2.545148369964236,9.53627382005964,9.679477964128766,9.787355150495257,1.880896432059152,3.852512904575893,5.161408015659877,8.847122192382812,7.429149718511671,2.545148369964236,9.53627382005964,9.679477964128766,9.787355150495257,1.5300000000000011,1.9600000000000015,2.5424999999999898,2.8849999999999825,2.8752083333333154,0.8136466001468502,2.9424999999999812,3.4829999999999766,5.009999999999938,5.135111951603903,30.09824308138341,43.756572807207704,78.33807538449764,63.11355968680967,24.344433355517374,80.99894558638334,81.89404347836971,82.34755356609821,1880891.4220581518,3852509.2185748927,5161406.023158877,8847119.322381811,7429146.843302339,2545148.56717154,9536270.89005864,9679475.014127767,9787352.150494257,1880891422058.1519,3852509218574.8926,5161406023158.877,8847119322381.812,7429146843302.339,2545148567171.54,9536270890058.639,9679475014127.766,9787352150494.258,153.0,196.0,254.25,288.5,287.5208333333333,81.36466001468669,294.25,348.3000000000007,501.0
