grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
mutation,0.1,0.1,prob_010_sigma_010,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_010_sigma_010\20260503_153933_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.1,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9590,10,0,15.052789960588727,12.61070586386181,10.48522086370559,3.806171955191557,15.052789960588727,10.784283960433235,0.0,1.0,0.0,30.0,30.0,7.9515083333332885,13.053000584999973,-0.8921571603956676
mutation,0.1,0.15,prob_010_sigma_015,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_010_sigma_015\20260503_155244_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.15,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9526,74,0,80.13489852208238,46.83038809221424,35.29559310311806,24.45946581404016,80.13489852208238,29.295180215281192,0.0,0.97375,0.02625,30.0,30.0,18.882333333333364,31.320354284999972,-0.6873606978471881
mutation,0.1,0.2,prob_010_sigma_020,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_010_sigma_020\20260503_162410_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9590,10,0,15.40316445486886,10.169369890576316,9.026634920211066,3.7161829855928494,15.40316445486886,8.69564498379117,0.0,1.0,0.0,30.0,30.0,11.10951944444433,18.217388813333432,-0.9130435501620883
mutation,0.1,0.25,prob_010_sigma_025,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_010_sigma_025\20260503_164229_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.25,100.0,lidar,aabb_clearance,True,False,0,0,124.0,124.0,18.900000000000155,18.900000000000155,198.0,882,8662,56,28,100.0,77.57408078846665,46.02438431813538,41.03374412201224,100.0,58.162536894779635,0.3275,0.66375,0.00875,27.80022500000027,27.75354166666679,25.65977222222247,41.987041025000025,0.24318786894779643
mutation,0.1,0.3,prob_010_sigma_030,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_010_sigma_030\20260503_172434_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.1,0.3,100.0,lidar,aabb_clearance,True,False,0,0,114.0,114.0,19.12000000000019,19.12000000000019,198.0,1095,8357,148,25,100.0,71.321825016354,47.42861213859377,40.42740472923721,100.0,53.2593399600323,0.3275,0.6454166666666666,0.027083333333333334,27.86062916666695,27.777083333333536,24.476575000000278,40.11711169333333,0.20790589960032307
mutation,0.15,0.1,prob_015_sigma_010,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_015_sigma_010\20260503_180447_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.1,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9587,13,0,16.002328055245535,13.753540459133328,13.753540459133328,2.9189218542718267,16.002328055245535,11.524765780993869,0.0,1.0,0.0,30.0,30.0,12.441544444444308,22.073753713333282,-0.8847523421900613
mutation,0.15,0.15,prob_015_sigma_015,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_015_sigma_015\20260503_182658_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.15,100.0,lidar,aabb_clearance,True,False,0,0,167.0,167.0,22.78000000000076,22.78000000000076,196.0,299,9157,144,18,100.0,64.19083344622494,47.459804479642735,36.082735747633926,100.0,49.854208371933126,0.12458333333333334,0.83,0.04541666666666667,29.5646958333335,29.118541666666886,24.00060833333363,43.48826864833341,-0.21822874961400196
mutation,0.15,0.2,prob_015_sigma_020,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_015_sigma_020\20260503_191034_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.2,100.0,lidar,aabb_clearance,True,False,0,0,137.0,137.0,21.270000000000525,21.270000000000525,197.0,787,8706,107,22,100.0,69.29742831724748,55.13528539173233,37.97033725892938,100.0,56.83537138950296,0.3016666666666667,0.6604166666666667,0.03791666666666667,28.393037500000318,28.088333333333665,22.824358333333556,41.5850475350002,0.20012454722836306
mutation,0.15,0.25,prob_015_sigma_025,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_015_sigma_025\20260503_195216_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.25,100.0,lidar,aabb_clearance,True,False,0,0,105.0,105.0,16.999999999999858,16.999999999999858,193.0,1144,8114,342,22,100.0,69.97632091432511,50.66511077056659,38.35755176961527,100.0,50.571016521613316,0.3,0.6841666666666667,0.015833333333333335,27.309262500000145,27.208750000000077,27.18677222222264,45.663189980000126,0.11758516521613312
mutation,0.15,0.3,prob_015_sigma_030,Experiments\runs_ga_hyperparam\pc1_mutation_grid_seed_2026050311\prob_015_sigma_030\20260503_203802_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.15,0.3,100.0,lidar,aabb_clearance,True,False,0,0,125.0,125.0,19.71000000000028,19.71000000000028,186.0,509,8969,122,12,100.0,51.88218265537938,38.37797403665066,35.02492515284774,100.0,41.81185067105973,0.16708333333333333,0.8029166666666666,0.03,28.885316666666803,28.900833333333395,20.842330555555698,36.12097824666707,-0.225214826622736
