generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7956766335801.177,5.714285714285714,7.956769125802177,7.956769125802177,2.7899999999999845,0,1,74.84706937521696,279,7956766.335801177,"[0.0, 7.956769125802177, -2.7899999999999845, -1.0]",0,48,48,0,38,10,38,10,472.1900000000169,472.1900000000169,47219,47219,24.118395199999213,24.19106969999848,2.3809523809523814,3.3375832012721474,3.3375832012721474,3337573.3639796884,9.837291666667019,0.0,0.0,0.0,2.857142857142857,2.3809523809523814,2.4281045302822784,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.412090573992048,3.020727975027902,3.3375832012721474,2.818776415929884,6.889826910836356,7.379482814243863,7.956769125802177,0.0,0.0,1.412090573992048,3.020727975027902,3.3375832012721474,2.818776415929884,6.889826910836356,7.379482814243863,7.956769125802177,2.4099999999999926,2.683999999999987,4.254999999999954,5.009999999999938,9.837291666667019,10.40058987501575,5.7924999999999205,30.00000000000189,30.00000000000189,5.1344253399875015,5.135135732720665,18.11193395576811,44.17781185617787,88.00286096994705,107.2791866017081,74.52294705808163,293.6000827216427,293.6016188233625,-30.00000000000189,-30.00000000000189,1412085.563991048,3020722.1650269018,3337573.3639796884,2818783.387360652,6889824.198335356,7379478.969242863,7956766.335801177,-30000000.00000189,-30000000.00000189,1412085563991.048,3020722165026.9014,3337573363979.689,2818783387360.6514,6889824198335.355,7379478969242.863,7956766335801.177,241.0,268.4,425.5,501.0,983.7291666666666,1040.0589875014969,579.25,3000.0,3000.0
2,9660745133031.924,8.571428571428571,9.660748073032924,9.660748073032924,2.9399999999999813,0,1,81.44562201946974,294,9660745.133031923,"[0.0, 9.660748073032924, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,202.87999999999778,675.0700000000147,20288,67507,6.04865989999962,30.378142400004435,4.285714285714286,5.600775707335699,5.600775707335699,5600771.4806680335,4.22666666666662,0.0,0.0,2.857142857142857,5.714285714285714,4.285714285714286,2.1821789023599236,5.714285714285714,5.714285714285714,8.571428571428571,1.8834304809570312,2.559236254010882,3.0727481842041016,7.121257781982422,5.600775707335699,2.413063133422005,7.519721984863281,7.960069111415319,9.660748073032924,1.8834304809570312,2.559236254010882,3.0727481842041016,7.121257781982422,5.600775707335699,2.413063133422005,7.519721984863281,7.960069111415319,9.660748073032924,2.159999999999998,2.6009999999999884,2.764999999999985,4.099999999999957,4.22666666666662,1.5958570494320956,5.709999999999923,5.742999999999922,9.319999999999846,5.134414513362572,13.069567936824754,18.43498667547101,62.96003623881916,47.5680946823677,27.440718971681946,72.35433642752469,74.84717919006944,81.44562201946974,1883425.4709560312,2559231.244009882,3072742.474203102,7121254.801981421,5600771.4806680335,2413064.061974578,7519714.307362281,7960066.321414318,9660745.133031923,1883425470956.0312,2559231244009.8823,3072742474203.1016,7121254801981.422,5600771480668.032,2413064061974.578,7519714307362.281,7960066321414.318,9660745133031.924,216.0,260.1,276.5,410.0,422.6666666666667,159.58570494321296,571.0,574.3,932.0
3,9660745133031.924,8.571428571428571,9.660748073032924,9.660748073032924,2.9399999999999813,0,1,81.44562201946974,294,9660745.133031923,"[0.0, 9.660748073032924, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,173.5599999999984,848.6300000000131,17356,84863,4.768563599995105,35.35628639999777,4.821428571428572,6.5668665795099175,6.5668665795099175,6566862.963675584,3.6158333333333004,0.0,0.0,5.714285714285714,5.714285714285714,4.821428571428572,2.115399481418674,5.714285714285714,5.714285714285714,8.571428571428571,1.8826239449637276,2.561704363141741,7.007404054914202,7.259172712053571,6.5668665795099175,2.2238490474852184,7.906055450439453,8.462111609322683,9.660748073032924,1.8826239449637276,2.561704363141741,7.007404054914202,7.259172712053571,6.5668665795099175,2.2238490474852184,7.906055450439453,8.462111609322683,9.660748073032924,1.9400000000000015,2.629999999999988,2.709999999999986,2.819999999999984,3.6158333333333004,1.2700505786078575,5.009999999999938,5.712999999999923,5.989999999999917,5.134409264661372,13.093520654155874,62.951778097078204,70.7877583578229,59.072024997864446,25.192328682147878,74.48101707361639,76.69562832862138,81.44562201946974,1882618.9349627276,2561699.353140741,7007401.549913203,7259170.017052572,6566862.963675584,2223849.749073104,7906050.282938452,8462106.585321682,9660745.133031923,1882618934962.7275,2561699353140.741,7007401549913.203,7259170017052.572,6566862963675.583,2223849749073.104,7906050282938.453,8462106585321.683,9660745133031.924,194.0,263.0,271.0,282.0,361.5833333333333,127.00505786078845,501.0,571.3,599.0
4,9660745133031.924,8.571428571428571,9.660748073032924,9.660748073032924,2.9399999999999813,0,1,81.44562201946974,294,9660745.133031923,"[0.0, 9.660748073032924, -2.9399999999999813, -1.0]",0,48,48,0,47,1,47,1,208.59000000000015,1057.2200000000132,20859,105722,7.231449199985946,42.72567620000336,5.178571428571429,6.5587084633963455,6.5587084633963455,6558704.117770365,4.345625000000003,0.0,0.0,2.857142857142857,5.714285714285714,5.178571428571429,2.776005670562147,8.571428571428571,8.571428571428571,8.571428571428571,1.8830490112304688,2.5651223318917413,4.4006756373814175,7.510975428989955,6.5587084633963455,2.552754659634006,8.627356801714216,9.072283881051199,9.660748073032924,1.8830490112304688,2.5651223318917413,4.4006756373814175,7.510975428989955,6.5587084633963455,2.552754659634006,8.627356801714216,9.072283881051199,9.660748073032924,1.5900000000000012,2.5859999999999888,2.7999999999999843,2.899999999999982,4.345625000000003,4.001691260293616,5.052499999999936,5.828999999999921,30.00000000000189,5.134467798867263,14.445246716135445,38.89045423967764,73.2687783241272,62.434557043379755,42.833135281712025,77.34950280655175,79.30796492248774,293.5985978882527,1883044.0012294687,2565099.828891441,4400673.882380418,7510972.618988955,6558704.117770365,2552756.0731744617,8627353.951713216,9072280.991050199,9660745.133031923,1883044001229.4688,2565099828891.4414,4400673882380.418,7510972618988.955,6558704117770.366,2552756073174.4614,8627353951713.216,9072280991050.2,9660745133031.924,159.0,258.6,280.0,290.0,434.5625,400.16912602933695,505.25,582.9000000000001,3000.0
5,9660745133031.924,8.571428571428571,9.660748073032924,9.660748073032924,2.9399999999999813,0,1,81.44562201946974,294,9660745.133031923,"[0.0, 9.660748073032924, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,147.38999999999896,1204.6100000000122,14739,120461,3.902160300000105,46.76647140001296,5.2976190476190474,6.978589466639927,6.978589466639927,6978586.396013928,3.0706249999999784,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.2976190476190474,2.6719494866027906,8.571428571428571,8.571428571428571,8.571428571428571,1.361034938267299,2.717195783342634,5.4385512215750555,7.692188535417829,6.978589466639927,2.3612357283004872,8.756093978881836,9.35715457371303,9.660748073032924,1.361034938267299,2.717195783342634,5.4385512215750555,7.692188535417829,6.978589466639927,2.3612357283004872,8.756093978881836,9.35715457371303,9.660748073032924,1.7700000000000014,2.0909999999999993,2.7399999999999856,2.849999999999983,3.0706249999999784,0.9064224692207817,2.9399999999999813,5.009999999999938,5.709999999999923,5.133596814543125,17.59238887374813,46.73274269886315,73.38847893103957,61.45333010455761,23.693095582671358,77.73067316785455,80.10771090388297,81.44562201946974,1361029.928266299,2717190.283341634,5438548.784074056,7692185.725416829,6978586.396013928,2361236.1726977364,8756091.118880834,9357151.66371203,9660745.133031923,1361029928266.299,2717190283341.634,5438548784074.056,7692185725416.828,6978586396013.927,2361236172697.737,8756091118880.835,9357151663712.031,9660745133031.924,177.0,209.1,274.0,285.0,307.0625,90.64224692208008,294.0,501.0,571.0
6,9660745133031.924,8.571428571428571,9.660748073032924,9.660748073032924,2.9399999999999813,0,1,81.44562201946974,294,9660745.133031923,"[0.0, 9.660748073032924, -2.9399999999999813, -1.0]",0,48,48,0,47,1,47,1,196.6100000000004,1401.2200000000125,19661,140122,6.503191399999196,53.40902079999796,5.416666666666667,6.937627678825741,6.937627678825741,6937623.5827830965,4.096041666666675,0.0,0.0,2.857142857142857,5.714285714285714,5.416666666666667,2.811515637766558,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.5650618416922435,5.2313273293631415,8.30981527056013,6.937627678825741,2.8017181381517458,8.819423403058734,9.540971211024694,9.660748073032924,0.0,2.5650618416922435,5.2313273293631415,8.30981527056013,6.937627678825741,2.8017181381517458,8.819423403058734,9.540971211024694,9.660748073032924,1.6700000000000013,2.616999999999988,2.8274999999999837,2.9249999999999816,4.096041666666675,4.04162598239857,4.3824999999999505,5.960999999999919,30.00000000000189,5.13517961143225,18.450148421713674,60.15743409842253,76.38339759036899,67.72549985243722,39.684777673588094,78.12454761750996,81.3636916577816,284.7154219429649,-7.970000999999875,2565039.3386919433,5231325.316862142,8309812.380559129,6937623.5827830965,2801719.7680986077,8819420.535557736,9540967.879023692,9660745.133031923,-7970000.999999874,2565039338691.9434,5231325316862.142,8309812380559.129,6937623582783.097,2801719768098.6074,8819420535557.734,9540967879023.693,9660745133031.924,167.0,261.7,282.75,292.5,409.6041666666667,404.16259823983245,438.25,596.1000000000001,3000.0
7,10039451858860.605,8.571428571428571,10.039454868861606,10.039454868861606,3.00999999999998,0,1,84.27559182047844,301,10039451.858860606,"[0.0, 10.039454868861606, -3.00999999999998, -1.0]",0,48,48,0,48,0,48,0,181.71999999999824,1582.9400000000107,18172,158294,5.211332699982449,58.75906609999947,5.178571428571428,6.508569944472541,6.508569944472541,6508566.158638206,3.7858333333332967,0.0,0.0,2.857142857142857,5.714285714285714,5.178571428571428,3.122022390938894,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8834070478166853,3.1013284410749162,7.906394686017718,6.508569944472541,2.9796929029735923,9.12520340510777,9.644345964704241,10.039454868861606,0.0,1.8834070478166853,3.1013284410749162,7.906394686017718,6.508569944472541,2.9796929029735923,9.12520340510777,9.644345964704241,10.039454868861606,1.8700000000000014,2.1259999999999986,2.862499999999983,2.954999999999981,3.7858333333332967,1.4289650003489014,5.009999999999938,5.8759999999999195,7.429999999999886,5.00532288946124,5.227771759849565,34.55731237294094,74.73956245929003,55.86942865046649,28.488170095569203,79.22129400633276,81.53788318783045,84.27559182047844,-7.430000999999886,1883402.0378156852,3101322.5885739163,7906391.421016717,6508566.158638206,2979693.812412477,9125200.51010677,9644343.021703241,10039451.858860606,-7430000.999999886,1883402037815.685,3101322588573.9165,7906391421016.717,6508566158638.206,2979693812412.477,9125200510106.77,9644343021703.242,10039451858860.605,187.0,212.6,286.25,295.5,378.5833333333333,142.89650003489317,501.0,587.6,743.0
8,10082181782586.89,8.571428571428571,10.08218765258789,10.08218765258789,5.869999999999919,0,1,84.835115166381,587,10082181.782586891,"[0.0, 10.08218765258789, -5.869999999999919, -1.0]",0,48,48,0,48,0,48,0,166.77999999999852,1749.7200000000093,16678,174972,4.794927400012966,63.70180589999654,5.416666666666667,6.732526222864787,6.732526222864787,6732522.7482804535,3.4745833333333027,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.687814739256104,8.571428571428571,8.571428571428571,8.571428571428571,1.8836593627929685,3.069006783621652,4.182303292410714,7.951882226126534,6.732526222864787,2.526198042958687,8.84444032396589,9.665800639561244,10.08218765258789,1.8836593627929685,3.069006783621652,4.182303292410714,7.951882226126534,6.732526222864787,2.526198042958687,8.84444032396589,9.665800639561244,10.08218765258789,1.6500000000000012,2.0270000000000006,2.819999999999984,2.8949999999999823,3.4745833333333027,1.329291726091561,4.482499999999948,5.752999999999922,6.719999999999901,5.1343994140625,18.43835250840275,33.48870635870844,74.83538419753313,57.647937436873235,24.988281127495586,78.00821748562157,81.58019203096629,84.835115166381,1883654.3527919685,3069001.061620652,4182298.784909714,7951878.936125534,6732522.7482804535,2526198.6115885116,8844437.46146489,9665797.696560243,10082181.782586891,1883654352791.9685,3069001061620.652,4182298784909.714,7951878936125.534,6732522748280.453,2526198611588.511,8844437461464.889,9665797696560.244,10082181782586.89,165.0,202.7,282.0,289.5,347.4583333333333,132.92917260915888,448.25,575.3,672.0
9,10082181782586.89,8.571428571428571,10.08218765258789,10.08218765258789,5.869999999999919,0,1,84.835115166381,587,10082181.782586891,"[0.0, 10.08218765258789, -5.869999999999919, -1.0]",0,48,48,0,48,0,48,0,170.81999999999846,1920.5400000000077,17082,192054,5.277073499979451,69.12295129999984,5.0,6.486566975003197,6.486566975003197,6486563.416252196,3.558749999999968,0.0,0.0,2.857142857142857,5.714285714285714,5.0,2.886751345948129,8.571428571428571,8.571428571428571,8.571428571428571,1.8798392159598214,1.887646266392299,4.383245195661273,7.142857142857142,6.486566975003197,2.6453403146604617,8.709267207554408,9.556440080915179,10.08218765258789,1.8798392159598214,1.887646266392299,4.383245195661273,7.142857142857142,6.486566975003197,2.6453403146604617,8.709267207554408,9.556440080915179,10.08218765258789,1.9600000000000015,2.3589999999999938,2.7849999999999846,2.9249999999999816,3.558749999999968,1.27283414898928,4.747499999999944,5.798999999999921,6.859999999999898,5.134657393035013,5.227703786048369,35.64315449190326,68.87149965018034,55.45797647050964,27.023628561536462,77.89831872284412,81.13280621394516,84.835115166381,1879834.2059588213,1887641.256391299,4383238.885660272,7142854.562856143,6486563.416252196,2645340.9914254197,8709264.34755341,9556437.147914179,10082181.782586891,1879834205958.8213,1887641256391.299,4383238885660.2725,7142854562856.143,6486563416252.196,2645340991425.4194,8709264347553.408,9556437147914.178,10082181782586.89,196.0,235.9,278.5,292.5,355.875,127.2834148989307,474.75,579.9,686.0
10,10082181782586.89,8.571428571428571,10.08218765258789,10.08218765258789,5.869999999999919,0,1,84.835115166381,587,10082181.782586891,"[0.0, 10.08218765258789, -5.869999999999919, -1.0]",0,48,48,0,47,1,47,1,182.88000000000068,2103.4200000000083,18288,210342,6.660285300022224,75.92229119999683,5.714285714285714,6.928361654281616,6.928361654281616,6928357.844280638,3.8100000000000143,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.916059217599021,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.038257053920201,5.2694388798304965,7.407202039446149,6.928361654281616,2.6360278269621236,9.31074755532401,9.717655181884766,10.08218765258789,0.0,3.038257053920201,5.2694388798304965,7.407202039446149,6.928361654281616,2.6360278269621236,9.31074755532401,9.717655181884766,10.08218765258789,1.8400000000000014,2.047,2.3149999999999946,2.8949999999999823,3.8100000000000143,4.030081678246156,3.4474999999999705,5.83599999999992,30.00000000000189,5.135575803607935,18.44028643449128,45.674458587542176,73.59958901628852,65.18201343624635,40.66931501114126,80.40955477766693,82.60384118705988,293.59777304087766,-30.00000000000189,3038251.237919201,5269436.852329496,7407199.31944515,6928357.844280638,2636029.548180751,9310744.64032301,9717651.430883765,10082181.782586891,-30000000.00000189,3038251237919.201,5269436852329.496,7407199319445.149,6928357844280.637,2636029548180.751,9310744640323.01,9717651430883.766,10082181782586.89,184.0,204.7,231.5,289.5,381.0,403.00816782459054,344.75,583.6,3000.0
