candidate_index,candidate_id,architecture,activation,requested_activation,hidden_dims,hidden_activations,parameter_count,epochs,best_epoch,final_train_loss,final_train_eval_loss,best_val_loss,best_val_steer_mae,best_val_gas_accuracy,best_val_brake_accuracy,best_val_gas_bce,best_val_brake_bce,best_val_gas_mae,best_val_brake_mae,train_samples,val_samples,wall_seconds,random_seed
1,c001_arch_8_act_relu,8,relu,relu,[8],"[""relu""]",307,120,120,0.09010736736428619,0.08996957801243369,0.08705196684018136,0.26841520266235147,0.8681156750782832,0.8881930373917849,0.2774862702939365,0.20792777201465798,0.19163566304078788,0.14727403771089,43898,10858,84.66055590001633,52952
2,c002_arch_8_act_tanh,8,tanh,tanh,[8],"[""tanh""]",307,120,120,0.08612021761933863,0.08605835122690694,0.08131646495164922,0.26505567206711067,0.9149014551482778,0.9461226745256953,0.2503507694589387,0.16361409284107195,0.16301933171934,0.11565589869652561,43898,10858,88.40962350001791,52953
3,c003_arch_8_act_sigmoid,8,sigmoid,sigmoid,[8],"[""sigmoid""]",307,120,120,0.10466242293175534,0.1045984973470504,0.10032289233528727,0.2828046314227557,0.8621293055811383,0.874194142567692,0.3493595007353449,0.31393838468935636,0.2307619076228357,0.1981760173635295,43898,10858,84.99518619995797,52954
4,c004_arch_16_act_relu,16,relu,relu,[16],"[""relu""]",611,120,120,0.08167189595921881,0.08158097209030309,0.07816920527592397,0.2584262074280628,0.9044022840302082,0.9555166697365998,0.23814276573868345,0.14451883554590367,0.15947716221622307,0.100226564770971,43898,10858,88.43213510001078,52955
5,c005_arch_16_act_tanh,16,tanh,tanh,[16],"[""tanh""]",611,120,120,0.08094291389837119,0.08085185318439826,0.07752358149973854,0.2603368978733998,0.9218088045680605,0.9534905139067968,0.226310124294515,0.1428296462807521,0.15075047272172593,0.09246236646915365,43898,10858,90.86293130001286,52956
6,c006_arch_16_act_sigmoid,16,sigmoid,sigmoid,[16],"[""sigmoid""]",611,120,120,0.10436756738829306,0.10429189982604446,0.09998273359003329,0.28198920106070985,0.8621293055811383,0.874194142567692,0.34519488843551416,0.3047166178955033,0.2309489366998987,0.19725640901743674,43898,10858,90.65846809995128,52957
7,c007_arch_24_act_relu,24,relu,relu,[24],"[""relu""]",915,120,120,0.07360048240862042,0.07347783881961645,0.07237178077078982,0.24629735041990927,0.9213483146067416,0.9632529010867563,0.2158792790490019,0.12634892866830622,0.14479751572861024,0.08082923741603254,43898,10858,90.53012250002939,52958
8,c008_arch_24_act_tanh,24,tanh,tanh,[24],"[""tanh""]",915,120,120,0.07938517870091161,0.07928141448462632,0.07640912389147016,0.25739190380400684,0.9214404125990053,0.961779333210536,0.22833196303093053,0.1322369240862512,0.15022726686076798,0.07594991006954838,43898,10858,90.64013660000637,52959
9,c009_arch_24_act_sigmoid,24,sigmoid,sigmoid,[24],"[""sigmoid""]",915,120,120,0.09952540754867288,0.09941510347893605,0.09507677892521833,0.27332532864772807,0.8621293055811383,0.874194142567692,0.3271967799519939,0.28336146339392615,0.2260240325393719,0.19417254282286822,43898,10858,88.76247910002712,52960
10,c010_arch_32_act_relu,32,relu,relu,[32],"[""relu""]",1219,120,120,0.07233895604028165,0.07226963319579226,0.07111377779275678,0.24252997254508485,0.9272425861116228,0.962976607109965,0.21330111425079723,0.12546781721552513,0.13891921409653307,0.07332134123862086,43898,10858,90.76019550004276,52961
11,c011_arch_32_act_tanh,32,tanh,tanh,[32],"[""tanh""]",1219,120,120,0.07755579246585964,0.0774748424151513,0.0751940884446764,0.25622591758920554,0.9245717443359734,0.9608583532878984,0.21738647865665006,0.12974432823868345,0.14588048783515034,0.0739315424336103,43898,10858,56.67217239999445,52962
