generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated,front_rank,crowding,front0,priority_score,obj_finished,obj_progress,obj_neg_time,obj_neg_crashes,obj_neg_distance,run_dir,run_label
1,1,7,0,1,1,1690973.7672601372,"[0.0, 0.017411204746791295, -1.0, -0.0, -0.0054423585406139265]",1.7411204746791296,0.0,1.7411204746791296,5.014276170905051,0,0,1,3.945709941945097,0.0174112047467912,235,0,1,0,inf,1,-0.0082594237611749,0.0,0.0174112047467912,-1.0,-0.0,-0.0054423585406139,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,2,5,0,1,1,1681629.4360264442,"[0.0, 0.01731736319405692, -1.0, -0.0, -0.005226515021660879]",1.7317363194056918,0.0,1.7317363194056918,5.010309415585722,0,0,1,3.789223390704137,0.0173173631940569,239,0,1,0,0.8915327634262274,1,-0.0082687863320964,0.0,0.0173173631940569,-1.0,-0.0,-0.0052265150216608,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,3,0,0,0,1,1663813.7693377524,"[0.0, 0.017140960693359374, -1.0, -0.0, -0.005105865990004406]",1.7140960693359373,0.0,1.7140960693359373,5.027859824534212,0,0,1,3.7017528427531934,0.0171409606933593,236,0,1,0,inf,1,-0.008286414517263,0.0,0.0171409606933593,-1.0,-0.0,-0.0051058659900044,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,4,2,0,0,1,1663844.8109865503,"[0.0, 0.017140088762555804, -1.0, -0.0, -0.005015525796996622]",1.7140088762555803,0.0,1.7140088762555803,5.016042901282746,0,0,1,3.636256202822551,0.0171400887625558,229,0,1,0,0.5527936358035834,1,-0.0082864926763241,0.0,0.0171400887625558,-1.0,-0.0,-0.0050155257969966,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,5,3,0,0,0,1649031.9149108457,"[0.0, 0.016990607125418528, -1.0, -0.0, -0.004876181407889817]",1.6990607125418529,0.0,1.6990607125418529,5.002526239948676,0,0,1,3.5352315207201173,0.0169906071254185,233,0,1,0,0.9862735898079672,1,-0.0083014269055989,0.0,0.0169906071254185,-1.0,-0.0,-0.0048761814078898,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,6,6,0,0,0,1629772.79460954,"[0.0, 0.01679938180106027, -1.0, -0.0, -0.004694314267233431]",1.679938180106027,0.0,1.679938180106027,5.016198211864287,0,0,1,3.403377843744238,0.0167993818010602,238,0,1,0,inf,1,-0.0083205312513206,0.0,0.0167993818010602,-1.0,-0.0,-0.0046943142672334,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,7,4,0,0,0,1677489.805010629,"[0.0, 0.017277363368443082, -1.0, -0.0, -0.005279878220101417]",1.7277363368443082,0.0,1.7277363368443082,5.024270392196943,0,0,1,3.8279117095735273,0.017277363368443,223,0,1,1,inf,0,-0.0082727916509777,0.0,0.017277363368443,-1.0,-0.0,-0.0052798782201014,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
1,8,1,0,0,0,1662048.8158282666,"[0.0, 0.017120960780552457, -1.0, -0.0, -0.0050545900839718124]",1.7120960780552457,0.0,1.7120960780552457,5.004359764916831,0,0,1,3.664577810879564,0.0171209607805524,228,0,1,1,inf,0,-0.0082884093809531,0.0,0.0171209607805524,-1.0,-0.0,-0.0050545900839718,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,1,4,0,1,1,1703765.9238999565,"[0.0, 0.01753828866141183, -1.0, -0.0, -0.0055337177789047485]",1.7538288661411832,0.0,1.7538288661411832,5.005893029583679,0,0,1,4.011945389705943,0.0175382886614118,234,0,1,0,inf,1,-0.0082467245056367,0.0,0.0175382886614118,-1.0,-0.0,-0.0055337177789047,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,2,0,0,1,1,1694964.460072567,"[0.0, 0.01745115007672991, -1.0, -0.0, -0.0054439884633757174]",1.7451150076729909,0.0,1.7451150076729909,5.014660070878808,0,0,1,3.946891635947395,0.0174511500767299,234,0,1,0,inf,1,-0.0082554293911733,0.0,0.0174511500767299,-1.0,-0.0,-0.0054439884633757,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,3,7,0,0,1,1691523.0331202042,"[0.0, 0.01741807120186942, -1.0, -0.0, -0.0053081050163520304]",1.741807120186942,0.0,1.741807120186942,5.028023869060111,0,0,1,3.8483761368552223,0.0174180712018694,232,0,1,0,inf,1,-0.0082587236903146,0.0,0.0174180712018694,-1.0,-0.0,-0.005308105016352,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,4,1,0,0,1,1677109.7943537573,"[0.0, 0.017272022792271205, -1.0, -0.0, -0.0052412001036332345]",1.7272022792271204,0.0,1.7272022792271204,5.00886850032878,0,0,1,3.799870075134095,0.0172720227922712,235,0,1,0,0.3980911433623293,1,-0.0082733218407832,0.0,0.0172720227922712,-1.0,-0.0,-0.0052412001036332,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,5,5,0,0,0,1674894.4099553186,"[0.0, 0.017249243600027903, -1.0, -0.0, -0.005217821758244476]",1.7249243600027904,0.0,1.7249243600027904,5.002616712669702,0,0,1,3.782920774727245,0.0172492436000279,233,0,1,0,1.1434861898910738,1,-0.008275597422173,0.0,0.0172492436000279,-1.0,-0.0,-0.0052178217582444,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,6,2,0,0,0,1638960.3913612452,"[0.0, 0.016890389578683034, -1.0, -0.0, -0.004877179778554348]",1.6890389578683034,0.0,1.6890389578683034,5.007503055171888,0,0,1,3.5359553394519025,0.016890389578683,232,0,1,0,inf,1,-0.0083114487601095,0.0,0.016890389578683,-1.0,-0.0,-0.0048771797785543,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,7,3,0,0,0,1688518.2671670134,"[0.0, 0.017387063162667412, -1.0, -0.0, -0.005441993729779417]",1.738706316266741,0.0,1.738706316266741,5.018410365427376,0,0,1,3.945445454090077,0.0173870631626674,232,0,1,1,inf,0,-0.0082618378831062,0.0,0.0173870631626674,-1.0,-0.0,-0.0054419937297794,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
2,8,6,0,0,0,1669739.0240308277,"[0.0, 0.017197636195591517, -1.0, -0.0, -0.005370434264246985]",1.7197636195591517,0.0,1.7197636195591517,5.002070196348256,0,0,1,3.893564841579064,0.0171976361955915,231,0,1,1,inf,0,-0.0082807734238672,0.0,0.0171976361955915,-1.0,-0.0,-0.0053704342642469,Experiments\runs\_smoke_moo_metrics_contract\20260501_232701_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes,neg_distance"
