grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
selection,0.1,0.1,parents_ratio_010_elites_ratio_010_p4_e1,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_010_elites_ratio_010_p4_e1\20260503_153711_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,1,4,0.08333333333333333,0.25,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,76.0,76.0,19.020000000000174,19.020000000000174,191.0,591,8919,90,11,100.0,42.37255650685114,36.654175844529135,30.34420382293039,100.0,32.13424018939584,0.11333333333333333,0.8775,0.009166666666666667,29.187575000000088,29.664166666666734,20.695869444444508,15.697165941666267,-0.4451159314393749
selection,0.1,0.2,parents_ratio_010_elites_ratio_020_p4_e1,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_010_elites_ratio_020_p4_e1\20260503_155258_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,1,4,0.08333333333333333,0.25,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,124.0,124.0,18.03000000000002,18.03000000000002,199.0,445,9043,112,13,100.0,52.32427913215769,40.95666445841467,35.74884954123414,100.0,35.124229840882734,0.14125,0.8420833333333333,0.016666666666666666,28.96137083333344,28.170208333333402,19.427794444444476,15.654955105000406,-0.35375770159117265
selection,0.1,0.3,parents_ratio_010_elites_ratio_030_p4_e1,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_010_elites_ratio_030_p4_e1\20260503_160842_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,1,4,0.08333333333333333,0.25,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,78.0,78.0,17.039999999999864,17.039999999999864,186.0,655,8914,31,14,100.0,45.95179199906781,26.23241004317947,31.33778093580056,100.0,32.21293001469658,0.13166666666666665,0.8675,0.0008333333333333334,28.626612500000036,28.788541666666713,17.4760472222222,14.30536623999942,-0.41391236651970087
selection,0.1,0.4,parents_ratio_010_elites_ratio_040_p4_e2,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_010_elites_ratio_040_p4_e2\20260503_162306_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,2,4,0.08333333333333333,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,70.0,70.0,16.779999999999824,16.779999999999824,197.0,656,8870,74,11,100.0,42.09756142398529,27.282265468900608,28.898192327804544,100.0,30.520512395369625,0.1125,0.8854166666666666,0.0020833333333333333,28.774683333333353,29.078958333333347,19.110680555555575,16.759086668333232,-0.46823237604630374
selection,0.1,0.5,parents_ratio_010_elites_ratio_050_p4_e2,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_010_elites_ratio_050_p4_e2\20260503_163956_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,2,4,0.08333333333333333,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,120.0,120.0,17.83999999999999,17.83999999999999,198.0,462,9001,137,13,100.0,49.39094582979629,21.96825010435921,25.170534890709487,100.0,33.055655287818524,0.13541666666666666,0.85,0.014583333333333334,28.84637500000008,29.260416666666668,18.947700000000037,16.371696576666242,-0.3876726137884814
selection,0.2,0.1,parents_ratio_020_elites_ratio_010_p10_e1,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_020_elites_ratio_010_p10_e1\20260503_165623_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,1,10,0.20833333333333334,0.1,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,118.0,118.0,18.020000000000017,18.020000000000017,198.0,839,8613,148,28,100.0,69.10634476535353,59.68552009858824,38.21755774440628,100.0,53.2406680645383,0.31666666666666665,0.6641666666666667,0.019166666666666665,28.119937500000304,26.800416666666834,24.75122777777806,19.683778083333163,0.1801150139787163
selection,0.2,0.2,parents_ratio_020_elites_ratio_020_p10_e2,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_020_elites_ratio_020_p10_e2\20260503_171609_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,2,10,0.20833333333333334,0.2,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,168.0,168.0,23.22000000000083,23.22000000000083,198.0,204,9187,209,14,100.0,51.132991658298245,42.662170436988674,37.901098791628456,100.0,37.500412028479,0.085,0.8575,0.0575,29.76945416666679,29.157291666666968,22.37783333333347,18.01819004166658,-0.4118708797152101
selection,0.2,0.3,parents_ratio_020_elites_ratio_030_p10_e3,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_020_elites_ratio_030_p10_e3\20260503_173415_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,3,10,0.20833333333333334,0.3,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9578,22,0,79.41941942487443,31.639193513693854,27.338665434310467,26.724406638377843,79.41941942487443,17.942734551872352,0.0,0.9983333333333333,0.0016666666666666668,30.0,30.0,14.65610833333321,11.615497923332926,-0.8193226544812764
selection,0.2,0.4,parents_ratio_020_elites_ratio_040_p10_e4,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_020_elites_ratio_040_p10_e4\20260503_174557_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,10,0.20833333333333334,0.4,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,146.0,146.0,23.620000000000893,23.620000000000893,200.0,291,9199,110,10,100.0,47.996771290466576,35.47426877494244,34.44185296757157,100.0,37.25719960553041,0.11625,0.865,0.01875,29.488558333333476,29.229791666666824,21.164711111111203,16.47205412333327,-0.38086550394469587
selection,0.2,0.5,parents_ratio_020_elites_ratio_050_p10_e5,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_020_elites_ratio_050_p10_e5\20260503_180230_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,5,10,0.20833333333333334,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,179.0,179.0,25.66000000000121,25.66000000000121,188.0,45,9544,11,3,100.0,27.7413177465976,22.0107737603598,29.78959518661748,100.0,17.351762774110394,0.01875,0.9808333333333333,0.0004166666666666667,29.964358333333365,29.892083333333435,13.629255555555487,11.081387593333298,-0.7886698722588961
selection,0.3,0.1,parents_ratio_030_elites_ratio_010_p14_e1,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_030_elites_ratio_010_p14_e1\20260503_181340_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,1,14,0.2916666666666667,0.07142857142857142,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,113.0,113.0,18.14000000000004,18.14000000000004,197.0,1307,8121,172,27,100.0,72.39637215493649,57.14249911377109,40.12911863312765,100.0,58.99177603082327,0.38416666666666666,0.6033333333333334,0.0125,27.199137500000287,26.609166666666884,26.953627777778156,22.871614143333865,0.3676260936415659
selection,0.3,0.2,parents_ratio_030_elites_ratio_020_p14_e3,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_030_elites_ratio_020_p14_e3\20260503_183637_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,3,14,0.2916666666666667,0.21428571428571427,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,163.0,163.0,26.07000000000128,26.07000000000128,195.0,116,9449,35,5,100.0,43.15006517446995,35.79596902074439,30.853273727433084,100.0,33.00900175990754,0.04833333333333333,0.9441666666666667,0.0075,29.878033333333406,29.77062500000008,18.894572222222195,15.46900399166625,-0.5676183157342579
selection,0.3,0.3,parents_ratio_030_elites_ratio_030_p14_e4,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_030_elites_ratio_030_p14_e4\20260503_185210_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,14,0.2916666666666667,0.2857142857142857,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,190.0,190.0,21.88000000000062,21.88000000000062,200.0,33,9466,101,6,100.0,39.552213208838346,31.823129749130384,31.864912111940505,100.0,21.810468027252483,0.01375,0.9525,0.03375,29.938116666666684,29.507916666666745,15.04078055555557,12.717093731666683,-0.7290828197274751
selection,0.3,0.4,parents_ratio_030_elites_ratio_040_p14_e6,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_030_elites_ratio_040_p14_e6\20260503_190458_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,6,14,0.2916666666666667,0.42857142857142855,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,152.0,152.0,22.160000000000664,22.160000000000664,194.0,392,9009,199,13,100.0,55.90918832734224,47.53815782994749,38.36833792474604,100.0,41.28764103601945,0.16333333333333333,0.7708333333333334,0.06583333333333333,29.17192500000018,28.674375000000186,21.105341666666828,18.042255756666417,-0.21108192297313885
selection,0.3,0.5,parents_ratio_030_elites_ratio_050_p14_e7,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_030_elites_ratio_050_p14_e7\20260503_192305_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,7,14,0.2916666666666667,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9577,23,0,15.130909511021208,8.39160237993513,7.177435443514869,3.948859316715948,15.130909511021208,7.361328219232106,0.0,0.99875,0.00125,30.0,30.0,11.971680555555434,9.691207111666639,-0.9254492178076791
selection,0.4,0.1,parents_ratio_040_elites_ratio_010_p20_e2,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_040_elites_ratio_010_p20_e2\20260503_193252_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,2,20,0.4166666666666667,0.1,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,192.0,192.0,24.480000000001027,24.480000000001027,192.0,17,9544,39,3,100.0,38.16506514615983,29.25342645179065,23.95317222322245,100.0,19.181952024730595,0.007083333333333333,0.9795833333333334,0.013333333333333334,29.96471250000001,29.71916666666674,12.105633333333278,15.946034228334126,-0.7840138130860274
selection,0.4,0.2,parents_ratio_040_elites_ratio_020_p20_e4,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_040_elites_ratio_020_p20_e4\20260503_194859_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,4,20,0.4166666666666667,0.2,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9472,128,0,97.14285714285714,45.51920112848212,45.51920112848212,25.417444859243822,97.14285714285714,25.55062329345781,0.0,0.9541666666666667,0.04583333333333333,30.0,30.0,15.882966666666666,23.073871273333012,-0.710118767065422
selection,0.4,0.3,parents_ratio_040_elites_ratio_030_p20_e6,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_040_elites_ratio_030_p20_e6\20260503_201212_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,6,20,0.4166666666666667,0.3,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9581,19,0,29.999999233655387,13.526325866763605,12.42583189522035,7.806723281485271,29.999999233655387,11.450487924506,0.0,0.99875,0.00125,30.0,30.0,11.87938055555545,15.567624461666371,-0.88455762075494
selection,0.4,0.4,parents_ratio_040_elites_ratio_040_p20_e8,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_040_elites_ratio_040_p20_e8\20260503_202751_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,8,20,0.4166666666666667,0.4,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,200.0,200.0,28.39000000000164,28.39000000000164,200.0,1,9536,63,1,100.0,33.50627988261933,26.93757966884096,30.898788594822317,100.0,26.17120457134448,0.0004166666666666667,0.9816666666666667,0.017916666666666668,29.999329166666666,29.966458333333367,17.307769444444386,14.268362161666543,-0.7240171209532219
selection,0.4,0.5,parents_ratio_040_elites_ratio_050_p20_e10,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_040_elites_ratio_050_p20_e10\20260503_204212_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,10,20,0.4166666666666667,0.5,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9581,19,0,16.59173148018973,12.413898025240217,12.413898025240217,4.568308117881761,16.59173148018973,10.32032875219981,0.0,1.0,0.0,30.0,30.0,12.388713888888752,9.79907515666661,-0.8967967124780019
selection,0.5,0.1,parents_ratio_050_elites_ratio_010_p24_e2,Experiments\runs_ga_hyperparam\pc2_selection_grid_seed_2026050311\parents_ratio_050_elites_ratio_010_p24_e2\20260503_205205_tm2d_ga_AI_Training_5,1,200,200,2026050311,"(finished, progress, -time, -crashes)",48,2,24,0.5,0.08333333333333333,0.2,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9580,20,0,62.69825535169591,24.95332883507615,22.42613352569226,13.37737864642883,62.69825535169591,17.348045943242845,0.0,0.99875,0.00125,30.0,30.0,12.256477777777683,10.16804965500002,-0.8255820405675717
