generation,front0_size,best_rank,best_crowding,best_priority_score,best_progress,best_dense_progress,best_time,best_finished,best_crashes,best_reward,best_scalar_fitness,best_distance,best_steps,finish_count,crash_count,timeout_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_reward,mean_time,best_obj_finished,best_obj_progress,best_obj_neg_time,best_obj_neg_crashes,mean_obj_finished,mean_obj_progress,mean_obj_neg_time,mean_obj_neg_crashes,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max,run_dir,run_label,objective_subset,best_obj_neg_distance,mean_obj_neg_distance
1,5,0,inf,-0.0003317548193364,0.0,1.7847497122628349,5.024270392196943,0,1,0.0183004918649459,1724502.727777796,4.280563069332857,223,0,48,0,240.66113965216528,240.66113965216528,11176,11176,31.17730179999853,31.2378690000005,0.0,1.73377411706107,0.0177779131371472,5.013773742753443,0.0,0.0178474971226283,-0.111650453159932,-1.0,0.0,0.0173377411706107,-0.1114171942834098,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6771425519670755,1.7078628540039062,1.7152173178536552,1.736649104527065,1.73377411706107,0.0229653812942008,1.7478547777448383,1.7586266653878349,1.7847497122628349,5.002526239948676,5.004359764916831,5.008527139039557,5.014468120891929,5.013773742753443,0.0072610521996655,5.01675125025506,5.024270392196943,5.027859824534212,3.367242786101997,3.616884771508194,3.666469557218079,3.875189338770724,3.833982984748218,0.1964559233764938,3.934615518015562,4.02950982537659,4.280563069332857,0.0171971956520281,0.017512248940728,0.0175877202583585,0.0178074500470896,0.0177779131371472,0.000235484407538,0.0179222480658747,0.0180327287840756,0.0183004918649459,1616978.7557114623,1647772.7773056163,1655155.1206590848,1676559.32094861,1673632.545650551,22965.56634834725,1687671.2724031284,1698467.5081574137,1724502.727777796,223.0,228.0,231.25,233.5,232.83333333333331,4.297932319409209,235.25,238.0,239.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
2,3,0,inf,-0.0002617792680684,0.0,1.8512398856026784,5.008586191519894,0,1,0.0189824540961785,1791149.1034641964,4.9202232834359165,228,0,48,0,240.53041668046305,481.1915563326284,11118,22294,13.47202930000276,44.98318459999791,0.0,1.7492076328822546,0.0179361969162522,5.011050347509647,0.0,0.0185123988560267,-0.1113019153671087,-1.0,0.0,0.0174920763288225,-0.1113566743891032,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6522870744977678,1.699856894356864,1.7247608729771204,1.7497307913643971,1.7492076328822546,0.0394722061621292,1.7781407492501395,1.7937840053013394,1.8512398856026784,5.002070196348256,5.002616712669702,5.004207817292619,5.007451814608494,5.011050347509647,0.0089901027032424,5.015132008518647,5.0280376360929,5.028862103217157,3.175760583457304,3.587782171998697,3.761539631932465,4.0015608528665325,3.986385837041932,0.3510694079451004,4.243354742109659,4.406777154889278,4.9202232834359165,0.0169424265184781,0.0174301286797122,0.017685617324936,0.0179414595883249,0.0179361969162522,0.0004047488995534,0.0182329221968286,0.01839325361851,0.0189824540961785,1592214.60900074,1639714.4017170891,1664733.478442015,1689524.7311099477,1689093.143021321,39476.15536342868,1718068.70358003,1733647.3575544532,1791149.1034641964,223.0,225.0,228.0,231.0,231.625,5.06057061999929,234.0,240.0,243.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
3,4,0,inf,-0.0001692881738935,0.0,1.9482367379324776,5.028862103217157,0,1,0.019976800644769,1887941.8388367835,6.2780635223243735,242,0,48,0,240.784602580942,721.9761589135703,11232,33526,9.92598409999846,55.18700499999977,0.0,1.7814984775724865,0.0182672435065451,5.016345887102959,0.0,0.0194823673793247,-0.1117524911826034,-1.0,0.0,0.0178149847757248,-0.1114743530467324,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6629409790039062,1.715672084263393,1.7463016510009766,1.772711617606027,1.7814984775724865,0.0608472142233284,1.8086882999965124,1.853214808872768,1.9482367379324776,5.003921814672848,5.004525489105944,5.007944077958775,5.015282668763755,5.016345887102959,0.0087945205065809,5.023373459351388,5.028862103217157,5.029022493262783,3.200264395447448,3.667172491022938,3.9391672383735568,4.165147484942281,4.292338804779623,0.6160264166945426,4.513212329464295,4.942568121830118,6.2780635223243735,0.0170516721734319,0.01759225989585,0.0179062694699913,0.0181771372287481,0.0182672435065451,0.0006239053694272,0.0185461444608012,0.0190026324708764,0.019976800644769,1602869.7439991485,1655496.4908030604,1686073.1267212825,1712537.380937424,1721330.726362652,60835.353822108096,1748607.168564923,1793062.695484219,1887941.8388367835,225.0,229.0,230.0,233.5,234.0,4.881939505292269,239.0,242.0,243.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
4,4,0,inf,-5.121333109435987e-05,0.0,2.0637348720005577,5.017266913927128,0,1,0.0211612456123714,2003554.952498425,7.250362861290341,235,0,48,0,240.60690203328647,962.5830609468568,11144,44670,14.623179600002914,70.10045130000071,0.0,1.8352033978416809,0.0188179693185787,5.012643792360135,0.0,0.0206373487200055,-0.1114948203094917,-1.0,0.0,0.0183520339784168,-0.1113920842746696,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6707556588309154,1.743948255266462,1.780719757080078,1.819899422781808,1.8352033978416809,0.0840471453549489,1.8946756635393411,1.937992640904018,2.0637348720005577,5.000782436721908,5.004031834708042,5.008446545409056,5.011001674540285,5.012643792360135,0.0067866814050806,5.017895630679516,5.019976226246551,5.0241216543855405,3.353797306481283,3.933777188701788,4.375384755770938,4.653398255890352,4.866382092697374,0.8515448124202142,5.420845575930798,5.889037679744797,7.250362861290341,0.0171317697525983,0.0178822185534845,0.0182593571250487,0.0186609757682181,0.0188179693185787,0.0008617939544273,0.0194277520498614,0.019871889493923,0.0211612456123714,1610652.6317055563,1683789.480009765,1720638.7033694286,1759708.4986891246,1775072.0935359865,84032.53465109145,1834510.371689842,1877803.47131419,2003554.952498425,225.0,228.0,230.0,233.0,232.16666666666663,3.131382371342656,235.0,235.0,236.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
5,4,0,inf,3.347804055840232e-05,0.0,2.1454020908900677,5.003658226492493,0,1,0.0219988351010837,2085357.1106227664,8.398002375950455,230,0,48,0,240.5539937868013,1203.137054733658,11089,55759,10.810313199999657,81.09860610000032,0.0,1.880018938155401,0.0192775174437381,5.011541537225027,0.0,0.0214540209089006,-0.1111924050331665,-1.0,0.0,0.018800189381554,-0.1113675897161117,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6586085728236606,1.7800124032156808,1.8330138070242743,1.879572187151228,1.880018938155401,0.0849632221818225,1.9227899823869976,1.968038831438337,2.1454020908900677,5.000782436721908,5.001993130968772,5.003916296995256,5.008833444878082,5.011541537225027,0.0093891079746433,5.016958935630897,5.0285719859105305,5.030632779082591,3.2081075387613964,4.275721765391063,4.780588715551858,5.229529746826302,5.322935682734017,0.9090322891859866,5.778704695047054,6.328764564209269,8.398002375950455,0.0170072930052352,0.0182518554416746,0.0187955468603779,0.019273038269264,0.0192775174437381,0.0008712205822213,0.0197161596128861,0.020180053950448,0.0219988351010837,1598580.0616655855,1719711.5038915845,1772907.1829566478,1819537.4081134163,1819898.1998474684,84975.38784238503,1862728.695741036,1907909.4533541896,2085357.1106227664,223.0,223.0,229.0,231.0,231.02083333333331,5.242016085332902,235.0,236.9,242.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
6,5,0,inf,0.000431954447181,0.0,2.547062465122768,5.017986080737568,0,1,0.0261172067904897,2486869.809580562,12.794734830451487,225,0,48,0,240.61994150633916,1443.756996239997,11126,66885,10.850929500000348,92.13550399999804,0.0,1.9549292609805156,0.0200456215484681,5.012915448048732,0.0,0.0254706246512276,-0.1115108017941681,-1.0,0.0,0.0195492926098051,-0.1113981210677496,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.745659964425223,1.8443107604980469,1.8731090000697543,1.910114288330078,1.9549292609805156,0.1497574769174883,1.996544429234096,2.0816258021763394,2.547062465122768,5.001502575738615,5.002386600024974,5.005456044001351,5.011629357859334,5.012915448048732,0.0084973027216379,5.018695189612394,5.026038625182043,5.030632779082591,3.930055082142644,4.8931374752100965,5.176321092445505,5.627543466609495,6.108174075551688,1.660852322746328,6.500777085360824,7.708141757774866,12.794734830451487,0.0178998259717095,0.0189113604156702,0.0192066201717088,0.0195860324177341,0.0200456215484681,0.0015355861959629,0.0204723644166921,0.021344703059098,0.0261172067904897,1685551.477910984,1784183.2512588818,1812952.5242571428,1849928.0099270009,1894793.9983259523,149748.24403200723,1936428.5111355104,2021449.894399942,2486869.809580562,222.0,224.0,226.0,232.5,231.79166666666663,5.518749606769836,236.0,238.0,242.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
7,5,0,inf,0.0004463209453543,0.0,2.561509268624442,5.018347454715631,0,1,0.0262653363279565,2501313.0228611804,12.771216105349597,233,0,48,0,240.51278959946995,1684.269785839467,11082,77967,11.1512189999994,103.48483949999718,0.0,1.977828911372593,0.020280457557512,5.010683116655624,0.0,0.0256150926862444,-0.111518832327014,-1.0,0.0,0.0197782891137259,-0.1113485137034583,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7301722935267858,1.8198095049176897,1.8608856201171875,1.9394329616001675,1.977828911372593,0.1738261083628366,2.029237747192383,2.162708827427456,2.561509268624442,5.000024829428919,5.001562649383359,5.003317855249332,5.01013120605377,5.010683116655624,0.0077587704362162,5.018076424232084,5.020830378409883,5.025458744301651,3.82265148764418,4.658848036092968,5.094651287939996,5.868669024013798,6.414356211705884,1.940587593433496,6.817223177797132,8.758503764182388,12.771216105349597,0.0177410954704363,0.0186602203592368,0.0190813907325443,0.0198868142567397,0.020280457557512,0.001782357512047,0.020807418345505,0.0221761939095842,0.0262653363279565,1670135.425310632,1759762.923129836,1800820.0382600022,1879367.9585072808,1917715.6658498256,173795.59392491615,1968981.711732908,2102588.7467826274,2501313.0228611804,221.0,223.4,225.0,232.0,230.875,5.528807134756406,236.0,237.3,238.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
8,6,0,inf,-0.0042316596647334,2.857142857142857,3.879154750279018,31.99866486755598,0,1,0.0391117645881171,3549133.734016326,34.36758713292511,1495,0,48,0,281.11804626214365,1965.387832101611,13063,91030,12.33242810000229,116.01569449999806,0.0595238095238095,2.198011875152588,0.022519196009816,5.856625963794659,0.0,0.0387915475027901,-0.711081441501244,-1.0,0.0,0.0219801187515258,-0.1301472436398813,-1.0,0.0,0.0,0.0,0.0,0.0595238095238095,0.4080746785953003,0.0,0.0,2.857142857142857,1.790651593889509,1.9197044372558592,1.9946507045200892,2.125745500837054,2.198011875152588,0.3417366473809429,2.2680078233991354,2.533455984933036,3.879154750279018,5.000024829428919,5.000675195905911,5.003304556466634,5.010589207122896,5.856625963794659,4.281671856265814,5.014770824048258,5.023311061613843,31.99866486755598,4.286875950027024,5.653590642180643,6.546670376592374,8.18430396169424,9.1803925115496,4.993360745817538,9.782107375895066,12.59889522099984,34.36758713292511,0.0183611637998554,0.0196844052515025,0.0204529768699101,0.0217972397382453,0.022519196009816,0.0034266371803543,0.0232560050312865,0.0259777005995279,0.0391117645881171,1730541.0571189162,1859548.521727813,1934558.820444565,2065672.627655454,2129436.43512213,309766.94914068794,2207946.7131533287,2473271.7115592808,3549133.734016326,221.0,225.7,229.75,233.0,272.1458333333333,201.32426058303443,236.0,238.8,1495.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
9,6,0,inf,-0.0036558764239417,2.857142857142857,3.9135251726423,29.562307184628136,0,1,0.0395188441038228,3607867.923194546,34.177601472329115,1345,0,48,0,291.6086130128726,2256.996445114484,13467,104497,14.048642299996573,130.22911980000208,0.119047619047619,2.3169946670532227,0.023735430006849,6.0751794377681785,0.0,0.0391352517264229,-0.656940159658403,-1.0,0.0,0.0231699466705322,-0.1350039875059595,-1.0,0.0,0.0,0.0,0.0,0.119047619047619,0.5709323242038953,0.0,0.0,2.857142857142857,1.84119633265904,1.9626328604561945,2.0618833814348494,2.2180421011788507,2.3169946670532227,0.3697084078691524,2.490965979439872,2.7859573364257817,3.9135251726423,5.000143064451336,5.0027252867852345,5.009011283765007,5.014206358337194,6.0751794377681785,4.110842848328158,5.019916877317963,5.0268713974518935,29.562307184628136,4.852337366683059,6.504475662804907,7.224345835626082,9.098523645479872,10.748679425658189,5.410310830505603,12.840072084265556,16.279484381117804,34.177601472329115,0.0188794127865576,0.0201246966520725,0.0211422862040845,0.0227435129501468,0.023735430006849,0.0037213635807564,0.0255421729161536,0.0285669409438193,0.0395188441038228,1781058.07053219,1902563.6607258036,2001722.9089673248,2157876.55930674,2246232.123996115,340398.49515891407,2430881.9900299283,2680699.005708543,3607867.923194546,221.0,226.0,229.0,232.0,280.5625,187.30455438603195,236.25,243.0,1345.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
10,5,0,inf,0.0051294137732493,5.714285714285714,7.95421872820173,8.211622297285565,0,1,0.0814001098401321,7862025.475525801,77.02970307320356,372,0,45,3,499.13372570416914,2756.1301708186525,23004,127501,23.22631520000141,153.70402739999554,0.7738095238095238,2.708675691059657,0.0276570353679502,10.398619285503525,0.0,0.0795421872820173,-0.1824804954952348,-1.0,0.0,0.0270867569105965,-0.231069056451042,-0.9375,0.0,0.0,0.0,0.0,0.7738095238095238,1.3972255469411312,0.7142857142857143,2.857142857142857,5.714285714285714,1.798891339983259,1.9146951947893411,2.0991107395717075,2.302987234933036,2.708675691059657,1.0450772934392003,2.890274865286691,3.8961704799107153,7.95421872820173,2.724757458347964,5.000445622143863,5.004278517487576,5.014775686899073,10.398619285503525,11.70793201618114,5.079367015979868,29.86692426177936,45.01636258248199,4.680063242580218,5.719638385599683,7.809756164933788,10.028889554389025,16.74041476387826,13.48198054731048,25.490834221502155,32.0616718605852,77.02970307320356,0.0184457259638695,0.0196331753309759,0.0215240909251831,0.0236146307371205,0.0276570353679502,0.0106210474128275,0.0294775148804582,0.0396029267364734,0.0814001098401321,1738843.9960673803,1854649.6558752905,2039009.4094353144,2242889.096913376,2595297.757789858,1014041.1242288714,2719917.5308222333,3677751.208948375,7862025.475525801,128.0,221.7,226.0,232.0,479.25,542.2859600801039,237.25,1387.9000000000003,2092.0,Experiments\runs\moo_finished_progress_time_crashes_g300_p48_corners_variable_fps\20260501_213146_tm2d_ga_moo_AI_Training_5_lexicographic_primitives,"MOO | finished,progress,neg_time,neg_crashes","finished,progress,neg_time,neg_crashes",,
