method,variant,training_units,first_success_unit,best_finish_time,best_finish_unit,final_finish_rate,final_finish_count,max_finish_count,final_mean_dense_progress,wall_minutes,virtual_time_hours,validation_episodes,validation_finish_count,validation_finish_rate,validation_crash_rate,validation_timeout_rate,validation_mean_dense_progress,validation_max_dense_progress,validation_best_finish_time,validation_mean_finish_time
GA Lexicographic,"(finished, progress)",300,163,22.72659727946913,264,0.2083333333333333,10,10,100.0,123.44914903166666,39.896954496625575,30.0,25.0,0.8333333333333334,0.16666666666666666,0.0,95.38256309145973,100.0,32.09735616932347,32.46224252327474
GA Lexicographic,"(finished, progress, -crashes, -time)",300,176,16.576795113811777,297,0.3125,15,19,100.0,105.247682375,30.93134948418233,30.0,27.0,0.9,0.1,0.0,97.69294865926106,100.0,16.585595927354984,16.611817853694223
GA Lexicographic,"(finished, progress, -time)",300,114,16.322712883247558,295,0.2916666666666667,14,26,100.0,104.12213399333334,37.47847527147583,30.0,19.0,0.6333333333333333,0.36666666666666664,0.0,79.62598249932572,100.0,16.294464588194604,16.325052402053576
GA Lexicographic,"(finished, progress, -time, -crashes)",300,198,17.750122198699625,294,0.2083333333333333,10,19,100.0,92.05077064,27.869005731710622,30.0,29.0,0.9666666666666667,0.03333333333333333,0.0,98.66666666666667,100.0,17.714564286726613,17.789028668922203
GA MOO,"finished,progress,neg_time,neg_crashes",300,142,16.622837564290275,260,0.0208333333333333,1,5,27.68770969190149,58.79475404499996,18.89382293203101,30.0,0.0,0.0,1.0,0.0,63.19705837483577,80.29625468029266,,
GA MOO,"finished,progress,neg_time",300,-1,,-1,0.0,0,0,6.8135614054543625,42.3433529683333,11.051961421500948,30.0,0.0,0.0,1.0,0.0,16.89080301920573,22.24384852818081,,
GA MOO,"finished,progress,neg_time,neg_crashes,neg_distance",300,101,16.30806026721781,298,0.1458333333333333,7,15,41.00766706185345,84.01185342833335,33.556443129228015,30.0,9.0,0.3,0.7,0.0,78.00000000000001,100.0,16.316853270556592,16.33041404224448
RL,PPO | delta_finished_progress_time | gas_steer,3244,2168,19.22431288165212,2168,0.1374845869297164,446,446,81.13771487354269,,,30.0,30.0,1.0,0.0,0.0,100.0,100.0,18.062848359117947,18.377727923885164
RL,SAC | delta_finished_progress_time | gas_steer,1913,-1,,-1,0.0,0,0,3.5886047908238004,,,30.0,0.0,0.0,1.0,0.0,2.7419224693661635,2.754156930106027,,
RL,TD3 | delta_finished_progress_time | gas_steer,8421,469,21.26752830039084,469,0.00011875074219213871,1,1,38.82739620547122,,,30.0,0.0,0.0,1.0,0.0,48.903823580060696,77.61404854910714,,
RL,PPO | delta_finished_progress_time | gas_brake_steer,1301,-1,,-1,0.0,0,0,1.6316761561802458,,,,,,,,,,,
