kind,reward_mode,rows,completed_expected_rows,max_best_dense_progress,max_best_progress,best_finish_time,best_finish_time_generation,finish_generations,first_finish_generation,auc_best_dense_progress,auc_mean_dense_progress,last50_mean_dense_progress,last50_mean_progress,last50_best_time_mean,first_gen_best_dense_ge_2_857,first_gen_best_dense_ge_5,first_gen_best_dense_ge_10,first_gen_best_dense_ge_20,first_gen_best_dense_ge_50,first_gen_best_dense_ge_80,first_gen_best_dense_ge_100,source_csv,front0_size_last,front0_size_mean,max_dense_progress,max_discrete_progress,best_dense_episode,best_dense_time,best_dense_term,best_episode_reward,best_reward_score,finish_episodes,timeout_episodes,crash_episodes,first_finish_episode,auc_dense_progress,last100_mean_dense_progress,last100_mean_reward,last100_mean_time,first_ep_dense_ge_2_857,first_ep_dense_ge_5,first_ep_dense_ge_10,first_ep_dense_ge_20,first_ep_dense_ge_50,first_ep_dense_ge_80,first_ep_dense_ge_100
GA,terminal_fitness,300,True,100.0,100.0,16.4063197011472,298.0,103.0,198.0,48.1078569820949,20.480482646893886,51.376119729450764,50.89553571428571,16.661072258440985,6.0,8.0,15.0,145.0,178.0,198.0,198.0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,
GA,terminal_lexicographic,300,True,100.0,100.0,15.990855400031368,293.0,196.0,105.0,71.41469621204193,33.32186194668923,49.74827109064375,49.216071428571425,16.030092538802396,6.0,8.0,14.0,81.0,101.0,101.0,105.0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic\20260430_150452_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,
GA,terminal_lexicographic_no_distance,300,True,100.0,100.0,15.985226444092037,258.0,206.0,95.0,76.63456101190476,37.14222168376048,50.12538126366479,49.645535714285714,15.9994821292995,8.0,9.0,12.0,62.0,81.0,89.0,95.0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_no_distance\20260430_135819_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,
GA,terminal_lexicographic_progress20,300,True,100.0,100.0,16.001082523708206,290.0,191.0,109.0,69.8726398104713,32.4808378031566,52.331795448277674,51.84642857142857,16.050414904973103,7.0,10.0,20.0,82.0,102.0,109.0,109.0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_lexicographic_progress20\20260430_125354_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,
GA,terminal_progress_time_efficiency,300,True,100.0,100.0,16.050566501843512,291.0,171.0,129.0,65.15420385315305,28.064212288281748,45.53367962666919,45.02946428571428,16.09676575458337,6.0,7.0,10.0,61.0,127.0,129.0,129.0,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_progress_time_efficiency\20260430_114840_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,,,,,,,,,,
MOO_GA,moo_trackmania_racing,300,True,100.0,100.0,15.9980110783858,270.0,220.0,81.0,78.35273301260813,36.47432332304972,50.153908255270544,49.69999999999999,16.023458762858212,8.0,9.0,29.0,62.0,75.0,81.0,81.0,Experiments\runs\ga_moo_trackmania_racing_20260430_120449\20260430_120457_tm2d_ga_moo_AI_Training_5_trackmania_racing\generation_metrics.csv,1.0,1.7833333333333334,,,,,,,,,,,,,,,,,,,,,,
SAC,delta_lexicographic,2000,True,,,,,,,,,,,,,,,,,,,Experiments\runs\sac_reward_sweep_20260430_132154\delta_lexicographic\20260430_140648_tm2d_sac_AI_Training__5_delta_lexicographic_gas_brake_steer\episode_metrics.csv,,,0.5396270751953125,0.0,782.0,5.0000580620645785,-1.0,0.002221,0.0316085483570754,0.0,0.0,2000.0,,0.328567624773298,0.342791748046875,0.00024624000000000005,5.010271474968569,,,,,,,
SAC,delta_progress_time_efficiency,2000,True,,,,,,,,,,,,,,,,,,,Experiments\runs\sac_reward_sweep_20260430_132154\delta_progress_time_efficiency\20260430_132231_tm2d_sac_AI_Training__5_delta_progress_time_efficiency_gas_brake_steer\episode_metrics.csv,,,0.5121667044503347,0.0,1429.0,5.000673528501714,-1.0,0.005252,0.0052517385575659,0.0,0.0,2000.0,,0.3243776730128696,0.356182370867048,0.00365223,5.010271474968569,,,,,,,
SAC,individual_dense,1915,True,,,,,,,,,,,,,,,,,,,Experiments\runs\sac_reward_sweep_20260430_132154\individual_dense\20260430_153050_tm2d_sac_AI_Training__5_individual_dense_gas_brake_steer\episode_metrics.csv,,,2.857142857142857,2.857142857142857,258.0,4.950010728580097,-1.0,2.857143,2.857142857142857,0.0,74.0,1841.0,,0.46827702022497,1.9791792188371935,-518.0208206799999,25.590764618651022,258.0,,,,,,
SAC,progress_primary_delta,2000,True,,,,,,,,,,,,,,,,,,,Experiments\runs\sac_reward_sweep_20260430_132154\progress_primary_delta\20260430_144941_tm2d_sac_AI_Training__5_progress_primary_delta_gas_brake_steer\episode_metrics.csv,,,0.8951623099190849,0.0,1845.0,5.002230643595919,-1.0,0.57756,0.5775603642939471,0.0,0.0,2000.0,,0.4164293697902134,0.5743773869105747,0.25626493,5.010271474968569,,,,,,,
