generation,best_fitness,best_progress,best_dense_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_reward,mean_time,experiment_kind,reward_mode,source_csv,front0_size,best_rank,best_crowding,best_priority_score,best_scalar_fitness,best_obj_progress,best_obj_finish,best_obj_speed_for_progress,best_obj_safe_progress,best_obj_path_efficiency,mean_obj_progress,mean_obj_finish,mean_obj_speed_for_progress,mean_obj_safe_progress,mean_obj_path_efficiency
1,-999.6002088274277,0.0,0.3997911725725446,5.027859824534212,-1,-999.6002088274277,0.0,0.3129007986613682,-999.6870992013388,5.012743045043942,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
2,-999.5674569266184,0.0,0.4325430733816964,5.020841285676158,-1,-999.5674569266184,0.0,0.3416740894317627,-999.6583259105682,5.013731656527684,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
3,-999.2691639491492,0.0,0.7308360508510044,5.004031834708042,-1,-999.2691639491492,0.0,0.3803410700389317,-999.6196589299612,5.0139074255413085,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
4,-999.2725099836076,0.0,0.7274900163922992,5.010455645915708,-1,-999.2725099836076,0.0,0.4328747306551251,-999.5671252693448,5.0131379727044845,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
5,-999.11311013358,0.0,0.886889866420201,5.025458744301651,-1,-999.11311013358,0.0,0.503240738596235,-999.4967592614036,5.011231533423749,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
6,2.857142857142857,2.857142857142857,3.3037567138671875,45.00714260011439,0,2.857142857142857,0.0892857142857142,0.6937755857195174,-983.6812244142805,5.704877147144251,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
7,2.857142857142857,2.857142857142857,3.39242662702288,45.02625780554759,0,2.857142857142857,0.1339285714285714,0.8859049422400339,-967.86409505776,6.332854932633428,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
8,2.857142857142857,2.857142857142857,5.714285714285714,45.005269336741456,0,2.857142857142857,0.5357142857142857,1.2428127867834908,-951.8821872132164,7.844922616527592,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
9,4.03526851109096,2.857142857142857,5.714285714285714,45.0065519067235,0,4.03526851109096,0.8928571428571428,1.5052707706178938,-904.744729229382,11.169428266933078,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
10,8.571428571428571,8.571428571428571,8.571428571428571,45.00114630386567,0,8.571428571428571,2.0535714285714284,2.6678121089935303,-825.4571878910065,14.564200123017924,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
11,8.571428571428571,8.571428571428571,8.571428571428571,45.02625787807308,0,8.571428571428571,2.2767857142857144,2.834080926009587,-887.7909190739904,11.399265309571271,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
12,8.571428571428571,8.571428571428571,8.571428571428571,45.01459245544048,0,8.571428571428571,3.2142857142857144,3.670821487903595,-808.8291785120964,14.33876865894026,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
13,8.571428571428571,8.571428571428571,8.874751499720983,45.00566694599364,0,8.571428571428571,2.7232142857142856,3.255433142185211,-856.1195668578148,14.490862769928086,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
14,8.571428571428571,8.571428571428571,8.571428571428571,45.00856998223653,0,8.571428571428571,2.8125,3.279391825199127,-762.3456081748009,17.093941250819213,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
15,9.603331429617745,8.571428571428571,11.428571428571429,45.0198249897766,0,9.603331429617745,2.946428571428572,3.450196257659367,-746.5498037423406,20.123857897564356,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
16,9.51176507132394,8.571428571428571,9.939637865339009,45.020022098990765,0,9.51176507132394,2.4107142857142856,2.9604195271219527,-825.164580472878,16.578635772426573,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
17,9.16194098336356,8.571428571428571,11.428571428571429,45.02132301645205,0,9.16194098336356,2.946428571428572,3.481160615171705,-824.6438393848283,16.966513003173933,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
18,9.251273018973215,8.571428571428571,9.422536577497208,45.01083957214204,0,9.251273018973215,3.035714285714286,3.555205294064113,-730.8197947059359,18.86938407022734,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
19,9.319932120186945,8.571428571428571,9.319932120186945,45.0056639822334,0,9.319932120186945,2.0982142857142856,2.7576198748179843,-809.7423801251821,16.169558979537292,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
20,11.468151637486049,11.428571428571429,11.468151637486049,45.01711728861444,0,11.468151637486049,2.8125,3.384960166045598,-762.2400398339544,17.373295264772604,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
21,11.696788242885043,11.428571428571429,11.696788242885043,45.0210643569668,0,11.696788242885043,2.946428571428572,3.487840167113713,-824.6371598328863,16.22213629644281,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
22,11.651131766183036,11.428571428571429,11.651131766183036,45.00047784463849,0,11.651131766183036,3.258928571428572,3.691598219530923,-715.0584017804691,20.05088883989336,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
23,11.514827183314733,11.428571428571429,11.514827183314733,45.01337236438786,0,11.514827183314733,2.991071428571429,3.509671006883893,-793.3653289931161,16.542932937577852,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
24,11.779981340680804,11.428571428571429,11.779981340680804,45.01053516922979,0,11.779981340680804,2.946428571428572,3.4741764409201483,-824.65082355908,16.04114063617528,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
25,11.696842738560267,11.428571428571429,11.696842738560267,45.0298698245905,0,11.696842738560267,3.4821428571428577,3.8419166633061,-793.033083336694,16.72883631057472,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
26,11.567965916224887,11.428571428571429,11.567965916224887,45.00647387223775,0,11.567965916224887,3.392857142857143,3.7691456505230496,-793.105854349477,19.678329550805397,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
27,11.605121067592076,11.428571428571429,11.605121067592076,45.01891103652129,0,11.605121067592076,3.392857142857143,3.854225022452218,-808.6457749775477,17.892027340138632,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
28,11.63529532296317,11.428571428571429,11.63529532296317,45.0000523942496,0,11.63529532296317,3.3482142857142856,3.7916806765965054,-824.3333193234034,13.745187322719708,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
29,11.668875558035714,11.428571428571429,11.668875558035714,45.00957966067201,0,11.668875558035714,3.482142857142857,3.929128391402109,-730.4458716085978,17.46291045607032,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
30,11.783943176269531,11.428571428571429,11.783943176269531,45.01092613614468,0,11.783943176269531,3.125,3.585461207798549,-762.0395387922015,19.04113509191695,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
31,11.428571428571429,11.428571428571429,11.428571428571429,45.00372154285044,0,11.428571428571429,3.125,3.5849344304629733,-808.915065569537,16.908978898229947,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
32,11.677709306989398,11.428571428571429,11.677709306989398,45.00988363165096,0,11.677709306989398,3.6607142857142856,4.072403184005193,-808.4275968159948,17.025312060173842,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
33,11.731861659458705,11.428571428571429,11.731861659458705,45.00844665677382,0,11.731861659458705,2.946428571428572,3.4935909083911354,-840.2564090916088,15.234199126188315,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
34,11.764286586216516,11.428571428571429,11.764286586216516,45.02483355110397,0,11.764286586216516,3.8392857142857135,4.196262402193887,-855.178737597806,14.263108521109055,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
35,11.653802054268974,11.428571428571429,11.653802054268974,45.00390867356653,0,11.653802054268974,3.2142857142857144,3.687653626714434,-840.0623463732854,12.13428550541015,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
36,11.74896240234375,11.428571428571429,11.74896240234375,45.0018421271968,0,11.74896240234375,3.8392857142857135,4.219687070165362,-839.5303129298346,14.358107635060955,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
37,11.71236855643136,11.428571428571429,11.71236855643136,45.012204974098616,0,11.71236855643136,3.125,3.572870237486703,-840.1771297625132,14.988816865934329,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
38,11.754531860351562,11.428571428571429,11.754531860351562,45.01851496885841,0,11.754531860351562,3.883928571428571,4.366161184651511,-855.0088388153486,14.69454500618718,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
39,11.838956560407365,11.428571428571429,11.838956560407365,45.00744728993515,0,11.838956560407365,3.6607142857142856,4.175297149590083,-777.07470285041,15.83280752880019,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
40,12.517471313476564,11.428571428571429,12.517471313476564,45.00402782432602,0,12.517471313476564,3.125,3.642818033695221,-730.7321819663048,18.752086840113773,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
41,12.672119140624998,11.428571428571429,12.672119140624998,45.00237216525425,0,12.672119140624998,2.991071428571429,3.5637521743774414,-824.5612478256226,15.30225355212233,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
42,12.155069623674663,11.428571428571429,12.155069623674663,45.00138709092002,0,12.155069623674663,3.392857142857143,3.855683590684618,-714.8943164093155,20.489238466951765,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
43,12.58704594203404,11.428571428571429,12.58704594203404,45.01807830425848,0,12.58704594203404,2.7678571428571432,3.3430016040802,-809.1569983959198,15.330015794371658,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
44,11.92206791469029,11.428571428571429,11.92206791469029,45.005986228460365,0,11.92206791469029,2.544642857142857,3.172143825462886,-887.4528561745371,13.309880917385955,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
45,12.159946986607142,11.428571428571429,12.159946986607142,45.00836913004044,0,12.159946986607142,3.6607142857142856,4.060026407241821,-855.3149735927582,13.713164755410208,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
46,12.123260498046877,11.428571428571429,12.123260498046877,45.01833246463778,0,12.123260498046877,3.4375,3.83590430021286,-793.0390956997871,16.92263522030469,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
47,11.704041617257255,11.428571428571429,11.704041617257255,45.022413960230686,0,11.704041617257255,3.1696428571428577,3.7482412798064098,-871.2517587201936,12.9223411106156,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
48,11.971353803362163,11.428571428571429,14.285714285714285,45.01154688347748,0,11.971353803362163,4.151785714285714,4.48709032365254,-792.3879096763475,16.475651040017944,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
49,12.291128976004464,11.428571428571429,12.291128976004464,45.00901415384601,0,12.291128976004464,2.9017857142857144,3.415353000164032,-871.584646999836,12.692250863597316,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
50,12.476419721330917,11.428571428571429,12.476419721330917,45.00731518555728,0,12.476419721330917,3.526785714285714,3.9230252163750783,-808.576974783625,16.605470854369035,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
51,12.11613246372768,11.428571428571429,12.11613246372768,45.02929450781693,0,12.11613246372768,3.3482142857142856,3.78296617950712,-824.3420338204929,16.106198057612062,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
52,12.493493216378347,11.428571428571429,12.493493216378347,45.00115871696965,0,12.493493216378347,2.9017857142857144,3.3974877425602505,-762.2275122574398,18.01661850931183,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
53,12.220595223563055,11.428571428571429,12.220595223563055,45.00232284739781,0,12.220595223563055,3.0803571428571432,3.59151942389352,-871.4084805761065,15.865353079080368,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
54,12.298687526157924,11.428571428571429,12.298687526157924,45.00353162062713,0,12.298687526157924,3.883928571428572,4.191362261772156,-792.6836377382278,14.391082124452865,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
55,11.977124895368304,11.428571428571429,11.977124895368304,45.0020160511853,0,11.977124895368304,3.3035714285714284,3.91610107251576,-808.5838989274843,15.180351886767056,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
56,11.863839285714285,11.428571428571429,12.241091047014509,45.00519286218077,0,11.863839285714285,3.571428571428572,4.074259230068751,-824.0507407699313,15.324795146435385,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
57,12.44499751499721,11.428571428571429,12.83733912876674,45.01512975367273,0,12.44499751499721,3.526785714285714,4.059869561876569,-824.0651304381233,15.667183647095433,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
58,12.516092572893417,11.428571428571429,12.516092572893417,45.00612585762845,0,12.516092572893417,3.4375,3.948901167937687,-792.9260988320623,14.778604126646773,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
59,12.585694449288503,11.428571428571429,12.585694449288503,45.01178320249452,0,12.585694449288503,3.0803571428571423,3.652577698230744,-855.7224223017693,13.356348796704292,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
60,12.229254586356026,11.428571428571429,14.285714285714285,45.02557317712216,0,12.229254586356026,4.1517857142857135,4.631255737372807,-807.8687442626272,16.443378880439,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
61,12.158682686941964,11.428571428571429,12.158682686941964,45.01592139015101,0,12.158682686941964,3.571428571428571,4.091657740729196,-839.6583422592707,15.0074222149134,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
62,12.10838862827846,11.428571428571429,12.10838862827846,45.02441104916221,0,12.10838862827846,3.883928571428572,4.347194518361773,-870.6528054816383,13.171364747003777,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
63,12.297069004603795,11.428571428571429,12.297069004603795,45.00616868007739,0,12.297069004603795,3.571428571428571,4.01457028729575,-839.7354297127042,14.115368465553068,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
64,11.971560886928014,11.428571428571429,11.971560886928014,45.01036320624512,0,11.971560886928014,3.6607142857142856,4.158529724393572,-823.9664702756064,17.149062953887356,GA,terminal_fitness,Experiments\runs\ga_terminal_reward_sweep_20260430_114834\terminal_fitness\20260430_160914_tm2d_ga_AI_Training_5\generation_metrics.csv,,,,,,,,,,,,,,,
