tag,trigger_path_index,duration_steps,label,baseline_time,baseline_crashes,perturbed_time,perturbed_crashes,perturbed_finished,perturbed_progress,delta_time,delta_crashes,image
p00_right_80,0,80,Hard-right from start block,33.850000000001835,19,35.27000000000155,22,1,100.0,1.420000,3,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p00_right_80.png
p00_left_80,0,80,Hard-left from start block,33.850000000001835,19,34.27000000000175,19,1,100.0,0.420000,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p00_left_80.png
p01_right_160,1,160,Hard-right in first corner,33.850000000001835,19,34.93000000000162,21,1,100.0,1.080000,2,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p01_right_160.png
p01_left_160,1,160,Hard-left in first corner,33.850000000001835,19,33.43000000000192,20,1,100.0,-0.420000,1,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p01_left_160.png
p02_right_120,2,120,Hard-right after first bend,33.850000000001835,19,33.150000000001974,18,1,100.0,-0.700000,-1,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p02_right_120.png
p02_left_120,2,120,Hard-left after first bend,33.850000000001835,19,34.900000000001626,22,1,100.0,1.050000,3,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p02_left_120.png
p04_right_120,4,120,Hard-right before upper turn,33.850000000001835,19,32.950000000002014,19,1,100.0,-0.900000,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p04_right_120.png
p04_left_120,4,120,Hard-left before upper turn,33.850000000001835,19,31.100000000002062,15,1,100.0,-2.750000,-4,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p04_left_120.png
p01_brake_80,1,80,Brake pulse in first corner,33.850000000001835,19,36.0300000000014,20,1,100.0,2.180000,1,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p01_brake_80.png
p01_gas_cut_120,1,120,Gas cut in first corner,33.850000000001835,19,35.13000000000158,19,1,100.0,1.280000,0,C:\Users\sampu\Desktop\Trackmania-BC\Experiments\analysis\supervised_butterfly_sweep_20260507\single_surface_flat\single_surface_flat_butterfly_p01_gas_cut_120.png
