generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7822698710400.785,5.714285714285714,7.822701590401786,7.822701590401786,2.8799999999999826,0,1,74.10206185281277,288,7822698.710400785,"[0.0, 7.822701590401786, -2.8799999999999826, -1.0]",0,48,48,0,42,6,42,6,401.7500000000099,401.7500000000099,40175,40175,30.096872899972368,30.174766800017096,1.9642857142857144,3.199668895630609,3.199668895630609,3199660.5258380678,8.369791666666872,0.0,0.0,0.0,0.0,1.9642857142857144,2.4156695104408366,3.5714285714285716,5.714285714285714,5.714285714285714,0.0,0.0,1.8835435594831194,2.838126591273716,3.199668895630609,2.473784076257051,5.700702667236328,7.142857142857142,7.822701590401786,0.0,0.0,1.8835435594831194,2.838126591273716,3.199668895630609,2.473784076257051,5.700702667236328,7.142857142857142,7.822701590401786,2.479999999999991,2.6979999999999866,5.009999999999938,5.009999999999938,8.369791666666872,8.700741704395572,5.734999999999922,30.00000000000189,30.00000000000189,5.1344010746106505,5.135027840427938,5.1396068774556625,27.191005782065986,67.69218478433481,93.12629132559366,69.14183305762708,293.4098552814918,293.6015290583018,-30.00000000000189,-13.039000700000507,1883538.5494821195,2838121.5762727163,3199660.5258380678,2473788.159105537,5700696.189735329,7142854.516856143,7822698.710400785,-30000000.00000189,-13039000.700000508,1883538549482.1194,2838121576272.7163,3199660525838.068,2473788159105.5366,5700696189735.328,7142854516856.143,7822698710400.785,248.0,269.8,501.0,501.0,836.9791666666666,870.0741704394933,573.5,3000.0,3000.0
2,8132209572614.792,5.714285714285714,8.132212502615792,8.132212502615792,2.9299999999999815,0,1,75.54946271330118,293,8132209.572614792,"[0.0, 8.132212502615792, -2.9299999999999815, -1.0]",0,48,48,0,46,2,46,2,254.05000000000166,655.8000000000116,25405,65580,11.244051299989223,41.60849509999389,3.9880952380952386,5.217981338500977,5.217981338500977,5217976.045791685,5.292708333333368,0.0,0.0,2.857142857142857,5.714285714285714,3.9880952380952386,2.313784729235335,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.8831699916294642,3.0261434827532083,7.142857142857142,5.217981338500977,2.6130613545010144,7.185005460466657,7.847924368722099,8.132212502615792,0.0,1.8831699916294642,3.0261434827532083,7.142857142857142,5.217981338500977,2.6130613545010144,7.185005460466657,7.847924368722099,8.132212502615792,2.399999999999993,2.616999999999988,2.7074999999999863,4.869999999999941,5.292708333333368,5.352000692725521,5.7199999999999225,6.188999999999913,30.00000000000189,5.134513804776361,5.13548367940748,18.435112919389212,66.39471524953842,58.75800791694716,55.68573358584817,70.58289302419871,74.69426801092922,293.6033391437959,-30.00000000000189,1883164.9816284643,3026137.7552522086,7142852.217856143,5217976.045791685,2613064.397215177,7185002.772965657,7847920.516721099,8132209.572614792,-30000000.00000189,1883164981628.4644,3026137755252.2085,7142852217856.143,5217976045791.685,2613064397215.177,7185002772965.657,7847920516721.099,8132209572614.792,240.0,261.7,270.75,487.0,529.2708333333334,535.2000692725156,572.0,618.9000000000001,3000.0
3,9391283052539.459,8.571428571428571,9.391286032540458,9.391286032540458,2.9799999999999804,0,1,80.20841286331415,298,9391283.052539458,"[0.0, 9.391286032540458, -2.9799999999999804, -1.0]",0,48,48,0,46,2,46,2,237.490000000002,893.2900000000136,23749,89329,9.239752600027714,51.04087610001443,3.80952380952381,5.306547653107416,5.306547653107416,5306542.705398125,4.947708333333375,0.0,0.0,0.0,5.714285714285714,3.80952380952381,2.6937401188058954,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8828070504324779,2.5988987513950894,6.905749184744699,5.306547653107416,2.8554987002734746,7.938186781747,8.325846535818918,9.391286032540458,0.0,1.8828070504324779,2.5988987513950894,6.905749184744699,5.306547653107416,2.8554987002734746,7.938186781747,8.325846535818918,9.391286032540458,1.8400000000000014,2.54399999999999,2.764999999999985,2.9749999999999805,4.947708333333375,5.389722951902801,5.009999999999938,5.775999999999922,30.00000000000189,4.437917445466155,5.135113470048964,18.43484410713245,63.916438437998295,57.50995517165484,56.782202457347836,75.16271512769163,77.26122140809895,293.60085076023825,-30.00000000000189,1882802.0404314778,2598893.741394089,6905746.694743698,5306542.705398125,2855501.6100801197,7938183.931746,8325842.557817918,9391283.052539458,-30000000.00000189,1882802040431.4778,2598893741394.0894,6905746694743.699,5306542705398.125,2855501610080.1196,7938183931746.0,8325842557817.918,9391283052539.459,184.0,254.4,276.5,297.5,494.7708333333333,538.9722951902434,501.0,577.6,3000.0
4,9465825021893.531,8.571428571428571,9.465827941894531,9.465827941894531,2.9199999999999817,0,1,80.55291685461998,292,9465825.021893531,"[0.0, 9.465827941894531, -2.9199999999999817, -1.0]",0,48,48,0,48,0,48,0,207.4599999999977,1100.7500000000114,20746,110075,8.374193999974523,59.59268790000351,3.9880952380952386,5.297715436844598,5.297715436844598,5297711.114760265,4.3220833333332855,0.0,0.0,0.0,5.714285714285714,3.9880952380952386,3.126558568254499,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8823492867606029,2.5881004333496094,6.879463195800781,5.297715436844598,3.0133411446945817,7.688561167035783,8.853782381330218,9.465827941894531,0.0,1.8823492867606029,2.5881004333496094,6.879463195800781,5.297715436844598,3.0133411446945817,7.688561167035783,8.853782381330218,9.465827941894531,2.4699999999999913,2.6899999999999866,2.8374999999999835,5.009999999999938,4.3220833333332855,1.5577333403770104,5.122499999999935,5.765999999999922,9.979999999999832,1.8334662913621287,5.135260084924084,17.997195919806472,61.6061738319695,45.867072285345785,30.076571858224334,72.66089154221117,78.34916273579002,81.29562699794769,-5.130000999999935,1882344.2767596026,2588095.3408486093,6879460.7157997815,5297711.114760265,3013341.8685031035,7688558.397034783,8853779.493329218,9465825.021893531,-5130000.999999935,1882344276759.6028,2588095340848.6094,6879460715799.781,5297711114760.265,3013341868503.104,7688558397034.783,8853779493329.219,9465825021893.531,247.0,269.0,283.75,501.0,432.2083333333333,155.77333403770436,512.25,576.6,998.0
5,9669851350361.725,8.571428571428571,9.669854300362724,9.669854300362724,2.949999999999981,0,1,81.89407113939524,295,9669851.350361725,"[0.0, 9.669854300362724, -2.949999999999981, -1.0]",0,48,48,0,45,3,45,3,290.80000000000547,1391.5500000000168,29080,139155,13.287598500028253,72.97605960001238,3.9285714285714284,5.430277585983276,5.430277585983276,5430271.527649006,6.058333333333447,0.0,0.0,0.0,5.714285714285714,3.9285714285714284,2.9522849446755344,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8830266680036274,2.8510843004499167,7.142857142857142,5.430277585983276,2.9386188208599924,7.499872616359165,8.879678726196293,9.669854300362724,0.0,1.8830266680036274,2.8510843004499167,7.142857142857142,5.430277585983276,2.9386188208599924,7.499872616359165,8.879678726196293,9.669854300362724,1.9300000000000015,2.6539999999999875,2.7449999999999855,3.094999999999978,6.058333333333447,7.202989927030027,5.3174999999999315,7.389999999999888,30.00000000000189,5.134404330514371,5.137723735794862,29.16335301293293,69.47548660263419,72.00403275272645,70.38684895110424,74.7961078863591,81.47516024038195,293.60115096648224,-30.00000000000189,1883021.6580026273,2851077.522948916,7142854.477856142,5430271.527649006,2938623.0981418663,7499869.796358165,8879675.697195292,9669851.350361725,-30000000.00000189,1883021658002.6274,2851077522948.9165,7142854477856.143,5430271527649.006,2938623098141.866,7499869796358.165,8879675697195.291,9669851350361.725,193.0,265.4,274.5,309.5,605.8333333333334,720.298992702953,531.75,739.0000000000001,3000.0
6,9669851350361.725,8.571428571428571,9.669854300362724,9.669854300362724,2.949999999999981,0,1,81.89407113939524,295,9669851.350361725,"[0.0, 9.669854300362724, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,201.90000000000003,1593.4500000000169,20190,159345,10.013200999994297,83.23164720000932,4.464285714285714,6.035047258649553,6.035047258649553,6035043.052398554,4.206250000000001,0.0,0.0,2.857142857142857,5.714285714285714,4.464285714285714,2.91058647104706,5.714285714285714,8.571428571428571,8.571428571428571,1.1741420200892856,1.8829258510044644,4.014091491699218,7.142857142857142,6.035047258649553,2.672097317343004,7.635126795087542,9.314215796334404,9.669854300362724,1.1741420200892856,1.8829258510044644,4.014091491699218,7.142857142857142,6.035047258649553,2.672097317343004,7.635126795087542,9.314215796334404,9.669854300362724,1.8600000000000014,2.4239999999999924,2.722499999999986,2.9349999999999814,4.206250000000001,3.796595857365951,5.009999999999938,5.741999999999922,28.52000000000166,5.134440531721339,5.1354489002289485,37.680166670852486,69.02844485267997,58.97525589930061,43.215286288648635,76.56005716882646,80.69864091053606,278.7975682199467,1174137.0100882857,1882920.8410034645,4014086.074198218,7142854.272856142,6035043.052398554,2672098.8127808888,7635121.762586542,9314212.033333404,9669851.350361725,1174137010088.2856,1882920841003.4644,4014086074198.2183,7142854272856.143,6035043052398.555,2672098812780.888,7635121762586.542,9314212033333.404,9669851350361.725,186.0,242.4,272.25,293.5,420.625,379.65958573657355,501.0,574.2,2852.0
7,9669851350361.725,8.571428571428571,9.669854300362724,9.669854300362724,2.949999999999981,0,1,81.89407113939524,295,9669851.350361725,"[0.0, 9.669854300362724, -2.949999999999981, -1.0]",0,48,48,0,47,1,47,1,235.5900000000012,1829.0400000000182,23559,182904,12.948448100010864,96.43688490003115,5.178571428571428,6.583668845040457,6.583668845040457,6583663.936914478,4.908125000000025,0.0,0.0,2.857142857142857,5.714285714285714,5.178571428571428,3.332801828373671,8.571428571428571,8.571428571428571,8.571428571428571,1.3846751621791296,1.8836539132254466,3.583805901663644,7.801475524902344,6.583668845040457,2.874992108782152,8.915371213640485,9.368537085396904,9.669854300362724,1.3846751621791296,1.8836539132254466,3.583805901663644,7.801475524902344,6.583668845040457,2.874992108782152,8.915371213640485,9.368537085396904,9.669854300362724,2.0300000000000007,2.7529999999999855,2.869999999999983,3.084999999999978,4.908125000000025,5.047855838641908,5.009999999999938,5.500999999999928,30.00000000000189,3.4605686846916797,5.267341957720054,44.744121473122505,76.312579066529,67.84588818130487,49.669306782033274,79.33213776536286,80.69864091053606,293.6019920357503,1384670.1521781296,1883648.9032244466,3583801.004162644,7801471.944901344,6583663.936914478,2874994.0359568316,8915368.336139485,9368534.154395903,9669851.350361725,1384670152178.1296,1883648903224.4465,3583801004162.644,7801471944901.344,6583663936914.4795,2874994035956.8315,8915368336139.484,9368534154395.904,9669851350361.725,203.0,275.3,287.0,308.5,490.8125,504.7855838641624,501.0,550.1000000000001,3000.0
8,10015530992221.377,8.571428571428571,10.015533992222377,10.015533992222377,2.99999999999998,0,1,84.14863207936287,300,10015530.992221378,"[0.0, 10.015533992222377, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,175.44999999999837,2004.4900000000166,17545,200449,14.075132799975108,110.81478539999807,4.404761904761905,6.006104832603818,6.006104832603818,6006101.177394484,3.655208333333299,0.0,0.0,2.857142857142857,2.857142857142857,4.404761904761905,3.1921637328076007,8.571428571428571,8.571428571428571,8.571428571428571,1.8816866193498885,1.8830577305385043,3.793448039463588,5.402815682547433,6.006104832603818,2.8261408503342222,8.857499531337194,9.446620941162111,10.015533992222377,1.8816866193498885,1.8830577305385043,3.793448039463588,5.402815682547433,6.006104832603818,2.8261408503342222,8.857499531337194,9.446620941162111,10.015533992222377,1.8700000000000014,2.0869999999999993,2.7974999999999843,2.9349999999999814,3.655208333333299,1.2763228261678758,5.009999999999938,5.489999999999927,5.969999999999917,5.135019987152191,5.13567265152451,27.184367131869294,46.27590429503471,49.74339597121965,28.678752074835494,78.27189470082521,80.69864091053606,84.14863207936287,1881681.6093488885,1883052.7205375044,3793442.339462588,5402812.792546432,6006101.177394484,2826141.531609261,8857496.636336192,9446618.02816111,10015530.992221378,1881681609348.8884,1883052720537.5044,3793442339462.588,5402812792546.434,6006101177394.484,2826141531609.2607,8857496636336.193,9446618028161.111,10015530992221.377,187.0,208.7,279.75,293.5,365.5208333333333,127.63228261679028,501.0,549.0,597.0
9,10015530992221.377,8.571428571428571,10.015533992222377,10.015533992222377,2.99999999999998,0,1,84.14863207936287,300,10015530.992221378,"[0.0, 10.015533992222377, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,170.65999999999846,2175.150000000015,17066,217515,6.046864100033417,117.00625710003078,4.226190476190476,5.737474645887102,5.737474645887102,5737471.090469435,3.5554166666666345,0.0,0.0,2.857142857142857,2.857142857142857,4.226190476190476,3.0854929006415324,5.714285714285714,8.571428571428571,8.571428571428571,0.7808685302734375,1.8833427429199217,2.9694380078996927,5.573174612862724,5.737474645887102,2.836820030408746,7.993557112557548,9.429204668317523,10.015533992222377,0.7808685302734375,1.8833427429199217,2.9694380078996927,5.573174612862724,5.737474645887102,2.836820030408746,7.993557112557548,9.429204668317523,10.015533992222377,1.7800000000000014,2.0899999999999994,2.6874999999999867,2.9249999999999816,3.5554166666666345,1.2877757930072635,5.009999999999938,5.009999999999938,7.049999999999894,5.133987458189949,5.1357685938761275,21.20988821996434,48.257071767002344,48.443202176543615,28.240808960104868,75.07830679602921,80.68659643977881,84.14863207936287,780863.5202724375,1883337.7329189216,2969431.8053986933,5573172.4928617235,5737471.090469435,2836820.8408571733,7993554.305056548,9429201.335316522,10015530.992221378,780863520272.4375,1883337732918.9216,2969431805398.693,5573172492861.724,5737471090469.435,2836820840857.1733,7993554305056.548,9429201335316.521,10015530992221.377,178.0,209.0,268.75,292.5,355.5416666666667,128.77757930072903,501.0,501.0,705.0
10,10015530992221.377,8.571428571428571,10.015533992222377,10.015533992222377,2.99999999999998,0,1,84.14863207936287,300,10015530.992221378,"[0.0, 10.015533992222377, -2.99999999999998, -1.0]",0,48,48,0,48,0,48,0,161.73999999999864,2336.890000000014,16174,233689,13.128361799987033,130.48187690001214,5.892857142857142,7.321467796961467,7.321467796961467,7321464.427377134,3.369583333333305,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.892857142857142,2.8812229310192734,8.571428571428571,8.571428571428571,8.571428571428571,0.0,4.115077972412109,5.550500324794224,8.216773441859655,7.321467796961467,2.4952300934249774,9.220007487705775,9.732119151524135,10.015533992222377,0.0,4.115077972412109,5.550500324794224,8.216773441859655,7.321467796961467,2.4952300934249774,9.220007487705775,9.732119151524135,10.015533992222377,1.8300000000000014,2.107999999999999,2.7999999999999843,2.909999999999982,3.369583333333305,1.337226542657905,3.2574999999999745,5.009999999999938,7.609999999999882,5.13530508059921,38.56301228106022,52.94558268113542,75.9310303516686,65.23265773520825,21.878185849332606,79.9032744448632,82.36693867743016,84.14863207936287,-6.530000999999905,4115075.188411109,5550498.214793224,8216770.6268586535,7321464.427377134,2495230.6212841664,9220004.580204776,9732115.540523134,10015530.992221378,-6530000.999999905,4115075188411.1094,5550498214793.225,8216770626858.654,7321464427377.133,2495230621284.1665,9220004580204.775,9732115540523.135,10015530992221.377,183.0,210.8,280.0,291.0,336.9583333333333,133.7226542657933,325.75,501.0,761.0
