grid,grid_x,grid_y,run_tag,run_dir,completed,expected_generations,final_generation,seed,ranking_key,population_size,elite_count,parent_count,parent_population_ratio_actual,elite_parent_ratio_actual,mutation_prob,mutation_sigma,fixed_fps,collision_mode,lidar_mode,binary_gas_brake,elite_cache_enabled,total_cached_evaluations,max_cached_evaluations,first_finish_generation,first_finish_generation_plot,best_finish_time,best_finish_time_plot,best_finish_generation,total_finish_individuals,total_crash_individuals,total_timeout_individuals,max_finish_count,max_best_dense_progress,max_mean_dense_progress,final_mean_dense_progress,final_std_dense_progress,last50_best_dense_progress,last50_mean_dense_progress,last50_finish_rate,last50_crash_rate,last50_timeout_rate,last50_penalized_mean_time,final_penalized_mean_time,cumulative_virtual_time_hours,cumulative_wall_minutes,compromise_score
mutation,0.05,0.2,prob_0050_sigma_0200,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0200\20260504_015246_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9586,14,0,16.39953068324498,12.458076363518124,11.504754793076287,4.358047135222881,16.39953068324498,11.364336767650784,0.0,1.0,0.0,30.0,30.0,8.378224999999945,13.10206502500029,-0.8863566323234922
mutation,0.05,0.225,prob_0050_sigma_0225,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0225\20260504_020559_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.225,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9587,13,0,14.8060062953404,9.174594765617734,8.128977673394338,2.9014034424377737,14.8060062953404,8.348500835327876,0.0,0.9991666666666666,0.0008333333333333334,30.0,30.0,10.008972222222134,16.699643031666835,-0.9158899916467212
mutation,0.05,0.25,prob_0050_sigma_0250,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0250\20260504_022248_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.25,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9573,27,0,66.21566200608278,34.91755842704642,28.57722141699889,20.031182530412305,66.21566200608278,21.089580570451755,0.0,0.9941666666666666,0.005833333333333334,30.0,30.0,15.54367499999988,28.163921503333647,-0.7847291942954824
mutation,0.05,0.275,prob_0050_sigma_0275,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0275\20260504_025105_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.275,100.0,lidar,aabb_clearance,True,False,0,0,182.0,182.0,25.290000000001157,25.290000000001157,198.0,84,9281,235,8,100.0,54.46380347570212,52.79852723305604,35.4155733631181,100.0,37.324803807036574,0.035,0.8745833333333334,0.09041666666666667,29.932191666666718,29.550000000000207,22.386944444444563,40.58689926500083,-0.48893946192963433
mutation,0.05,0.3,prob_0050_sigma_0300,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0300\20260504_033147_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.3,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9509,91,0,82.85714285714286,40.301997414830666,31.889511324092577,28.896291545695306,82.85714285714286,27.08066050767911,0.0,0.96625,0.03375,30.0,30.0,18.2490444444444,33.43827156166662,-0.7038808949232089
mutation,0.05,0.325,prob_0050_sigma_0325,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0050_sigma_0325\20260504_040521_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.05,0.325,100.0,lidar,aabb_clearance,True,False,0,0,154.0,154.0,18.700000000000124,18.700000000000124,200.0,657,8919,24,26,100.0,70.96101141470876,70.96101141470876,37.64354132258443,100.0,57.43785744154831,0.27375,0.72375,0.0025,28.050504166666883,25.164166666666933,23.256372222222296,42.26792430166679,0.12375357441548317
mutation,0.075,0.2,prob_0075_sigma_0200,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0200\20260504_044744_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.2,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9586,14,0,14.810649326869418,9.501159418196904,7.93354868888855,3.229986880759725,14.810649326869418,8.32146279471261,0.0,1.0,0.0,30.0,30.0,11.90807777777766,21.835342853333955,-0.9167853720528739
mutation,0.075,0.225,prob_0075_sigma_0225,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0225\20260504_050942_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.225,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9583,17,0,60.74914418966437,38.88184005179525,33.01095703622429,21.061165668060287,60.74914418966437,25.81473867399707,0.0,0.9995833333333334,0.0004166666666666667,30.0,30.0,18.876883333333243,34.06528936666727,-0.7415401132600293
mutation,0.075,0.25,prob_0075_sigma_0250,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0250\20260504_054353_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.25,100.0,lidar,aabb_clearance,True,False,0,0,,201.0,,30.0,,0,9585,15,0,15.695555550711497,10.201341594968524,8.00810768490746,3.486303384789226,15.695555550711497,8.507475927897863,0.0,0.9979166666666667,0.0020833333333333333,30.0,30.0,12.428169444444302,22.738945124999738,-0.9133627407210213
mutation,0.075,0.275,prob_0075_sigma_0275,Experiments\runs_ga_hyperparam\pc2_mutation_refinement_seed_2026050401\prob_0075_sigma_0275\20260504_060644_tm2d_ga_AI_Training_5,1,200,200,2026050401,"(finished, progress, -time, -crashes)",48,4,16,0.3333333333333333,0.25,0.075,0.275,100.0,lidar,aabb_clearance,True,False,0,0,161.0,161.0,21.890000000000622,21.890000000000622,199.0,518,8950,132,25,100.0,71.46143144987347,63.68989011523987,37.71936350743483,100.0,52.48077791761818,0.21583333333333332,0.7541666666666667,0.03,28.970187500000247,27.620625000000334,23.374166666666873,42.68594225666699,-0.02102555415715151
