generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8808628991755.416,8.571428571428571,8.808634621756417,8.808634621756417,5.629999999999924,0,1,78.23630352318287,563,8808628.991755417,"[0.0, 8.808634621756417, -5.629999999999924, -1.0]",0,48,48,0,39,9,39,9,450.80000000001485,450.80000000001485,45080,45080,21.750907699984964,21.808461499982513,2.0238095238095237,3.2841513838086804,3.2841513838086804,3284141.992141202,9.391666666666977,0.0,0.0,0.0,0.0,2.0238095238095237,2.401695357360954,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,1.883047648838588,2.8430393763950894,3.2841513838086804,2.690029089976172,5.646137510027204,7.3857359204973525,8.808634621756417,0.0,0.0,1.883047648838588,2.8430393763950894,3.2841513838086804,2.690029089976172,5.646137510027204,7.3857359204973525,8.808634621756417,2.0899999999999994,2.626999999999988,5.009999999999938,5.009999999999938,9.391666666666977,9.964566877469915,5.7199999999999225,30.00000000000189,30.00000000000189,4.974771538494679,5.134744259198487,5.189718658142738,44.67000514600659,80.87514430957845,104.89345274845289,75.28143833950162,293.59920568165836,293.60143664712086,-30.00000000000189,-30.00000000000189,1883042.6388375883,2843021.851394589,3284141.992141202,2690034.852424744,5646134.270026205,7385733.249496352,8808628.991755417,-30000000.00000189,-30000000.00000189,1883042638837.5884,2843021851394.5894,3284141992141.2017,2690034852424.744,5646134270026.205,7385733249496.353,8808628991755.416,209.0,262.7,501.0,501.0,939.1666666666666,996.4566877469164,572.0,3000.0,3000.0
2,9363084305395.205,8.571428571428571,9.363087245396205,9.363087245396205,2.9399999999999813,0,1,80.06611581146717,294,9363084.305395205,"[0.0, 9.363087245396205, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,192.569999999998,643.3700000000129,19257,64337,4.911767199984752,26.84813379996922,3.869047619047619,5.271642775762649,5.271642775762649,5271638.763886648,4.011874999999958,0.0,0.0,0.0,5.714285714285714,3.869047619047619,3.0016765912197543,5.714285714285714,8.571428571428571,8.571428571428571,0.0,0.9240864345005579,1.8870108468191966,7.010925837925502,5.271642775762649,3.028291874245364,7.797884941101074,8.696743828909737,9.363087245396205,0.0,0.9240864345005579,1.8870108468191966,7.010925837925502,5.271642775762649,3.028291874245364,7.797884941101074,8.696743828909737,9.363087245396205,1.9700000000000015,2.637999999999988,2.7049999999999863,4.2199999999999545,4.011874999999958,1.3346108300580577,5.009999999999938,5.722999999999923,6.569999999999904,5.134435158921406,5.135315444242588,16.1568779287536,63.44092518091202,46.94701979094422,29.280833925267714,74.09217237308621,77.45896242260933,80.06611581146717,-5.290000999999932,924081.424499558,1887005.8368181966,7010922.687924502,5271638.763886648,3028292.6651012646,7797882.168600075,8696740.006908739,9363084.305395205,-5290000.999999932,924081424499.558,1887005836818.1965,7010922687924.502,5271638763886.648,3028292665101.264,7797882168600.074,8696740006908.737,9363084305395.205,197.0,263.8,270.5,422.0,401.1875,133.4610830058086,501.0,572.3,657.0
3,9602162282166.969,8.571428571428571,9.602165222167969,9.602165222167969,2.9399999999999813,0,1,81.44597955048084,294,9602162.282166969,"[0.0, 9.602165222167969, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,171.29999999999848,814.6700000000113,17130,81467,3.982199899968691,30.937556399963796,5.357142857142858,6.871810243243263,6.871810243243263,6871806.674492262,3.568749999999968,0.0,0.0,5.714285714285714,5.714285714285714,5.357142857142858,2.5836350493107982,5.714285714285714,8.571428571428571,8.571428571428571,1.882514953613281,1.8835503714425224,6.565881456647601,7.597443716866629,6.871810243243263,2.369613423901488,8.52724484034947,9.182247706821988,9.602165222167969,1.882514953613281,1.8835503714425224,6.565881456647601,7.597443716866629,6.871810243243263,2.369613423901488,8.52724484034947,9.182247706821988,9.602165222167969,1.9200000000000015,2.706999999999986,2.757499999999985,2.859999999999983,3.568749999999968,1.1910458027156667,4.792499999999942,5.6569999999999245,6.4699999999999065,5.135216088296147,5.1355958496918905,58.217506031451194,73.06187859550118,61.01719329386439,25.566477396711498,77.06398952938616,79.2546472273767,81.44597955048084,1882509.943612281,1883545.3614415224,6565878.016646601,7597440.201865629,6871806.674492262,2369614.123394162,8527241.99284847,9182244.193820989,9602162.282166969,1882509943612.281,1883545361441.5225,6565878016646.601,7597440201865.629,6871806674492.263,2369614123394.1616,8527241992848.47,9182244193820.988,9602162282166.969,192.0,270.7,275.75,286.0,356.875,119.10458027156918,479.25,565.7,647.0
4,9602162282166.969,8.571428571428571,9.602165222167969,9.602165222167969,2.9399999999999813,0,1,81.44597955048084,294,9602162.282166969,"[0.0, 9.602165222167969, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,154.3999999999988,969.0700000000102,15440,96907,3.5265452999738045,34.56045499996981,5.714285714285715,7.268142870494297,7.268142870494297,7268139.653826632,3.216666666666642,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285715,2.735506022160966,8.571428571428571,8.571428571428571,8.571428571428571,1.8827220371791293,3.0371289934430803,5.37980079650879,8.43327249799456,7.268142870494297,2.4238586772707906,9.067859649658203,9.366383143833705,9.602165222167969,1.8827220371791293,3.0371289934430803,5.37980079650879,8.43327249799456,7.268142870494297,2.4238586772707906,9.067859649658203,9.366383143833705,9.602165222167969,1.9200000000000015,2.0949999999999993,2.8274999999999837,2.8799999999999826,3.216666666666642,1.08221095704835,2.9399999999999813,5.009999999999938,6.519999999999905,5.134637094626669,18.43723247625894,46.11553294211626,76.80262983217835,62.82621596069763,24.71149263946713,78.77907891385257,80.10797831788659,81.44597955048084,1882717.0271781294,3037123.1834420804,5379798.73650779,8433269.66299356,7268139.653826632,2423859.357821754,9067856.769657204,9366380.212832704,9602162.282166969,1882717027178.1294,3037123183442.0806,5379798736507.789,8433269662993.56,7268139653826.63,2423859357821.7544,9067856769657.203,9366380212832.705,9602162282166.969,192.0,209.5,282.75,288.0,321.6666666666667,108.22109570483731,294.0,501.0,652.0
5,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,47,1,47,1,178.3000000000008,1147.370000000011,17830,114737,5.864779499999713,40.548830799991265,5.714285714285714,7.219223124640329,7.219223124640329,7219219.410056016,3.71458333333335,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.8571428571428568,8.571428571428571,8.571428571428571,8.571428571428571,1.8829727172851565,2.9330809456961493,5.522572653634207,8.330158506120954,7.219223124640329,2.377857514377225,9.028426579066686,9.436241149902344,9.921610695975168,1.8829727172851565,2.9330809456961493,5.522572653634207,8.330158506120954,7.219223124640329,2.377857514377225,9.028426579066686,9.436241149902344,9.921610695975168,1.8300000000000014,2.1169999999999987,2.809999999999984,2.8799999999999826,3.71458333333335,3.9686468927991405,3.0349999999999793,5.093999999999937,30.00000000000189,5.134610825742129,18.152934451388866,48.16677629202604,76.61513656005263,68.25176078744668,40.044345555641875,78.88936507329345,80.55311842262745,293.6002565943636,1882967.7072841565,2933075.4306951496,5522570.443633206,8330155.681119954,7219219.410056016,2377858.9791050204,9028423.699065685,9436238.229901344,9921604.925974168,1882967707284.1565,2933075430695.1494,5522570443633.207,8330155681119.954,7219219410056.016,2377858979105.02,9028423699065.686,9436238229901.344,9921604925974.168,183.0,211.7,281.0,288.0,371.4583333333333,396.86468927988824,303.5,509.4000000000001,3000.0
6,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,47,1,47,1,179.69000000000077,1327.0600000000118,17969,132706,5.717095600033645,46.4017923999927,6.30952380952381,7.811997107097081,7.811997107097081,7811993.363554436,3.7435416666666828,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.30952380952381,2.4714927966698443,8.571428571428571,8.571428571428571,8.571428571428571,1.8831253051757812,4.740058353969029,7.142857142857142,8.51489884512765,7.811997107097081,1.9778848723726592,9.074860981532506,9.522686004638672,9.921610695975168,1.8831253051757812,4.740058353969029,7.142857142857142,8.51489884512765,7.811997107097081,1.9778848723726592,9.074860981532506,9.522686004638672,9.921610695975168,1.7900000000000014,2.146999999999998,2.7999999999999843,2.854999999999983,3.7435416666666828,4.062906128204199,2.9399999999999813,5.105999999999937,30.00000000000189,5.13489360112726,43.623513679206376,70.07009590030793,77.10438206419349,73.98644499910581,36.59835252308347,79.39364570006728,81.44572348967195,293.59596650628373,1883120.2951747812,4740056.493968029,7142854.570356142,8514896.00512665,7811993.363554436,1977886.3455895034,9074857.279031508,9522683.07863767,9921604.925974168,1883120295174.7812,4740056493968.029,7142854570356.143,8514896005126.65,7811993363554.435,1977886345589.5037,9074857279031.508,9522683078637.672,9921604925974.168,179.0,214.7,280.0,285.5,374.3541666666667,406.2906128203951,294.0,510.60000000000014,3000.0
7,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,48,0,48,0,160.42999999999867,1487.4900000000105,16043,148749,5.038883400033228,51.55891329998849,5.535714285714285,6.885965097518192,6.885965097518192,6885961.755225527,3.342291666666639,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714285,3.108374140273073,8.571428571428571,8.571428571428571,8.571428571428571,1.8814304896763394,1.8837966918945312,4.335377556937082,8.398284912109375,6.885965097518192,2.7920870012339805,9.01383944920131,9.562191009521484,9.921610695975168,1.8814304896763394,1.8837966918945312,4.335377556937082,8.398284912109375,6.885965097518192,2.7920870012339805,9.01383944920131,9.562191009521484,9.921610695975168,1.6700000000000013,2.051,2.8274999999999837,2.8849999999999825,3.342291666666639,1.149170424667508,4.054999999999958,5.009999999999938,5.769999999999921,5.135014533254434,5.140180860839609,35.04993769945577,76.58457877859473,58.2084812913331,28.155513097001602,78.66947927698493,81.1331486955285,83.76754061877728,1881425.4796753393,1883791.681893531,4335373.559436081,8398282.082108375,6885961.755225527,2792087.5700465334,9013836.57170031,9562188.049520485,9921604.925974168,1881425479675.3394,1883791681893.5312,4335373559436.0815,8398282082108.375,6885961755225.528,2792087570046.5327,9013836571700.31,9562188049520.484,9921604925974.168,167.0,205.1,282.75,288.5,334.2291666666667,114.91704246675319,405.5,501.0,577.0
8,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,47,1,47,1,175.74000000000086,1663.2300000000114,17574,166323,4.718807800032664,56.40018669998972,5.535714285714285,7.130080461502075,7.130080461502075,7130076.8002510965,3.661250000000018,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714285,2.9969513988509773,8.571428571428571,8.571428571428571,8.571428571428571,1.8815340314592632,2.5650732857840404,5.27284894670759,8.169010707310267,7.130080461502075,2.5029603778205267,9.077974046979632,9.541229793003629,9.921610695975168,1.8815340314592632,2.5650732857840404,5.27284894670759,8.169010707310267,7.130080461502075,2.5029603778205267,9.077974046979632,9.541229793003629,9.921610695975168,1.7100000000000013,2.0300000000000007,2.762499999999985,2.869999999999983,3.661250000000018,3.956805648184159,2.9399999999999813,5.009999999999938,30.00000000000189,5.135150150686968,25.65715499932267,45.05990916676819,75.93152635544538,67.24251968813981,40.9452673786954,79.1231861114502,81.44588690549135,293.5999676180072,1881529.0214582633,2565050.78278374,5272846.91920659,8169007.897309268,7130076.8002510965,2502961.583269856,9077971.149478631,9541226.860002628,9921604.925974168,1881529021458.2632,2565050782783.74,5272846919206.59,8169007897309.268,7130076800251.097,2502961583269.8555,9077971149478.633,9541226860002.629,9921604925974.168,171.0,203.0,276.25,287.0,366.125,395.6805648183898,294.0,501.0,3000.0
9,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,48,0,48,0,149.8199999999989,1813.0500000000102,14982,181305,4.212169899954461,60.767660499957856,5.952380952380952,7.272094771975563,7.272094771975563,7272091.650724563,3.121249999999977,0.0,2.857142857142857,2.857142857142857,8.571428571428571,5.952380952380952,3.021089890583219,8.571428571428571,8.571428571428571,8.571428571428571,1.8243571690150668,3.093782697405134,5.211270196097238,8.639674867902484,7.272094771975563,2.5715462650030734,9.235515594482422,9.634872436523438,9.921610695975168,1.8243571690150668,3.093782697405134,5.211270196097238,8.639674867902484,7.272094771975563,2.5715462650030734,9.235515594482422,9.634872436523438,9.921610695975168,1.9100000000000015,2.011000000000001,2.724999999999986,2.8749999999999827,3.121249999999977,1.0194128722782654,2.9399999999999813,5.009999999999938,5.779999999999921,5.134685242184787,18.80012839175979,44.263218339532614,77.45940071716905,61.769323385823554,25.08098645749157,79.68292154930532,81.44591691419483,83.76754061877728,1824352.159014067,3093776.938404134,5211267.816096237,8639672.017901484,7272091.650724563,2571546.567344105,9235512.691981422,9634869.496522438,9921604.925974168,1824352159014.067,3093776938404.1343,5211267816096.237,8639672017901.483,7272091650724.5625,2571546567344.105,9235512691981.422,9634869496522.438,9921604925974.168,191.0,201.1,272.5,287.5,312.125,101.94128722782868,294.0,501.0,578.0
10,9921604925974.168,8.571428571428571,9.921610695975168,9.921610695975168,5.769999999999921,0,1,83.76754061877728,577,9921604.925974168,"[0.0, 9.921610695975168, -5.769999999999921, -1.0]",0,48,48,0,48,0,48,0,140.7099999999991,1953.7600000000093,14071,195376,4.177409099997021,65.0730127999559,5.476190476190477,6.963376828602382,6.963376828602382,6963373.897143048,2.9314583333333144,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.476190476190477,2.847204938833666,8.571428571428571,8.571428571428571,8.571428571428571,1.887479509626116,4.344640459333148,5.0873483930315295,7.852170126778739,6.963376828602382,2.361248186686386,8.994313648768834,9.680517196655273,9.921610695975168,1.887479509626116,4.344640459333148,5.0873483930315295,7.852170126778739,6.963376828602382,2.361248186686386,8.994313648768834,9.680517196655273,9.921610695975168,1.6300000000000012,1.9400000000000015,2.007500000000001,2.854999999999983,2.9314583333333144,1.1422638150899445,2.9349999999999814,5.009999999999938,6.059999999999915,5.223133737279568,35.04058763310313,42.89458455517888,74.00276740267873,59.61755524593597,22.607452854782196,78.88962284475565,81.86474997773766,83.76754061877728,1887474.4996251161,4344638.7313321475,5087346.42553053,7852167.356777739,6963373.897143048,2361248.0873189894,8994310.773767833,9680513.462654274,9921604.925974168,1887474499625.1162,4344638731332.1475,5087346425530.529,7852167356777.738,6963373897143.05,2361248087318.9893,8994310773767.834,9680513462654.273,9921604925974.168,163.0,194.0,200.75,285.5,293.1458333333333,114.22638150899682,293.5,501.0,606.0
