generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8820459858062.617,8.571428571428571,8.820462908063616,8.820462908063616,3.049999999999979,0,1,78.05247031897306,305,8820459.858062617,"[0.0, 8.820462908063616, -3.049999999999979, -1.0]",0,48,48,0,44,4,44,4,320.5900000000052,320.5900000000052,32059,32059,17.81186949997209,17.867742699978407,2.380952380952381,3.4530124777839295,3.4530124777839295,3453005.7988246796,6.6789583333334415,0.0,0.0,0.0,1.4285714285714286,2.380952380952381,2.629847861235062,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.7458833966936385,2.8775296892438615,3.4530124777839295,2.8993681393445443,6.887126650129046,7.701706477573942,8.820462908063616,0.0,0.0,1.7458833966936385,2.8775296892438615,3.4530124777839295,2.8993681393445443,6.887126650129046,7.701706477573942,8.820462908063616,2.199999999999997,2.6439999999999877,2.8249999999999837,5.009999999999938,6.6789583333334415,7.176540844882815,5.709999999999923,7.1569999999999085,30.00000000000189,5.134465423616348,5.134708944310842,8.976154751202557,19.7575325321086,55.279531502478825,76.40477205917594,67.80971880629659,77.02469086572529,293.6003828898538,-30.00000000000189,-5.787000999999921,1745878.3866926383,2877524.3292428614,3453005.7988246796,2899371.413844742,6887124.105128046,7701703.716572943,8820459.858062617,-30000000.00000189,-5787000.999999921,1745878386692.6382,2877524329242.8613,3453005798824.6797,2899371413844.742,6887124105128.046,7701703716572.942,8820459858062.617,220.0,264.4,282.5,501.0,667.8958333333334,717.6540844882295,571.0,715.7000000000016,3000.0
2,8820459858062.617,8.571428571428571,8.820462908063616,8.820462908063616,3.049999999999979,0,1,78.05247031897306,305,8820459.858062617,"[0.0, 8.820462908063616, -3.049999999999979, -1.0]",0,48,48,0,46,2,46,2,229.5000000000022,550.0900000000074,22950,55009,8.564710999955423,26.551434399967548,4.642857142857143,5.960807573227655,5.960807573227655,5960802.791976697,4.781250000000045,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857143,2.0722494268487153,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8838904244559151,4.95128767830985,7.142857142857142,5.960807573227655,2.366654150595875,7.607640538896834,8.118302753993444,8.820462908063616,0.0,1.8838904244559151,4.95128767830985,7.142857142857142,5.960807573227655,2.366654150595875,7.607640538896834,8.118302753993444,8.820462908063616,2.199999999999997,2.5109999999999904,2.674999999999987,2.7799999999999847,4.781250000000045,5.5006214137589895,5.187499999999934,6.31999999999991,30.00000000000189,5.1345113008865155,18.43436066203867,49.559441297809826,66.48963034395638,64.94281989951953,52.96280955553016,73.50684619322419,75.97487042024731,293.6011148021789,-30.00000000000189,1883885.414454915,4951284.23830885,7142854.412856143,5960802.791976697,2366657.634100855,7607637.781395834,8118299.950992443,8820459.858062617,-30000000.00000189,1883885414454.915,4951284238308.85,7142854412856.143,5960802791976.696,2366657634100.855,7607637781395.834,8118299950992.443,8820459858062.617,220.0,251.1,267.5,278.0,478.125,550.0621413758631,518.75,632.0,3000.0
3,8820459858062.617,8.571428571428571,8.820462908063616,8.820462908063616,3.049999999999979,0,1,78.05247031897306,305,8820459.858062617,"[0.0, 8.820462908063616, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,162.17999999999864,712.2700000000061,16218,71227,5.206897000025492,31.905403000011574,5.297619047619048,7.162233931677682,7.162233931677682,7162230.552926681,3.3787499999999717,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.297619047619048,1.843316972285955,5.714285714285714,5.714285714285714,8.571428571428571,1.8835122244698659,3.0671397617885043,7.301680019923619,7.805882862636021,7.162233931677682,1.9407681632122775,8.149305752345494,8.464698791503906,8.820462908063616,1.8835122244698659,3.0671397617885043,7.301680019923619,7.805882862636021,7.162233931677682,1.9407681632122775,8.149305752345494,8.464698791503906,8.820462908063616,2.3099999999999947,2.6999999999999864,2.759999999999985,2.7999999999999843,3.3787499999999717,1.407682233614266,2.902499999999982,5.225999999999936,9.879999999999834,5.134614266979042,18.43640472987463,70.69131427258253,73.98467578738928,65.11775529531906,21.718099215844646,75.71347121708095,76.63643212020398,78.05247031897306,1883507.214468866,3067134.0287875044,7301677.3199226195,7805880.08763502,7162230.552926681,1940768.803840778,8149302.942344493,8464694.959502907,8820459.858062617,1883507214468.866,3067134028787.5044,7301677319922.619,7805880087635.0205,7162230552926.683,1940768803840.778,8149302942344.494,8464694959502.907,8820459858062.617,231.0,270.0,276.0,280.0,337.875,140.7682233614296,290.25,522.6000000000004,988.0
4,9256275546741.467,8.571428571428571,9.256278446742467,9.256278446742467,2.899999999999982,0,1,79.66432216763496,290,9256275.546741467,"[0.0, 9.256278446742467, -2.899999999999982, -1.0]",0,48,48,0,48,0,48,0,168.6699999999985,880.9400000000046,16867,88094,4.822054900054354,36.86274060001597,5.2976190476190474,6.960954382306054,6.960954382306054,6960950.868346721,3.5139583333333024,0.0,2.857142857142857,5.714285714285714,5.714285714285714,5.2976190476190474,2.257985325998888,5.714285714285714,8.571428571428571,8.571428571428571,1.8830272129603796,3.008240836007255,7.46338163103376,8.065433502197266,6.960954382306054,2.3305903624120954,8.412055969238283,8.628153119768417,9.256278446742467,1.8830272129603796,3.008240836007255,7.46338163103376,8.065433502197266,6.960954382306054,2.3305903624120954,8.412055969238283,8.628153119768417,9.256278446742467,1.6300000000000012,2.7499999999999853,2.7899999999999845,2.8399999999999834,3.5139583333333024,1.4375046950406118,3.282499999999974,5.691999999999923,9.879999999999834,5.135151637805393,17.967083139605528,70.2087907952282,75.06334863230586,61.71491445285559,25.5545623053093,76.58418611809611,77.45921689942479,79.66432216763496,1883022.2029593796,3008235.0930062546,7463378.906032761,8065430.702196266,6960950.868346721,2330591.1910055946,8412052.276737284,8628150.269767417,9256275.546741467,1883022202959.3796,3008235093006.255,7463378906032.761,8065430702196.266,6960950868346.72,2330591191005.5947,8412052276737.283,8628150269767.416,9256275546741.467,163.0,275.0,279.0,284.0,351.3958333333333,143.7504695040642,328.25,569.2,988.0
5,9727701124394.926,8.571428571428571,9.727704184395925,9.727704184395925,3.0599999999999787,0,1,82.16509591788054,306,9727701.124394925,"[0.0, 9.727704184395925, -3.0599999999999787, -1.0]",0,48,48,0,48,0,48,0,160.0599999999987,1041.0000000000032,16006,104100,4.8582750000059605,41.84673359995941,6.1309523809523805,7.5063767319633845,7.5063767319633845,7506373.397379051,3.334583333333306,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.1309523809523805,2.257985325998888,8.571428571428571,8.571428571428571,8.571428571428571,1.883593967982701,3.052538735525949,7.730879783630371,8.486546107700892,7.5063767319633845,2.143028300734993,8.76072543007987,8.953666687011719,9.727704184395925,1.883593967982701,3.052538735525949,7.730879783630371,8.486546107700892,7.5063767319633845,2.143028300734993,8.76072543007987,8.953666687011719,9.727704184395925,2.0000000000000013,2.809999999999984,2.8299999999999836,2.859999999999983,3.334583333333306,1.1596370810396524,2.899999999999982,5.769999999999921,6.349999999999909,5.135203219979303,18.438238050778455,73.69439550861716,77.02117989584804,65.85125345314782,22.284820103125213,77.89838393032551,78.49882382005453,82.16509591788054,1883588.957981701,3052532.965524949,7730876.99612937,8486543.267699894,7506373.397379051,2143029.169744606,8760722.567578869,8953663.79301072,9727701.124394925,1883588957981.701,3052532965524.9487,7730876996129.371,8486543267699.893,7506373397379.051,2143029169744.6057,8760722567578.869,8953663793010.719,9727701124394.926,200.0,281.0,283.0,286.0,333.4583333333333,115.96370810396769,290.0,577.0,635.0
6,9861238671745.652,8.571428571428571,9.861243111746653,9.861243111746653,4.43999999999995,0,1,82.97915142029524,444,9861238.671745652,"[0.0, 9.861243111746653, -4.43999999999995, -1.0]",0,48,48,0,48,0,48,0,160.59999999999872,1201.600000000002,16060,120160,4.636627100000624,46.59265679999953,6.726190476190475,7.624226354417348,7.624226354417348,7624223.008583013,3.3458333333333066,0.0,2.0000000000000004,5.714285714285714,8.571428571428571,6.726190476190475,2.8861376005715846,8.571428571428571,8.571428571428571,8.571428571428571,1.3041033063616072,2.6944863455636163,8.314220564705984,8.793732779366628,7.624226354417348,2.580825137799234,8.995150838579452,9.371416909354073,9.861243111746653,1.3041033063616072,2.6944863455636163,8.314220564705984,8.793732779366628,7.624226354417348,2.580825137799234,8.995150838579452,9.371416909354073,9.861243111746653,2.209999999999997,2.8399999999999834,2.859999999999983,2.8799999999999826,3.3458333333333066,0.9721450366186016,2.9299999999999815,5.009999999999938,5.799999999999921,4.154321503883693,14.446590076060968,76.47544405981898,77.89793273434043,65.46268080746283,26.15125337410355,78.77892525307834,80.3751967318356,82.97915142029524,1304098.2963606073,2694480.7825626163,8314217.737204985,8793729.909365628,7624223.008583013,2580825.9869030234,8995147.943578452,9371413.993353073,9861238.671745652,1304098296360.6072,2694480782562.616,8314217737204.984,8793729909365.629,7624223008583.013,2580825986903.0234,8995147943578.451,9371413993353.074,9861238671745.652,221.0,284.0,286.0,288.0,334.5833333333333,97.21450366186222,293.0,501.0,580.0
7,9861238671745.652,8.571428571428571,9.861243111746653,9.861243111746653,4.43999999999995,0,1,82.97915142029524,444,9861238.671745652,"[0.0, 9.861243111746653, -4.43999999999995, -1.0]",0,48,48,0,48,0,48,0,147.37999999999897,1348.980000000001,14738,134898,4.252756000030786,50.94934099999955,6.726190476190475,7.70828508195423,7.70828508195423,7708282.011536564,3.0704166666666453,0.0,2.857142857142857,5.0,8.571428571428571,6.726190476190475,2.826597635853277,8.571428571428571,8.571428571428571,8.571428571428571,1.8827111380440849,4.041131700788226,6.850377491542271,8.83601324898856,7.70828508195423,2.3430956979398396,9.152229172842844,9.557847159249443,9.861243111746653,1.8827111380440849,4.041131700788226,6.850377491542271,8.83601324898856,7.70828508195423,2.3430956979398396,9.152229172842844,9.557847159249443,9.861243111746653,1.7700000000000014,2.024000000000001,2.857499999999983,2.8899999999999824,3.0704166666666453,0.8814948438432239,2.9299999999999815,4.610999999999948,5.81999999999992,5.134992916951887,30.976023244674437,65.0042671058327,78.00470683351159,66.31577210478538,23.05119374074297,79.22114362753928,80.9991338968277,82.97915142029524,1882706.1280430849,4041128.718787225,6850374.519041271,8836010.38398756,7708282.011536564,2343096.1026607766,9152226.282841844,9557844.229248444,9861238.671745652,1882706128043.085,4041128718787.2256,6850374519041.2705,8836010383987.56,7708282011536.5625,2343096102660.7764,9152226282841.844,9557844229248.441,9861238671745.652,177.0,202.4,285.75,289.0,307.0416666666667,88.14948438432424,293.0,461.10000000000025,582.0
8,9861238671745.652,8.571428571428571,9.861243111746653,9.861243111746653,4.43999999999995,0,1,82.97915142029524,444,9861238.671745652,"[0.0, 9.861243111746653, -4.43999999999995, -1.0]",0,48,48,0,48,0,48,0,147.78999999999897,1496.77,14779,149677,4.477614300034475,55.5537697999971,6.964285714285714,8.109898283368066,8.109898283368066,8109895.204408732,3.0789583333333117,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.964285714285714,2.467906243050938,8.571428571428571,8.571428571428571,8.571428571428571,1.8836593627929685,4.852462223597935,8.14375536782401,9.009113311767578,8.109898283368066,2.044127012688331,9.394502639770508,9.553998129708427,9.861243111746653,1.8836593627929685,4.852462223597935,8.14375536782401,9.009113311767578,8.109898283368066,2.044127012688331,9.394502639770508,9.553998129708427,9.861243111746653,1.9000000000000015,2.574999999999989,2.849999999999983,2.8899999999999824,3.0789583333333117,0.8279926518980668,2.9324999999999815,4.520999999999949,5.869999999999919,5.134859208003036,40.47621161136776,75.60490000247955,78.55856538563967,69.82536608804851,19.399838920082704,80.26544140279293,81.13307778015734,82.97915142029524,1883654.3527919685,4852459.468596935,8143752.560323009,9009110.43676658,8109895.204408732,2044127.3995405263,9394499.722269507,9553995.196707428,9861238.671745652,1883654352791.9685,4852459468596.936,8143752560323.01,9009110436766.578,8109895204408.731,2044127399540.5264,9394499722269.508,9553995196707.428,9861238671745.652,190.0,257.5,285.0,289.0,307.8958333333333,82.79926518980844,293.25,452.10000000000014,587.0
9,9861238671745.652,8.571428571428571,9.861243111746653,9.861243111746653,4.43999999999995,0,1,82.97915142029524,444,9861238.671745652,"[0.0, 9.861243111746653, -4.43999999999995, -1.0]",0,48,48,0,48,0,48,0,157.32999999999873,1654.0999999999988,15733,165410,4.443644999992102,60.10967959999107,6.1309523809523805,7.253206627709525,7.253206627709525,7253203.3500001915,3.277708333333307,0.0,2.857142857142857,2.857142857142857,8.571428571428571,6.1309523809523805,3.0854929006415324,8.571428571428571,8.571428571428571,8.571428571428571,0.8740234374999999,2.990612030029297,5.185080936976841,8.866280147007533,7.253206627709525,2.716441241859611,9.21135493687221,9.564486639840261,9.861243111746653,0.8740234374999999,2.990612030029297,5.185080936976841,8.866280147007533,7.253206627709525,2.716441241859611,9.21135493687221,9.564486639840261,9.861243111746653,1.9100000000000015,2.0310000000000006,2.849999999999983,2.8899999999999824,3.277708333333307,1.2732377356947735,2.952499999999981,5.217999999999936,8.249999999999869,5.135149961264688,18.440417353589147,45.148604452610016,78.33783334121108,62.886832174148516,24.439927054589038,79.6280187945813,81.13296200856567,82.97915142029524,874018.4174989999,2990605.446028297,5185078.936975841,8866277.277006533,7253203.3500001915,2716441.9628515253,9211352.03687121,9564483.706839262,9861238.671745652,874018417498.9999,2990605446028.297,5185078936975.842,8866277277006.535,7253203350000.191,2716441962851.5254,9211352036871.21,9564483706839.262,9861238671745.652,191.0,203.1,285.0,289.0,327.7708333333333,127.32377356948004,295.25,521.8000000000003,825.0
10,9861238671745.652,8.571428571428571,9.861243111746653,9.861243111746653,4.43999999999995,0,1,82.97915142029524,444,9861238.671745652,"[0.0, 9.861243111746653, -4.43999999999995, -1.0]",0,48,48,0,48,0,48,0,146.91999999999896,1801.0199999999977,14692,180102,3.989293499966152,64.23387349996483,6.666666666666667,7.735446805045719,7.735446805045719,7735443.744211386,3.0608333333333118,0.0,2.857142857142857,2.857142857142857,8.571428571428571,6.666666666666667,2.6937401188058954,8.571428571428571,8.571428571428571,8.571428571428571,1.8828364780970983,4.122728620256697,5.522821971348354,8.972870962960378,7.735446805045719,2.3066715055720413,9.336075101579938,9.652222769601005,9.861243111746653,1.8828364780970983,4.122728620256697,5.522821971348354,8.972870962960378,7.735446805045719,2.3066715055720413,9.336075101579938,9.652222769601005,9.861243111746653,1.5700000000000012,2.0709999999999997,2.849999999999983,2.899999999999982,3.0608333333333118,0.9485182157215107,2.952499999999981,4.556999999999949,5.879999999999919,5.135405132859887,32.77509035393596,47.629138549789786,78.55832651630044,66.15169725130438,21.88711447224524,80.02032123692334,81.5808112770319,82.97915142029524,1882831.4680960984,4122725.706255697,5522819.868847354,8972868.087959379,7735443.744211386,2306671.847148416,9336072.049078938,9652219.826600006,9861238.671745652,1882831468096.0984,4122725706255.6973,5522819868847.3545,8972868087959.379,7735443744211.386,2306671847148.4165,9336072049078.938,9652219826600.004,9861238671745.652,157.0,207.1,285.0,290.0,306.0833333333333,94.85182157215303,295.25,455.70000000000016,588.0
