generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,18,0,1,1,9754739153656.924,"[0.0, 9.754742213657924, -3.0599999999999787, -1.0]",9.754742213657924,8.571428571428571,9.754742213657924,3.0599999999999787,0,1,0,82.07293688505888,9754739.153656924,306,1,0
1,2,31,0,1,1,8475491544764.625,"[0.0, 8.475494384765625, -2.8399999999999834, -1.0]",8.475494384765625,5.714285714285714,8.475494384765625,2.8399999999999834,0,1,0,77.02157191932201,8475491.544764625,284,1,0
1,3,30,0,1,1,7318273286615.909,"[0.0, 7.318275996616909, -2.709999999999986, -1.0]",7.318275996616909,5.714285714285714,7.318275996616909,2.709999999999986,0,1,0,71.42164085805416,7318273.286615909,271,1,0
1,4,43,0,1,1,7286758447634.323,"[0.0, 7.286761147635323, -2.6999999999999864, -1.0]",7.286761147635323,5.714285714285714,7.286761147635323,2.6999999999999864,0,1,0,70.99785374850035,7286758.4476343235,270,1,0
1,5,19,0,0,1,7142854592856.143,"[0.0, 7.142857142857142, -2.5499999999999896, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.5499999999999896,0,1,0,64.76985451579094,7142854.592856143,255,1,0
1,6,3,0,0,1,7142854562856.143,"[0.0, 7.142857142857142, -2.579999999999989, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.579999999999989,0,1,0,65.99684129655361,7142854.562856142,258,1,0
1,7,12,0,0,1,7142854502856.143,"[0.0, 7.142857142857142, -2.6399999999999877, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6399999999999877,0,1,0,68.47838773578405,7142854.502856143,264,1,0
1,8,36,0,0,1,7142854462856.143,"[0.0, 7.142857142857142, -2.679999999999987, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.679999999999987,0,1,0,66.53771663457155,7142854.462856143,268,1,0
1,9,47,0,0,1,7142854452856.143,"[0.0, 7.142857142857142, -2.6899999999999866, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.6899999999999866,0,1,0,67.14689314365387,7142854.452856143,269,1,0
1,10,17,0,0,1,7142854422856.143,"[0.0, 7.142857142857142, -2.719999999999986, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.719999999999986,0,1,0,67.1412875726819,7142854.422856143,272,1,0
1,11,40,0,0,1,7137383237063.732,"[0.0, 7.137385777064733, -2.53999999999999, -1.0]",7.137385777064733,5.714285714285714,7.137385777064733,2.53999999999999,0,1,0,64.31791763752699,7137383.237063732,254,1,0
1,12,20,0,0,1,7022495484558.151,"[0.0, 7.022497994559151, -2.5099999999999905, -1.0]",7.022497994559151,5.714285714285714,7.022497994559151,2.5099999999999905,0,1,0,63.14997586607933,7022495.484558151,251,1,0
1,13,42,0,0,1,6868779573456.03,"[0.0, 6.86878204345703, -2.4699999999999913, -1.0]",6.86878204345703,5.714285714285714,6.86878204345703,2.4699999999999913,0,1,0,61.54575152695179,6868779.57345603,247,1,0
1,14,24,0,0,1,6178128813514.625,"[0.0, 6.178131103515625, -2.289999999999995, -1.0]",6.178131103515625,5.714285714285714,6.178131103515625,2.289999999999995,0,1,0,54.54291167110205,6178128.813514625,229,1,0
1,15,8,0,0,1,5775603377613.396,"[0.0, 5.775609697614397, -6.31999999999991, -1.0]",5.775609697614397,5.714285714285714,5.775609697614397,6.31999999999991,0,1,0,49.56540180626325,5775603.377613396,632,1,0
1,16,38,0,0,1,5210969507058.152,"[0.0, 5.210974557059152, -5.049999999999937, -1.0]",5.210974557059152,2.857142857142857,5.210974557059152,5.049999999999937,0,1,0,44.26637866161764,5210969.507058152,505,1,0
1,17,35,0,0,0,4044913405171.991,"[0.0, 4.044919695172991, -6.28999999999991, -1.0]",4.044919695172991,2.857142857142857,4.044919695172991,6.28999999999991,0,1,0,31.86403440934373,4044913.4051719913,629,1,0
1,18,0,0,0,0,3107953412356.701,"[0.0, 3.107959202357701, -5.789999999999921, -1.0]",3.107959202357701,2.857142857142857,3.107959202357701,5.789999999999921,0,1,0,18.840984638227383,3107953.412356701,579,1,0
1,19,22,0,0,0,3074422303391.8574,"[0.0, 3.074428013392857, -5.709999999999923, -1.0]",3.074428013392857,2.857142857142857,3.074428013392857,5.709999999999923,0,1,0,18.434973776340485,3074422.3033918575,571,1,0
1,20,45,0,0,0,3074422303391.8574,"[0.0, 3.074428013392857, -5.709999999999923, -1.0]",3.074428013392857,2.857142857142857,3.074428013392857,5.709999999999923,0,1,0,18.43493351066718,3074422.3033918575,571,1,0
1,21,1,0,0,0,3074155274583.2637,"[0.0, 3.0741609845842635, -5.709999999999923, -1.0]",3.0741609845842635,2.857142857142857,3.0741609845842635,5.709999999999923,0,1,0,18.4349259044684,3074155.274583264,571,1,0
1,22,9,0,0,0,3074084430205.4736,"[0.0, 3.0740901402064735, -5.709999999999923, -1.0]",3.0740901402064735,2.857142857142857,3.0740901402064735,5.709999999999923,0,1,0,18.434896288294112,3074084.4302054737,571,1,0
1,23,27,0,0,0,3073664813506.2544,"[0.0, 3.0736705235072543, -5.709999999999923, -1.0]",3.0736705235072543,2.857142857142857,3.0736705235072543,5.709999999999923,0,1,0,18.435305121034617,3073664.8135062545,571,1,0
1,24,23,0,0,0,3072700240054.8037,"[0.0, 3.072705950055804, -5.709999999999923, -1.0]",3.072705950055804,2.857142857142857,3.072705950055804,5.709999999999923,0,1,0,18.434581489214906,3072700.240054804,571,1,0
1,25,6,0,0,0,3071948189736.723,"[0.0, 3.071953909737723, -5.7199999999999225, -1.0]",3.071953909737723,2.857142857142857,3.071953909737723,5.7199999999999225,0,1,0,18.434175139089348,3071948.189736723,572,1,0
1,26,10,0,0,0,3067272450802.572,"[0.0, 3.0672781808035716, -5.729999999999922, -1.0]",3.0672781808035716,2.857142857142857,3.0672781808035716,5.729999999999922,0,1,0,18.436249496473465,3067272.4508025716,573,1,0
1,27,16,0,0,0,3059980909457.705,"[0.0, 3.0599866594587053, -5.749999999999922, -1.0]",3.0599866594587053,2.857142857142857,3.0599866594587053,5.749999999999922,0,1,0,18.43708777090069,3059980.909457705,575,1,0
1,28,25,0,0,0,2857112857142.8574,"[0.0, 2.857142857142857, -30.00000000000189, -0.0]",2.857142857142857,0.0,2.857142857142857,30.00000000000189,0,0,1,293.6005942786578,2857112.8571428573,3000,0,1
1,29,28,0,0,0,1889654326634.0447,"[0.0, 1.8896593366350447, -5.009999999999938, -1.0]",1.8896593366350447,0.0,1.8896593366350447,5.009999999999938,0,1,0,5.263309640169609,1889654.3266340448,501,1,0
1,30,41,0,0,0,1883817839817.6382,"[0.0, 1.8838228498186382, -5.009999999999938, -1.0]",1.8838228498186382,0.0,1.8838228498186382,5.009999999999938,0,1,0,5.139221907302272,1883817.8398176383,501,1,0
