generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9438228411960.494,8.571428571428571,9.438231331961495,9.438231331961495,2.9199999999999817,0,1,80.55298665910959,292,9438228.411960494,"[0.0, 9.438231331961495, -2.9199999999999817, -1.0]",0,48,48,0,38,10,38,10,499.52000000001783,499.52000000001783,49952,49952,18.52533790000598,18.588562399992952,1.9047619047619049,2.947959956668672,2.947959956668672,2947949.5500012133,10.406666666667038,0.0,0.0,0.0,0.0,1.9047619047619049,2.2837292968155807,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,1.7877674102783205,2.857142857142857,2.947959956668672,2.5013056198154917,3.0732222965785434,7.300572804042272,9.438231331961495,0.0,0.0,1.7877674102783205,2.857142857142857,2.947959956668672,2.5013056198154917,3.0732222965785434,7.300572804042272,9.438231331961495,2.5899999999999888,2.806999999999984,5.009999999999938,5.399999999999929,10.406666666667038,10.48886062555122,5.769999999999921,30.00000000000189,30.00000000000189,2.4746218012442114,5.1346712039434355,17.313160265994156,18.43807642335014,87.54149998804057,111.59580858939756,76.92374977841973,293.60042597526916,293.6082154449541,-30.00000000000189,-30.00000000000189,1787762.4002773205,2857112.8571428573,2947949.5500012133,2501311.3386521935,3073216.586577544,7300570.106041272,9438228.411960494,-30000000.00000189,-30000000.00000189,1787762400277.3203,2857112857142.8574,2947949550001.2134,2501311338652.1934,3073216586577.544,7300570106041.272,9438228411960.494,259.0,280.7,501.0,540.0,1040.6666666666667,1048.8860625550433,577.0,3000.0,3000.0
2,9438228411960.494,8.571428571428571,9.438231331961495,9.438231331961495,2.9199999999999817,0,1,80.55298665910959,292,9438228.411960494,"[0.0, 9.438231331961495, -2.9199999999999817, -1.0]",0,48,48,0,48,0,48,0,185.08999999999818,684.610000000016,18509,68461,4.054726800008211,22.7792573000188,4.523809523809524,5.792914174851917,5.792914174851917,5792910.318809251,3.856041666666629,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,4.523809523809524,2.1691508521772143,5.714285714285714,5.714285714285714,8.571428571428571,1.097259521484375,2.7039239065987726,3.0698885236467635,7.142857142857142,5.792914174851917,2.487082175332194,7.6272365025111615,8.203676768711636,9.438231331961495,1.097259521484375,2.7039239065987726,3.0698885236467635,7.142857142857142,5.792914174851917,2.487082175332194,7.6272365025111615,8.203676768711636,9.438231331961495,2.5599999999999894,2.669999999999987,2.7349999999999857,2.814999999999984,3.856041666666629,1.3659348745811943,5.709999999999923,5.722999999999923,5.759999999999922,5.1344048688188195,14.884087305436699,18.43561384340319,69.46783182770014,50.63349245819836,28.20998328920307,73.23346585966647,75.84440234228968,80.55298665910959,1097254.511483375,2703918.3715977725,3069882.8036457635,7142854.477856142,5792910.318809251,2487083.4056558455,7627233.750010161,8203673.9557106355,9438228.411960494,1097254511483.375,2703918371597.773,3069882803645.7637,7142854477856.143,5792910318809.25,2487083405655.845,7627233750010.161,8203673955710.636,9438228411960.494,256.0,267.0,273.5,281.5,385.6041666666667,136.59348745812233,571.0,572.3,576.0
3,9438228411960.494,8.571428571428571,9.438231331961495,9.438231331961495,2.9199999999999817,0,1,80.55298665910959,292,9438228.411960494,"[0.0, 9.438231331961495, -2.9199999999999817, -1.0]",0,48,48,0,48,0,48,0,134.78999999999922,819.4000000000153,13479,81940,2.8638555000070482,25.84687420001137,5.9523809523809526,8.052044766289848,8.052044766289848,8052041.958163847,2.808124999999984,5.714285714285714,5.714285714285714,5.714285714285714,5.714285714285714,5.9523809523809526,0.789672569132238,5.714285714285714,5.714285714285714,8.571428571428571,7.292322431291853,7.597245080130441,7.777832576206752,7.9760701315743585,8.052044766289848,0.41819230704600535,8.250724247523717,8.420952115740095,9.438231331961495,7.292322431291853,7.597245080130441,7.777832576206752,7.9760701315743585,8.052044766289848,0.41819230704600535,8.250724247523717,8.420952115740095,9.438231331961495,2.6999999999999864,2.7469999999999852,2.769999999999985,2.7899999999999845,2.808124999999984,0.10387605294291626,2.819999999999984,2.8329999999999838,3.46999999999997,70.99775648117065,72.9977262839675,73.9846102874726,74.84736490994692,75.11887284135446,1.801065928605161,76.14877060800791,76.6720258437097,80.55298665910959,7292319.731290854,7597242.33312944,7777829.806205752,7976067.341573358,8052041.958163847,418192.2313236154,8250721.427522717,8420949.278739095,9438228.411960494,7292319731290.854,7597242333129.44,7777829806205.752,7976067341573.357,8052041958163.847,418192231323.6155,8250721427522.717,8420949278739.095,9438228411960.494,270.0,274.7,277.0,279.0,280.8125,10.387605294291847,282.0,283.3,347.0
4,9438228411960.494,8.571428571428571,9.438231331961495,9.438231331961495,2.9199999999999817,0,1,80.55298665910959,292,9438228.411960494,"[0.0, 9.438231331961495, -2.9199999999999817, -1.0]",0,48,48,0,48,0,48,0,145.649999999999,965.0500000000143,14565,96505,3.5007409999961965,29.48171620001085,6.3690476190476195,7.887379328409831,7.887379328409831,7887376.29403383,3.0343749999999794,0.0,4.857142857142858,5.714285714285714,5.714285714285714,6.3690476190476195,2.122088508330463,8.571428571428571,8.571428571428571,8.571428571428571,1.883305140904018,6.235689435686385,8.156778471810476,8.39369228907994,7.887379328409831,1.762419822737709,8.666142736162458,8.925801958356585,9.438231331961495,1.883305140904018,6.235689435686385,8.156778471810476,8.39369228907994,7.887379328409831,1.762419822737709,8.666142736162458,8.925801958356585,9.438231331961495,1.9800000000000015,2.7999999999999843,2.819999999999984,2.8399999999999834,3.0343749999999794,0.7361156675697398,2.852499999999983,3.0849999999999804,5.779999999999921,5.135237846603559,54.969125857204205,75.71353273652494,76.58444759994745,70.40423961976042,18.596309246342045,77.45895339734852,78.33765517175198,80.55298665910959,1883300.1309030182,6235687.140685384,8156775.661809477,8393689.45907894,7887376.29403383,1762420.415303963,8666139.886161458,8925799.088355586,9438228.411960494,1883300130903.018,6235687140685.385,8156775661809.477,8393689459078.939,7887376294033.831,1762420415303.9626,8666139886161.458,8925799088355.586,9438228411960.494,198.0,280.0,282.0,284.0,303.4375,73.61156675697555,285.25,308.5000000000002,578.0
5,9635107642623.162,8.571428571428571,9.635110582624161,9.635110582624161,2.9399999999999813,0,1,81.4458636417985,294,9635107.642623162,"[0.0, 9.635110582624161, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,139.7299999999991,1104.7800000000134,13973,110478,3.123011299991049,32.73821370000951,7.916666666666667,8.702214275087629,8.702214275087629,8702211.364044962,2.911041666666648,2.857142857142857,5.714285714285714,8.571428571428571,8.571428571428571,7.916666666666667,1.334979850714631,8.571428571428571,8.571428571428571,8.571428571428571,4.434901646205358,8.396592276436943,8.599796976361954,8.747286115373884,8.702214275087629,0.6948790425607047,8.93730844770159,9.296473366873606,9.635110582624161,4.434901646205358,8.396592276436943,8.599796976361954,8.747286115373884,8.702214275087629,0.6948790425607047,8.93730844770159,9.296473366873606,9.635110582624161,2.819999999999984,2.8369999999999833,2.849999999999983,2.859999999999983,2.911041666666648,0.2665304828042862,2.869999999999983,2.909999999999982,4.629999999999946,36.10670570284128,76.58451962023973,77.45884273573756,77.8975999802351,77.13830016258483,6.091869293527664,78.33817612566054,80.02642500177026,81.4458636417985,4434897.016204357,8396589.446435941,8599794.126360955,8747283.255372884,8702211.364044962,694879.2474590985,8937305.577700589,9296470.064872606,9635107.642623162,4434897016204.357,8396589446435.942,8599794126360.955,8747283255372.884,8702211364044.962,694879247459.0985,8937305577700.59,9296470064872.605,9635107642623.162,282.0,283.7,285.0,286.0,291.1041666666667,26.653048280429182,287.0,291.0,463.0
6,9636799733338.844,8.571428571428571,9.636802673339844,9.636802673339844,2.9399999999999813,0,1,81.44557929039001,294,9636799.733338844,"[0.0, 9.636802673339844, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,142.06999999999908,1246.8500000000124,14207,124685,3.287492999981623,36.15979659999721,7.976190476190475,8.676023540042694,8.676023540042694,8676020.58025003,2.9597916666666477,0.0,7.714285714285714,8.571428571428571,8.571428571428571,7.976190476190475,1.840431527826227,8.571428571428571,8.571428571428571,8.571428571428571,1.8831253051757812,8.664787292480469,8.84263174874442,9.030309404645648,8.676023540042694,1.5037301677986168,9.28213460104806,9.439266204833984,9.636802673339844,1.8831253051757812,8.664787292480469,8.84263174874442,9.030309404645648,8.676023540042694,1.5037301677986168,9.28213460104806,9.439266204833984,9.636802673339844,2.0899999999999994,2.859999999999983,2.869999999999983,2.8799999999999826,2.9597916666666477,0.5409809361371956,2.909999999999982,2.9259999999999815,5.809999999999921,5.135212618486548,77.50344855934381,77.8983801342547,78.77915841713548,74.99740164844586,14.669693405689694,79.77546456642449,80.55309924036264,81.44661895930767,1883120.2951747812,8664784.441479469,8842628.888743421,9030306.524644647,8676020.58025003,1503730.5225629157,9282131.69854706,9439263.284832982,9636799.733338844,1883120295174.7812,8664784441479.469,8842628888743.422,9030306524644.648,8676020580250.028,1503730522562.9155,9282131698547.06,9439263284832.984,9636799733338.844,209.0,286.0,287.0,288.0,295.9791666666667,54.0980936137207,291.0,292.6,581.0
7,9636799733338.844,8.571428571428571,9.636802673339844,9.636802673339844,2.9399999999999813,0,1,81.44557929039001,294,9636799.733338844,"[0.0, 9.636802673339844, -2.9399999999999813, -1.0]",0,48,48,0,48,0,48,0,144.19999999999905,1391.0500000000116,14420,139105,3.7490763000096194,40.04310710000573,7.738095238095237,8.709614447184972,8.709614447184972,8709611.443017304,3.004166666666647,2.857142857142857,4.857142857142858,8.571428571428571,8.571428571428571,7.738095238095237,1.8404315278262269,8.571428571428571,8.571428571428571,8.571428571428571,4.030249459402901,5.723934718540737,9.096248490469797,9.249226706368582,8.709614447184972,1.4436457310915642,9.44018840789795,9.537015097481863,9.636802673339844,4.030249459402901,5.723934718540737,9.096248490469797,9.249226706368582,8.709614447184972,1.4436457310915642,9.44018840789795,9.537015097481863,9.636802673339844,1.9700000000000015,2.8309999999999835,2.8899999999999824,2.904999999999982,3.004166666666647,0.6785825709193658,2.9199999999999817,2.9399999999999813,6.339999999999909,29.676913675393735,50.00047286828048,79.11057707108557,79.66400605067611,74.99135230504923,12.703142888948648,80.55294844508171,80.99902595728636,81.44661895930767,4030244.129401901,5723929.632539736,9096245.602968795,9249223.806367582,8709611.443017304,1443646.018273586,9440185.48789695,9537012.167480864,9636799.733338844,4030244129401.901,5723929632539.736,9096245602968.797,9249223806367.582,8709611443017.305,1443646018273.5857,9440185487896.95,9537012167480.863,9636799733338.844,197.0,283.1,289.0,290.5,300.4166666666667,67.85825709193801,292.0,294.0,634.0
8,9706758546406.646,8.571428571428571,9.706761496407646,9.706761496407646,2.949999999999981,0,1,81.8939189761877,295,9706758.546406647,"[0.0, 9.706761496407646, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,134.43999999999926,1525.4900000000107,13444,152549,3.044237599999178,43.22214930001064,7.678571428571428,8.870375497000557,8.870375497000557,8870372.696166225,2.8008333333333177,2.857142857142857,2.857142857142857,8.571428571428571,8.571428571428571,7.678571428571428,2.0334155776831815,8.571428571428571,8.571428571428571,8.571428571428571,5.448619297572545,5.481777191162109,9.305723054068428,9.453601837158203,8.870375497000557,1.4210266713991269,9.604272842407227,9.668325151715958,9.706761496407646,5.448619297572545,5.481777191162109,9.305723054068428,9.453601837158203,8.870375497000557,1.4210266713991269,9.604272842407227,9.668325151715958,9.706761496407646,2.0799999999999996,2.0899999999999994,2.907499999999982,2.9199999999999817,2.8008333333333177,0.2930787247291847,2.9399999999999813,2.9429999999999814,2.949999999999981,46.8246626406908,47.18109732717276,79.9967382363975,80.55295470356941,75.76386306279649,11.799470535403424,81.44559433497488,81.52670577540994,81.89406917244196,5448617.217571544,5481775.101161109,9305720.146567428,9453598.917157203,8870372.696166225,1421026.3800504499,9604269.902406227,9668322.20871496,9706758.546406647,5448617217571.545,5481775101161.109,9305720146567.428,9453598917157.203,8870372696166.225,1421026380050.4497,9604269902406.227,9668322208714.959,9706758546406.646,208.0,209.0,290.75,292.0,280.0833333333333,29.307872472919094,294.0,294.3,295.0
9,9708578701959.102,8.571428571428571,9.7085816519601,9.7085816519601,2.949999999999981,0,1,81.89378924667835,295,9708578.701959101,"[0.0, 9.7085816519601, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,126.77999999999942,1652.2700000000102,12678,165227,2.9577786999871023,46.31466420000652,6.607142857142857,8.104649100984846,8.104649100984846,8104646.459733847,2.641249999999988,2.857142857142857,2.857142857142857,2.857142857142857,8.571428571428571,6.607142857142857,2.682536747438988,8.571428571428571,8.571428571428571,8.571428571428571,4.897651672363281,5.480532509940011,5.581201825823102,9.362133571079799,8.104649100984846,1.885144013048832,9.56042562212263,9.676225934709821,9.7085816519601,4.897651672363281,5.480532509940011,5.581201825823102,9.362133571079799,8.104649100984846,1.885144013048832,9.56042562212263,9.676225934709821,9.7085816519601,1.9100000000000015,2.0899999999999994,2.1199999999999988,2.909999999999982,2.641249999999988,0.3944068595160672,2.9299999999999815,2.9429999999999814,2.949999999999981,40.94210810214281,47.18104900494218,48.25644391588867,80.10779198259115,69.35573449141036,15.830925008506352,80.99912906438112,81.58025100231171,81.89406917244196,4897649.762362281,5480530.41993901,5581199.705822103,9362130.6610788,8104646.459733847,1885143.6200574436,9560422.692121629,9676222.99170882,9708578.701959101,4897649762362.281,5480530419939.011,5581199705822.103,9362130661078.8,8104646459733.847,1885143620057.4436,9560422692121.629,9676222991708.822,9708578701959.102,191.0,209.0,212.0,291.0,264.125,39.44068595160755,293.0,294.3,295.0
10,9711300760936.5,8.571428571428571,9.7113037109375,9.7113037109375,2.949999999999981,0,1,81.89447240531445,295,9711300.7609365,"[0.0, 9.7113037109375, -2.949999999999981, -1.0]",0,48,48,0,48,0,48,0,134.71999999999923,1786.9900000000093,13472,178699,3.25914089998696,49.70823930000188,6.666666666666667,8.144615093866983,8.144615093866983,8144612.287199318,2.8066666666666507,0.0,2.857142857142857,2.857142857142857,8.571428571428571,6.666666666666667,2.7561516435214823,8.571428571428571,8.571428571428571,8.571428571428571,1.8823623657226562,5.447299957275391,5.571808133806501,9.527226856776647,8.144615093866983,2.1580961429023975,9.643948418753489,9.704861777169365,9.7113037109375,1.8823623657226562,5.447299957275391,5.571808133806501,9.527226856776647,8.144615093866983,2.1580961429023975,9.643948418753489,9.704861777169365,9.7113037109375,2.0000000000000013,2.103999999999999,2.1349999999999985,2.9299999999999815,2.8066666666666507,0.6652547548788134,2.9399999999999813,2.949999999999981,5.83999999999992,5.13521963115636,46.82448231130839,48.1669530197978,80.99842068180442,68.96602035198778,19.14453733514117,81.44540898315609,81.89332482293248,81.89447240531445,1882357.3557216562,5447297.87727439,5571806.016305501,9527223.926775647,8144612.287199318,2158096.130176902,9643945.478752488,9704858.827168364,9711300.7609365,1882357355721.6562,5447297877274.391,5571806016305.501,9527223926775.646,8144612287199.317,2158096130176.9014,9643945478752.488,9704858827168.363,9711300760936.5,200.0,210.4,213.5,293.0,280.6666666666667,66.52547548788274,294.0,295.0,584.0
