experiment,label,generations,population_size,first_finish_generation,total_finish,finish_rate_all,best_time,best_time_generation,last50_finish_rate,last50_mean_progress,last50_best_progress,last50_crash_rate,last50_timeout_rate,gen1_best_progress,gen1_mean_progress,max_best_progress,cached_evaluations,initial_population_source,initial_noise_mode,initial_tiers,run_dir
exp00_base_fixed100,baseline random,200,48,121.0,942,0.098125,20.66000000000043,172.0,0.3325,54.45833333333333,100.0,0.6483333333333333,0.019166666666666665,5.714285714285714,2.023809523809524,100.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp00_base_fixed100\20260504_202817_tm2d_ga_AI_Training_5
exp01_mutation_decay_fixed100,exp01_mutation_decay_fixed100,200,48,158.0,762,0.079375,21.42000000000055,199.0,0.3175,61.2297619047619,97.6,0.6745833333333333,0.007916666666666667,5.714285714285714,2.619047619047619,100.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp01_mutation_decay_fixed100\20260504_212154_tm2d_ga_AI_Training_5
exp01b_mutation_decay_first_finish_fixed100,exp01b_mutation_decay_first_finish_fixed100,200,48,157.0,654,0.068125,18.840000000000146,199.0,0.2725,55.357142857142854,97.3142857142857,0.7033333333333334,0.024166666666666666,5.714285714285714,1.9642857142857144,100.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp01b_mutation_decay_first_finish_fixed100\20260505_010135_tm2d_ga_AI_Training_5
exp02_both_mirrors_fixed100,exp02_both_mirrors_fixed100,200,48,139.0,584,0.060833333333333336,20.305000000000376,196.0,0.23166666666666666,64.97619047619047,100.0,0.7179166666666666,0.050416666666666665,5.714285714285714,2.470238095238096,100.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp02_both_mirrors_fixed100\20260504_222025_tm2d_ga_AI_Training_5
exp03_mirror_prob_050_fixed100,exp03_mirror_prob_050_fixed100,200,48,,0,0.0,,,0.0,8.427380952380952,23.6,0.9983333333333333,0.0016666666666666668,5.714285714285714,2.023809523809524,80.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp03_mirror_prob_050_fixed100\20260504_234800_tm2d_ga_AI_Training_5
exp04_max_touches_3_fixed100,exp04_max_touches_3_fixed100,200,48,145.0,647,0.06739583333333334,22.690000000000747,199.0,0.25875,68.71309523809524,100.0,1.0,0.0,5.714285714285714,2.142857142857143,100.0,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp04_max_touches_3_fixed100\20260504_235901_tm2d_ga_AI_Training_5
exp05a_variable_tick_no_cache_control,exp05a_variable_tick_no_cache_control,200,48,,0,0.0,,,0.0,30.036904761904758,80.4,0.9883333333333333,0.011666666666666667,8.571428571428571,2.4404761904761902,91.42857142857144,0,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp05a_variable_tick_no_cache_control\20260505_005006_tm2d_ga_AI_Training_5
exp05b_variable_tick_elite_cache,exp05b_variable_tick_elite_cache,200,48,160.0,572,0.059583333333333335,18.710000000000065,198.0,0.23833333333333334,48.69285714285715,96.4,0.7304166666666667,0.03125,8.571428571428571,2.6785714285714284,100.0,398,random,sparse_or_default,,Experiments\runs_ga_training_improvements\seed_2026050407\exp05b_variable_tick_elite_cache\20260505_014136_tm2d_ga_AI_Training_5
exp06_supervised_seeded_fixed100,supervised seeded sparse,200,48,190.0,19,0.001979166666666667,26.780000000001387,199.0,0.007916666666666667,25.297344720111276,74.43288209340955,0.9804166666666667,0.011666666666666667,7.942897251674107,7.169721864518665,100.0,0,supervised_model,sparse_or_default,16x p=0.02 s=0.01; 16x p=0.05 s=0.025; 15x p=0.1 s=0.05,Experiments\runs_ga_training_improvements\seed_2026050407\exp06_supervised_seeded_fixed100\20260505_201456_tm2d_ga_AI_Training_5
exp06b_supervised_seeded_dense_fixed100,supervised seeded dense,200,48,116.0,1079,0.11239583333333333,17.2799999999999,190.0,0.31833333333333336,49.35146538492154,100.0,0.6745833333333333,0.007083333333333333,8.637305668422155,5.917999687648955,100.0,0,supervised_model,dense,8x p=1.0 s=0.01; 14x p=1.0 s=0.03; 14x p=1.0 s=0.06; 11x p=1.0 s=0.1,Experiments\runs_ga_training_improvements\seed_2026050407\exp06b_supervised_seeded_dense_fixed100\20260505_204258_tm2d_ga_AI_Training_5
