experiment,threshold_progress,first_generation
exp00_base_fixed100,5,1.0
exp00_base_fixed100,10,30.0
exp00_base_fixed100,25,78.0
exp00_base_fixed100,50,90.0
exp00_base_fixed100,75,115.0
exp00_base_fixed100,90,121.0
exp00_base_fixed100,100,121.0
exp01_mutation_decay_fixed100,5,1.0
exp01_mutation_decay_fixed100,10,34.0
exp01_mutation_decay_fixed100,25,73.0
exp01_mutation_decay_fixed100,50,104.0
exp01_mutation_decay_fixed100,75,116.0
exp01_mutation_decay_fixed100,90,158.0
exp01_mutation_decay_fixed100,100,158.0
exp01b_mutation_decay_first_finish_fixed100,5,1.0
exp01b_mutation_decay_first_finish_fixed100,10,24.0
exp01b_mutation_decay_first_finish_fixed100,25,85.0
exp01b_mutation_decay_first_finish_fixed100,50,105.0
exp01b_mutation_decay_first_finish_fixed100,75,145.0
exp01b_mutation_decay_first_finish_fixed100,90,157.0
exp01b_mutation_decay_first_finish_fixed100,100,157.0
exp02_both_mirrors_fixed100,5,1.0
exp02_both_mirrors_fixed100,10,75.0
exp02_both_mirrors_fixed100,25,89.0
exp02_both_mirrors_fixed100,50,94.0
exp02_both_mirrors_fixed100,75,117.0
exp02_both_mirrors_fixed100,90,135.0
exp02_both_mirrors_fixed100,100,139.0
exp03_mirror_prob_050_fixed100,5,1.0
exp03_mirror_prob_050_fixed100,10,42.0
exp03_mirror_prob_050_fixed100,25,191.0
exp03_mirror_prob_050_fixed100,50,198.0
exp03_mirror_prob_050_fixed100,75,198.0
exp03_mirror_prob_050_fixed100,90,
exp03_mirror_prob_050_fixed100,100,
exp04_max_touches_3_fixed100,5,1.0
exp04_max_touches_3_fixed100,10,6.0
exp04_max_touches_3_fixed100,25,103.0
exp04_max_touches_3_fixed100,50,115.0
exp04_max_touches_3_fixed100,75,132.0
exp04_max_touches_3_fixed100,90,142.0
exp04_max_touches_3_fixed100,100,145.0
exp05a_variable_tick_no_cache_control,5,1.0
exp05a_variable_tick_no_cache_control,10,35.0
exp05a_variable_tick_no_cache_control,25,120.0
exp05a_variable_tick_no_cache_control,50,132.0
exp05a_variable_tick_no_cache_control,75,164.0
exp05a_variable_tick_no_cache_control,90,181.0
exp05a_variable_tick_no_cache_control,100,
exp05b_variable_tick_elite_cache,5,1.0
exp05b_variable_tick_elite_cache,10,31.0
exp05b_variable_tick_elite_cache,25,81.0
exp05b_variable_tick_elite_cache,50,95.0
exp05b_variable_tick_elite_cache,75,140.0
exp05b_variable_tick_elite_cache,90,160.0
exp05b_variable_tick_elite_cache,100,160.0
exp06_supervised_seeded_fixed100,5,1.0
exp06_supervised_seeded_fixed100,10,6.0
exp06_supervised_seeded_fixed100,25,75.0
exp06_supervised_seeded_fixed100,50,140.0
exp06_supervised_seeded_fixed100,75,189.0
exp06_supervised_seeded_fixed100,90,189.0
exp06_supervised_seeded_fixed100,100,190.0
exp06b_supervised_seeded_dense_fixed100,5,1.0
exp06b_supervised_seeded_dense_fixed100,10,7.0
exp06b_supervised_seeded_dense_fixed100,25,85.0
exp06b_supervised_seeded_dense_fixed100,50,85.0
exp06b_supervised_seeded_dense_fixed100,75,98.0
exp06b_supervised_seeded_dense_fixed100,90,109.0
exp06b_supervised_seeded_dense_fixed100,100,116.0
