generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
1,0.0,0.0,3.96594728742327,7.142857142857142,2.9454229559217175,6.302812269755772,7.978091239929199,9.356324332101003,0,,30.0,30.0,30.0,30.0,30.0,
2,1.8836293901715961,3.066765921456473,7.142857142857142,7.6099540165492465,5.062160037812733,7.6059746742248535,8.522678783961704,9.356324332101003,0,,30.0,30.0,30.0,30.0,30.0,
3,1.8837149483816968,3.0739784240722656,7.590812274387904,8.096960885184153,5.876294658297584,8.031849350248065,8.890409469604492,9.356324332101003,0,,30.0,30.0,30.0,30.0,30.0,
4,1.8835699898856026,3.0003765651157925,8.1046690259661,8.53184972490583,5.911978937330699,8.45491017614092,9.066565377371651,9.356324332101003,0,,30.0,30.0,30.0,30.0,30.0,
5,3.069056374686105,4.97168813432966,8.95364556993757,9.382241930280413,7.002617461340768,9.175299916948592,9.546453612191335,9.6628543308803,0,,30.0,30.0,30.0,30.0,30.0,
6,1.8837378365652906,3.015613555908203,8.816260610307966,9.471587317330496,5.476451828366234,9.19849055153983,9.636601720537456,9.716265542166571,0,,30.0,30.0,30.0,30.0,30.0,
7,2.9361147199358264,3.626906531197684,8.93547534942627,9.614936556134905,6.375224306469872,9.32050551686968,9.690666879926408,9.74773951939174,0,,30.0,30.0,30.0,30.0,30.0,
8,1.8836740766252793,3.4577696663992743,9.427836963108607,9.653887884957449,6.6140781697772795,9.557864495686122,9.731609480721609,9.785079956054688,0,,30.0,30.0,30.0,30.0,30.0,
9,2.857142857142857,3.041479928152902,8.908355576651436,9.500521523611887,5.872419902256557,9.225358281816755,9.731609480721609,9.785079956054688,0,,30.0,30.0,30.0,30.0,30.0,
10,3.0234592982700894,4.877514157976423,9.191911561148508,9.689026696341378,6.707359438850766,9.445343698774064,9.764702660696846,9.785079956054688,0,,30.0,30.0,30.0,30.0,30.0,
11,2.9929351806640625,3.319847924368722,9.069602830069407,9.69426509312221,5.950115067618232,9.331361736570084,9.766099793570381,9.785079956054688,0,,30.0,30.0,30.0,30.0,30.0,
12,2.9518617902483264,4.973862511771065,8.9667694909232,9.669591631208148,6.657971768152145,9.351991415023804,9.78811059679304,9.841371263776509,0,,30.0,30.0,30.0,30.0,30.0,
13,3.0091525486537387,3.56064932686942,8.619428362165179,9.752404349190847,6.179510582061042,9.268619843891688,9.793691635131836,9.841371263776509,0,,30.0,30.0,30.0,30.0,30.0,
14,2.886989048549107,4.230063302176339,9.32014124734061,9.770610536847794,6.803981576647076,9.566165379115514,9.95096002306257,10.288639068603516,0,,30.0,30.0,30.0,30.0,30.0,
15,3.0326287405831476,4.0594972882952005,8.973073278154647,9.752439498901367,6.439408574785506,9.447891371590751,9.95096002306257,10.288639068603516,0,,30.0,30.0,30.0,30.0,30.0,
