generation,progress_p10,progress_p25,progress_p75,progress_p90,progress_mean_all,progress_mean_parent,progress_mean_elite,progress_best,finish_count,best_finished_time,penalized_p25,penalized_p75,penalized_mean_all,penalized_mean_parent,penalized_mean_elite,best_finished_time_so_far
1,0.0,1.41211918422154,7.142857142857142,7.6057022639683325,3.4106963589077908,7.175619431904384,8.46874373299735,9.549173627580917,0,,30.0,30.0,30.0,30.0,30.0,
2,1.883466993059431,3.0702059609549384,8.152616364615303,8.55787059238979,5.904759849820818,8.455141612461635,8.941770281110491,9.549173627580917,0,,30.0,30.0,30.0,30.0,30.0,
3,1.8836631774902344,3.059415817260742,8.538611957005092,8.800585065569196,6.239309310913086,8.722933871405466,9.115991592407227,9.549173627580917,0,,30.0,30.0,30.0,30.0,30.0,
4,3.0583741324288503,4.192389079502651,8.81169319152832,9.169283185686384,6.776950870241438,9.041223696299962,9.45258889879499,9.62334496634347,0,,30.0,30.0,30.0,30.0,30.0,
5,3.047039031982422,5.122225625174386,9.32520866394043,9.591549464634486,7.368674391791934,9.443150077547346,9.737635340009415,9.818052564348491,0,,30.0,30.0,30.0,30.0,30.0,
6,3.061309814453125,5.000625337873186,9.20330115727016,9.641101837158205,7.157593227568127,9.423577615192958,9.74625928061349,9.818052564348491,0,,30.0,30.0,30.0,30.0,30.0,
7,3.0399600437709267,4.47678702218192,9.095518929617745,9.389973504202707,6.494549796694801,9.312881401606969,9.74625928061349,9.818052564348491,0,,30.0,30.0,30.0,30.0,30.0,
8,4.60971178327288,5.516650336129324,9.20875072479248,9.583186830793109,7.634750093732561,9.426751647676742,9.75661414010184,9.818052564348491,0,,30.0,30.0,30.0,30.0,30.0,
9,2.685396466936384,4.576899664742606,9.028383663722447,9.711858204432897,6.641375677926199,9.35779503413609,9.797598293849399,9.873158591134208,0,,30.0,30.0,30.0,30.0,30.0,
10,4.292666299002512,5.123923165457589,9.113990238734655,9.432184219360352,7.359890143076579,9.390869310923986,9.797598293849399,9.873158591134208,0,,30.0,30.0,30.0,30.0,30.0,
11,4.029340471540179,4.862470626831055,9.12139824458531,9.652822766985212,6.9948601722717285,9.428984778267996,9.805493354797363,9.873158591134208,0,,30.0,30.0,30.0,30.0,30.0,
