generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,12,0,1,1,9356323332098.094,"[0.0, 9.356324332101003, -1.0, -2.909999999999982]",9.356324332101003,8.571428571428571,9.356324332101003,2.909999999999982,0,1,0,80.10779349505901,9356323.332098093,291,1,0
1,2,39,0,1,1,7619110197332.629,"[0.0, 7.619111197335379, -1.0, -2.7499999999999853]",7.619111197335379,5.714285714285714,7.619111197335379,2.7499999999999853,0,1,0,73.06800529360771,7619110.197332629,275,1,0
1,3,26,0,1,1,7606028510495.297,"[0.0, 7.606029510498047, -1.0, -2.7499999999999853]",7.606029510498047,5.714285714285714,7.606029510498047,2.7499999999999853,0,1,0,73.12580727040768,7606028.510495297,275,1,0
1,4,36,0,1,1,7330898919779.656,"[0.0, 7.330899919782366, -1.0, -2.709999999999986]",7.330899919782366,5.714285714285714,7.330899919782366,2.709999999999986,0,1,0,71.42120173573494,7330898.919779656,271,1,0
1,5,7,0,0,1,7142856142854.593,"[0.0, 7.142857142857142, -1.0, -2.5499999999999896]",7.142857142857142,5.714285714285714,7.142857142857142,2.5499999999999896,0,1,0,64.77019275724888,7142856.142854593,255,1,0
1,6,10,0,0,1,7142856142854.553,"[0.0, 7.142857142857142, -1.0, -2.5899999999999888]",7.142857142857142,5.714285714285714,7.142857142857142,2.5899999999999888,0,1,0,66.40774967521429,7142856.142854553,259,1,0
1,7,0,0,0,1,7142856142854.473,"[0.0, 7.142857142857142, -1.0, -2.669999999999987]",7.142857142857142,5.714285714285714,7.142857142857142,2.669999999999987,0,1,0,69.73352388292551,7142856.142854473,267,1,0
1,8,11,0,0,1,7142856142854.452,"[0.0, 7.142857142857142, -1.0, -2.6899999999999866]",7.142857142857142,5.714285714285714,7.142857142857142,2.6899999999999866,0,1,0,67.7472030967474,7142856.142854452,269,1,0
1,9,5,0,0,1,7142856142854.353,"[0.0, 7.142857142857142, -1.0, -2.7899999999999845]",7.142857142857142,5.714285714285714,7.142857142857142,2.7899999999999845,0,1,0,68.19972384721041,7142856.1428543525,279,1,0
1,10,34,0,0,1,7142856142852.532,"[0.0, 7.142857142857142, -1.0, -4.609999999999946]",7.142857142857142,5.714285714285714,7.142857142857142,4.609999999999946,0,1,0,64.92042061313987,7142856.142852533,461,1,0
1,11,46,0,0,1,7141428356163.684,"[0.0, 7.141429356166294, -1.0, -2.6099999999999883]",7.141429356166294,5.714285714285714,7.141429356166294,2.6099999999999883,0,1,0,64.30039422959089,7141428.356163683,261,1,0
1,12,19,0,0,1,6640275227676.131,"[0.0, 6.640276227678571, -1.0, -2.439999999999992]",6.640276227678571,5.714285714285714,6.640276227678571,2.439999999999992,0,1,0,59.27859742939472,6640275.227676131,244,1,0
1,13,21,0,0,1,3074503307332.46,"[0.0, 3.0745043073381697, -1.0, -5.709999999999923]",3.0745043073381697,2.857142857142857,3.0745043073381697,5.709999999999923,0,1,0,18.435193203855306,3074503.30733246,571,1,0
