generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8715740.958554687,8.571428571428571,8.715744018554688,8.715744018554688,3.0599999999999787,0,1,77.7291210219264,306,8.715740958554687,"[0.0, 8.715744018554688, -3.0599999999999787]",0,48,48,0,40,8,40,8,416.5700000000131,416.5700000000131,41657,41657,13.15630470000906,13.222114200005308,2.321428571428571,3.5167665708632696,3.5167665708632696,3.516757892321603,8.67854166666694,0.0,0.0,0.0,2.857142857142857,2.321428571428571,2.5190599963689078,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8836089542933874,3.0527196611676892,3.5167665708632696,2.7761461181075267,7.142857142857142,7.6170501708984375,8.715744018554688,0.0,0.0,1.8836089542933874,3.0527196611676892,3.5167665708632696,2.7761461181075267,7.142857142857142,7.6170501708984375,8.715744018554688,2.010000000000001,2.683999999999987,3.1124999999999776,5.009999999999938,8.67854166666694,9.60565935390578,5.744999999999922,30.00000000000189,30.00000000000189,5.134404764510691,5.134713024283701,17.89429704084614,25.076445809347206,77.01994494701255,100.04798966489113,73.340835634619,293.5997798763216,293.6009905805113,-3.000000000000189e-05,-5.009999999999938e-06,1.8836039442933874,3.052713896167689,3.516757892321603,2.7761505697430757,7.142853722857143,7.617047420898437,8.715740958554687,-30.00000000000189,-5.009999999999938,1883603.9442933872,3052713.8961676895,3516757.892321603,2776150.569743076,7142853.722857143,7617047.4208984375,8715740.958554687,201.0,268.4,311.25,501.0,867.8541666666666,960.5659353905066,574.5,3000.0,3000.0
2,9443784.246050501,8.571428571428571,9.443787166050502,9.443787166050502,2.9199999999999817,0,1,80.55251482874155,292,9.443784246050502,"[0.0, 9.443787166050502, -2.9199999999999817]",0,48,48,0,48,0,48,0,167.14999999999856,583.7200000000116,16715,58372,2.1690706000081263,15.460120100004133,4.8809523809523805,6.3163455327351885,6.3163455327351885,6.316342050443521,3.4822916666666366,0.0,0.0,2.857142857142857,5.714285714285714,4.8809523809523805,2.4714927966698443,5.714285714285714,8.571428571428571,8.571428571428571,1.8829727172851565,1.8834702627999442,5.469645091465541,7.142857142857142,6.3163455327351885,2.335689381290187,7.777204513549805,8.736340931483678,9.443787166050502,1.8829727172851565,1.8834702627999442,5.469645091465541,7.142857142857142,6.3163455327351885,2.335689381290187,7.777204513549805,8.736340931483678,9.443787166050502,2.020000000000001,2.4869999999999908,2.629999999999988,2.814999999999984,3.4822916666666366,1.2836053384629116,5.009999999999938,5.712999999999923,6.439999999999907,5.134404604323208,5.135577795557038,47.060012865811586,66.40566352009773,55.301688848466405,25.985810977918817,74.03165800496936,77.7799001134932,80.55251482874155,1.8829677072851565,1.8834652527999443,5.4696429964655415,7.142854512857143,6.316342050443521,2.3356902397865293,7.777201708549804,8.736337931483678,9.443784246050502,1882967.7072851565,1883465.2527999443,5469642.996465541,7142854.512857143,6316342.050443523,2335690.2397865294,7777201.708549805,8736337.931483679,9443784.246050501,202.0,248.7,263.0,281.5,348.2291666666667,128.3605338462939,501.0,571.3,644.0
3,9443784.246050501,8.571428571428571,9.443787166050502,9.443787166050502,2.9199999999999817,0,1,80.55251482874155,292,9.443784246050502,"[0.0, 9.443787166050502, -2.9199999999999817]",0,48,48,0,48,0,48,0,181.08999999999827,764.81000000001,18109,76481,2.3899062999989837,17.935586099978536,4.8809523809523805,6.421011118661791,6.421011118661791,6.421007345953456,3.772708333333297,0.0,0.0,2.857142857142857,5.714285714285714,4.8809523809523805,2.669959701429262,5.714285714285714,8.571428571428571,8.571428571428571,1.8812125069754466,1.8837013244628904,3.073996135166713,7.8432192121233255,6.421011118661791,2.597744739684817,8.262901306152344,8.870813369750978,9.443787166050502,1.8812125069754466,1.8837013244628904,3.073996135166713,7.8432192121233255,6.421011118661791,2.597744739684817,8.262901306152344,8.870813369750978,9.443787166050502,1.8400000000000014,2.7269999999999857,2.809999999999984,2.869999999999983,3.772708333333297,1.3591905366542534,5.009999999999938,5.777999999999921,6.349999999999909,5.134604634222342,5.1356052901450315,18.43947005039081,74.41499440744519,55.578776301718484,28.24834760687173,76.14869639463723,78.05927416086197,80.55251482874155,1.8812074969754466,1.8836963144628904,3.073990425166713,7.8432164321233255,6.421007345953456,2.5977456108468595,8.262898486152345,8.87081011675098,9.443784246050502,1881207.4969754466,1883696.3144628906,3073990.425166713,7843216.432123326,6421007.345953457,2597745.6108468594,8262898.486152344,8870810.116750978,9443784.246050501,184.0,272.7,281.0,287.0,377.2708333333333,135.9190536654282,501.0,577.8000000000001,635.0
4,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,47,1,47,1,194.48000000000044,959.2900000000104,19448,95929,2.985999400028959,21.002653300005477,6.011904761904762,7.4336911383129305,7.4336911383129305,7.433687086646263,4.051666666666676,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.011904761904762,2.5581391603505117,8.571428571428571,8.571428571428571,8.571428571428571,1.8831580025809151,3.0668689182826454,7.354679107666016,8.291872569492885,7.4336911383129305,2.247831709422103,8.90922886984689,9.258802141462056,10.268115997314453,1.8831580025809151,3.0668689182826454,7.354679107666016,8.291872569492885,7.4336911383129305,2.247831709422103,8.90922886984689,9.258802141462056,10.268115997314453,1.9000000000000015,2.764999999999985,2.8274999999999837,2.9299999999999815,4.051666666666676,3.9634897992666644,4.399999999999951,5.732999999999922,30.00000000000189,5.134678716363851,18.437977857466468,71.87188581004739,76.3915831791237,71.02168928854992,39.18936032534543,78.33766667917371,80.09465862065554,293.2557320748456,1.8831529925809152,3.066863188282645,7.354676000166017,8.291868054492884,7.433687086646263,2.247833338324488,8.90922509984689,9.258799190462057,10.268109957314454,1883152.992580915,3066863.1882826453,7354676.000166017,8291868.054492884,7433687.0866462635,2247833.338324488,8909225.099846888,9258799.190462055,10268109.957314454,190.0,276.5,282.75,293.0,405.1666666666667,396.3489799266411,440.0,573.3,3000.0
5,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,47,1,47,1,187.5600000000006,1146.850000000011,18756,114685,2.60399990004953,23.671149800007697,5.238095238095238,6.713987418583462,6.713987418583462,6.71398351108346,3.9075000000000126,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.238095238095238,2.7561516435214823,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.055798666817801,5.026694706508092,7.861194610595703,6.713987418583462,2.515155200116256,8.739651271275111,9.243737084524975,10.268115997314453,0.0,3.055798666817801,5.026694706508092,7.861194610595703,6.713987418583462,2.515155200116256,8.739651271275111,9.243737084524975,10.268115997314453,1.8200000000000014,2.0000000000000013,2.7874999999999845,2.8799999999999826,3.9075000000000126,4.0021002298795585,4.1474999999999556,5.789999999999921,30.00000000000189,5.135286654665833,28.643952538632586,43.67054679058492,74.68702781200409,64.21213756007,40.75580981459452,78.11818156763911,80.37172045484185,293.59808611893095,-3.000000000000189e-05,3.0557928768178013,5.026692756508091,7.861191810595702,6.71398351108346,2.5151570705575033,8.73964841877511,9.243734125524973,10.268109957314454,-30.00000000000189,3055792.8768178015,5026692.756508091,7861191.810595702,6713983.511083461,2515157.070557503,8739648.418775111,9243734.125524973,10268109.957314454,182.0,200.0,278.75,288.0,390.75,400.2100229879307,414.75,579.0,3000.0
6,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,47,1,47,1,220.0999999999999,1366.950000000011,22010,136695,3.132587499974761,26.872138899983838,3.6904761904761902,5.143352179300217,5.143352179300217,5.143347593883551,4.5854166666666645,0.0,0.0,0.0,2.857142857142857,3.6904761904761902,3.2969958152681498,6.428571428571429,8.571428571428571,8.571428571428571,0.0,1.8828724452427454,2.7855260031563893,5.0347137451171875,5.143352179300217,3.032563550000836,8.584698268345424,9.256798335484097,10.268115997314453,0.0,1.8828724452427454,2.7855260031563893,5.0347137451171875,5.143352179300217,3.032563550000836,8.584698268345424,9.256798335484097,10.268115997314453,1.8300000000000014,2.0270000000000006,2.857499999999983,5.004999999999938,4.5854166666666645,3.9688337698948186,5.039999999999937,5.761999999999921,30.00000000000189,5.135217780123639,5.139933124233357,18.436306962717936,42.79465981213434,48.7100541776584,45.82140705268923,77.45341717917472,80.44861086830497,293.6007245556684,-3.000000000000189e-05,1.8828674352427455,2.7855209031563897,5.034710115117187,5.143347593883551,3.0325652255346216,8.584693805845424,9.256795338484098,10.268109957314454,-30.00000000000189,1882867.4352427453,2785520.9031563895,5034710.115117188,5143347.593883551,3032565.2255346216,8584693.805845425,9256795.338484097,10268109.957314454,183.0,202.7,285.75,500.5,458.5416666666667,396.88337698945713,504.0,576.2,3000.0
7,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,48,0,48,0,179.55999999999827,1546.5100000000093,17956,154651,2.2948519999627024,29.2341247999575,5.178571428571429,6.485241538002377,6.485241538002377,6.485237797169044,3.7408333333332973,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.178571428571429,2.776005670562147,8.571428571428571,8.571428571428571,8.571428571428571,1.8825204031808036,3.012316567557199,3.3433164869035994,7.602435520717076,6.485241538002377,2.7140093574132824,8.981227193559919,9.418090275355748,10.268115997314453,1.8825204031808036,3.012316567557199,3.3433164869035994,7.602435520717076,6.485241538002377,2.7140093574132824,8.981227193559919,9.418090275355748,10.268115997314453,1.8400000000000014,2.1759999999999975,2.7899999999999845,2.9299999999999815,3.7408333333332973,1.4408357432021186,5.009999999999938,5.782999999999921,7.2199999999998905,5.135057531071652,18.43751555104391,22.29228665116716,72.91216161474586,54.920124723724406,27.83089274080862,78.53839835524559,80.21189284697175,85.91155716404319,1.8825153931808036,3.012310650557199,3.343309629403599,7.602432775717076,6.485237797169044,2.714010176691985,8.981223826059919,9.418087173355747,10.268109957314454,1882515.3931808036,3012310.650557199,3343309.6294035995,7602432.775717076,6485237.797169045,2714010.176691985,8981223.826059919,9418087.173355747,10268109.957314454,184.0,217.6,279.0,293.0,374.0833333333333,144.0835743202149,501.0,578.3,722.0
8,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,48,0,48,0,161.63999999999868,1708.150000000008,16164,170815,1.9898545000469312,31.298350600001868,5.9523809523809526,7.403316441036406,7.403316441036406,7.403313073536405,3.3674999999999726,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.9523809523809526,2.847204938833666,8.571428571428571,8.571428571428571,8.571428571428571,1.8779209681919644,4.1629807608468195,5.342991692679269,8.327407836914062,7.403316441036406,2.3774775231031398,9.179506983075823,9.559820447649274,10.268115997314453,1.8779209681919644,4.1629807608468195,5.342991692679269,8.327407836914062,7.403316441036406,2.3774775231031398,9.179506983075823,9.559820447649274,10.268115997314453,1.8400000000000014,2.0400000000000005,2.8024999999999842,2.904999999999982,3.3674999999999726,1.4572069459528538,2.9849999999999803,5.237999999999936,8.599999999999861,5.134329827676993,32.242996200054044,45.67454060725868,76.58823520317674,64.91906257087476,23.711958179966537,79.24312780611217,81.2376916885376,85.91155716404319,1.8779159581919642,4.16297753884682,5.342989645179269,8.327405011914063,7.403313073536405,2.377477796250072,9.179500355575824,9.559817514649275,10.268109957314454,1877915.9581919643,4162977.53884682,5342989.645179269,8327405.011914062,7403313.073536406,2377477.796250072,9179500.355575822,9559817.514649276,10268109.957314454,184.0,204.0,280.25,290.5,336.75,145.72069459528845,298.5,523.8000000000003,860.0
9,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,48,0,48,0,160.2199999999987,1868.3700000000067,16022,186837,1.9998244000016712,33.37862289999612,5.416666666666667,6.718190624600365,6.718190624600365,6.7181872866836985,3.3379166666666396,0.0,0.0,2.857142857142857,5.714285714285714,5.416666666666667,3.2597098976412067,8.571428571428571,8.571428571428571,8.571428571428571,1.8800680977957591,1.88343756539481,5.068273544311523,8.496317182268415,6.718190624600365,2.7436808501675443,9.020136424473353,9.41612161908831,10.268115997314453,1.8800680977957591,1.88343756539481,5.068273544311523,8.496317182268415,6.718190624600365,2.7436808501675443,9.020136424473353,9.41612161908831,10.268115997314453,1.9000000000000015,2.010000000000001,2.8474999999999833,2.8899999999999824,3.3379166666666396,1.2164805080184502,4.284999999999953,5.057999999999938,6.039999999999916,5.135197682662692,5.138435855122225,42.745763912796974,77.02150742337108,56.426121810380664,27.38289887922827,78.77870909869671,80.52238401174546,85.91155716404319,1.8800630877957591,1.8834325553948101,5.068271561811523,8.496314277268414,6.7181872866836985,2.743681372172147,9.020133544473353,9.416118700088312,10.268109957314454,1880063.087795759,1883432.5553948102,5068271.5618115235,8496314.277268413,6718187.286683698,2743681.372172147,9020133.544473354,9416118.700088311,10268109.957314454,190.0,201.0,284.75,289.0,333.7916666666667,121.64805080184757,428.5,505.80000000000007,604.0
10,10268109.957314454,8.571428571428571,10.268115997314453,10.268115997314453,6.039999999999916,0,1,85.91155716404319,604,10.268109957314454,"[0.0, 10.268115997314453, -6.039999999999916]",0,48,48,0,48,0,48,0,176.58999999999833,2044.960000000005,17659,204496,2.23035319999326,35.687487299961504,5.416666666666667,6.7801008338019955,6.7801008338019955,6.780097154843663,3.6789583333332985,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.416666666666667,2.9874785931737153,8.571428571428571,8.571428571428571,8.571428571428571,0.3575897216796875,2.852313450404576,4.830864497593471,8.170082909720286,6.7801008338019955,2.835800285780502,9.018866675240652,9.63689695085798,10.268115997314453,0.3575897216796875,2.852313450404576,4.830864497593471,8.170082909720286,6.7801008338019955,2.835800285780502,9.018866675240652,9.63689695085798,10.268115997314453,1.8500000000000014,2.024000000000001,2.8374999999999835,2.9349999999999814,3.6789583333332985,1.4716037730756415,5.009999999999938,5.771999999999921,7.949999999999875,5.136070530046709,18.43775170862791,41.110168343409896,75.47627500072122,59.13965060331824,25.521547032048346,78.77912787348032,81.44580579251051,85.91155716404319,0.3575835616796875,2.852307887404576,4.8308626100934715,8.170079099720285,6.780097154843663,2.8358009809808147,9.018863795240652,9.63689401085798,10.268109957314454,357583.5616796875,2852307.8874045764,4830862.610093471,8170079.099720285,6780097.154843663,2835800.980980815,9018863.795240652,9636894.010857979,10268109.957314454,185.0,202.4,283.75,293.5,367.8958333333333,147.16037730756724,501.0,577.2,795.0
