generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,35,0,1,1,8715740.958554687,"[0.0, 8.715744018554688, -3.0599999999999787]",8.715744018554688,8.571428571428571,8.715744018554688,3.0599999999999787,0,1,0,77.7291210219264,8.715740958554687,306,1,0
1,2,8,0,1,1,8429387.913526786,"[0.0, 8.429391043526786, -3.1299999999999772]",8.429391043526786,5.714285714285714,8.429391043526786,3.1299999999999772,0,1,0,76.63795798271894,8.429387913526787,313,1,0
1,3,22,0,1,1,8281922.926372767,"[0.0, 8.281925746372767, -2.819999999999984]",8.281925746372767,5.714285714285714,8.281925746372767,2.819999999999984,0,1,0,76.14885318279266,8.281922926372767,282,1,0
1,4,36,0,1,1,7764328.5026702015,"[0.0, 7.764331272670201, -2.769999999999985]",7.764331272670201,5.714285714285714,7.764331272670201,2.769999999999985,0,1,0,73.98489225655794,7.764328502670201,277,1,0
1,5,47,0,0,1,7648255.459228516,"[0.0, 7.648258209228516, -2.7499999999999853]",7.648258209228516,5.714285714285714,7.648258209228516,2.7499999999999853,0,1,0,73.12568876892328,7.6482554592285155,275,1,0
1,6,41,0,0,1,7603672.547328403,"[0.0, 7.603675297328404, -2.7499999999999853]",7.603675297328404,5.714285714285714,7.603675297328404,2.7499999999999853,0,1,0,73.12615009397268,7.6036725473284035,275,1,0
1,7,37,0,0,1,7528114.203631418,"[0.0, 7.5281170436314175, -2.8399999999999834]",7.5281170436314175,5.714285714285714,7.5281170436314175,2.8399999999999834,0,1,0,72.58450081944466,7.528114203631418,284,1,0
1,8,23,0,0,1,7253368.957426059,"[0.0, 7.25337164742606, -2.6899999999999866]",7.25337164742606,5.714285714285714,7.25337164742606,2.6899999999999866,0,1,0,70.57539875805378,7.253368957426059,269,1,0
1,9,10,0,0,1,7142854.552857143,"[0.0, 7.142857142857142, -2.5899999999999888]",7.142857142857142,5.714285714285714,7.142857142857142,2.5899999999999888,0,1,0,66.40794201940298,7.142854552857143,259,1,0
1,10,40,0,0,1,7142854.552857143,"[0.0, 7.142857142857142, -2.5899999999999888]",7.142857142857142,5.714285714285714,7.142857142857142,2.5899999999999888,0,1,0,64.48073241859674,7.142854552857143,259,1,0
