generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
1,3.7926165171095725e+17,0.0,0.3792626517159598,0.3792626517159598,5.002526239948676,-1,379261651710.9573,0.0,0.3079833303179059,0.3079833303179059,307982330312.8926,5.013376687428374
2,4.399534852070374e+17,0.0,0.43995448521205355,0.43995448521205355,5.016198211864287,-1,439953485207.03735,0.0,0.3417434011186872,0.3417434011186872,341742401113.67163,5.015596039754422
3,5.539529882064771e+17,0.0,0.5539539882114956,0.5539539882114956,5.018410365427376,-1,553952988206.4772,0.0,0.3603025845118931,0.3603025845118931,360301584506.8812,5.011957334332417
4,5.539529882064929e+17,0.0,0.5539539882114956,0.5539539882114956,5.002616712669702,-1,553952988206.4929,0.0,0.3865637098039899,0.3865637098039899,386562709798.9806,5.009410799009451
5,5.586832128158627e+17,0.0,0.5586842128208706,0.5586842128208706,5.0078216402248685,-1,558683212815.8627,0.0,0.4275531428200858,0.4275531428200858,427552142815.074,5.011784062503025
6,8.859733390714464e+17,0.0,0.885974339076451,0.885974339076451,5.004525489105944,-1,885973339071.4464,0.0,0.4667014735085624,0.4667014735085624,466700473503.5514,5.0109070428578315
7,8.859733390714464e+17,0.0,0.885974339076451,0.885974339076451,5.004525489105944,-1,885973339071.4464,0.0,0.48130818775721956,0.48130818775721956,481307187752.2029,5.016669533285205
8,9.259132194425238e+17,0.0,0.9259142194475446,0.9259142194475446,5.020841285676158,-1,925913219442.5238,0.0,0.5499756336212158,0.5499756336212158,549974633616.1995,5.016452969852856
9,2.857141857105039e+18,2.857142857142857,2.857142857142857,2.857142857142857,37.8185351825384,-1,2857141857105.039,0.08928571428571429,0.6359759398869106,0.6359759398869106,635974939880.8679,6.042704438106828
10,2.85714185710717e+18,2.857142857142857,2.857142857142857,2.857142857142857,35.68749741892374,-1,2857141857107.17,0.08928571428571429,0.714317730494908,0.714317730494908,714316730488.936,5.971977176766362
11,5.714284714280487e+18,5.714285714285714,5.714285714285714,5.714285714285714,5.227750389417942,-1,5714284714280.487,0.35714285714285715,1.0800537041255405,1.0800537041255405,1080052704118.2261,7.314547570134317
12,5.714284714280505e+18,5.714285714285714,5.714285714285714,5.714285714285714,5.209121003290828,-1,5714284714280.505,1.25,1.9062537806374684,1.9062537806374684,1906252780627.1306,10.337989882253293
13,8.571427571396189e+18,8.571428571428571,8.571428571428571,8.571428571428571,32.382143369096944,-1,8571427571396.189,1.875,2.4010688066482544,2.4010688066482544,2401067837888.9473,9.307219977224598
14,8.571427571393913e+18,8.571428571428571,8.571428571428571,8.571428571428571,34.65807487991093,-1,8571427571393.913,2.142857142857143,2.739330530166626,2.739330530166626,2739329623904.916,11.709851735691775
15,8.571427571392693e+18,8.571428571428571,8.571428571428571,8.571428571428571,35.8779796008204,-1,8571427571392.693,2.321428571428571,2.911375079836164,2.911375079836164,2911374079824.794,11.3707258395122
16,9.371084485690192e+18,8.571428571428571,9.371084485735212,9.371084485735212,45.01894861737468,0,9371084485690.191,3.571428571428571,3.980606624058315,3.980606624058315,3980605686545.4365,12.878366032010188
17,8.571428571383569e+18,8.571428571428571,8.571428571428571,8.571428571428571,45.00193604184898,0,8571428571383.569,3.571428571428572,3.9643440927777975,3.9643440927777975,3964343155267.296,10.501331072237502
18,9.77826799660677e+18,8.571428571428571,9.778267996651786,9.778267996651786,45.017016462616574,0,9778267996606.77,3.482142857142857,4.104223081043789,4.104223081043789,4104222174777.2686,16.519315129125555
19,9.471728823490822e+18,8.571428571428571,9.471729823521205,9.471729823521205,30.381258456918832,-1,9471728823490.822,4.375,4.7747441700526645,4.7747441700526645,4774743326283.474,19.190905881134732
20,9.579356057258291e+18,8.571428571428571,9.579356057303293,9.579356057303293,45.00211622035978,0,9579356057258.291,4.196428571428571,4.657695208277021,4.657695208277021,4657694270763.323,13.698404399047543
21,9.549319765871583e+18,8.571428571428571,9.549320765904017,9.549320765904017,32.43354326516806,-1,9549319765871.584,4.732142857142857,5.087782229696002,5.087782229696002,5087781354682.141,13.861377317150229
22,1.2506354195686015e+19,11.428571428571429,12.506354195731026,12.506354195731026,45.01029656280943,0,12506354195686.016,5.267857142857143,5.551292811121259,5.551292811121259,5551291936108.254,13.006352650463466
23,9.790526798748234e+18,8.571428571428571,9.790526798793248,9.790526798793248,45.0146634037435,0,9790526798748.234,4.196428571428571,4.536098923001971,4.536098923001971,4536098016739.143,12.828256203019372
24,9.712453569639692e+18,8.571428571428571,9.712453569684708,9.712453569684708,45.01412027113889,0,9712453569639.691,4.464285714285714,4.923032011304583,4.923032011304583,4923031105043.518,11.065858431814023
25,9.41366468152586e+18,8.571428571428571,9.41366468157087,9.41366468157087,45.009764410652224,0,9413664681525.861,5.0,5.360694868224008,5.360694868224008,5360693961964.575,9.432104922335263
26,9.853382110550692e+18,8.571428571428571,9.853382110595703,9.853382110595703,45.01058371508575,0,9853382110550.691,4.464285714285714,4.723673462867737,4.723673462867737,4723672587855.949,11.787358098903061
27,9.403314952815655e+18,8.571428571428571,9.403315952845983,9.403315952845983,30.327457598449293,-1,9403314952815.654,5.714285714285715,5.856229833194188,5.856229833194188,5856228895685.111,9.075788896245147
28,9.430649983508498e+18,8.571428571428571,9.430650983537948,9.430650983537948,29.44927435239294,-1,9430649983508.498,4.9107142857142865,5.264908160482134,5.264908160482134,5264907222974.103,8.031624690205629
29,9.436296735446057e+18,8.571428571428571,9.436296735491071,9.436296735491071,45.01430410267042,0,9436296735446.057,4.732142857142857,5.061401724815369,5.061401724815369,5061400787305.986,9.381815140671357
30,1.176884787418768e+19,11.428571428571429,11.7688478742327,11.7688478742327,45.019050823140745,0,11768847874187.68,5.0892857142857135,5.460446732384818,5.460446732384818,5460445794876.428,8.390569826882075
31,9.554089137441049e+18,8.571428571428571,9.554089137486049,9.554089137486049,45.000217160107,0,9554089137441.049,4.910714285714285,5.291383351598467,5.291383351598467,5291382414089.064,9.403339268253616
32,9.346029099021672e+18,8.571428571428571,9.346030099051339,9.346030099051339,29.664500776995784,-1,9346029099021.672,4.642857142857142,4.955036640167236,4.955036640167236,4955035702659.703,7.532774667565033
33,9.893561771892765e+18,8.571428571428571,9.89356177193778,9.89356177193778,45.014357233133,0,9893561771892.766,5.089285714285714,5.537346431187221,5.537346431187221,5537345493679.291,7.929998859145398
34,9.813904443428225e+18,8.571428571428571,9.813905443464007,9.813905443464007,35.782219745453475,-1,9813904443428.225,4.553571428571429,4.862267800739833,4.862267800739833,4862266863231.742,8.091409481371688
35,9.803935459636914e+18,8.571428571428571,9.80393545968192,9.80393545968192,45.0059812025453,0,9803935459636.914,4.464285714285714,4.8725051539284845,4.8725051539284845,4872504216420.812,7.6729222824795915
36,1.4285714285669276e+19,14.285714285714285,14.285714285714285,14.285714285714285,45.00841205850101,0,14285714285669.275,4.553571428571429,4.803985357284546,4.803985357284546,4803984482275.149,9.396358270958832
37,1.1667186192058778e+19,11.428571428571429,11.667186192103793,11.667186192103793,45.014281110054355,0,11667186192058.777,4.910714285714286,5.284683619226728,5.284683619226728,5284682712967.475,9.252795976332244
38,9.50996943878032e+18,8.571428571428571,9.509969438825335,9.509969438825335,45.014763456072316,0,9509969438780.32,4.642857142857142,4.87169257232121,4.87169257232121,4871691634812.434,8.777106357824312
39,9.518541608492919e+18,8.571428571428571,9.518541608537946,9.518541608537946,45.02751016044888,0,9518541608492.918,4.642857142857142,4.919717056410653,4.919717056410653,4919716150152.149,8.503856283757923
40,9.54524348936596e+18,8.571428571428571,9.545244489397321,9.545244489397321,31.36053070359229,-1,9545243489365.96,4.642857142857142,4.940552456038339,4.940552456038339,4940551518530.837,7.50177776530589
41,9.534942081951361e+18,8.571428571428571,9.534942081996373,9.534942081996373,45.013739571278414,0,9534942081951.361,5.089285714285714,5.32203997884478,5.32203997884478,5322039103834.914,9.864034867082397
42,9.423334939094223e+18,8.571428571428571,9.423334939139231,9.423334939139231,45.00787508902858,0,9423334939094.223,5.267857142857142,5.415807621819632,5.415807621819632,5415806715560.85,8.783232099515347
43,1.1840215410460008e+19,11.428571428571429,11.840215410505023,11.840215410505023,45.01586826622662,0,11840215410460.008,4.9107142857142865,5.238400016512189,5.238400016512189,5238399110252.949,9.240412244647793
