generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,1838083629598.7705,0.0,1.8380846296037947,1.8380846296037947,5.024270392196943,0,1,4.783213437796803,223,1.5190833348611317,"[0.0, 1.8380846296037947, -1.0, -5.024270392196943]",0,48,48,0,48,0,48,0,240.64508324718793,240.64508324718793,11162,11162,64.1263844999994,64.3096287999997,0.0,1.7331152870541526,1.7331152870541526,1.4148016848753329,5.013439234316415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.664483206612723,1.6844711303710938,1.7104012625558036,1.7358507428850445,1.7331152870541526,0.03548805078592516,1.7563056945800781,1.7765682765415738,1.8380846296037947,1.664483206612723,1.6844711303710938,1.7104012625558036,1.7358507428850445,1.7331152870541526,0.03548805078592516,1.7563056945800781,1.7765682765415738,1.8380846296037947,5.002070196348256,5.002589570853394,5.007397788626946,5.014276170905051,5.013439234316415,0.007855990218652648,5.016198211864287,5.025347221898124,5.028023869060111,3.257433876133291,3.424011236377555,3.5960630426379794,3.8470713284768863,3.827012083467101,0.30567244945712213,4.016601754690782,4.1990626334416445,4.783213437796803,1.3463683230834709,1.3661441230420701,1.3913876808969514,1.418027195141903,1.4148016848753329,0.03540008331086127,1.4377140438250802,1.458167883524535,1.5190833348611317,1664482206607.713,1684470130366.0723,1710400262550.7793,1735849742880.0388,1733114287049.1394,35488050785.92372,1756304694575.0605,1776567276536.559,1838083629598.7705,223.0,226.5,229.0,233.0,232.54166666666666,4.509057243174256,235.25,238.0,239.0
2,1889026186797.4524,0.0,1.8890271868024555,1.8890271868024555,5.003254801852646,0,1,5.317306623997865,235,1.5713602152562558,"[0.0, 1.8890271868024555, -1.0, -5.003254801852646]",4,44,48,0,48,0,48,0,240.57664037468965,481.2217236218776,11150,22312,19.1436334,84.01979940000001,0.0,1.7560194787524994,1.7560194787524994,1.4377964094738094,5.012013341139368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6505541120256695,1.699871608189174,1.7346368517194475,1.7515236990792409,1.7560194787524994,0.04572229651336866,1.7801816122872487,1.8035071236746651,1.8890271868024555,1.6505541120256695,1.699871608189174,1.7346368517194475,1.7515236990792409,1.7560194787524994,0.04572229651336866,1.7801816122872487,1.8035071236746651,1.8890271868024555,5.002070196348256,5.002616712669702,5.005893029583679,5.0082039158723815,5.012013341139368,0.008791319846025665,5.0167512502550595,5.0280376360929,5.028862103217157,3.178129451822315,3.5769915740398575,3.8598292867900454,4.001454117104004,4.047654399539169,0.4110223199399288,4.222720993304392,4.506813824411075,5.317306623997865,1.3325307151793977,1.3820242299630225,1.416719988058303,1.4333097027391435,1.4377964094738094,0.045731332671958384,1.4620918292332212,1.4858425493052123,1.5713602152562558,1650553112020.6606,1699870608184.168,1734635851714.4355,1751522699074.232,1756018478747.4875,45722296513.36876,1780180612282.2388,1803506123669.662,1889026186797.4524,223.0,225.0,230.0,232.0,232.29166666666666,4.98731028600476,235.0,240.0,243.0
3,1920628228859.3767,0.0,1.9206292288643974,1.9206292288643974,5.020841285676158,0,1,5.627279740700033,231,1.601845655170673,"[0.0, 1.9206292288643974, -1.0, -5.020841285676158]",4,44,48,0,48,0,48,0,240.6994795388963,721.9212031607739,11231,33543,15.850527599999623,100.41091669999969,0.0,1.7912896474202473,1.7912896474202473,1.4729040924746173,5.014572490393673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6551154000418529,1.7243390764508928,1.748365674700056,1.7854172842843195,1.7912896474202473,0.058842166063093164,1.833415712629046,1.8649902343750002,1.9206292288643974,1.6551154000418529,1.7243390764508928,1.748365674700056,1.7854172842843195,1.7912896474202473,0.058842166063093164,1.833415712629046,1.8649902343750002,1.9206292288643974,5.003254801852646,5.004525489105944,5.006897598742375,5.012775300188106,5.014572490393673,0.008648620538030073,5.020841285676158,5.0279084411542705,5.029022493262783,3.199277526779042,3.766873896513425,3.9549121756481327,4.297464035123994,4.378391909312086,0.5515944835254964,4.791408691020479,5.11514803270111,5.627279740700033,1.336171053416368,1.4056886228043148,1.4300615908712293,1.4675973172004402,1.4729040924746173,0.05887246007125835,1.5145250475770586,1.5468600385230293,1.601845655170673,1655114400036.8293,1724338076445.874,1748364674695.0425,1785416284279.3135,1791288647415.2327,58842166063.09365,1833414712624.023,1864989234369.9897,1920628228859.3767,223.0,228.0,230.0,234.0,233.97916666666666,5.398647914575978,239.0,242.0,243.0
4,2079423176892.3044,0.0,2.079424176897321,2.079424176897321,5.016959802942638,0,1,7.4659877751983,228,1.760887046551757,"[0.0, 2.079424176897321, -1.0, -5.016959802942638]",4,44,48,0,48,0,48,0,240.70734677737957,962.6285499381535,11148,44691,16.94082189999972,117.7921022999999,0.0,1.8420075234912694,1.8420075234912694,1.523611562145529,5.014736391195408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.652472359793527,1.737680162702288,1.7712647574288503,1.8440410069056918,1.8420075234912694,0.09404222495341488,1.8991388593401228,1.9753477913992747,2.079424176897321,1.652472359793527,1.737680162702288,1.7712647574288503,1.8440410069056918,1.8420075234912694,0.09404222495341488,1.8991388593401228,1.9753477913992747,2.079424176897321,5.000782436721908,5.004031834708042,5.008619672819712,5.016959802942638,5.014736391195408,0.007449983875718649,5.0191835909581695,5.0235979178616335,5.029022493262783,3.2756824263196904,3.8717351672028597,4.2147876208036905,4.8560295967399725,4.925648774781166,0.9808356725445843,5.458250404348291,6.299043346236433,7.4659877751983,1.334508730385458,1.4184847479029632,1.4527127726747642,1.5258185287801491,1.523611562145529,0.09408204281339035,1.5811626010264268,1.657155498575301,1.760887046551757,1652471359788.519,1737679162697.2605,1771263757423.8333,1844040006900.6797,1842006523486.2546,94042224953.4155,1899137859335.1145,1975346791394.2634,2079423176892.3044,225.0,228.7,230.0,232.0,232.25,3.1655699855370965,235.0,236.0,242.0
5,2613017580840.415,0.0,2.613018580845424,2.613018580845424,5.008833444878082,0,1,18.152164576546056,231,2.2949974097420536,"[0.0, 2.613018580845424, -1.0, -5.008833444878082]",4,44,48,0,48,0,48,0,240.5426842489017,1203.1712341870552,11088,55779,14.478476000000228,132.85121479999998,0.0,1.917370728084019,1.917370728084019,1.5991925743156308,5.011305921852119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.729551042829241,1.7649923052106586,1.833752223423549,1.8844441005161832,1.917370728084019,0.15746047228624285,1.948475156511579,2.040828704833985,2.613018580845424,1.729551042829241,1.7649923052106586,1.833752223423549,1.8844441005161832,1.917370728084019,0.15746047228624285,1.948475156511579,2.040828704833985,2.613018580845424,5.000782436721908,5.001993130968772,5.004002950279846,5.008833444878082,5.011305921852119,0.008554690832056554,5.016959152458832,5.024408193070233,5.029246466440459,3.7779857867062674,4.213434542549658,5.0036231745325495,5.313320682835183,5.856298515961953,2.243866841984313,6.023464096166208,7.449232985663548,18.152164576546056,1.4110139675510889,1.4467149532859844,1.5157115496695353,1.566551603271038,1.5991925743156308,0.15752812454282775,1.6306575112843555,1.7219317812525823,2.2949974097420536,1729550042824.2244,1764991305205.6445,1833751223418.54,1884443100511.1763,1917369728079.0078,157460472286.24387,1948474156506.5735,2040827704828.9617,2613017580840.415,223.0,223.0,229.0,231.0,231.0,4.791485503821684,234.0,235.0,242.0
6,2613017580840.415,0.0,2.613018580845424,2.613018580845424,5.008833444878082,0,1,18.152164576546056,231,2.2949974097420536,"[0.0, 2.613018580845424, -1.0, -5.008833444878082]",4,44,48,0,48,0,48,0,240.64674239339115,1443.8179765804464,11106,66885,15.638794399999824,148.8540469999998,0.0,2.0430350303649902,2.0430350303649902,1.7247192335483355,5.013473799862315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.764324733189174,1.8807754516601562,1.957923344203404,2.024555206298828,2.0430350303649902,0.15412788396456958,2.1024118150983533,2.2119631086077014,2.613018580845424,1.764324733189174,1.8807754516601562,1.957923344203404,2.024555206298828,2.0430350303649902,0.15412788396456958,2.1024118150983533,2.2119631086077014,2.613018580845424,5.001502575738615,5.003084693239922,5.004944865444312,5.010455645915708,5.013473799862315,0.009651540898226157,5.021094617182625,5.0285719859105305,5.030632779082591,4.147143908514408,5.299916658824804,6.063733274708284,6.890771321952343,7.255530269059515,2.20779215314994,7.893623053263582,8.874783083241347,18.152164576546056,1.446632147380127,1.5625198036559569,1.6401671740601125,1.7063790673892019,1.7247192335483355,0.15416262397215885,1.7846104830348606,1.8933185869390088,2.2949974097420536,1764323733184.1704,1880774451655.1438,1957922344198.395,2024554206293.817,2043034030359.9768,154127883964.57007,2102410815093.3481,2211962108602.6826,2613017580840.415,223.0,224.0,227.5,231.0,231.375,5.170529469986609,236.0,238.0,242.0
7,3654206502089.1577,2.857142857142857,3.6542075020926337,3.6542075020926337,3.4759519620458366,0,1,27.950890868902206,154,3.4335121394230566,"[0.0, 3.6542075020926337, -1.0, -3.4759519620458366]",4,44,48,0,48,0,48,0,239.00753643827116,1682.8255130187176,11031,77916,19.91942619999918,169.33901819999937,0.05952380952380953,2.171124049595424,2.171124049595424,1.854976514624166,4.979323675797316,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.7897796630859375,1.9010696411132812,1.9806344168526786,2.120380401611328,2.171124049595424,0.30074366670018526,2.2827979496547153,2.4462574550083707,3.6542075020926337,1.7897796630859375,1.9010696411132812,1.9806344168526786,2.120380401611328,2.171124049595424,0.30074366670018526,2.2827979496547153,2.4462574550083707,3.6542075020926337,3.4759519620458366,5.0015446272899355,5.0050392705962015,5.01013120605377,4.979323675797316,0.21942599596263604,5.018347454715631,5.0198366153338965,5.028282922826276,4.348954849439906,5.465957519047516,6.640155903322011,7.9297425291915715,9.092065405115287,4.150391424152114,10.127079090194457,12.916430479600251,27.950890868902206,1.472220129791756,1.5821352318921749,1.6619415733588436,1.8021235103071302,1.854976514624166,0.3109173636364181,1.963922668923261,2.1283878257136855,3.4335121394230566,1789778663080.936,1901068641108.258,1980633416847.6592,2120379401606.3154,2171123049590.4446,300743666700.34314,2282796949649.6934,2446256455003.3643,3654206502089.1577,154.0,224.0,224.75,233.0,229.8125,12.365368726811182,236.0,238.0,238.0
8,4841352190245.164,2.857142857142857,4.841352190290179,4.841352190290179,45.01509893111736,0,0,42.224706095941656,2084,3.46534858038793,"[0.0, 4.841352190290179, -0.0, -45.01509893111736]",4,44,48,0,46,2,46,2,372.33893584780435,2055.164448866522,17244,95160,26.03940169999987,196.00057039999956,0.6547619047619048,2.632645084744408,2.632645084744408,2.1401332648399047,7.757061163495924,0.0,0.0,0.0,0.0,0.6547619047619048,1.2008476786804771,0.0,2.857142857142857,2.857142857142857,1.8974522181919644,1.9825897216796877,2.149396623883929,2.4506187438964844,2.632645084744408,0.698786552896357,2.7972139630998885,3.670654296875,4.841352190290179,1.8974522181919644,1.9825897216796877,2.149396623883929,2.4506187438964844,2.632645084744408,0.698786552896357,2.7972139630998885,3.670654296875,4.841352190290179,3.4759519620458366,4.357871317580925,5.003971963105115,5.010703569442866,7.757061163495924,8.992615042299581,5.020125762128272,11.274133690876186,45.01509893111736,5.401239030979923,6.358111386699602,8.183542759250486,12.519309542487463,15.146518663017105,9.155248506353137,18.783350423887896,28.11240173876286,42.224706095941656,1.3616986917971667,1.6406768330447907,1.721985581279251,2.0576271218847024,2.1401332648399047,0.5162156034493413,2.324752459974926,2.7949615270762025,3.46534858038793,1897451218186.9512,1982588721674.6846,2149395623878.9233,2450617743891.4814,2632644126403.318,698786666033.0082,2797212963095.092,3670653296871.4155,4841352190245.164,154.0,205.8,226.0,233.0,359.25,414.6231974134266,238.0,527.4000000000021,2084.0
9,8005688893429.563,5.714285714285714,8.005689893450056,8.005689893450056,20.49214421011853,0,1,74.58781294820074,949,6.7046013721726885,"[0.0, 8.005689893450056, -1.0, -20.49214421011853]",4,44,48,0,45,3,45,3,537.4458282014341,2592.6102770679563,24831,119991,27.631372300000294,224.00138609999976,1.4285714285714286,3.184035902931577,3.184035902931577,2.4731287227709493,11.196788087529876,0.0,0.0,0.0,0.0,1.4285714285714286,1.649572197684645,2.857142857142857,2.857142857142857,5.714285714285714,1.9181932721819197,2.1523333958217075,2.3225607190813338,2.822292872837612,3.184035902931577,1.1985650309952927,3.8049520765032083,4.405493600027904,8.005689893450056,1.9181932721819197,2.1523333958217075,2.3225607190813338,2.822292872837612,3.184035902931577,1.1985650309952927,3.8049520765032083,4.405493600027904,8.005689893450056,2.751148020082234,4.160369529973928,5.001526838073717,5.014788665722108,11.196788087529876,12.239257216494993,12.688816413731155,30.296365318896502,45.02790070829678,5.932356469718798,8.969440190749447,10.258777645221926,19.94445537775755,22.47920622289727,14.001348074553642,31.383746450350372,36.98395566782567,74.58781294820074,0.3197709894420311,1.70892952445187,1.8762803786544087,2.136551595812195,2.4731287227709493,1.1150195003403194,2.813209107164985,3.734108516845559,6.7046013721726885,1918192272176.911,2152332395816.6904,2322559719076.326,2822291872827.2153,3184034965420.3804,1198565089367.571,3804951326488.0225,4405492600017.897,8005688893429.563,131.0,190.0,223.75,232.5,517.3125,564.4688933062802,595.5,1394.4000000000028,2084.0
10,8690220969018.891,8.571428571428571,8.690220969063896,8.690220969063896,45.005002289156835,0,0,80.97530564066255,2076,6.768518385217017,"[0.0, 8.690220969063896, -0.0, -45.005002289156835]",4,44,48,0,44,4,44,4,577.5557071796975,3170.165984247654,26636,146627,30.75099010000031,255.2815813999996,2.0238095238095237,3.8120453698294505,3.8120453698294505,3.0480827941949307,12.032410566243698,0.0,0.0,0.0,2.857142857142857,2.0238095238095237,2.016794565011597,2.857142857142857,3.7142857142857264,8.571428571428571,1.9357245309012276,2.31853757585798,2.5308595384870256,3.5101699829101562,3.8120453698294505,1.5591872446997508,4.401656559535435,5.69800186157227,8.690220969063896,1.9357245309012276,2.31853757585798,2.5308595384870256,3.5101699829101562,3.8120453698294505,1.5591872446997508,4.401656559535435,5.69800186157227,8.690220969063896,2.499605805286137,3.2982690109204458,5.004013140924985,5.024283849980741,12.032410566243698,12.979824616467141,12.08477220935957,34.711397638655,45.02245603720443,5.944087172516447,10.36545718241614,13.25098622695441,27.648103952360543,29.068377371115577,17.542222616942812,35.50724018039182,49.52196992412214,80.97530564066255,0.7921056105210367,1.8318845354004991,2.0559003346536056,2.4809929935303607,3.0480827941949307,1.4766457597018976,3.849649333909868,5.358071256532704,6.768518385217017,1935723530896.2258,2318536575852.9697,2530858538482.0195,3510168982905.867,3812044453150.7515,1559187340770.907,4401655559531.407,5698000861566.916,8690220969018.891,116.0,145.3,226.0,237.5,554.9166666666666,599.9548189007421,554.0,1605.8000000000004,2096.0
