generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_term,best_reward,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time
1,-1000005002529.8386,0.0,0.3869410923549107,0.0,5.002526239948676,-1,386940092349.90814,0.0,0.3088986873626709,0.0,308897687357.6582,5.012697182670616
2,-1000005010312.7092,0.0,0.3908102852957589,0.0,5.010309415585722,-1,390809285290.7347,0.0,0.3106326716286796,0.0,310631671623.6633,5.016263547638001
3,-1000005007506.361,0.0,0.4512568882533482,0.0,5.007503055171888,-1,451255888248.34076,0.0,0.2979270049503871,0.0,297926004945.37476,5.012360497951713
4,-1000005002073.268,0.0,0.4370934622628348,0.0,5.002070196348256,-1,437092462257.8289,0.0,0.2854747431618827,0.0,285473743156.87305,5.009650951915437
5,-1000005003257.833,0.0,0.5512292044503349,0.0,5.003254801852646,-1,551228204445.3315,0.0,0.291264397757394,0.0,291263397752.38245,5.01155704755976
6,-1000005006932.309,0.0,0.5526460920061385,0.0,5.006928973644417,-1,552645092001.1233,0.0,0.31213096209934776,0.0,312129962094.33704,5.010746962786105
7,-1000005004528.8395,0.0,0.41647774832589285,0.0,5.004525489105944,-1,416476748320.87244,0.0,0.3057856219155448,0.0,305784621910.52795,5.016850474136671
8,-1000005006806.8718,0.0,0.4747281755719866,0.0,5.006803474036248,-1,474727175566.9787,0.0,0.3053351811000279,0.0,305334181095.01215,5.015772141628196
9,-1000005003925.344,0.0,0.38921356201171875,0.0,5.003921814672848,-1,389212562006.68964,0.0,0.3060708727155413,0.0,306069872710.524,5.017273266868781
10,-1000005008623.0056,0.0,0.4753330775669643,0.0,5.008619672819712,-1,475332077561.9473,0.0,0.3314270292009626,0.0,331426029195.9491,5.01352399752947
11,-1000005004034.9417,0.0,0.45855385916573665,0.0,5.004031834708042,-1,458552859160.71875,0.0,0.3275261606488909,0.0,327525160643.8786,5.012290428029983
12,-1000005000785.4877,0.0,0.49239567347935265,0.0,5.000782436721908,-1,492394673474.35187,0.0,0.32948579107012066,0.0,329484791065.10815,5.012542009736999
13,-1000005006663.6356,0.0,0.484482901436942,0.0,5.006660448087148,-1,484481901431.93536,0.0,0.338641745703561,0.0,338640745698.5521,5.008864268104411
14,-1000005001996.3317,0.0,0.6715447562081474,0.0,5.001993130968772,-1,671543756203.1434,0.0,0.34966570990426205,0.0,349664709899.25256,5.009421549864533
