generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8.385312216622488,5.714285714285714,8.385312216622488,8.385312216622488,5.959999999999917,0,1,76.53621044941247,596,8.385312216622488e-06,"[0.0, 8.385312216622488]",0,48,48,0,43,5,43,5,371.8400000000066,371.8400000000066,37184,37184,9.144102399994154,9.208963799988851,2.142857142857143,3.014566217150007,3.014566217150007,3.014566217150007e-06,7.746666666666805,0.0,0.0,0.0,2.857142857142857,2.142857142857143,2.2208045364497178,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,1.2051241738455638,3.0475262233189175,3.014566217150007,2.5234661686364115,3.0742549896240234,7.2205769675118585,8.385312216622488,0.0,0.0,1.2051241738455638,3.0475262233189175,3.014566217150007,2.5234661686364115,3.0742549896240234,7.2205769675118585,8.385312216622488,2.429999999999992,2.7389999999999857,5.009999999999938,5.709999999999923,7.746666666666805,7.684783756807858,5.84499999999992,15.07600000000056,30.00000000000189,4.963543268037029,5.134973480559711,15.008796556185189,18.435277030643192,55.49489790495485,84.18566621757377,66.93832356552593,140.7071491461955,293.6027173923794,0.0,0.0,1.2051241738455636e-06,3.047526223318917e-06,3.014566217150007e-06,2.5234661686364116e-06,3.0742549896240236e-06,7.2205769675118586e-06,8.385312216622488e-06,0.0,0.0,1.2051241738455638,3.0475262233189175,3.014566217150007,2.5234661686364115,3.0742549896240234,7.2205769675118585,8.385312216622488,243.0,273.9,501.0,571.0,774.6666666666666,768.4783756807271,584.5,1507.600000000009,3000.0
2,8.897337232317243,8.571428571428571,8.897337232317243,8.897337232317243,6.259999999999911,0,1,77.99383757635951,626,8.897337232317243e-06,"[0.0, 8.897337232317243]",0,48,48,0,46,2,46,2,254.27000000000166,626.1100000000083,25427,62611,2.997341200010851,12.273627099988516,3.9880952380952386,5.236774682998657,5.236774682998657,5.236774682998657e-06,5.297291666666701,0.0,0.0,2.857142857142857,5.714285714285714,3.9880952380952386,2.386155030098505,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8835552760532923,3.067474365234375,6.494015284946987,5.236774682998657,2.576921677617543,7.233291353498186,7.896322250366212,8.897337232317243,0.0,1.8835552760532923,3.067474365234375,6.494015284946987,5.236774682998657,2.576921677617543,7.233291353498186,7.896322250366212,8.897337232317243,2.010000000000001,2.5569999999999893,2.669999999999987,5.009999999999938,5.297291666666701,5.3624371556474,5.722499999999922,6.006999999999917,30.00000000000189,5.134469902724959,5.135748553309531,18.435803255459177,61.15644662454724,56.73289449087391,55.98389499110628,72.32195838727057,75.81971745025368,293.60024602524936,0.0,1.8835552760532924e-06,3.067474365234375e-06,6.494015284946987e-06,5.236774682998657e-06,2.576921677617543e-06,7.233291353498186e-06,7.896322250366211e-06,8.897337232317243e-06,0.0,1.8835552760532923,3.067474365234375,6.494015284946987,5.236774682998657,2.576921677617543,7.233291353498186,7.896322250366212,8.897337232317243,201.0,255.7,267.0,501.0,529.7291666666666,536.2437155647037,572.25,600.7,3000.0
3,8.897337232317243,8.571428571428571,8.897337232317243,8.897337232317243,6.259999999999911,0,1,77.99383757635951,626,8.897337232317243e-06,"[0.0, 8.897337232317243]",0,48,48,0,48,0,48,0,227.99999999999864,854.110000000007,22800,85411,2.733147499966435,15.075946099997964,4.107142857142857,5.338531108129593,5.338531108129593,5.338531108129591e-06,4.749999999999972,0.0,0.0,2.857142857142857,5.714285714285714,4.107142857142857,2.467906243050938,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8837378365652901,3.0704593658447266,6.886043548583984,5.338531108129593,2.6028055177242133,7.436051368713379,8.25804056440081,8.897337232317243,0.0,1.8837378365652901,3.0704593658447266,6.886043548583984,5.338531108129593,2.6028055177242133,7.436051368713379,8.25804056440081,8.897337232317243,2.389999999999993,2.6189999999999882,2.8024999999999842,5.009999999999938,4.749999999999972,3.0778327060883792,5.709999999999923,5.8599999999999195,23.560000000000883,5.13440462667495,13.0889794974064,18.43507454821156,62.74420702829957,50.35385597202958,35.150813789732325,72.4103049505502,76.6383802337572,202.57103987889423,0.0,1.8837378365652902e-06,3.0704593658447264e-06,6.886043548583984e-06,5.338531108129591e-06,2.6028055177242135e-06,7.436051368713378e-06,8.25804056440081e-06,8.897337232317243e-06,0.0,1.8837378365652901,3.0704593658447266,6.886043548583984,5.338531108129593,2.6028055177242133,7.436051368713379,8.25804056440081,8.897337232317243,239.0,261.9,280.25,501.0,475.0,307.78327060882737,571.0,586.0,2356.0
4,9.561884743826731,8.571428571428571,9.561884743826731,9.561884743826731,2.9399999999999813,0,1,81.44624298810959,294,9.561884743826731e-06,"[0.0, 9.561884743826731]",0,48,48,0,46,2,46,2,237.89000000000203,1092.000000000009,23789,109200,2.717328800004907,17.8595217000111,4.583333333333333,6.038004727590651,6.038004727590651,6.038004727590652e-06,4.956041666666709,0.0,0.0,2.857142857142857,5.714285714285714,4.583333333333333,2.719267566785814,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8836141313825334,3.0543191092354913,7.15658460344587,6.038004727590651,2.7078522095731365,7.798263004847935,8.575202941894531,9.561884743826731,0.0,1.8836141313825334,3.0543191092354913,7.15658460344587,6.038004727590651,2.7078522095731365,7.798263004847935,8.575202941894531,9.561884743826731,2.4999999999999907,2.6369999999999876,2.757499999999985,2.909999999999982,4.956041666666709,5.418810116769286,5.027499999999938,6.033999999999916,30.00000000000189,5.135020607194747,16.505858297785018,42.42785251895839,70.57562064751983,66.67046919737898,53.44353119739582,75.58313662,77.96420966349542,293.59845372335985,0.0,1.8836141313825334e-06,3.054319109235491e-06,7.15658460344587e-06,6.038004727590652e-06,2.7078522095731365e-06,7.798263004847934e-06,8.575202941894531e-06,9.561884743826731e-06,0.0,1.8836141313825334,3.0543191092354913,7.15658460344587,6.038004727590651,2.7078522095731365,7.798263004847935,8.575202941894531,9.561884743826731,250.0,263.7,275.75,291.0,495.6041666666667,541.8810116768923,502.75,603.4000000000001,3000.0
5,9.561884743826731,8.571428571428571,9.561884743826731,9.561884743826731,2.9399999999999813,0,1,81.44624298810959,294,9.561884743826731e-06,"[0.0, 9.561884743826731]",0,48,48,0,48,0,48,0,201.19999999999783,1293.2000000000069,20120,129320,2.1242653999943286,20.05049940000754,4.761904761904762,5.928148939495995,5.928148939495995,5.928148939495995e-06,4.191666666666621,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.761904761904762,2.357022603955158,5.714285714285714,8.571428571428571,8.571428571428571,1.8836048671177454,3.0389251708984375,3.073253631591797,7.154741287231445,5.928148939495995,2.5720506952847284,8.270676476614815,8.986262730189733,9.561884743826731,1.8836048671177454,3.0389251708984375,3.073253631591797,7.154741287231445,5.928148939495995,2.5720506952847284,8.270676476614815,8.986262730189733,9.561884743826731,1.8300000000000014,2.6969999999999863,2.814999999999984,3.824999999999963,4.191666666666621,1.5120878685519985,5.7199999999999225,5.8229999999999205,7.539999999999884,5.134588781394996,18.43496954276052,18.438895284883984,68.12172692269087,50.18306094178615,27.60034713822462,76.24096824415028,78.44240825548769,81.44624298810959,1.8836048671177454e-06,3.0389251708984375e-06,3.073253631591797e-06,7.154741287231446e-06,5.928148939495995e-06,2.5720506952847287e-06,8.270676476614816e-06,8.986262730189733e-06,9.561884743826731e-06,1.8836048671177454,3.0389251708984375,3.073253631591797,7.154741287231445,5.928148939495995,2.5720506952847284,8.270676476614815,8.986262730189733,9.561884743826731,183.0,269.7,281.5,382.5,419.1666666666667,151.20878685520302,572.0,582.3,754.0
6,9.561884743826731,8.571428571428571,9.561884743826731,9.561884743826731,2.9399999999999813,0,1,81.44624298810959,294,9.561884743826731e-06,"[0.0, 9.561884743826731]",0,48,48,0,46,2,46,2,270.8800000000038,1564.0800000000106,27088,156408,3.5516357999877073,23.67549420002615,4.404761904761904,5.767699309757778,5.767699309757778,5.7676993097577775e-06,5.643333333333413,0.0,0.0,2.857142857142857,2.857142857142857,4.404761904761904,3.1384348396343014,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.5128282819475443,3.050552095685686,5.394080025809151,5.767699309757778,2.9279440178111837,8.696725027901785,9.101763044084821,9.561884743826731,0.0,2.5128282819475443,3.050552095685686,5.394080025809151,5.767699309757778,2.9279440178111837,8.696725027901785,9.101763044084821,9.561884743826731,1.8800000000000014,2.637999999999988,2.8399999999999834,4.224999999999954,5.643333333333413,6.4382393858021985,5.717499999999923,6.351999999999909,30.00000000000189,5.134562348306645,17.059155643677514,18.826909794495805,71.01048510149121,66.23806522183774,62.349541691130405,77.89818366244435,79.73111775889993,293.6011143189389,0.0,2.5128282819475443e-06,3.0505520956856863e-06,5.3940800258091515e-06,5.7676993097577775e-06,2.927944017811184e-06,8.696725027901785e-06,9.101763044084821e-06,9.561884743826731e-06,0.0,2.5128282819475443,3.050552095685686,5.394080025809151,5.767699309757778,2.9279440178111837,8.696725027901785,9.101763044084821,9.561884743826731,188.0,263.8,284.0,422.5,564.3333333333334,643.8239385801749,571.75,635.2,3000.0
7,9.561884743826731,8.571428571428571,9.561884743826731,9.561884743826731,2.9399999999999813,0,1,81.44624298810959,294,9.561884743826731e-06,"[0.0, 9.561884743826731]",0,48,48,0,48,0,48,0,192.73999999999802,1756.8200000000086,19274,175682,2.4059111999813467,26.1494261000189,4.583333333333333,5.696521145956857,5.696521145956857,5.696521145956857e-06,4.015416666666625,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.583333333333333,2.6559894663479886,5.714285714285714,8.571428571428571,8.571428571428571,0.20865304129464285,2.98358154296875,3.0603790283203125,5.3872462681361615,5.696521145956857,2.790947530148354,8.420275960649763,9.311064583914622,9.561884743826731,0.20865304129464285,2.98358154296875,3.0603790283203125,5.3872462681361615,5.696521145956857,2.790947530148354,8.420275960649763,9.311064583914622,9.561884743826731,1.9000000000000015,2.5539999999999896,2.8474999999999833,3.094999999999978,4.015416666666625,1.4368541423501557,5.729999999999922,5.782999999999921,6.089999999999915,5.002585054528026,18.434822541678294,18.439059169089887,46.27172716706991,47.71670845235152,27.936821300652426,76.89358267374337,79.73111775889993,81.44624298810959,2.0865304129464284e-07,2.98358154296875e-06,3.0603790283203124e-06,5.387246268136161e-06,5.696521145956857e-06,2.790947530148355e-06,8.420275960649762e-06,9.31106458391462e-06,9.561884743826731e-06,0.20865304129464285,2.98358154296875,3.0603790283203125,5.3872462681361615,5.696521145956857,2.790947530148354,8.420275960649763,9.311064583914622,9.561884743826731,190.0,255.4,284.75,309.5,401.5416666666667,143.6854142350186,573.0,578.3,609.0
8,9.65437752859933,8.571428571428571,9.65437752859933,9.65437752859933,2.9399999999999813,0,1,81.44588914513588,294,9.65437752859933e-06,"[0.0, 9.65437752859933]",0,48,48,0,48,0,48,0,170.6499999999985,1927.470000000007,17065,192747,2.0146888000308536,28.23031280003488,5.416666666666667,6.705895037878126,6.705895037878126,6.705895037878127e-06,3.555208333333302,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.811515637766558,8.571428571428571,8.571428571428571,8.571428571428571,0.9781646728515624,3.0450820922851562,4.342584609985352,8.049824578421457,6.705895037878126,2.6979140408470608,8.883320944649832,9.421095711844307,9.65437752859933,0.9781646728515624,3.0450820922851562,4.342584609985352,8.049824578421457,6.705895037878126,2.6979140408470608,8.883320944649832,9.421095711844307,9.65437752859933,1.8400000000000014,2.502999999999991,2.8374999999999835,2.9249999999999816,3.555208333333302,1.186523264246076,4.634999999999946,5.642999999999924,5.899999999999919,5.135108137386851,18.436560002113403,35.10890025366098,75.2295646481216,58.184528736249526,25.818842244855997,78.18044565431774,80.20293185338377,81.44624298810959,9.781646728515624e-07,3.045082092285156e-06,4.342584609985352e-06,8.049824578421457e-06,6.705895037878127e-06,2.6979140408470606e-06,8.883320944649833e-06,9.421095711844307e-06,9.65437752859933e-06,0.9781646728515624,3.0450820922851562,4.342584609985352,8.049824578421457,6.705895037878126,2.6979140408470608,8.883320944649832,9.421095711844307,9.65437752859933,184.0,250.3,283.75,292.5,355.5208333333333,118.65232642461008,463.5,564.3000000000001,590.0
9,9.65437752859933,8.571428571428571,9.65437752859933,9.65437752859933,2.9399999999999813,0,1,81.44588914513588,294,9.65437752859933e-06,"[0.0, 9.65437752859933]",0,48,48,0,47,1,47,1,189.16000000000057,2116.630000000008,18916,211663,3.0164617000264116,31.31653130002087,5.476190476190477,6.6623977820078535,6.6623977820078535,6.6623977820078526e-06,3.940833333333345,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.476190476190477,3.076868567457163,8.571428571428571,8.571428571428571,8.571428571428571,0.5334908621651786,2.9963853018624445,4.67517716544015,8.284245899745397,6.6623977820078535,2.7077774486958868,9.03672354561942,9.492587225777761,9.65437752859933,0.5334908621651786,2.9963853018624445,4.67517716544015,8.284245899745397,6.6623977820078535,2.7077774486958868,9.03672354561942,9.492587225777761,9.65437752859933,1.8000000000000014,2.0000000000000013,2.819999999999984,2.904999999999982,3.940833333333345,4.014204380142791,4.727499999999944,5.804999999999921,30.00000000000189,5.135741169113317,18.443507294904702,39.10453554894775,76.45358492806554,62.33088478056334,42.022168486113586,78.87004539556801,81.41761956587433,293.48275882017333,5.334908621651786e-07,2.9963853018624445e-06,4.67517716544015e-06,8.284245899745396e-06,6.6623977820078526e-06,2.7077774486958868e-06,9.03672354561942e-06,9.492587225777763e-06,9.65437752859933e-06,0.5334908621651786,2.9963853018624445,4.67517716544015,8.284245899745397,6.6623977820078535,2.7077774486958868,9.03672354561942,9.492587225777761,9.65437752859933,180.0,200.0,282.0,290.5,394.0833333333333,401.420438014254,472.75,580.5,3000.0
10,9.65437752859933,8.571428571428571,9.65437752859933,9.65437752859933,2.9399999999999813,0,1,81.44588914513588,294,9.65437752859933e-06,"[0.0, 9.65437752859933]",0,48,48,0,48,0,48,0,154.8699999999988,2271.500000000007,15487,227150,1.8340966000105254,33.2194817000418,5.892857142857143,7.166937930243357,7.166937930243357,7.166937930243356e-06,3.2264583333333086,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.892857142857143,2.6983397515816994,8.571428571428571,8.571428571428571,8.571428571428571,0.7116644723074776,3.0411229814801897,5.184764862060547,8.373936244419642,7.166937930243357,2.3805794644318854,9.08649103982108,9.412786756243024,9.65437752859933,0.7116644723074776,3.0411229814801897,5.184764862060547,8.373936244419642,7.166937930243357,2.3805794644318854,9.08649103982108,9.412786756243024,9.65437752859933,1.8700000000000014,2.0000000000000013,2.7899999999999845,2.8799999999999826,3.2264583333333086,1.2078708705530132,2.9799999999999804,5.812999999999921,6.089999999999915,12.400732644127856,18.53824781684234,44.015163984149694,76.58511766418815,62.094498175239245,22.40763150800016,79.0548286922276,80.32876709345729,81.893311239779,7.116644723074776e-07,3.0411229814801896e-06,5.1847648620605465e-06,8.373936244419644e-06,7.166937930243356e-06,2.3805794644318853e-06,9.086491039821081e-06,9.412786756243025e-06,9.65437752859933e-06,0.7116644723074776,3.0411229814801897,5.184764862060547,8.373936244419642,7.166937930243357,2.3805794644318854,9.08649103982108,9.412786756243024,9.65437752859933,187.0,200.0,279.0,288.0,322.6458333333333,120.78708705530387,298.0,581.3,609.0
