generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9549170697579.914,8.571428571428571,9.549173627580915,9.549173627580915,2.9299999999999815,0,1,80.99913002550602,293,9549170.697579915,"[0.0, 9.549173627580915, -2.9299999999999815, -1.0]",0,48,48,0,38,10,38,10,469.56000000001694,469.56000000001694,46956,46956,15.366056600003503,15.42565770004876,2.380952380952381,3.41069635890779,3.41069635890779,3410686.576406999,9.782500000000352,0.0,0.0,0.0,2.857142857142857,2.380952380952381,2.564364193873573,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.41211918422154,3.048501695905413,3.41069635890779,2.963446351964764,7.142857142857142,7.6057022639683325,9.549173627580915,0.0,0.0,1.41211918422154,3.048501695905413,3.41069635890779,2.963446351964764,7.142857142857142,7.6057022639683325,9.549173627580915,2.0500000000000003,2.7269999999999857,2.817499999999984,5.009999999999938,9.782500000000352,10.45203758046007,6.129999999999914,30.00000000000189,30.00000000000189,5.134401126764715,5.134827031752502,18.43471803577995,61.30886429717066,91.00746483030177,107.09724903884431,75.822251457721,293.60084979580716,293.60185650293715,-30.00000000000189,-30.00000000000189,1412114.17422054,3048495.915904413,3410686.576406999,2963453.3424846516,7142852.740356143,7605699.517967332,9549170.697579915,-30000000.00000189,-30000000.00000189,1412114174220.54,3048495915904.413,3410686576406.9985,2963453342484.652,7142852740356.143,7605699517967.332,9549170697579.914,205.0,272.7,281.75,501.0,978.25,1045.2037580459291,613.0,3000.0,3000.0
2,9549170697579.914,8.571428571428571,9.549173627580915,9.549173627580915,2.9299999999999815,0,1,80.99913002550602,293,9549170.697579915,"[0.0, 9.549173627580915, -2.9299999999999815, -1.0]",0,48,48,0,47,1,47,1,205.31000000000023,674.8700000000172,20531,67487,2.8148498000227846,18.308927800040692,4.404761904761905,5.904759849820818,5.904759849820818,5904755.572528172,4.277291666666671,0.0,0.0,2.857142857142857,5.714285714285714,4.404761904761905,2.6699597014292626,5.714285714285714,6.571428571428584,8.571428571428571,0.0,1.8834669930594308,3.070205960954939,7.142857142857142,5.904759849820818,2.740001193607911,8.152616364615303,8.55787059238979,9.549173627580915,0.0,1.8834669930594308,3.070205960954939,7.142857142857142,5.904759849820818,2.740001193607911,8.152616364615303,8.55787059238979,9.549173627580915,1.9500000000000015,2.580999999999989,2.7824999999999847,2.859999999999983,4.277291666666671,3.9607799839929534,5.009999999999938,5.722999999999923,30.00000000000189,5.134584410552634,5.135204826993868,20.43358693923983,68.24134703353047,57.8254066367596,44.12509943495152,76.14849380776286,77.4590857602656,293.51383760443423,-5.010000999999938,1883461.983058431,3070200.2384539386,7142854.482856143,5904755.572528172,2740002.764066554,8152613.552114303,8557867.74938879,9549170.697579915,-5010000.999999938,1883461983058.431,3070200238453.9385,7142854482856.143,5904755572528.172,2740002764066.5537,8152613552114.303,8557867749388.789,9549170697579.914,195.0,258.1,278.25,286.0,427.7291666666667,396.0779983992701,501.0,572.3,3000.0
3,9549170697579.914,8.571428571428571,9.549173627580915,9.549173627580915,2.9299999999999815,0,1,80.99913002550602,293,9549170.697579915,"[0.0, 9.549173627580915, -2.9299999999999815, -1.0]",0,48,48,0,47,1,47,1,231.1399999999997,906.0100000000168,23114,90601,3.376104300026782,21.767918100056704,5.059523809523809,6.239309310913086,6.239309310913086,6239304.495495439,4.8154166666666605,0.0,0.0,2.857142857142857,5.714285714285714,5.059523809523809,2.6878147392561043,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8836631774902344,3.059415817260742,7.425283704485212,6.239309310913086,2.7966477283841846,8.538611957005092,8.800585065569196,9.549173627580915,0.0,1.8836631774902344,3.059415817260742,7.425283704485212,6.239309310913086,2.7966477283841846,8.538611957005092,8.800585065569196,9.549173627580915,2.0500000000000003,2.709999999999986,2.8299999999999836,2.9699999999999807,4.8154166666666605,4.259529002881742,5.749999999999922,6.115999999999915,30.00000000000189,5.134793739547604,18.436320212517604,18.568380272974537,72.42752083018422,63.25639924587116,43.867481627876366,77.43447734415531,78.273165589571,287.466291788267,-30.00000000000189,1883658.1674892344,3059410.0672597424,7425279.814484212,6239304.495495439,2796650.181184117,8538609.117004093,8800581.257568195,9549170.697579915,-30000000.00000189,1883658167489.2344,3059410067259.742,7425279814484.211,6239304495495.44,2796650181184.117,8538609117004.092,8800581257568.195,9549170697579.914,205.0,271.0,283.0,297.0,481.5416666666667,425.9529002881526,575.0,611.6000000000001,3000.0
4,9623340916342.47,8.571428571428571,9.62334496634347,9.62334496634347,4.049999999999958,0,1,81.26635491847992,405,9623340.91634247,"[0.0, 9.62334496634347, -4.049999999999958, -1.0]",0,48,48,0,48,0,48,0,183.89999999999822,1089.910000000015,18390,108991,2.2489696000120603,24.08314570004586,5.595238095238095,6.7769508702414365,6.7769508702414365,6776947.038990438,3.831249999999963,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.595238095238095,2.53937250091685,8.571428571428571,8.571428571428571,8.571428571428571,0.7657241821289062,3.0583741324288503,4.192389079502651,7.900041852678571,6.7769508702414365,2.5899288352407863,8.81169319152832,9.169283185686384,9.62334496634347,0.7657241821289062,3.0583741324288503,4.192389079502651,7.900041852678571,6.7769508702414365,2.5899288352407863,8.81169319152832,9.169283185686384,9.62334496634347,2.669999999999987,2.7539999999999853,2.8274999999999837,2.904999999999982,3.831249999999963,1.3440573291964113,5.009999999999938,5.742999999999922,7.269999999999889,5.134990951090003,18.435397263790218,32.70536174280278,74.6063561886549,58.999196980031535,26.540018256344045,77.89814851619303,79.2860049970448,81.26635491847992,765719.1721279062,3058368.3794278502,4192384.037001651,7900038.972677572,6776947.038990438,2589929.834157518,8811690.33152732,9169280.194685385,9623340.91634247,765719172127.9062,3058368379427.8506,4192384037001.6514,7900038972677.571,6776947038990.4375,2589929834157.518,8811690331527.32,9169280194685.385,9623340916342.47,267.0,275.4,282.75,290.5,383.125,134.40573291964398,501.0,574.3,727.0
5,9818049514347.492,8.571428571428571,9.818052564348493,9.818052564348493,3.049999999999979,0,1,82.73017332702875,305,9818049.514347492,"[0.0, 9.818052564348493, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,159.5799999999987,1249.4900000000139,15958,124949,2.016250399989076,26.188345700036734,6.011904761904762,7.368674391791934,7.368674391791934,7368671.0672076,3.3245833333333064,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.011904761904762,2.4907709467747234,8.571428571428571,8.571428571428571,8.571428571428571,1.883664812360491,3.047039031982422,5.122225625174386,8.466717856270925,7.368674391791934,2.335037337337687,9.32520866394043,9.591549464634486,9.818052564348493,1.883664812360491,3.047039031982422,5.122225625174386,8.466717856270925,7.368674391791934,2.335037337337687,9.32520866394043,9.591549464634486,9.818052564348493,1.7500000000000013,2.149999999999998,2.8274999999999837,2.909999999999982,3.3245833333333064,1.19709537063211,3.0199999999999796,5.785999999999921,6.7999999999998995,5.134793142235139,19.013174056422578,43.27261996269226,76.7716948390007,63.681153349822125,22.856765678933986,80.07313209585845,81.07929749339819,82.73017332702875,1883659.8023594911,3047033.245981422,5122223.595173386,8466714.901269926,7368671.0672076,2335037.970069013,9325205.753939431,9591546.198633486,9818049.514347492,1883659802359.4912,3047033245981.422,5122223595173.386,8466714901269.926,7368671067207.601,2335037970069.013,9325205753939.43,9591546198633.486,9818049514347.492,175.0,215.0,282.75,291.0,332.4583333333333,119.7095370632135,302.0,578.6,680.0
6,9818049514347.492,8.571428571428571,9.818052564348493,9.818052564348493,3.049999999999979,0,1,82.73017332702875,305,9818049.514347492,"[0.0, 9.818052564348493, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,163.44999999999862,1412.9400000000126,16345,141294,2.063699299993459,28.326378100027796,5.952380952380952,7.157593227568127,7.157593227568127,7157589.822358794,3.4052083333333045,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.952380952380952,2.8472049388336664,8.571428571428571,8.571428571428571,8.571428571428571,1.4354378836495536,3.061309814453125,5.000625337873186,8.401400702340261,7.157593227568127,2.523605743631632,9.20330115727016,9.641101837158205,9.818052564348493,1.4354378836495536,3.061309814453125,5.000625337873186,8.401400702340261,7.157593227568127,2.523605743631632,9.20330115727016,9.641101837158205,9.818052564348493,1.8800000000000014,2.020000000000001,2.812499999999984,2.909999999999982,3.4052083333333045,1.6170008111512433,3.0174999999999796,5.742999999999922,10.839999999999813,5.1352262978907675,18.437205635481224,42.00032899715006,76.58519781008363,61.45046020328164,23.96931798339983,79.23645415529609,81.44605199173093,82.73017332702875,1435431.3436485538,3061304.071452125,5000623.300372186,8401397.872339262,7157589.822358794,2523606.162109965,9203298.25976916,9641098.189157205,9818049.514347492,1435431343648.5537,3061304071452.125,5000623300372.186,8401397872339.262,7157589822358.794,2523606162109.965,9203298259769.16,9641098189157.203,9818049514347.492,188.0,202.0,281.25,291.0,340.5208333333333,161.70008111512774,301.75,574.3,1084.0
7,9818049514347.492,8.571428571428571,9.818052564348493,9.818052564348493,3.049999999999979,0,1,82.73017332702875,305,9818049.514347492,"[0.0, 9.818052564348493, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,156.95999999999876,1569.9000000000112,15696,156990,1.9701982999686152,30.369680600007996,5.1190476190476195,6.494549796694801,6.494549796694801,6494546.5266937995,3.2699999999999743,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.1190476190476195,2.669959701429262,8.571428571428571,8.571428571428571,8.571428571428571,1.8588474818638394,3.039960043770926,4.47678702218192,5.578051975795201,6.494549796694801,2.5547617140773564,9.095518929617745,9.389973504202706,9.818052564348493,1.8588474818638394,3.039960043770926,4.47678702218192,5.578051975795201,6.494549796694801,2.5547617140773564,9.095518929617745,9.389973504202706,9.818052564348493,1.7200000000000013,1.9380000000000015,2.1199999999999988,2.8799999999999826,3.2699999999999743,1.4038978476607848,3.0699999999999785,5.812999999999921,6.219999999999912,4.988563963372144,18.439945371263455,36.434678107500076,48.25660031288862,54.714230281366476,24.944132489829553,78.84677766263485,80.24168686419726,82.73017332702875,1858842.4718628393,3039954.230769926,4476785.24968092,5578049.855794201,6494546.5266937995,2554762.41217541,9095516.022116745,9389970.591201706,9818049.514347492,1858842471862.8394,3039954230769.9263,4476785249680.92,5578049855794.201,6494546526693.801,2554762412175.41,9095516022116.744,9389970591201.705,9818049514347.492,172.0,193.8,212.0,288.0,327.0,140.38978476608142,307.0,581.3,622.0
8,9818049514347.492,8.571428571428571,9.818052564348493,9.818052564348493,3.049999999999979,0,1,82.73017332702875,305,9818049.514347492,"[0.0, 9.818052564348493, -3.049999999999979, -1.0]",0,48,48,0,48,0,48,0,145.99999999999898,1715.90000000001,14600,171590,1.8940052000107244,32.336375700018834,6.25,7.634750093732561,7.634750093732561,7634747.052064896,3.041666666666645,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.25,2.5190599963689078,8.571428571428571,8.571428571428571,8.571428571428571,1.876765659877232,4.609711783272879,5.516650336129324,8.472085680280411,7.634750093732561,2.055874870418076,9.20875072479248,9.583186830793109,9.818052564348493,1.876765659877232,4.609711783272879,5.516650336129324,8.472085680280411,7.634750093732561,2.055874870418076,9.20875072479248,9.583186830793109,9.818052564348493,1.7800000000000014,1.9770000000000016,2.772499999999985,2.869999999999983,3.041666666666645,1.1098485882717684,2.9424999999999812,4.932999999999939,6.699999999999902,5.134629658408812,37.89316345173866,47.540108900517225,76.58435629308224,66.22116506260652,19.364454881070518,79.39364721998572,81.13334572017193,82.73017332702875,1876760.649876232,4609707.81027188,5516648.236128324,8472082.830279412,7634747.052064896,2055874.9008811275,9208747.82479148,9583183.897792108,9818049.514347492,1876760649876.232,4609707810271.88,5516648236128.324,8472082830279.412,7634747052064.895,2055874900881.1277,9208747824791.48,9583183897792.107,9818049514347.492,178.0,197.7,277.25,287.0,304.1666666666667,110.98485882717917,294.25,493.30000000000007,670.0
9,9873153431133.209,8.571428571428571,9.873158591134208,9.873158591134208,5.159999999999934,0,1,83.14271692931652,516,9873153.431133209,"[0.0, 9.873158591134208, -5.159999999999934, -1.0]",0,48,48,0,48,0,48,0,159.3099999999987,1875.2100000000087,15931,187521,1.9295702000381425,34.33933149999939,5.238095238095238,6.6413756779262,6.6413756779262,6641372.358966867,3.318958333333306,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.238095238095238,3.049106779729928,8.571428571428571,8.571428571428571,8.571428571428571,1.882117135184152,2.685396466936384,4.576899664742606,7.24085807800293,6.6413756779262,2.655011932363706,9.028383663722447,9.711858204432897,9.873158591134208,1.882117135184152,2.685396466936384,4.576899664742606,7.24085807800293,6.6413756779262,2.655011932363706,9.028383663722447,9.711858204432897,9.873158591134208,1.7900000000000014,1.9280000000000015,2.812499999999984,2.899999999999982,3.318958333333306,1.1592099313456987,4.397499999999951,5.009999999999938,5.83999999999992,5.134959468981833,14.448066232018757,37.61172864632681,70.7151108533144,56.20431995802877,26.1007386655265,78.69901509582996,81.89419072195888,83.14271692931652,1882112.1251831518,2685390.8829353843,4576895.1872416055,7240855.338001929,6641372.358966867,2655012.446069253,9028380.766221445,9711855.251431897,9873153.431133209,1882112125183.1519,2685390882935.3843,4576895187241.605,7240855338001.93,6641372358966.867,2655012446069.253,9028380766221.447,9711855251431.896,9873153431133.209,179.0,192.8,281.25,290.0,331.8958333333333,115.92099313457229,439.75,501.0,584.0
10,9873153431133.209,8.571428571428571,9.873158591134208,9.873158591134208,5.159999999999934,0,1,83.14271692931652,516,9873153.431133209,"[0.0, 9.873158591134208, -5.159999999999934, -1.0]",0,48,48,0,48,0,48,0,148.60999999999893,2023.8200000000077,14861,202382,1.7842184999608435,36.20272210001713,6.011904761904762,7.359890143076579,7.359890143076579,7359887.0470339125,3.0960416666666446,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.011904761904762,2.687814739256104,8.571428571428571,8.571428571428571,8.571428571428571,2.113783700125558,4.292666299002512,5.123923165457589,8.511575971330915,7.359890143076579,2.2537237655994864,9.113990238734655,9.432184219360352,9.873158591134208,2.113783700125558,4.292666299002512,5.123923165457589,8.511575971330915,7.359890143076579,2.2537237655994864,9.113990238734655,9.432184219360352,9.873158591134208,1.7300000000000013,1.9440000000000015,2.724999999999986,2.8849999999999825,3.0960416666666446,1.0925309674926866,2.9724999999999806,4.95999999999994,6.059999999999915,8.199729967367603,34.53999640084803,43.32556777074933,76.98466017469764,63.55394229735369,21.357145913073694,79.20928225666285,80.55307490825653,83.14271692931652,2113778.600124558,4292663.684001512,5123921.18545659,8511573.131329915,7359887.0470339125,2253723.952954272,9113987.308733653,9432181.299359351,9873153.431133209,2113778600124.558,4292663684001.5117,5123921185456.59,8511573131329.915,7359887047033.911,2253723952954.272,9113987308733.652,9432181299359.352,9873153431133.209,173.0,194.4,272.5,288.5,309.6041666666667,109.25309674927094,297.25,496.0000000000001,606.0
