generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7.939902714320592,5.714285714285714,7.939902714320592,7.939902714320592,3.183333333333327,0,1,75.15539948642254,191,7.939902714320591e-06,"[0.0, 7.939902714320592]",0,64,64,0,49,15,49,15,675.5333333333264,675.5333333333264,40532,40532,21.166399200010346,21.202302699995926,0.9821428571428571,2.272243882928576,2.272243882928576,2.2722438829285753e-06,10.555208333333225,0.0,0.0,0.0,0.0,0.9821428571428571,2.155838654937435,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,1.875811985560826,2.272243882928576,2.439527957743926,2.1118136814662387,7.142857142857142,7.939902714320592,0.0,0.0,0.0,1.875811985560826,2.272243882928576,2.439527957743926,2.1118136814662387,7.142857142857142,7.939902714320592,2.6499999999999955,2.926666666666661,5.016666666666654,5.016666666666654,10.555208333333225,10.796277922065658,5.3833333333333195,30.016666666666243,30.016666666666243,5.173347968608141,5.173570593644399,5.174898268916877,7.712458831814729,86.06881921837663,117.23664818292212,74.80913657322526,293.8718473894056,293.8723520003259,0.0,0.0,0.0,1.875811985560826e-06,2.2722438829285753e-06,2.4395279577439264e-06,2.1118136814662385e-06,7.142857142857143e-06,7.939902714320591e-06,0.0,0.0,0.0,1.875811985560826,2.272243882928576,2.439527957743926,2.1118136814662387,7.142857142857142,7.939902714320592,159.0,175.6,301.0,301.0,633.3125,647.7766753239499,323.0,1801.0,1801.0
2,8.13208716256278,5.714285714285714,8.13208716256278,8.13208716256278,4.933333333333321,0,1,75.9335427582264,296,8.132087162562779e-06,"[0.0, 8.13208716256278]",0,64,64,0,58,6,58,6,433.9999999999968,1109.5333333333233,26040,66572,9.692910700003267,31.162551600005827,2.2321428571428568,3.888183491570609,3.888183491570609,3.888183491570609e-06,6.78124999999995,0.0,0.0,0.0,0.0,2.2321428571428568,2.741812952282873,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.06348364693777916,1.8758065359933036,2.1118763514927457,3.888183491570609,2.859606868278815,7.142857142857142,7.506488527570452,8.13208716256278,0.0,0.06348364693777916,1.8758065359933036,2.1118763514927457,3.888183491570609,2.859606868278815,7.142857142857142,7.506488527570452,8.13208716256278,2.6999999999999953,2.8499999999999948,2.9499999999999944,5.016666666666654,6.78124999999995,7.563116079129494,5.016666666666654,7.341666666666646,30.016666666666243,5.173346060328186,5.173675034579356,7.705636527680326,46.16720791923581,60.372857214299415,80.0357898134892,71.43648158758879,75.9891688540578,293.87283050455153,0.0,6.348364693777916e-08,1.8758065359933037e-06,2.1118763514927457e-06,3.888183491570609e-06,2.8596068682788153e-06,7.142857142857143e-06,7.506488527570452e-06,8.132087162562779e-06,0.0,0.06348364693777916,1.8758065359933036,2.1118763514927457,3.888183491570609,2.859606868278815,7.142857142857142,7.506488527570452,8.13208716256278,162.0,171.0,177.0,301.0,406.875,453.7869647477768,301.0,440.5,1801.0
3,8.35514886038644,5.714285714285714,8.35514886038644,8.35514886038644,3.0833333333333273,0,1,77.03199988603592,185,8.355148860386439e-06,"[0.0, 8.35514886038644]",0,64,64,0,60,4,60,4,361.46666666666465,1470.999999999988,21688,88260,8.775110300004599,40.14675050000369,3.571428571428571,5.259576269558498,5.259576269558498,5.259576269558498e-06,5.647916666666635,0.0,0.0,0.0,5.714285714285714,3.571428571428571,2.7199189663799674,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.8754049028669084,2.1118640899658203,7.142857142857142,5.259576269558498,2.8310722812086384,7.529741695949009,7.9842294965471545,8.35514886038644,0.0,1.8754049028669084,2.1118640899658203,7.142857142857142,5.259576269558498,2.8310722812086384,7.529741695949009,7.9842294965471545,8.35514886038644,2.366666666666663,2.7649999999999952,2.929166666666661,3.133333333333327,5.647916666666635,6.672463300240351,5.016666666666654,5.7516666666666545,30.016666666666243,5.173352207988501,7.7056393617531285,8.106353251518158,69.51118241995573,67.40608451245419,66.9109125402109,74.15431761369109,76.49790737777948,293.8723411592655,0.0,1.8754049028669084e-06,2.1118640899658206e-06,7.142857142857143e-06,5.259576269558498e-06,2.8310722812086386e-06,7.529741695949009e-06,7.984229496547154e-06,8.355148860386439e-06,0.0,1.8754049028669084,2.1118640899658203,7.142857142857142,5.259576269558498,2.8310722812086384,7.529741695949009,7.9842294965471545,8.35514886038644,142.0,165.9,175.75,188.0,338.875,400.3477980144265,301.0,345.1000000000002,1801.0
4,8.477355412074498,5.714285714285714,8.477355412074498,8.477355412074498,3.0833333333333273,0,1,77.51677533984184,185,8.477355412074498e-06,"[0.0, 8.477355412074498]",0,64,64,0,64,0,64,0,248.1333333333328,1719.1333333333207,14888,103148,6.101248900013161,46.43993399999454,3.705357142857143,5.530514631952558,5.530514631952558,5.530514631952558e-06,3.877083333333325,0.0,0.0,0.0,5.714285714285714,3.705357142857143,2.7048561535180555,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.8758059910365512,2.111560276576451,7.142857142857142,5.530514631952558,2.7403741835125945,7.589801379612514,8.136071886335102,8.477355412074498,0.0,1.8758059910365512,2.111560276576451,7.142857142857142,5.530514631952558,2.7403741835125945,7.589801379612514,8.136071886335102,8.477355412074498,2.5666666666666624,2.8599999999999945,2.933333333333328,3.0833333333333273,3.877083333333325,1.1846475243482488,5.016666666666654,5.016666666666654,7.616666666666645,5.17333984375,5.174228203442181,7.705803009659576,69.43303667008877,48.85935000296513,31.030451341839832,73.19314052350819,75.99367307126522,77.51677533984184,0.0,1.8758059910365513e-06,2.111560276576451e-06,7.142857142857143e-06,5.530514631952558e-06,2.7403741835125944e-06,7.589801379612515e-06,8.136071886335102e-06,8.477355412074498e-06,0.0,1.8758059910365512,2.111560276576451,7.142857142857142,5.530514631952558,2.7403741835125945,7.589801379612514,8.136071886335102,8.477355412074498,154.0,171.6,176.0,185.0,232.625,71.07885146089518,301.0,301.0,457.0
5,8.743043627057755,8.571428571428571,8.743043627057755,8.743043627057755,3.099999999999994,0,1,78.6195824444294,186,8.743043627057756e-06,"[0.0, 8.743043627057755]",0,64,64,0,63,1,63,1,250.0833333333325,1969.2166666666533,15005,118153,8.175578700000187,54.82847199999378,4.642857142857143,6.480041146278381,6.480041146278381,6.480041146278381e-06,3.90755208333332,0.0,0.0,5.714285714285714,5.714285714285714,4.642857142857143,2.286830084797446,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8758283342633928,6.774424144199916,7.373331614903041,6.480041146278381,2.322202615418805,7.846567971365793,8.253299713134766,8.743043627057755,0.0,1.8758283342633928,6.774424144199916,7.373331614903041,6.480041146278381,2.322202615418805,7.846567971365793,8.253299713134766,8.743043627057755,2.5666666666666624,2.883333333333328,2.933333333333328,3.0416666666666607,3.90755208333332,3.435102610578561,3.3708333333333265,5.016666666666654,30.016666666666243,5.173356242245063,5.9341152148583225,64.17612360417843,72.08311090618372,63.89653374966008,38.4601543448225,75.19269889220595,76.67598703354597,293.87181876786053,0.0,1.8758283342633927e-06,6.774424144199916e-06,7.373331614903041e-06,6.480041146278381e-06,2.3222026154188047e-06,7.846567971365793e-06,8.253299713134765e-06,8.743043627057756e-06,0.0,1.8758283342633928,6.774424144199916,7.373331614903041,6.480041146278381,2.322202615418805,7.846567971365793,8.253299713134766,8.743043627057755,154.0,173.0,176.0,182.5,234.453125,206.1061566347167,202.25,301.0,1801.0
6,9.440422058105469,8.571428571428571,9.440422058105469,9.440422058105469,3.1499999999999937,0,1,80.70297828316689,189,9.440422058105468e-06,"[0.0, 9.440422058105469]",0,64,64,0,64,0,64,0,231.98333333333284,2201.199999999986,13919,132072,5.089682200006791,60.11455620000197,4.464285714285714,6.3931104115077435,6.3931104115077435,6.3931104115077425e-06,3.6247395833333256,0.0,0.0,5.0,5.714285714285714,4.464285714285714,2.5691954589175285,5.714285714285714,5.714285714285714,8.571428571428571,1.873675755092076,1.9668573651994978,6.322334834507534,7.463254928588867,6.3931104115077435,2.495522124656718,7.995989663260323,8.472830908639091,9.440422058105469,1.873675755092076,1.9668573651994978,6.322334834507534,7.463254928588867,6.3931104115077435,2.495522124656718,7.995989663260323,8.472830908639091,9.440422058105469,2.28333333333333,2.9049999999999945,2.966666666666661,3.049999999999994,3.6247395833333256,1.1153871407945395,5.016666666666654,5.016666666666654,7.583333333333312,5.173348316922784,6.215528356880533,55.38749653263221,72.73200557380915,57.271373685819526,28.499463079949557,75.51756908372045,77.34155791848897,80.70297828316689,1.8736757550920759e-06,1.966857365199498e-06,6.322334834507534e-06,7.463254928588867e-06,6.3931104115077425e-06,2.495522124656718e-06,7.995989663260324e-06,8.47283090863909e-06,9.440422058105468e-06,1.873675755092076,1.9668573651994978,6.322334834507534,7.463254928588867,6.3931104115077435,2.495522124656718,7.995989663260323,8.472830908639091,9.440422058105469,137.0,174.3,178.0,183.0,217.484375,66.9232284476726,301.0,301.0,455.0
7,9.440422058105469,8.571428571428571,9.440422058105469,9.440422058105469,3.1499999999999937,0,1,80.70297828316689,189,9.440422058105468e-06,"[0.0, 9.440422058105469]",0,64,64,0,64,0,64,0,220.08333333333286,2421.283333333319,13205,145277,4.880596000002697,65.19064220000291,5.535714285714286,7.2298189997673035,7.2298189997673035,7.229818999767303e-06,3.438802083333326,0.0,0.0,5.714285714285714,5.714285714285714,5.535714285714286,2.415669510440836,5.714285714285714,8.571428571428571,8.571428571428571,1.8756866455078125,2.1424004690987726,7.266902242388045,7.69716671534947,7.2298189997673035,2.0926681998373513,8.483897617885045,8.764598573957171,9.440422058105469,1.8756866455078125,2.1424004690987726,7.266902242388045,7.69716671534947,7.2298189997673035,2.0926681998373513,8.483897617885045,8.764598573957171,9.440422058105469,2.7333333333333285,2.9049999999999945,2.9499999999999944,3.0666666666666607,3.438802083333326,0.9314762713898409,3.158333333333327,5.016666666666654,7.316666666666646,5.165791656647343,8.059145253763564,70.63144354149699,74.03744196146727,65.40728234130972,22.88471924498527,77.38564589619637,78.43651787489652,80.7449610978365,1.8756866455078126e-06,2.1424004690987724e-06,7.2669022423880446e-06,7.69716671534947e-06,7.229818999767303e-06,2.092668199837351e-06,8.483897617885045e-06,8.76459857395717e-06,9.440422058105468e-06,1.8756866455078125,2.1424004690987726,7.266902242388045,7.69716671534947,7.2298189997673035,2.0926681998373513,8.483897617885045,8.764598573957171,9.440422058105469,164.0,174.3,177.0,184.0,206.328125,55.88857628339064,189.5,301.0,439.0
8,9.440422058105469,8.571428571428571,9.440422058105469,9.440422058105469,3.1499999999999937,0,1,80.70297828316689,189,9.440422058105468e-06,"[0.0, 9.440422058105469]",0,64,64,0,64,0,64,0,237.04999999999967,2658.333333333319,14223,159500,5.368875200001639,70.75133189999906,5.178571428571429,6.804485108171191,6.804485108171191,6.80448510817119e-06,3.703906249999995,0.0,0.0,2.857142857142857,5.714285714285714,5.178571428571429,3.0670650066638694,8.571428571428571,8.571428571428571,8.571428571428571,1.3379996163504466,2.109485626220703,5.201499121529715,7.9859883444649835,6.804485108171191,2.6559315077029377,8.750741822378975,9.127909251621793,9.440422058105469,1.3379996163504466,2.109485626220703,5.201499121529715,7.9859883444649835,6.804485108171191,2.6559315077029377,8.750741822378975,9.127909251621793,9.440422058105469,2.0166666666666644,2.921666666666661,3.0333333333333274,3.099999999999994,3.703906249999995,1.3449808387069102,5.004166666666654,5.016666666666654,11.250000000000139,4.0159879863786045,7.705962160549097,44.015074234455824,75.35230017453432,60.02465347405621,28.366560558117992,78.16176789999008,79.64741900414228,80.7449610978365,1.3379996163504466e-06,2.1094856262207034e-06,5.2014991215297155e-06,7.985988344464984e-06,6.80448510817119e-06,2.6559315077029377e-06,8.750741822378975e-06,9.127909251621792e-06,9.440422058105468e-06,1.3379996163504466,2.109485626220703,5.201499121529715,7.9859883444649835,6.804485108171191,2.6559315077029377,8.750741822378975,9.127909251621793,9.440422058105469,121.0,175.3,182.0,186.0,222.234375,80.69885032241397,300.25,301.0,675.0
9,9.440422058105469,8.571428571428571,9.440422058105469,9.440422058105469,3.1499999999999937,0,1,80.70297828316689,189,9.440422058105468e-06,"[0.0, 9.440422058105469]",0,64,64,0,64,0,64,0,231.24999999999952,2889.5833333333185,13875,173375,5.263673199995537,76.20607529999688,5.3125,7.1372756361961365,7.1372756361961365,7.137275636196136e-06,3.6132812499999925,0.0,0.0,5.714285714285714,5.714285714285714,5.3125,2.895597797889558,8.571428571428571,8.571428571428571,8.571428571428571,1.8651144845145091,2.110480172293527,7.2869416645595,8.160912649972097,7.1372756361961365,2.5618398660425554,8.83232797895159,9.26761054992676,9.440422058105469,1.8651144845145091,2.110480172293527,7.2869416645595,8.160912649972097,7.1372756361961365,2.5618398660425554,8.83232797895159,9.26761054992676,9.440422058105469,2.33333333333333,3.004999999999994,3.049999999999994,3.1166666666666605,3.6132812499999925,1.0507982237373374,3.5291666666666592,5.016666666666654,8.31666666666666,5.16356599755818,7.705745991550794,71.28721702471375,76.11971268057823,63.14059828930658,26.88047548727375,78.67902812734246,80.31709183603525,80.7449610978365,1.8651144845145092e-06,2.1104801722935266e-06,7.286941664559501e-06,8.160912649972099e-06,7.137275636196136e-06,2.561839866042555e-06,8.83232797895159e-06,9.267610549926759e-06,9.440422058105468e-06,1.8651144845145091,2.110480172293527,7.2869416645595,8.160912649972097,7.1372756361961365,2.5618398660425554,8.83232797895159,9.26761054992676,9.440422058105469,140.0,180.3,183.0,187.0,216.796875,63.04789342424039,211.75,301.0,499.0
10,9.462827954973493,8.571428571428571,9.462827954973493,9.462827954973493,3.1666666666666603,0,1,81.38143150508404,190,9.462827954973492e-06,"[0.0, 9.462827954973493]",0,64,64,0,64,0,64,0,214.7833333333329,3104.3666666666513,12887,186262,4.744754900006228,81.21357019999414,5.580357142857142,7.025715112686157,7.025715112686157,7.025715112686157e-06,3.3559895833333266,0.0,0.0,2.857142857142857,5.714285714285714,5.580357142857142,2.9636267555004907,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.1061652047293524,5.616332462855748,8.035090310232981,7.025715112686157,2.540022436927528,8.819511277335032,9.304384231567385,9.462827954973493,0.0,2.1061652047293524,5.616332462855748,8.035090310232981,7.025715112686157,2.540022436927528,8.819511277335032,9.304384231567385,9.462827954973493,2.166666666666664,2.3516666666666635,3.012499999999994,3.0833333333333273,3.3559895833333266,0.9001319694308649,3.1499999999999937,5.016666666666654,6.349999999999983,5.1745466128923,7.929730282777746,47.39992739140871,75.68276038765907,61.979040875867554,25.432502177409628,78.67900624498725,80.70239873975515,81.38143150508404,0.0,2.1061652047293524e-06,5.616332462855748e-06,8.03509031023298e-06,7.025715112686157e-06,2.540022436927528e-06,8.819511277335032e-06,9.304384231567384e-06,9.462827954973492e-06,0.0,2.1061652047293524,5.616332462855748,8.035090310232981,7.025715112686157,2.540022436927528,8.819511277335032,9.304384231567385,9.462827954973493,130.0,141.1,180.75,185.0,201.359375,54.00791816585208,189.0,301.0,381.0
