generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8784761791221.789,8.571428571428571,8.784762791224889,8.784762791224889,3.099999999999994,0,1,78.50490103662014,186,8784761.791221788,"[0.0, 8.784762791224889, -1.0, -3.099999999999994]",0,64,64,0,50,14,50,14,645.7333333333268,645.7333333333268,38744,38744,18.709815000009257,18.741859499990824,1.2946428571428572,2.711530753544399,2.711530753544399,2711529.972284309,10.08958333333323,0.0,0.0,0.0,0.0,1.2946428571428572,2.4707310896467343,0.0,5.714285714285714,8.571428571428571,0.0,0.0,1.875215257917132,2.062585013253348,2.711530753544399,2.5868464152789357,2.1118763514927457,7.154785701206752,8.784762791224889,0.0,0.0,1.875215257917132,2.062585013253348,2.711530753544399,2.5868464152789357,2.1118763514927457,7.154785701206752,8.784762791224889,2.4833333333333294,2.9249999999999945,5.016666666666654,5.016666666666654,10.08958333333323,10.582824175744328,5.016666666666654,30.016666666666243,30.016666666666243,5.133153157134075,5.173665027006064,6.659344310042798,7.706064195033832,83.39522948753643,113.96366845049072,74.65023986622691,293.87173525169493,293.8725333614275,-1.0000050166666667,-3.0016666666666243e-05,1875214.2579121152,2062584.0132483316,2711529.972284309,2586846.2032490033,2111875.351487729,7154784.701203897,8784761.791221788,-1000005.0166666667,-30.016666666666243,1875214257912.1152,2062584013248.3315,2711529972284.309,2586846203249.0034,2111875351487.729,7154784701203.896,8784761791221.789,149.0,175.5,301.0,301.0,605.375,634.9694505446699,301.0,1801.0,1801.0
2,8784761791221.789,8.571428571428571,8.784762791224889,8.784762791224889,3.099999999999994,0,1,78.50490103662014,186,8784761.791221788,"[0.0, 8.784762791224889, -1.0, -3.099999999999994]",0,64,64,0,62,2,62,2,319.59999999999854,965.3333333333253,19176,57920,6.651069200001075,25.66182480000134,2.4107142857142856,4.201502629688807,4.201502629688807,4201501.660933815,4.993749999999977,0.0,0.0,0.0,0.0,2.4107142857142856,2.866891849643272,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8758245195661274,2.111234664916992,2.1118763514927457,4.201502629688807,2.7607096476070447,7.197333063398089,7.684160505022322,8.784762791224889,0.0,1.8758245195661274,2.111234664916992,2.1118763514927457,4.201502629688807,2.7607096476070447,7.197333063398089,7.684160505022322,8.784762791224889,2.466666666666663,2.883333333333328,2.9749999999999943,5.016666666666654,4.993749999999977,4.6255531763778635,5.016666666666654,5.016666666666654,30.016666666666243,5.173343190923333,6.2080941054096925,7.705742825266498,7.707299752099061,43.36670277287658,54.53119759393723,70.95297749713063,74.5446290075779,293.87199433799833,-1.0000068,1875823.5195611108,2111233.6649119756,2111875.351487729,4201501.660933815,2760709.6000501257,7197332.063395189,7684159.505019315,8784761.791221788,-1000006.8,1875823519561.1106,2111233664911.9756,2111875351487.729,4201501660933.8145,2760709600050.126,7197332063395.189,7684159505019.315,8784761791221.789,148.0,173.0,178.5,301.0,299.625,277.53319058267607,301.0,301.0,1801.0
3,8784761791221.789,8.571428571428571,8.784762791224889,8.784762791224889,3.099999999999994,0,1,78.50490103662014,186,8784761.791221788,"[0.0, 8.784762791224889, -1.0, -3.099999999999994]",0,64,64,0,63,1,63,1,280.44999999999897,1245.7833333333242,16827,74747,6.072316600009799,31.926777899992885,3.303571428571429,4.956763897623334,4.956763897623334,4956762.913243952,4.382031249999984,0.0,0.0,0.0,5.714285714285714,3.303571428571429,2.866891849643272,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8724403381347656,2.1117169516427174,6.820844922746931,4.956763897623334,2.9262847647437327,7.536130632672991,7.984936850411551,8.784762791224889,0.0,1.8724403381347656,2.1117169516427174,6.820844922746931,4.956763897623334,2.9262847647437327,7.536130632672991,7.984936850411551,8.784762791224889,2.4333333333333296,2.804999999999995,2.962499999999994,3.1166666666666605,4.382031249999984,3.4522213871603804,5.016666666666654,5.016666666666654,30.016666666666243,5.173480897443369,7.7056740275977065,7.705847029148572,61.12178315222263,49.30056297862575,42.53974666552799,73.02004329029296,75.54696368724107,293.87227472290397,-1.0000054666666667,1872439.3381297488,2111715.951637701,6820843.922744289,4956762.913243952,2926284.738278495,7536129.632668499,7984935.850408523,8784761.791221788,-1000005.4666666667,1872439338129.749,2111715951637.701,6820843922744.289,4956762913243.952,2926284738278.4946,7536129632668.499,7984935850408.523,8784761791221.789,146.0,168.3,177.75,187.0,262.921875,207.1332832296258,301.0,301.0,1801.0
4,8784761791221.789,8.571428571428571,8.784762791224889,8.784762791224889,3.099999999999994,0,1,78.50490103662014,186,8784761.791221788,"[0.0, 8.784762791224889, -1.0, -3.099999999999994]",0,64,64,0,62,2,62,2,290.96666666666545,1536.7499999999895,17458,92205,7.178099500000826,39.30025780000142,3.883928571428571,5.684438986437661,5.684438986437661,5684438.017683115,4.546354166666648,0.0,0.0,0.0,5.714285714285714,3.883928571428571,2.783295080493989,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8757095336914062,2.111658368791853,7.142857142857142,5.684438986437661,2.8871593091150487,8.024217060634069,8.391244615827288,8.784762791224889,0.0,1.8757095336914062,2.111658368791853,7.142857142857142,5.684438986437661,2.8871593091150487,8.024217060634069,8.391244615827288,8.784762791224889,2.1833333333333305,2.8033333333333283,2.9458333333333275,3.049999999999994,4.546354166666648,4.757116807375005,5.016666666666654,5.016666666666654,30.016666666666243,5.173567424702924,5.174936305184383,7.705940278259732,70.47090911865234,60.399364607870666,51.263794678640124,76.01275288313627,77.34157342165709,293.87140243873,-1.00000995,1875708.5336863897,2111657.368786836,7142856.142854376,5684438.017683115,2887159.2475904436,8024216.060631031,8391243.615822947,8784761.791221788,-1000009.95,1875708533686.3896,2111657368786.8362,7142856142854.376,5684438017683.115,2887159247590.444,8024216060631.031,8391243615822.946,8784761791221.789,131.0,168.2,176.75,183.0,272.78125,285.4270084425044,301.0,301.0,1801.0
5,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,64,0,64,0,251.08333333333294,1787.8333333333226,15065,107270,5.393173400007072,44.888129799990566,4.508928571428571,6.27167454787663,6.27167454787663,6271673.547872707,3.9231770833333273,0.0,0.0,5.0,5.714285714285714,4.508928571428571,2.6149436867156197,5.714285714285714,5.714285714285714,8.571428571428571,0.18545423235212052,1.946507045200893,5.680554253714425,7.343789509364537,6.27167454787663,2.5232095412218407,7.88564818246024,8.431799479893275,9.395972660609655,0.18545423235212052,1.946507045200893,5.680554253714425,7.343789509364537,6.27167454787663,2.5232095412218407,7.88564818246024,8.431799479893275,9.395972660609655,2.6166666666666623,2.8999999999999946,2.962499999999994,3.0666666666666607,3.9231770833333273,1.5713516419090947,5.016666666666654,5.016666666666654,11.433333333333481,5.1734831859357655,7.7056386491050946,51.91619852644362,71.949372574687,57.05039980368508,28.069986117822612,74.96269042417407,77.341644538939,97.73913592693134,185453.23234710385,1946506.0451958764,5680553.253704287,7343788.509361603,6271673.547872707,2523209.5412226063,7885647.182457073,8431798.47989021,9395971.660606503,185453232347.10385,1946506045195.8765,5680553253704.287,7343788509361.604,6271673547872.707,2523209541222.6064,7885647182457.073,8431798479890.209,9395971660606.504,157.0,174.0,177.75,184.0,235.390625,94.28109851454519,301.0,301.0,686.0
6,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,64,0,64,0,225.58333333333286,2013.4166666666554,13535,120805,4.759726799995406,49.83835330000147,4.9107142857142865,6.6668794836316785,6.6668794836316785,6666878.483628154,3.524739583333326,0.0,0.0,5.714285714285714,5.714285714285714,4.9107142857142865,2.5489468613607493,5.714285714285714,7.714285714285722,8.571428571428571,0.12184143066406249,2.110177721296038,6.794790540422712,7.486882890973773,6.6668794836316785,2.436071545605577,8.140508106776647,8.61951174054827,9.395972660609655,0.12184143066406249,2.110177721296038,6.794790540422712,7.486882890973773,6.6668794836316785,2.436071545605577,8.140508106776647,8.61951174054827,9.395972660609655,2.0499999999999976,2.876666666666661,2.933333333333328,3.049999999999994,3.524739583333326,1.070225152305624,3.395833333333326,5.016666666666654,7.366666666666646,5.173341911286116,7.705964393093746,60.65888480772264,72.795100197196,60.36708245692728,26.231628253159062,76.19588961824775,77.80860767066478,80.70253844559193,121840.43065904583,2110176.7212910214,6794789.540418883,7486881.890970822,6666878.483628154,2436071.545606277,8140507.106773609,8619510.740545193,9395971.660606503,121840430659.04582,2110176721291.0215,6794789540418.883,7486881890970.822,6666878483628.154,2436071545606.277,8140507106773.609,8619510740545.192,9395971660606.504,123.0,172.6,176.0,183.0,211.484375,64.21350913833767,203.75,301.0,442.0
7,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,63,1,63,1,257.11666666666594,2270.5333333333215,15427,136232,5.930156899994472,55.9579539999977,5.089285714285715,6.69183156320027,6.69183156320027,6691830.578821251,4.017447916666655,0.0,0.0,5.714285714285714,5.714285714285714,5.089285714285715,2.787945534999285,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.1090284075055803,6.655635833740234,7.576547350202288,6.69183156320027,2.537022872064082,8.238675934927805,8.904240471976145,9.395972660609655,0.0,2.1090284075055803,6.655635833740234,7.576547350202288,6.69183156320027,2.537022872064082,8.238675934927805,8.904240471976145,9.395972660609655,2.2999999999999967,2.7833333333333283,2.9499999999999944,3.0583333333333274,4.017447916666655,3.5421242715249135,3.6458333333333255,5.016666666666654,30.016666666666243,5.173350412398577,7.70625234696854,60.4659242060261,73.38320101052523,64.03813897246334,38.67250964274305,76.84234127774835,79.25995232760907,292.6586864441633,-3.0016666666666243e-05,2109027.4075005637,6655634.833737638,7576546.350199313,6691830.578821251,2537022.8308522915,8238674.934924754,8904239.471973043,9395971.660606503,-30.016666666666243,2109027407500.564,6655634833737.638,7576546350199.3125,6691830578821.252,2537022830852.292,8238674934924.754,8904239471973.045,9395971660606.504,138.0,167.0,177.0,183.5,241.046875,212.5274562914975,218.75,301.0,1801.0
8,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,63,1,63,1,257.6833333333326,2528.216666666654,15461,151693,5.494828099996084,61.6428745000012,5.133928571428571,6.813800760677883,6.813800760677883,6813799.776298856,4.026302083333322,0.0,0.0,5.714285714285714,5.714285714285714,5.133928571428571,2.5344407012923673,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.11176027570452,7.006331852504186,7.456689562116351,6.813800760677883,2.276651019509384,8.145192691258021,9.02364104134696,9.395972660609655,0.0,2.11176027570452,7.006331852504186,7.456689562116351,6.813800760677883,2.276651019509384,8.145192691258021,9.02364104134696,9.395972660609655,2.116666666666664,2.8599999999999945,2.933333333333328,3.0333333333333274,4.026302083333322,3.592019274898918,3.4499999999999926,5.016666666666654,30.016666666666243,7.7055257273314055,7.858681743559282,66.9414093978703,73.05819784849882,67.02379559649523,36.863881907497074,76.40658043697476,79.97629893571138,291.5598991326988,-3.0016666666666243e-05,2111759.2756995037,7006330.852501448,7456688.562113401,6813799.776298856,2276650.972747193,8145191.691254988,9023640.041343732,9395971.660606503,-30.016666666666243,2111759275699.5037,7006330852501.448,7456688562113.4,6813799776298.856,2276650972747.193,8145191691254.988,9023640041343.73,9395971660606.504,127.0,171.6,176.0,182.0,241.578125,215.52115649393767,207.0,301.0,1801.0
9,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,64,0,64,0,238.38333333333304,2766.599999999987,14303,165996,5.074475700006587,66.97636010000133,4.955357142857142,6.529085423265185,6.529085423265185,6529084.42326146,3.7247395833333288,0.0,0.0,2.857142857142857,5.714285714285714,4.955357142857142,2.8231092417432815,5.714285714285714,8.571428571428571,8.571428571428571,1.8656485421316964,2.1098033360072543,5.673048836844308,7.349995204380581,6.529085423265185,2.4618443731753805,8.169307708740234,9.13856451851981,9.395972660609655,1.8656485421316964,2.1098033360072543,5.673048836844308,7.349995204380581,6.529085423265185,2.4618443731753805,8.169307708740234,9.13856451851981,9.395972660609655,2.2999999999999967,2.704999999999995,2.9458333333333275,3.049999999999994,3.7247395833333288,1.5500307797893247,5.016666666666654,5.016666666666654,11.033333333333461,5.094149012409616,7.7057459702147755,48.88971381474403,72.08318539708853,58.28469732668236,27.34604100690688,76.67594468966126,79.97629893571138,97.9294295879372,1865647.5421266798,2109802.3360022376,5673047.836842008,7349994.2043776475,6529084.42326146,2461844.373176248,8169306.708737197,9138563.518516632,9395971.660606503,1865647542126.6797,2109802336002.2378,5673047836842.008,7349994204377.647,6529084423261.46,2461844373176.248,8169306708737.197,9138563518516.633,9395971660606.504,138.0,162.3,176.75,183.0,223.484375,93.00184678735887,301.0,301.0,662.0
10,9395971660606.504,8.571428571428571,9.395972660609655,9.395972660609655,3.1499999999999937,0,1,80.70230658352375,189,9395971.660606503,"[0.0, 9.395972660609655, -1.0, -3.1499999999999937]",0,64,64,0,64,0,64,0,230.3999999999995,2996.999999999987,13824,179820,4.894848299998557,72.13596929999767,5.714285714285714,7.230540684291295,7.230540684291295,7230539.684287694,3.599999999999992,0.0,0.0,5.714285714285714,5.714285714285714,5.714285714285714,2.6244532958391193,8.571428571428571,8.571428571428571,8.571428571428571,1.8749400547572546,2.157404218401228,7.142857142857142,7.82482555934361,7.230540684291295,2.2209364424827145,8.682389259338379,9.212540490286692,9.395972660609655,1.8749400547572546,2.157404218401228,7.142857142857142,7.82482555934361,7.230540684291295,2.2209364424827145,8.682389259338379,9.212540490286692,9.395972660609655,2.666666666666662,2.888333333333328,2.9833333333333276,3.0833333333333273,3.599999999999992,1.1322451884051696,3.324999999999993,5.016666666666654,7.316666666666646,5.173545185592957,8.214687179296742,66.81739894673228,74.59535646438599,64.58974548806293,23.71866738665389,78.176442977041,80.02558059990406,80.70253844559193,1874939.054752238,2157403.218396211,7142856.142854271,7824824.55934061,7230539.684287694,2220936.4424833325,8682388.25933529,9212539.490283504,9395971.660606503,1874939054752.238,2157403218396.2112,7142856142854.271,7824824559340.61,7230539684287.694,2220936442483.3325,8682388259335.292,9212539490283.504,9395971660606.504,160.0,173.3,179.0,185.0,216.0,67.93471130431041,199.5,301.0,439.0
