generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,42,0,1,1,8516291.613471912,"[0.0, 8.516295296805247, -3.683333333333325]",8.516295296805247,5.714285714285714,8.516295296805247,3.683333333333325,0,1,0,77.5587580949068,8.516291613471912,221,1,0
1,2,31,0,1,1,8389745.097918991,"[0.0, 8.389748164585658, -3.0666666666666607]",8.389748164585658,5.714285714285714,8.389748164585658,3.0666666666666607,0,1,0,77.3412573337555,8.389745097918992,184,1,0
1,3,57,0,1,1,8318206.875053479,"[0.0, 8.318211691720146, -4.816666666666655]",8.318211691720146,5.714285714285714,8.318211691720146,4.816666666666655,0,1,0,76.92974784970284,8.318206875053479,289,1,0
1,4,52,0,1,1,8064299.68360305,"[0.0, 8.064302716936384, -3.0333333333333274]",8.064302716936384,5.714285714285714,8.064302716936384,3.0333333333333274,0,1,0,76.01241424679756,8.06429968360305,182,1,0
1,5,37,0,1,1,7822543.277727399,"[0.0, 7.822546277727399, -2.9999999999999942]",7.822546277727399,5.714285714285714,7.822546277727399,2.9999999999999942,0,1,0,74.69382899999619,7.822543277727399,180,1,0
1,6,7,0,1,1,7600342.644905598,"[0.0, 7.600345611572265, -2.966666666666661]",7.600345611572265,5.714285714285714,7.600345611572265,2.966666666666661,0,1,0,73.3835047930479,7.600342644905598,178,1,0
1,7,61,0,1,1,7587462.592066592,"[0.0, 7.587465558733259, -2.966666666666661]",7.587465558733259,5.714285714285714,7.587465558733259,2.966666666666661,0,1,0,73.38377432525158,7.587462592066592,178,1,0
1,8,26,0,1,1,7466149.636118862,"[0.0, 7.466152736118861, -3.099999999999994]",7.466152736118861,5.714285714285714,7.466152736118861,3.099999999999994,0,1,0,72.5341988503933,7.466149636118862,186,1,0
1,9,58,0,0,1,7142854.376190476,"[0.0, 7.142857142857142, -2.7666666666666617]",7.142857142857142,5.714285714285714,7.142857142857142,2.7666666666666617,0,1,0,65.72099436819553,7.142854376190476,166,1,0
1,10,33,0,0,1,7142854.3595238095,"[0.0, 7.142857142857142, -2.7833333333333283]",7.142857142857142,5.714285714285714,7.142857142857142,2.7833333333333283,0,1,0,65.96749906241894,7.14285435952381,167,1,0
