generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8700470897022.81,8.571428571428571,8.700474330357142,8.700474330357142,3.433333333333326,0,1,78.07618172466755,206,8700470.89702281,"[0.0, 8.700474330357142, -3.433333333333326, -1.0]",0,64,64,0,54,10,54,10,550.7666666666622,550.7666666666622,33046,33046,19.744704999990063,19.77711609999824,1.4732142857142858,2.9515452044350763,2.9515452044350763,2951536.5987050654,8.605729166666597,0.0,0.0,0.0,0.0,1.4732142857142858,2.5750068109678104,1.4285714285714286,5.714285714285714,8.571428571428571,0.0,0.0,1.875619888305664,2.0985167367117743,2.9515452044350763,2.696192390726357,3.795499801635742,7.405482428414483,8.700474330357142,0.0,0.0,1.875619888305664,2.0985167367117743,2.9515452044350763,2.696192390726357,3.795499801635742,7.405482428414483,8.700474330357142,2.583333333333329,2.853333333333328,4.837499999999988,5.016666666666654,8.605729166666597,9.36260069795911,5.016666666666654,30.016666666666243,30.016666666666243,5.173347061499953,5.173594406136544,7.154501183398679,7.713420183095877,70.15118552332706,100.78417095406579,73.62118680402637,293.87016404620374,293.8730349591933,-30.016666666666243,-30.016666666666243,1875614.8716379975,2098511.720044108,2951536.5987050654,2696197.2926665675,3795476.6433021594,7405479.488413482,8700470.89702281,-30016666.666666243,-30016666.666666243,1875614871637.9973,2098511720044.108,2951536598705.0654,2696197292666.5674,3795476643302.159,7405479488413.481,8700470897022.81,155.0,171.2,290.25,301.0,516.34375,561.7560418775552,301.0,1801.0,1801.0
2,8700470897022.81,8.571428571428571,8.700474330357142,8.700474330357142,3.433333333333326,0,1,78.07618172466755,206,8700470.89702281,"[0.0, 8.700474330357142, -3.433333333333326, -1.0]",0,64,64,0,57,7,57,7,447.61666666666315,998.3833333333254,26857,59903,9.430714799993439,29.47209670000302,2.5892857142857144,4.110954914774213,4.110954914774213,4110947.9207629063,6.994010416666612,0.0,0.0,0.0,0.0,2.5892857142857144,2.8445593432274987,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.8756375994001115,2.111865452357701,4.110954914774213,3.03362643915484,7.173230307442802,7.718516486031669,8.700474330357142,0.0,0.0,1.8756375994001115,2.111865452357701,4.110954914774213,3.03362643915484,7.173230307442802,7.718516486031669,8.700474330357142,2.6833333333333287,2.8549999999999947,2.9499999999999944,5.016666666666654,6.994010416666612,8.156808658595894,5.016666666666654,23.75666666666644,30.016666666666243,5.174520111002494,7.705513894087926,7.705942571292326,64.99093732982874,68.5261931643995,83.77049148587133,72.86498070135713,226.55160813857862,293.87261427752674,-30.016666666666243,-23.756666966666366,1875632.5827324446,2111860.435690034,4110947.9207629063,3033631.1450954215,7173227.390775135,7718513.096030669,8700470.89702281,-30016666.666666243,-23756666.966666363,1875632582732.4446,2111860435690.0342,4110947920762.9062,3033631145095.4214,7173227390775.135,7718513096030.669,8700470897022.81,161.0,171.3,177.0,301.0,419.640625,489.4085195157614,301.0,1425.4000000000035,1801.0
3,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,61,3,61,3,325.8833333333315,1324.2666666666569,19553,79456,6.6782196999993175,36.34466839999368,3.4375,5.137919187545776,5.137919187545776,5137914.0956177395,5.091927083333305,0.0,0.0,0.0,5.714285714285714,3.4375,2.9093308500234136,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.875265393938337,1.883859634399414,7.088560376848493,5.137919187545776,2.906934272041223,7.651065417698451,7.96266119820731,9.651323046003068,0.0,1.875265393938337,1.883859634399414,7.088560376848493,5.137919187545776,2.906934272041223,7.651065417698451,7.96266119820731,9.651323046003068,2.33333333333333,2.8166666666666615,2.962499999999994,3.3916666666666595,5.091927083333305,5.631537861204715,5.016666666666654,5.016666666666654,30.016666666666243,5.173427601403091,5.174806983425515,7.705660497609642,67.60462156683207,57.60180351217548,60.80761758670959,74.69331297650933,75.8298733279109,293.8672869694419,-30.016666666666243,1875260.3772706704,1883854.6177317472,7088557.568514161,5137914.0956177395,2906937.207721242,7651062.105197452,7962658.181539644,9651318.779335402,-30016666.666666243,1875260377270.6704,1883854617731.7473,7088557568514.16,5137914095617.74,2906937207721.2427,7651062105197.451,7962658181539.644,9651318779335.402,140.0,169.0,177.75,203.5,305.515625,337.89227167228813,301.0,301.0,1801.0
4,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,64,0,64,0,242.06666666666615,1566.333333333323,14524,93980,5.193354500006535,41.72930700000143,4.107142857142858,5.923894005162374,5.923894005162374,5923890.222869709,3.7822916666666586,0.0,0.0,0.0,5.714285714285714,4.107142857142858,2.6666400934050136,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8757901872907365,2.111823218209403,7.286615371704102,5.923894005162374,2.6475238628141313,7.654781341552734,8.01403536115374,9.651323046003068,0.0,1.8757901872907365,2.111823218209403,7.286615371704102,5.923894005162374,2.6475238628141313,7.654781341552734,8.01403536115374,9.651323046003068,2.533333333333329,2.888333333333328,2.966666666666661,3.1416666666666604,3.7822916666666586,1.0676585354240753,5.016666666666654,5.016666666666654,6.683333333333315,5.173392925062217,5.899816842471045,7.705961500461854,71.44347698241472,53.66584341406917,29.36567294045295,74.03719693049788,75.38821875154972,82.15603171288967,-5.016667666666654,1875785.1706230699,2111818.2015417367,7286612.346703102,5923890.222869709,2647524.6563456445,7654777.433218401,8014032.0178194055,9651318.779335402,-5016667.666666654,1875785170623.0698,2111818201541.7363,7286612346703.102,5923890222869.709,2647524656345.6445,7654777433218.401,8014032017819.406,9651318779335.402,152.0,173.3,178.0,188.5,226.9375,64.05951212544473,301.0,301.0,401.0
5,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,63,1,63,1,268.7833333333324,1835.1166666666554,16127,110107,6.781839899995248,48.70382029999746,3.75,5.532470090048654,5.532470090048654,5532465.890308086,4.199739583333319,0.0,0.0,0.0,5.714285714285714,3.75,2.8959419178976527,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8756964547293526,2.1112877982003346,7.2317736489432205,5.532470090048654,2.81200534121818,7.619671140398298,8.156363078526088,9.651323046003068,0.0,1.8756964547293526,2.1112877982003346,7.2317736489432205,5.532470090048654,2.81200534121818,7.619671140398298,8.156363078526088,9.651323046003068,2.633333333333329,2.9049999999999945,2.966666666666661,3.0916666666666606,4.199739583333319,3.3943446279092155,5.016666666666654,5.016666666666654,30.016666666666243,5.17334702424705,5.1749912712606605,7.705806754507648,71.1017711982131,52.93619120412211,43.943525752480696,73.85968590155244,76.07565041184425,293.8719772771001,-30.016666666666243,1875691.4380616858,2111282.7815326676,7231770.748942221,5532465.890308086,2812007.0133864586,7619668.169563964,8156359.415191756,9651318.779335402,-30016666.666666243,1875691438061.6858,2111282781532.6677,7231770748942.221,5532465890308.086,2812007013386.4585,7619668169563.964,8156359415191.755,9651318779335.402,158.0,174.3,178.0,185.5,251.984375,203.66067767455596,301.0,301.0,1801.0
6,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,62,2,62,2,284.583333333332,2119.6999999999875,17075,127182,7.119017799996072,56.019018699997105,4.642857142857143,6.431430620806558,6.431430620806558,6431426.1741910055,4.446614583333313,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857143,2.64864231681988,5.714285714285714,7.714285714285722,8.571428571428571,0.0,1.8757978166852678,5.599076407296318,7.541220528738839,6.431430620806558,2.6013337058285946,8.161634717668806,8.590403420584543,9.651323046003068,0.0,1.8757978166852678,5.599076407296318,7.541220528738839,6.431430620806558,2.6013337058285946,8.161634717668806,8.590403420584543,9.651323046003068,2.116666666666664,2.8599999999999945,2.9791666666666607,3.074999999999994,4.446614583333313,4.707545269305908,4.779166666666655,5.203333333333321,30.016666666666243,5.173443759325892,7.7058726158538775,59.26304912842534,73.38374478369951,67.43614949255448,47.81414863189969,76.3799602612853,78.00896920263767,293.8722415869124,-30.016666666666243,1875792.800017601,5599070.065628651,7541217.55373784,6431426.1741910055,2601336.424743274,8161631.009334473,8590400.33725021,9651318.779335402,-30016666.666666243,1875792800017.601,5599070065628.65,7541217553737.84,6431426174191.006,2601336424743.2744,8161631009334.473,8590400337250.21,9651318779335.402,127.0,171.6,178.75,184.5,266.796875,282.4527161583587,286.75,312.20000000000005,1801.0
7,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,63,1,63,1,262.18333333333254,2381.88333333332,15731,142913,5.702143000002252,61.91201459999138,5.089285714285714,6.703372980867114,6.703372980867114,6703368.884251546,4.096614583333321,0.0,0.0,5.0,5.714285714285714,5.089285714285714,2.833327080825434,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.9745003836495538,5.670524324689593,7.759636470249721,6.703372980867114,2.5612734058941737,8.372441019330706,8.686129978724889,9.651323046003068,0.0,1.9745003836495538,5.670524324689593,7.759636470249721,6.703372980867114,2.5612734058941737,8.372441019330706,8.686129978724889,9.651323046003068,2.6999999999999953,2.966666666666661,3.016666666666661,3.0833333333333273,4.096614583333321,3.5046350505530226,4.454166666666656,5.016666666666654,30.016666666666243,5.173520483949687,7.705646493576933,65.57079823315144,74.88489471375942,64.97493253587595,39.41646878188799,77.56678764894605,78.05615831911564,292.8548525669612,-30.016666666666243,1974495.366981887,5670515.428855259,7759633.470248722,6703368.884251546,2561275.241264814,8372437.965163039,8686126.650390556,9651318.779335402,-30016666.666666243,1974495366981.887,5670515428855.26,7759633470248.722,6703368884251.546,2561275241264.814,8372437965163.039,8686126650390.556,9651318779335.402,162.0,178.0,181.0,185.0,245.796875,210.27810303318407,267.25,301.0,1801.0
8,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,63,1,63,1,276.43333333333266,2658.3166666666525,16586,159499,6.313017000007676,68.41725260000385,4.553571428571429,6.282685952527183,6.282685952527183,6282681.633255364,4.319270833333323,0.0,0.0,0.0,5.714285714285714,4.553571428571429,3.1019558510786087,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.110883985246931,2.1458544049944197,7.719964981079102,6.282685952527183,2.8898616097477863,8.446271760123116,9.107229505266462,9.651323046003068,0.0,2.110883985246931,2.1458544049944197,7.719964981079102,6.282685952527183,2.8898616097477863,8.446271760123116,9.107229505266462,9.651323046003068,2.0999999999999974,2.921666666666661,3.0333333333333274,3.124999999999994,4.319270833333323,3.6225748817479597,5.016666666666654,5.016666666666654,30.016666666666243,5.174520130152814,7.705721575213102,31.084729159922063,75.02287377417088,60.83590446415815,41.857332394445564,77.49055131524801,80.02589860409498,293.87194786267355,-30.016666666666243,2110878.968579264,2145849.388326753,7719961.964411435,6282681.633255364,2889863.2687602043,8446268.64345545,9107226.376932127,9651318.779335402,-30016666.666666243,2110878968579.2642,2145849388326.753,7719961964411.435,6282681633255.365,2889863268760.204,8446268643455.449,9107226376932.129,9651318779335.402,126.0,175.3,182.0,187.5,259.15625,217.35449290487992,301.0,301.0,1801.0
9,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,64,0,64,0,227.89999999999952,2886.216666666652,13674,173173,4.915867500007153,73.52541570000176,5.446428571428571,7.066586741379329,7.066586741379329,7066583.18044083,3.5609374999999925,0.0,0.0,5.714285714285714,5.714285714285714,5.446428571428571,2.9328692331530073,8.571428571428571,8.571428571428571,8.571428571428571,1.7539760044642856,2.11009761265346,7.142857142857142,8.008316584995814,7.066586741379329,2.5060766761641284,8.891333852495467,9.215170179094587,9.651323046003068,1.7539760044642856,2.11009761265346,7.142857142857142,8.008316584995814,7.066586741379329,2.5060766761641284,8.891333852495467,9.215170179094587,9.651323046003068,2.249999999999997,2.916666666666661,3.012499999999994,3.099999999999994,3.5609374999999925,0.943629125583404,3.9416666666666575,5.016666666666654,6.21666666666665,5.175210437562782,7.705877908883122,70.03774574398994,75.51392333209515,62.79886440753319,26.261209078392376,78.72078973799944,80.02576749324798,82.15603171288967,1753970.9377966188,2110092.595985793,7142854.25952281,8008313.559994815,7066583.18044083,2506077.3366587353,8891329.314994467,9215167.035760254,9651318.779335402,1753970937796.619,2110092595985.7935,7142854259522.81,8008313559994.814,7066583180440.83,2506077336658.7354,8891329314994.469,9215167035760.254,9651318779335.402,135.0,175.0,180.75,186.0,213.65625,56.617747535004426,236.5,301.0,373.0
10,9651318779335.402,8.571428571428571,9.651323046003068,9.651323046003068,4.266666666666657,0,1,82.15603171288967,256,9651318.779335402,"[0.0, 9.651323046003068, -4.266666666666657, -1.0]",0,64,64,0,64,0,64,0,230.0499999999995,3116.266666666652,13803,186976,4.802639400004409,78.59702719999768,5.089285714285714,6.6307669026511045,6.6307669026511045,6630763.308118856,3.594531249999992,0.0,0.0,2.857142857142857,5.714285714285714,5.089285714285714,3.2525010000155326,8.571428571428571,8.571428571428571,8.571428571428571,1.0137721470424106,2.108328683035714,4.749552862984793,7.825934546334403,6.6307669026511045,2.83752032752132,8.766277858189175,9.311150414603096,9.651323046003068,1.0137721470424106,2.108328683035714,4.749552862984793,7.825934546334403,6.6307669026511045,2.83752032752132,8.766277858189175,9.311150414603096,9.651323046003068,2.083333333333331,2.843333333333328,3.045833333333327,3.1499999999999937,3.594531249999992,0.9589674292036364,4.941666666666654,5.016666666666654,5.733333333333318,5.1734776516095735,7.7056783406645994,38.92455268543745,74.71021939069033,57.253839323181865,29.78000615533691,78.0090059414506,80.46764143556356,82.15603171288967,1013767.1303747441,2108323.6663680472,4749549.86715046,7825931.329666737,6630763.308118856,2837520.98928474,8766274.358188175,9311147.219602097,9651318.779335402,1013767130374.744,2108323666368.047,4749549867150.46,7825931329666.736,6630763308118.855,2837520989284.7397,8766274358188.175,9311147219602.096,9651318779335.402,125.0,170.6,182.75,189.0,215.671875,57.53804575221837,296.5,301.0,344.0
