generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8138301.569105746,5.714285714285714,8.138305119105746,8.138305119105746,3.5499999999999923,0,1,76.27966068685055,213,8.138301569105746,"[0.0, 8.138305119105746, -3.5499999999999923]",0,64,64,0,48,16,48,16,696.0499999999927,696.0499999999927,41763,41763,14.135741300007794,14.172812200005865,1.1607142857142856,2.445922749383109,2.445922749383109,2.445911873601859,10.875781249999886,0.0,0.0,0.0,0.0,1.1607142857142856,2.298998783854238,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,1.8758283342633928,2.445922749383109,2.637948956126802,2.1118613651820595,7.212868281773159,8.138305119105746,0.0,0.0,0.0,1.8758283342633928,2.445922749383109,2.637948956126802,2.1118613651820595,7.212868281773159,8.138305119105746,2.5666666666666624,2.976666666666661,5.016666666666654,5.016666666666654,10.875781249999886,11.08342924836593,12.566666666666546,30.016666666666243,30.016666666666243,4.837042886996642,5.174359544378239,7.705649432005885,19.006281706933805,92.87966464381577,118.30291927528029,128.82341120112687,293.8720533873886,293.87366279028356,-3.0016666666666243e-05,-3.0016666666666243e-05,-1.2566666666666547e-05,1.875823317596726,2.445911873601859,2.6379555491100577,2.1118563485153925,7.212865328439825,8.138301569105746,-30.016666666666243,-30.016666666666243,-12.566666666666546,1875823.3175967261,2445911.873601859,2637955.5491100578,2111856.3485153927,7212865.328439826,8138301.569105746,154.0,178.6,301.0,301.0,652.546875,665.0057549019665,754.0,1801.0,1801.0
2,8865113.564341517,8.571428571428571,8.865116664341517,8.865116664341517,3.099999999999994,0,1,78.67894826829433,186,8.865113564341517,"[0.0, 8.865116664341517, -3.099999999999994]",0,64,64,0,58,6,58,6,406.3166666666636,1102.3666666666563,24379,66142,4.841868700023042,19.138796700019157,3.0357142857142856,4.656727952616555,4.656727952616555,4.656721603918639,6.348697916666619,0.0,0.0,0.0,5.714285714285714,3.0357142857142856,2.98273090865894,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8757198878696988,2.111462184361049,6.361285618373326,4.656727952616555,2.913755351759796,7.211283275059292,7.908899852207728,8.865116664341517,0.0,1.8757198878696988,2.111462184361049,6.361285618373326,4.656727952616555,2.913755351759796,7.211283275059292,7.908899852207728,8.865116664341517,2.6166666666666623,2.838333333333328,2.916666666666661,4.2833333333333234,6.348697916666619,7.68676560668251,5.016666666666654,6.486666666666655,30.016666666666243,5.173343552276492,5.177385550101462,7.705701758568466,66.18471860140562,66.34950177024427,79.10583625131783,73.4876607209444,78.6140062212944,293.87202103389427,-3.0016666666666243e-05,1.875714871203032,2.1114571676943825,6.36128075170666,4.656721603918639,2.9137596799044987,7.211280358392624,7.908896835541062,8.865113564341517,-30.016666666666243,1875714.871203032,2111457.1676943824,6361280.75170666,4656721.603918639,2913759.6799044986,7211280.358392624,7908896.835541062,8865113.564341517,157.0,170.3,175.0,257.0,380.921875,461.20593640095785,301.0,389.2000000000004,1801.0
3,9493955.442778088,8.571428571428571,9.493958609444753,9.493958609444753,3.1666666666666603,0,1,81.38121308386326,190,9.493955442778088,"[0.0, 9.493958609444753, -3.1666666666666603]",0,64,64,0,64,0,64,0,233.73333333333284,1336.0999999999892,14024,80166,2.66804950000369,21.936950900009833,4.196428571428572,5.887399060385568,5.887399060385568,5.887395408302234,3.6520833333333256,0.0,0.0,0.0,5.714285714285714,4.196428571428572,2.7649754584289328,5.714285714285714,5.714285714285714,8.571428571428571,1.8756049019949779,1.8804664611816406,2.1118763514927457,7.142857142857142,5.887399060385568,2.5301954372325426,7.544681004115513,8.094053540910995,9.493958609444753,1.8756049019949779,1.8804664611816406,2.1118763514927457,7.142857142857142,5.887399060385568,2.5301954372325426,7.544681004115513,8.094053540910995,9.493958609444753,2.499999999999996,2.749999999999995,2.8624999999999945,3.016666666666661,3.6520833333333256,1.0904314735970817,5.016666666666654,5.016666666666654,6.399999999999983,5.173340052366257,5.1965853706671625,7.709650426959342,68.15598901361227,51.64888207409808,29.09619897184664,73.38371381908655,75.89432128220797,81.38121308386326,1.8755998853283113,1.8804614445149739,2.111871334826079,7.142854292857143,5.887395408302234,2.5301963316365534,7.544678037448846,8.094050495910993,9.493955442778088,1875599.8853283112,1880461.4445149738,2111871.334826079,7142854.292857143,5887395.4083022345,2530196.3316365536,7544678.037448846,8094050.495910995,9493955.442778088,150.0,165.0,171.75,181.0,219.125,65.42588841582513,301.0,301.0,384.0
4,9493955.442778088,8.571428571428571,9.493958609444753,9.493958609444753,3.1666666666666603,0,1,81.38121308386326,190,9.493955442778088,"[0.0, 9.493958609444753, -3.1666666666666603]",0,64,64,0,64,0,64,0,243.16666666666612,1579.2666666666553,14590,94756,2.865142199996626,24.932054500008235,4.419642857142858,6.229484762464251,6.229484762464251,6.229480962985084,3.799479166666658,0.0,0.0,0.0,5.714285714285714,4.419642857142858,2.7631728795435326,5.714285714285714,5.714285714285714,8.571428571428571,1.0838753836495536,1.8810909816196986,2.1118572780064175,7.361165455409459,6.229484762464251,2.629269177246579,7.9901885986328125,8.502929959978376,9.493958609444753,1.0838753836495536,1.8810909816196986,2.1118572780064175,7.361165455409459,6.229484762464251,2.629269177246579,7.9901885986328125,8.502929959978376,9.493958609444753,2.5166666666666626,2.876666666666661,2.9833333333333276,3.0916666666666606,3.799479166666658,1.1566645981534658,5.016666666666654,5.016666666666654,7.949999999999977,5.173410075658467,5.712576957946295,7.70952526097426,71.93815872351115,55.35178558635255,29.602844085804346,75.43600034341216,77.341229583323,81.38121308386326,1.083870366982887,1.8810859649530318,2.111852261339751,7.361162522076125,6.229480962985084,2.6292699120136795,7.990185577799479,8.50292689331171,9.493955442778088,1083870.366982887,1881085.964953032,2111852.261339751,7361162.522076125,6229480.962985083,2629269.9120136793,7990185.577799479,8502926.89331171,9493955.442778088,151.0,172.6,179.0,185.5,227.96875,69.39987588920819,301.0,301.0,477.0
5,9493955.442778088,8.571428571428571,9.493958609444753,9.493958609444753,3.1666666666666603,0,1,81.38121308386326,190,9.493955442778088,"[0.0, 9.493958609444753, -3.1666666666666603]",0,64,64,0,64,0,64,0,227.24999999999952,1806.5166666666548,13635,108391,2.633025400020415,27.69653450002079,5.089285714285714,6.7431348987988065,6.7431348987988065,6.743131348017556,3.5507812499999925,0.0,0.0,5.714285714285714,5.714285714285714,5.089285714285714,2.833327080825434,5.714285714285714,8.571428571428571,8.571428571428571,0.47720772879464285,2.107828957693917,7.128656932285853,7.635993957519531,6.7431348987988065,2.5570163820880922,8.43524251665388,8.937534877232142,9.493958609444753,0.47720772879464285,2.107828957693917,7.128656932285853,7.635993957519531,6.7431348987988065,2.5570163820880922,8.43524251665388,8.937534877232142,9.493958609444753,2.716666666666662,2.8716666666666613,2.9958333333333274,3.0666666666666607,3.5507812499999925,0.9720192581731817,3.708333333333325,5.016666666666654,7.316666666666646,5.174688093422446,7.705681127501885,65.25565806776285,73.80717618763447,60.33821353320582,27.38449337134564,77.341169629246,78.67898111492396,81.38121308386326,0.47720271212797616,2.1078239410272506,7.128654090619187,7.635990982519532,6.743131348017556,2.557017087142733,8.435239449987211,8.937531777232142,9.493955442778088,477202.7121279762,2107823.9410272506,7128654.090619187,7635990.982519532,6743131.348017557,2557017.0871427334,8435239.449987212,8937531.777232142,9493955.442778088,163.0,172.3,179.75,184.0,213.046875,58.32115549039109,222.5,301.0,439.0
6,9534274.068091983,8.571428571428571,9.53427723475865,9.53427723475865,3.1666666666666603,0,1,81.309126958251,190,9.534274068091984,"[0.0, 9.53427723475865, -3.1666666666666603]",0,64,64,0,64,0,64,0,232.3499999999995,2038.8666666666543,13941,122332,2.6860523000068497,30.503147600014927,5.089285714285714,6.941827365330287,6.941827365330287,6.941823734861538,3.6304687499999924,0.0,0.0,5.0,5.714285714285714,5.089285714285714,2.647136978638142,5.714285714285714,8.571428571428571,8.571428571428571,1.8750490461077007,2.111071995326451,6.540795734950475,7.872280393327985,6.941827365330287,2.3370115072865745,8.222791807992117,9.0765928540911,9.53427723475865,1.8750490461077007,2.111071995326451,6.540795734950475,7.872280393327985,6.941827365330287,2.3370115072865745,8.222791807992117,9.0765928540911,9.53427723475865,2.116666666666664,2.9499999999999944,2.9999999999999942,3.0833333333333273,3.6304687499999924,1.1412543153118295,3.7541666666666584,5.016666666666654,7.383333333333312,5.174944732745644,7.706203993568488,55.63560461055022,74.59024401754141,61.74830167610503,25.503634618979607,76.6762492582202,79.35112254917621,81.38121308386326,1.8750440294410342,2.111066978659784,6.540793168283808,7.872277384994652,6.941823734861538,2.337012199559718,8.222788737158783,9.076589737424431,9.534274068091984,1875044.0294410342,2111066.978659784,6540793.168283808,7872277.384994652,6941823.734861538,2337012.199559718,8222788.737158785,9076589.737424431,9534274.068091983,127.0,177.0,180.0,185.0,217.828125,68.47525891871001,225.25,301.0,443.0
7,9534274.068091983,8.571428571428571,9.53427723475865,9.53427723475865,3.1666666666666603,0,1,81.309126958251,190,9.534274068091984,"[0.0, 9.53427723475865, -3.1666666666666603]",0,64,64,0,63,1,63,1,272.73333333333267,2311.5999999999867,16364,138696,3.391999499988742,34.005830100009916,5.133928571428571,6.669170217854637,6.669170217854637,6.669165956396302,4.261458333333323,0.0,0.0,2.857142857142857,5.714285714285714,5.133928571428571,3.1208518386779582,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8754092625209264,5.186868395124163,8.048816408429827,6.669170217854637,2.860391271663704,8.750768389020648,9.168166841779435,9.53427723475865,0.0,1.8754092625209264,5.186868395124163,8.048816408429827,6.669170217854637,2.860391271663704,8.750768389020648,9.168166841779435,9.53427723475865,1.9833333333333312,2.9383333333333277,3.045833333333327,3.1166666666666605,4.261458333333323,3.626839661305577,5.016666666666654,5.016666666666654,30.016666666666243,5.17472397122765,7.70583400262476,45.479926291409356,76.34828595817089,64.03382436763707,40.66423071965005,78.84716641530395,80.28232370465994,293.77033057576045,-3.0016666666666243e-05,1.87540424585426,5.186866070124163,8.048813375096493,6.669165956396302,2.8603928837042467,8.750765301520648,9.168163708446103,9.534274068091984,-30.016666666666243,1875404.2458542597,5186866.070124162,8048813.375096494,6669165.956396303,2860392.8837042465,8750765.30152065,9168163.708446102,9534274.068091983,119.0,176.3,182.75,187.0,255.6875,217.61037967833704,301.0,301.0,1801.0
8,9534274.068091983,8.571428571428571,9.53427723475865,9.53427723475865,3.1666666666666603,0,1,81.309126958251,190,9.534274068091984,"[0.0, 9.53427723475865, -3.1666666666666603]",0,64,64,0,63,1,63,1,267.34999999999906,2578.9499999999857,16041,154737,2.982785000000149,37.09160939999856,5.3125,6.787053729806628,6.787053729806628,6.787049552462878,4.177343749999985,0.0,0.0,2.857142857142857,5.714285714285714,5.3125,3.1890752410153547,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8797776358468192,5.4831341334751675,8.088771275111608,6.787053729806628,2.7844139707714834,8.871734482901436,9.223998478480748,9.53427723475865,0.0,1.8797776358468192,5.4831341334751675,8.088771275111608,6.787053729806628,2.7844139707714834,8.871734482901436,9.223998478480748,9.53427723475865,1.8833333333333315,2.971666666666661,3.045833333333327,3.1166666666666605,4.177343749999985,3.4694116826203056,5.016666666666654,5.521666666666654,30.016666666666243,5.1740514762932435,5.312522243961576,46.03891075953288,76.01272015273571,63.29709336108522,40.34316825779234,78.67895733192563,80.28232370465994,293.87128699570894,-3.0016666666666243e-05,1.8797726191801527,5.483127879308501,8.088768241778274,6.787049552462878,2.7844156566785268,8.871731382901437,9.223994636814082,9.534274068091984,-30.016666666666243,1879772.6191801527,5483127.879308501,8088768.241778273,6787049.552462878,2784415.656678527,8871731.382901438,9223994.636814082,9534274.068091983,113.0,178.3,182.75,187.0,250.640625,208.1647009572213,301.0,331.3000000000001,1801.0
9,9534274.068091983,8.571428571428571,9.53427723475865,9.53427723475865,3.1666666666666603,0,1,81.309126958251,190,9.534274068091984,"[0.0, 9.53427723475865, -3.1666666666666603]",0,64,64,0,63,1,63,1,235.86666666666582,2814.8166666666516,14152,168889,3.0332798000017647,40.24636449999525,6.5625,7.836161809308188,7.836161809308188,7.836158123891522,3.6854166666666535,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.5625,2.7516084118276742,8.571428571428571,8.571428571428571,8.571428571428571,1.8754686628069197,5.084527151925223,7.874742916652135,8.652516773768834,7.836161809308188,2.1151876637216214,9.095625196184432,9.357073647635323,9.53427723475865,1.8754686628069197,5.084527151925223,7.874742916652135,8.652516773768834,7.836161809308188,2.1151876637216214,9.095625196184432,9.357073647635323,9.53427723475865,2.0999999999999974,2.9549999999999943,3.0666666666666607,3.099999999999994,3.6854166666666535,3.3983151718085387,3.1499999999999937,5.016666666666654,30.016666666666243,5.174669534550048,43.25616862326861,75.84757763147354,78.00915449112654,72.59690296009637,31.293040293225122,79.43095088005066,80.70278438776731,260.2384947545943,1.8754636461402532,5.084525046925224,7.8747399124854685,8.652513657102165,7.836158123891522,2.1151890045321315,9.095622079517764,9.357070497635322,9.534274068091984,1875463.6461402532,5084525.046925223,7874739.912485468,8652513.657102166,7836158.123891522,2115189.0045321314,9095622.079517765,9357070.497635324,9534274.068091983,126.0,177.3,184.0,186.0,221.125,203.89891030851538,189.0,301.0,1801.0
10,9705690.181173272,8.571428571428571,9.70569338117327,9.70569338117327,3.1999999999999935,0,1,82.74698907136917,192,9.705690181173273,"[0.0, 9.70569338117327, -3.1999999999999935]",0,64,64,0,64,0,64,0,208.5499999999996,3023.3666666666513,12513,181402,2.2735477999958675,42.62032330001239,5.982142857142856,7.330356878893716,7.330356878893716,7.330353620299966,3.258593749999994,0.0,0.0,2.857142857142857,5.714285714285714,5.982142857142856,3.0185966972101728,8.571428571428571,8.571428571428571,8.571428571428571,1.8751798357282368,2.1196261814662387,5.555601119995117,8.329371043613978,7.330356878893716,2.44559429582027,9.097439902169363,9.427648544311523,9.70569338117327,1.8751798357282368,2.1196261814662387,5.555601119995117,8.329371043613978,7.330356878893716,2.44559429582027,9.097439902169363,9.427648544311523,9.70569338117327,1.8999999999999981,2.2866666666666635,3.0291666666666606,3.099999999999994,3.258593749999994,0.8440662585661279,3.1666666666666603,5.016666666666654,6.21666666666665,5.175050733610988,7.813499399326247,47.960699923336506,76.79157652705908,63.644748033724454,24.931355572666906,79.3513368666172,80.70296965539455,82.74698907136917,1.87517481906157,2.1196211647995717,5.5555988574951165,8.329367976947314,7.330353620299966,2.445594735029635,9.097436785502698,9.427645394311524,9.705690181173273,1875174.81906157,2119621.164799572,5555598.857495117,8329367.976947313,7330353.620299965,2445594.7350296355,9097436.785502696,9427645.394311523,9705690.181173272,114.0,137.2,181.75,186.0,195.515625,50.643975513967845,190.0,301.0,373.0
