generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8005806059148.77,5.714285714285714,8.005807059151786,8.005807059151786,3.016666666666661,0,1,75.35239173471928,181,8005806.05914877,"[0.0, 8.005807059151786, -1.0, -3.016666666666661]",0,64,64,0,41,23,41,23,1227.2333333333036,1227.2333333333036,73634,73634,104.62877120000485,104.75847699999576,0.9375,2.0544197729655673,2.0544197729655673,2054419.1323213922,19.175520833332868,0.0,0.0,0.0,0.0,0.9375,2.085829711825655,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.0,1.8757520403180803,2.0544197729655673,2.5068418222643962,2.1118763514927457,7.142857142857142,8.005807059151786,0.0,0.0,0.0,1.8757520403180803,2.0544197729655673,2.5068418222643962,2.1118763514927457,7.142857142857142,8.005807059151786,2.6499999999999955,3.004999999999994,5.016666666666654,5.016666666666654,19.175520833332868,19.37188325485729,45.016666666665394,45.016666666665394,45.016666666665394,5.1733450293540955,5.174901696026791,7.705805217636225,59.87501542354585,176.90070284639262,200.93538434910147,443.8717214380158,443.8722306960728,443.87391828373075,-1.0000058333333335,-4.501666666666539e-05,-4.501666666666539e-05,1875751.0403130637,2054419.1323213922,2506841.5633753096,2111875.351487729,7142856.142854203,8005806.05914877,-1000005.8333333334,-45.016666666665394,-45.016666666665394,1875751040313.0637,2054419132321.392,2506841563375.309,2111875351487.729,7142856142854.203,8005806059148.77,159.0,180.3,301.0,301.0,1150.53125,1162.3129952914737,2701.0,2701.0,2701.0
2,8388439268377.234,5.714285714285714,8.3884402683803,8.3884402683803,3.0666666666666607,0,1,77.34142737090588,184,8388439.268377234,"[0.0, 8.3884402683803, -1.0, -3.0666666666666607]",0,64,64,0,60,4,60,4,452.7999999999945,1680.033333333298,27168,100802,35.75339460000396,141.76076679999824,2.2767857142857144,3.9570732201848715,3.9570732201848715,3957072.282677796,7.074999999999914,0.0,0.0,0.0,0.0,2.2767857142857144,2.7283324268924147,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.6332708086286275,2.1112564631870816,2.1118763514927457,3.9570732201848715,2.82733415560422,7.142857142857142,7.664404732840403,8.3884402683803,0.0,0.6332708086286275,2.1112564631870816,2.1118763514927457,3.9570732201848715,2.82733415560422,7.142857142857142,7.664404732840403,8.3884402683803,2.7666666666666617,2.8999999999999946,2.9999999999999942,5.016666666666654,7.074999999999914,9.919395632911124,5.016666666666654,6.93166666666665,45.016666666665394,5.173526402504649,7.704015658755088,7.705807826539967,27.94754583528629,61.91965486761967,103.26808539963075,71.37876600772142,75.16005078554154,443.8721647593193,-1.0000129666666666,633270.1086116107,2111255.4631820647,2111875.351487729,3957072.282677796,2827334.0727514736,7142856.142854347,7664403.732837413,8388439.268377234,-1000012.9666666667,633270108611.6108,2111255463182.065,2111875351487.729,3957072282677.796,2827334072751.474,7142856142854.347,7664403732837.413,8388439268377.234,166.0,174.0,180.0,301.0,424.5,595.1637379746854,301.0,415.90000000000015,2701.0
3,9444560004634.29,8.571428571428571,9.444561004638672,9.444561004638672,4.383333333333323,0,1,81.01742734014988,263,9444560.00463429,"[0.0, 9.444561004638672, -1.0, -4.383333333333323]",0,64,64,0,63,1,63,1,295.0833333333315,1975.1166666666295,17705,118507,18.866686900000786,161.6856384999992,3.1250000000000004,4.887673003332956,4.887673003332956,4887672.018953345,4.610677083333305,0.0,0.0,0.0,5.714285714285714,3.1250000000000004,2.8890517298863276,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8756403241838728,1.908510753086635,6.738071441650391,4.887673003332956,2.8808824831063653,7.636395863124303,7.841703959873745,9.444561004638672,0.0,1.8756403241838728,1.908510753086635,6.738071441650391,4.887673003332956,2.8808824831063653,7.636395863124303,7.841703959873745,9.444561004638672,2.2166666666666637,2.804999999999995,2.9791666666666607,3.799999999999992,4.610677083333305,5.2103290902836985,5.016666666666654,5.016666666666654,45.016666666665394,5.173340542241931,5.174610019748798,7.705752315159771,63.04203124344349,49.114527363481216,58.59794584514382,74.03730638325214,74.83566822558642,443.8717375914566,-1.0000050166666667,1875639.324178856,1908509.7530816183,6738070.441645432,4887672.018953345,2880882.456599132,7636394.863121333,7841702.959870593,9444560.00463429,-1000005.0166666667,1875639324178.8562,1908509753081.6184,6738070441645.433,4887672018953.345,2880882456599.132,7636394863121.332,7841702959870.593,9444560004634.29,133.0,168.3,178.75,228.0,276.640625,312.61974541703114,301.0,301.0,2701.0
4,9552535010738.92,8.571428571428571,9.552536010742188,9.552536010742188,3.26666666666666,0,1,81.49152806401253,196,9552535.01073892,"[0.0, 9.552536010742188, -1.0, -3.26666666666666]",0,64,64,0,63,1,63,1,279.98333333333153,2255.0999999999613,16799,135306,23.253601899996283,185.82237560000794,4.375,6.084040445940836,6.084040445940836,6084039.46156146,4.374739583333305,0.0,0.0,0.0,5.714285714285714,4.375,2.810727899767356,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.875762939453125,2.111824580601284,7.304618018014089,6.084040445940836,2.7777105802203894,7.854407174246652,8.393609183175222,9.552536010742188,0.0,1.875762939453125,2.111824580601284,7.304618018014089,6.084040445940836,2.7777105802203894,7.854407174246652,8.393609183175222,9.552536010742188,2.199999999999997,2.8549999999999947,2.962499999999994,3.0833333333333273,4.374739583333305,5.24523344480633,5.016666666666654,5.016666666666654,45.016666666665394,5.173342434689403,5.239652312552789,38.138481570793374,72.73212459683418,61.55957521801463,55.97893602149681,74.78920373693109,78.74797494858504,442.90103117981926,-4.501666666666539e-05,1875761.9394481084,2111823.580596267,7304617.018011165,6084039.46156146,2777710.5459989896,7854406.174243489,8393608.183171993,9552535.01073892,-45.016666666665394,1875761939448.1084,2111823580596.267,7304617018011.164,6084039461561.461,2777710545998.9897,7854406174243.488,8393608183171.993,9552535010738.92,132.0,171.3,177.75,185.0,262.484375,314.714006688389,301.0,301.0,2701.0
5,9552535010738.92,8.571428571428571,9.552536010742188,9.552536010742188,3.26666666666666,0,1,81.49152806401253,196,9552535.01073892,"[0.0, 9.552536010742188, -1.0, -3.26666666666666]",0,64,64,0,62,2,62,2,354.0166666666638,2609.116666666625,21241,156547,26.025413299998036,212.72863389999839,3.616071428571429,5.3095369679587225,5.3095369679587225,5309535.999203192,5.531510416666622,0.0,0.0,0.0,5.714285714285714,3.616071428571429,3.397259831429574,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8757858276367188,2.1115589141845703,7.142857142857142,5.3095369679587225,3.1273756211618853,7.948792321341379,9.056947980608259,9.552536010742188,0.0,1.8757858276367188,2.1115589141845703,7.142857142857142,5.3095369679587225,3.1273756211618853,7.948792321341379,9.056947980608259,9.552536010742188,2.7333333333333285,2.9433333333333276,3.045833333333327,4.699999999999989,5.531510416666622,7.2734505301453565,5.016666666666654,5.5449999999999875,45.016666666665394,1.6076572452293476,6.0690780634322445,7.705835589382332,71.43622237443924,59.53103191646471,76.53618597643123,76.78061692044139,79.72868730574847,443.8717900980264,-1.0000067,1875784.8276317024,2111557.9141795537,7142856.142854334,5309535.999203192,3127375.5823840736,7948791.321338357,9056946.980605142,9552535.01073892,-1000006.7,1875784827631.7024,2111557914179.5537,7142856142854.334,5309535999203.191,3127375582384.074,7948791321338.357,9056946980605.143,9552535010738.92,164.0,176.6,182.75,282.0,331.890625,436.407031808734,301.0,332.7000000000001,2701.0
6,9721553347441.836,8.571428571428571,9.721554347446986,9.721554347446986,5.149999999999987,0,1,82.7329682558775,309,9721553.347441835,"[0.0, 9.721554347446986, -1.0, -5.149999999999987]",0,64,64,0,64,0,64,0,253.51666666666623,2862.6333333332914,15211,171758,15.60295890000998,229.49884109999402,4.7767857142857135,6.485472704683032,6.485472704683032,6485471.70467907,3.9611979166666598,0.0,0.0,2.142857142857143,5.714285714285714,4.7767857142857135,3.1157388279311133,5.714285714285714,8.571428571428571,8.571428571428571,1.8751416887555803,1.9663385663713728,4.074551718575614,7.579265322004046,6.485472704683032,2.7528997518015057,8.471959659031459,9.109761919294085,9.721554347446986,1.8751416887555803,1.9663385663713728,4.074551718575614,7.579265322004046,6.485472704683032,2.7528997518015057,8.471959659031459,9.109761919294085,9.721554347446986,1.9833333333333312,2.933333333333328,3.012499999999994,3.1166666666666605,3.9611979166666598,1.401109600854546,5.016666666666654,5.016666666666654,10.533333333333436,5.173616528918501,6.176707431974502,31.275203735358446,73.71814078837633,57.10086707451137,30.159751925633337,77.50816784799099,79.58093525618315,89.71165316182305,1875140.6887505637,1966337.5663663563,4074550.718572872,7579264.322001079,6485471.70467907,2752899.75180215,8471958.659028392,9109760.919290967,9721553.347441835,1875140688750.5637,1966337566366.3562,4074550718572.872,7579264322001.079,6485471704679.069,2752899751802.1504,8471958659028.393,9109760919290.969,9721553347441.836,119.0,176.0,180.75,187.0,237.671875,84.06657605127245,301.0,301.0,632.0
7,9721553347441.836,8.571428571428571,9.721554347446986,9.721554347446986,5.149999999999987,0,1,82.7329682558775,309,9721553.347441835,"[0.0, 9.721554347446986, -1.0, -5.149999999999987]",0,64,64,0,64,0,64,0,230.89999999999952,3093.533333333291,13854,185612,19.078437999996822,249.5560317000054,5.535714285714285,6.993667313030787,6.993667313030787,6993666.31302718,3.6078124999999925,0.0,0.0,5.714285714285714,5.714285714285714,5.535714285714285,2.8959419178976527,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.110998971121652,5.916128158569336,8.138306481497628,6.993667313030787,2.570269131966977,8.703281538827078,9.130875178745814,9.721554347446986,0.0,2.110998971121652,5.916128158569336,8.138306481497628,6.993667313030787,2.570269131966977,8.703281538827078,9.130875178745814,9.721554347446986,1.949999999999998,2.876666666666661,3.012499999999994,3.099999999999994,3.6078124999999925,1.1159316951216482,4.541666666666655,5.016666666666654,7.5499999999999785,5.174598275858443,7.706024011600675,51.872854333370924,75.68248987942934,61.8961299334062,25.940248566150743,78.00930055230856,79.76553593426942,82.7329682558775,-1.0000050166666667,2110997.971116635,5916127.158566957,8138305.481492336,6993666.31302718,2570269.131967462,8703280.538823996,9130874.17874173,9721553.347441835,-1000005.0166666667,2110997971116.635,5916127158566.957,8138305481492.336,6993666313027.18,2570269131967.4624,8703280538823.995,9130874178741.732,9721553347441.836,117.0,172.6,180.75,186.0,216.46875,66.9559017072991,272.5,301.0,453.0
8,9774555841163.303,8.571428571428571,9.774556841169085,9.774556841169085,5.783333333333318,0,1,82.98673440515995,347,9774555.841163302,"[0.0, 9.774556841169085, -1.0, -5.783333333333318]",0,64,64,0,63,1,63,1,306.5999999999974,3400.1333333332886,18396,204008,22.27782709999883,272.96529480000027,5.3125,6.91663750580379,6.91663750580379,6916636.521423998,4.7906249999999595,0.0,0.0,2.857142857142857,5.714285714285714,5.3125,2.982396802703408,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.11065673828125,5.489790780203683,8.022843769618444,6.91663750580379,2.640603953163471,8.831169945853098,9.46024567740304,9.774556841169085,0.0,2.11065673828125,5.489790780203683,8.022843769618444,6.91663750580379,2.640603953163471,8.831169945853098,9.46024567740304,9.774556841169085,1.866666666666665,2.7833333333333283,2.9958333333333274,3.108333333333327,4.7906249999999595,6.674645534569633,5.016666666666654,5.55833333333332,45.016666666665394,5.175388422270771,7.705995622266346,55.84093415745883,76.01268856227398,72.39089673579463,65.46753638291274,79.75544374063611,81.38161980509759,443.78826002264395,-4.501666666666539e-05,2110655.7382762334,5489789.780198853,8022842.769613234,6916636.521423998,2640603.912238793,8831168.945849847,9460244.677399887,9774555.841163302,-45.016666666665394,2110655738276.2334,5489789780198.854,8022842769613.234,6916636521423.999,2640603912238.7935,8831168945849.848,9460244677399.887,9774555841163.303,112.0,167.0,179.75,186.5,287.4375,400.47873207418894,301.0,333.5000000000001,2701.0
9,9774555841163.303,8.571428571428571,9.774556841169085,9.774556841169085,5.783333333333318,0,1,82.98673440515995,347,9774555.841163302,"[0.0, 9.774556841169085, -1.0, -5.783333333333318]",0,64,64,0,64,0,64,0,243.23333333333278,3643.3666666666213,14594,218602,16.972751499997685,291.04189029999543,5.4017857142857135,6.952927070004599,6.952927070004599,6952926.070000798,3.8005208333333247,0.0,0.0,2.857142857142857,5.714285714285714,5.4017857142857135,3.15893563755973,8.571428571428571,8.571428571428571,8.571428571428571,1.8748092651367188,2.0808181762695312,5.5922344752720425,8.23472567967006,6.952927070004599,2.7374236801715246,8.854371479579381,9.490663255964007,9.774556841169085,1.8748092651367188,2.0808181762695312,5.5922344752720425,8.23472567967006,6.952927070004599,2.7374236801715246,8.854371479579381,9.490663255964007,9.774556841169085,2.28333333333333,2.9383333333333277,3.0666666666666607,3.158333333333327,3.8005208333333247,1.3103056019109796,5.016666666666654,5.016666666666654,8.066666666666647,5.174334865761921,7.426196702592279,48.33333586901426,76.26482786238194,59.5265978688459,28.535124340258275,78.67891901731491,81.38149239122868,82.98673440515995,1874808.2651317022,2080817.1762645147,5592233.475269534,8234724.679664869,6952926.070000798,2737423.6801720317,8854370.479576282,9490662.255960846,9774555.841163302,1874808265131.7021,2080817176264.5146,5592233475269.534,8234724679664.869,6952926070000.799,2737423680172.0317,8854370479576.281,9490662255960.846,9774555841163.303,137.0,176.3,184.0,189.5,228.03125,78.61833611465903,301.0,301.0,484.0
10,9774555841163.303,8.571428571428571,9.774556841169085,9.774556841169085,5.783333333333318,0,1,82.98673440515995,347,9774555.841163302,"[0.0, 9.774556841169085, -1.0, -5.783333333333318]",0,64,64,0,64,0,64,0,250.58333333333277,3893.949999999954,15035,233637,18.46831579999707,310.53949609999836,5.357142857142858,6.873668772833687,6.873668772833687,6873667.772829772,3.9153645833333246,0.0,0.0,2.857142857142857,5.714285714285714,5.357142857142858,3.4809979802889157,8.571428571428571,8.571428571428571,8.571428571428571,1.8749564034598214,2.1089314052036827,4.614714213779995,8.454908643450057,6.873668772833687,2.9391822478971363,9.031292370387487,9.490663255964007,9.774556841169085,1.8749564034598214,2.1089314052036827,4.614714213779995,8.454908643450057,6.873668772833687,2.9391822478971363,9.031292370387487,9.490663255964007,9.774556841169085,1.9999999999999978,3.0266666666666606,3.0791666666666604,3.1666666666666603,3.9153645833333246,1.296353408120505,5.016666666666654,5.109999999999988,7.916666666666644,5.175088582152966,7.705702993174782,37.94926746754936,77.34109808504581,57.539895623645975,30.15962406322595,79.3319291062653,81.17793335318565,82.98673440515995,1874955.4034548048,2108930.4051986667,4614713.213777016,8454907.64344699,6873667.772829772,2939182.247897674,9031291.370383743,9490662.255960846,9774555.841163302,1874955403454.8047,2108930405198.6663,4614713213777.016,8454907643446.99,6873667772829.773,2939182247897.674,9031291370383.744,9490662255960.846,9774555841163.303,120.0,181.6,184.75,190.0,234.921875,77.78120448723055,301.0,306.6,475.0
