generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7409211929858.472,5.714285714285714,7.409212929861885,7.409212929861885,3.414347051857402,0,1,72.34908831119537,148,7409211.929858471,"[0.0, 7.409212929861885, -1.0, -3.414347051857402]",0,64,64,0,51,13,51,13,632.8987215936236,632.8987215936236,29054,29054,54.89949459998752,55.0225136000081,1.0267857142857144,2.4676176479884555,2.4676176479884555,2467616.8511035666,9.889042524900368,0.0,0.0,0.0,0.0,1.0267857142857144,2.164603200428689,0.0,5.714285714285714,5.714285714285714,0.0,0.0,1.8704918452671597,2.1101951599121094,2.4676176479884555,2.3203700329499104,2.113839558192662,7.142857142857142,7.409212929861885,0.0,0.0,1.8704918452671597,2.1101951599121094,2.4676176479884555,2.3203700329499104,2.113839558192662,7.142857142857142,7.409212929861885,2.7735183905906813,3.3155011090656688,5.005153910139534,5.010679233035273,9.889042524900368,10.202960784354651,5.178844104750538,30.010028686967836,30.02725851929625,4.97627863753587,5.19013057979173,7.742023980124941,7.763170564052416,77.57107956733194,111.5507893712355,69.2583218421787,293.7586874549743,294.1497876360081,-1.0000097367471896,-3.0013218373437363e-05,1870490.8452621507,2110194.159907095,2467616.8511035666,2320369.8353401837,2113838.5581876547,7142856.142854293,7409211.929858471,-1000009.7367471897,-30.01321837343736,1870490845262.1506,2110194159907.0952,2467616851103.5664,2320369835340.1836,2113838558187.6548,7142856142854.293,7409211929858.472,126.0,149.8,224.75,230.5,453.96875,469.2986778411351,244.75,1375.9,1400.0
2,8256039300638.566,5.714285714285714,8.256040300641741,8.256040300641741,3.174317320288319,0,1,77.08269982039928,151,8256039.300638567,"[0.0, 8.256040300641741, -1.0, -3.174317320288319]",0,64,64,0,61,3,61,3,358.73987811172833,991.6385997053519,16484,45538,20.364468100000522,76.22246570000425,2.053571428571429,3.750870994159153,3.750870994159153,3750870.041028548,5.605310595495755,0.0,0.0,0.0,0.0,2.053571428571429,2.694890762997602,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.4098750523158483,2.1107401166643416,2.1133995056152344,3.750870994159153,2.6250567188007228,7.142857142857142,7.263390677315848,8.256040300641741,0.0,1.4098750523158483,2.1107401166643416,2.1133995056152344,3.750870994159153,2.6250567188007228,7.142857142857142,7.263390677315848,8.256040300641741,2.117925090456178,2.844670483148984,3.532062744373658,5.005284494855977,5.605310595495755,5.505586678455123,5.0132284158433595,5.024322462974057,30.019612595601764,4.99186667331378,7.220599178980047,7.749154473160161,7.773797102090612,43.17693069297866,62.00280642187992,68.79188040830195,72.52928725257516,293.9042439609766,-1.000005013337607,1409874.0523108458,2110739.1166593274,2113398.5056102257,3750870.041028548,2625056.6518247677,7142856.142854297,7263389.677312924,8256039.300638567,-1000005.0133376071,1409874052310.8457,2110739116659.3274,2113398505610.2253,3750870041028.548,2625056651824.7676,7142856142854.297,7263389677312.923,8256039300638.566,97.0,129.6,163.75,225.0,257.5625,250.74369851254488,234.0,240.4,1373.0
3,9285353614254.656,8.571428571428571,9.285354614257812,9.285354614257812,3.1572206245451406,0,1,80.07417321205139,145,9285353.614254657,"[0.0, 9.285354614257812, -1.0, -3.1572206245451406]",0,64,64,0,63,1,63,1,292.593757527805,1284.232357233157,13545,59083,15.778802300003008,93.26734310000029,2.8125,4.459479110581534,4.459479110581534,4459478.126201963,4.571777461371953,0.0,0.0,0.0,0.0,2.8125,2.922999381226938,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8720964704241072,2.1115902491978233,2.4882289341517856,4.459479110581534,2.7679367649076347,7.142857142857142,7.402059010096958,9.285354614257812,0.0,1.8720964704241072,2.1115902491978233,2.4882289341517856,4.459479110581534,2.7679367649076347,7.142857142857142,7.402059010096958,9.285354614257812,2.3715967677284024,2.8289208553253085,2.957875649446507,5.001214372133336,4.571777461371953,3.399225609513385,5.01524024016354,5.022236196006112,30.0211367630754,5.009674461267423,7.7313352594181195,7.754826754517126,46.96265447395854,42.549340958031735,42.94711774061601,70.44440752454102,73.38172039911152,286.9143790891394,-1.0000050222140233,1872095.4704191007,2111589.2491928153,2488227.9341466296,4459478.126201963,2767936.739735374,7142856.142854348,7402058.01009345,9285353.614254657,-1000005.0222140234,1872095470419.1008,2111589249192.8154,2488227934146.63,4459478126201.963,2767936739735.374,7142856142854.348,7402058010093.449,9285353614254.656,100.0,130.3,136.75,226.0,211.640625,158.15828376853796,234.0,238.0,1395.0
4,9289800461352.877,8.571428571428571,9.289801461356028,9.289801461356028,3.151065694849622,0,1,80.23630407452583,143,9289800.461352877,"[0.0, 9.289801461356028, -1.0, -3.151065694849622]",0,64,64,0,61,3,61,3,311.44298455470687,1595.675341787864,14319,73402,18.578499099996407,113.06723140001122,4.0625,5.711961303438459,5.711961303438459,5711960.350308593,4.866296633667295,0.0,0.0,0.0,5.714285714285714,4.0625,2.6632747746919025,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8705057416643416,2.1360247475760326,7.142857142857142,5.711961303438459,2.5901195975357028,7.3889568873814175,7.804640088762556,9.289801461356028,0.0,1.8705057416643416,2.1360247475760326,7.142857142857142,5.711961303438459,2.5901195975357028,7.3889568873814175,7.804640088762556,9.289801461356028,2.151516866139822,2.724189986431004,2.905189637096855,3.0317452481074696,4.866296633667295,5.751550010617922,5.00520184905002,5.020866207147253,30.020000657362985,5.042106494423933,7.733244610549446,42.20697363510408,69.41640175506473,63.83355866340685,55.329510099795044,72.83395283296704,77.19060357138514,293.77058213972487,-3.0012785561905822e-05,1870504.7416593337,2136023.7475710213,7142856.1428542435,5711960.350308593,2590119.510655057,7388955.887377852,7804639.088759504,9289800.461352877,-30.012785561905822,1870504741659.3337,2136023747571.021,7142856142854.243,5711960350308.593,2590119510655.057,7388955887377.852,7804639088759.504,9289800461352.877,100.0,124.0,133.0,140.5,223.734375,264.9516018414672,227.25,235.0,1392.0
5,9289345422464.762,8.571428571428571,9.289346422467913,9.289346422467913,3.151704813302593,0,1,80.21401206403971,148,9289345.422464762,"[0.0, 9.289346422467913, -1.0, -3.151704813302593]",0,64,64,0,64,0,64,0,259.4337117152671,1855.1090535031312,11959,85361,18.83764230000088,132.99919750000117,3.6607142857142856,5.472413897514343,5.472413897514343,5472412.897510289,4.053651745551049,0.0,0.0,0.0,5.714285714285714,3.6607142857142856,2.787945534999285,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.873450142996652,2.1129117693219865,7.142857142857142,5.472413897514343,2.7152678405969586,7.530384063720702,8.213413783482144,9.289346422467913,0.0,1.873450142996652,2.1129117693219865,7.142857142857142,5.472413897514343,2.7152678405969586,7.530384063720702,8.213413783482144,9.289346422467913,2.674827934932214,2.85128902953516,2.91760296722376,3.229906581859008,4.053651745551049,1.3088933748094558,5.011229285320854,5.303828437515773,8.378612733226507,4.983150254061911,5.9891904426389395,7.766991099546431,66.80447466298938,47.82309757872986,30.129265770465874,72.78141211904585,76.53514855131507,80.64622145146132,-1.00000500194707,1873449.1429916439,2112910.769316957,7142856.142854259,5472412.897510289,2715267.8405977855,7530383.063717622,8213412.78347875,9289345.422464762,-1000005.0019470701,1873449142991.6438,2112910769316.957,7142856142854.26,5472412897510.289,2715267840597.7856,7530383063717.622,8213412783478.75,9289345422464.762,121.0,131.3,135.75,149.5,186.859375,59.8753567806437,231.0,246.40000000000003,387.0
6,9289525258192.998,8.571428571428571,9.28952625819615,9.28952625819615,3.1498312154893524,0,1,80.31138670444489,150,9289525.258192997,"[0.0, 9.28952625819615, -1.0, -3.1498312154893524]",0,64,64,0,62,2,62,2,289.80244578748227,2144.9114992906134,13338,98699,17.090416100007133,150.91591490000428,4.196428571428571,5.966579743794032,5.966579743794032,5966578.775039503,4.5281632154294105,0.0,0.0,0.0,5.714285714285714,4.196428571428571,2.7649754584289323,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8727760314941406,2.114319120134626,7.142857142857142,5.966579743794032,2.769612684721526,8.060365404401507,8.521145684378487,9.28952625819615,0.0,1.8727760314941406,2.114319120134626,7.142857142857142,5.966579743794032,2.769612684721526,8.060365404401507,8.521145684378487,9.28952625819615,2.1724863061566713,2.8523522644612296,2.9572807529029577,3.10653660654643,4.5281632154294105,4.711094769574921,5.00548677397475,5.0255605981851454,30.015730177818575,4.991338103543967,7.751270931834005,38.879207920832414,70.84024062380195,62.286178482839205,49.11043711791623,76.32824494689703,78.25162270590663,293.6252619358711,-1.000005767163068,1872775.0314891306,2114318.1201296207,7142856.142854369,5966578.775039503,2769612.6174021605,8060364.404398094,8521144.684375357,9289525.258192997,-1000005.767163068,1872775031489.1306,2114318120129.6206,7142856142854.369,5966578775039.504,2769612617402.1606,8060364404398.094,8521144684375.357,9289525258192.998,96.0,128.3,135.75,144.0,208.40625,217.27018884544998,228.25,237.8,1390.0
7,9500208263389.701,8.571428571428571,9.500209263392858,9.500209263392858,3.156650613352969,0,1,81.11304588615894,147,9500208.263389701,"[0.0, 9.500209263392858, -1.0, -3.156650613352969]",0,64,64,0,64,0,64,0,228.65692593718157,2373.568425227795,10531,109230,13.539158599989605,165.68463980000524,4.642857142857142,6.404460285391126,6.404460285391126,6404459.285387553,3.572764467768462,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857142,2.834733547569204,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.873572213309152,5.278771264212472,7.388646262032646,6.404460285391126,2.631835777702789,8.241182054792132,8.914885112217494,9.500209263392858,0.0,1.873572213309152,5.278771264212472,7.388646262032646,6.404460285391126,2.631835777702789,8.241182054792132,8.914885112217494,9.500209263392858,2.119111390332436,2.766681735987374,3.0201598171048745,3.101268175428186,3.572764467768462,1.0244167118660423,4.512418888510268,5.018032491503099,6.74060538037994,4.979015226941556,7.748269986300147,44.92921345269497,72.20335804671049,57.510230582869326,27.31926305816941,77.11109536327422,78.7838680498302,81.11304588615894,-1.0000052878280647,1873571.2133041443,5278770.264208648,7388645.262029546,6404459.285387553,2631835.7777034547,8241181.054789074,8914884.112214237,9500208.263389701,-1000005.2878280648,1873571213304.1443,5278770264208.647,7388645262029.547,6404459285387.555,2631835777703.455,8241181054789.074,8914884112214.236,9500208263389.701,99.0,129.3,136.5,144.5,164.546875,47.058450917283444,205.75,234.4,296.0
8,9520799454272.787,8.571428571428571,9.52080045427595,9.52080045427595,3.1621830824889523,0,1,81.32812341302633,150,9520799.454272788,"[0.0, 9.52080045427595, -1.0, -3.1621830824889523]",0,64,64,0,63,1,63,1,261.13414592626714,2634.7025711540623,12017,121247,14.530984899989562,181.46658279999974,4.821428571428571,6.3852620124816895,6.3852620124816895,6385261.028102608,4.080221030097924,0.0,0.0,2.857142857142857,5.714285714285714,4.821428571428571,3.108374140273073,6.428571428571429,8.571428571428571,8.571428571428571,0.0,1.872659410749163,4.768111365182059,7.36651965550014,6.3852620124816895,2.807104511233821,8.56163842337472,9.091257912772043,9.52080045427595,0.0,1.872659410749163,4.768111365182059,7.36651965550014,6.3852620124816895,2.807104511233821,8.56163842337472,9.091257912772043,9.52080045427595,1.9326078587937578,2.8024426625859675,2.988652619734996,3.0911804802431586,4.080221030097924,3.55716460339627,5.002609563172932,5.07198010936527,30.01227771208131,4.981228583026677,7.74047145882214,44.943429160153755,73.35069090873003,61.5043245861109,39.062993113821264,77.77944056876004,79.73061600625515,283.57693154760636,-1.0000090492348253,1872658.4107441558,4768110.365180064,7366518.655497203,6385261.028102608,2807104.4756936785,8561637.423371606,9091256.912767038,9520799.454272788,-1000009.0492348253,1872658410744.1555,4768110365180.063,7366518655497.203,6385261028102.609,2807104475693.6787,8561637423371.6045,9091256912767.04,9520799454272.787,90.0,125.9,134.75,143.5,187.765625,162.27491547789933,227.25,239.4,1365.0
9,9560287020539.518,8.571428571428571,9.56028802054269,9.56028802054269,3.1716604140119076,0,1,81.73847937583923,141,9560287.020539518,"[0.0, 9.56028802054269, -1.0, -3.1716604140119076]",0,64,64,0,64,0,64,0,224.49900611584977,2859.201577269912,10314,131561,10.872485900006723,192.9616601000016,5.7142857142857135,7.323860653809138,7.323860653809138,7323859.65380563,3.5077969705601526,0.0,0.0,5.714285714285714,5.714285714285714,5.7142857142857135,2.7664166758624407,8.571428571428571,8.571428571428571,8.571428571428571,1.8702479771205358,2.345634460449219,7.142857142857142,8.232970918927872,7.323860653809138,2.2796620528473284,8.903328350612094,9.26360648018973,9.56028802054269,1.8702479771205358,2.345634460449219,7.142857142857142,8.232970918927872,7.323860653809138,2.2796620528473284,8.903328350612094,9.26360648018973,9.56028802054269,2.203221859246329,2.974055290802546,3.04117430611662,3.1145311278341925,3.5077969705601526,0.9215017808127517,3.3337210734727796,5.024333213686817,6.353287871170983,5.050977165054064,10.998762508997613,67.32380869239569,76.6462382376194,64.93064936733288,23.822736031729534,78.65535871498287,80.1432188719511,81.73847937583923,1870246.977115527,2345633.460444192,7142856.142854044,8232969.918924671,7323859.65380563,2279662.0528478953,8903327.350607539,9263605.480186583,9560287.020539518,1870246977115.527,2345633460444.192,7142856142854.044,8232969918924.672,7323859653805.631,2279662052847.895,8903327350607.54,9263605480186.584,9560287020539.518,99.0,134.6,138.75,143.5,161.15625,42.78223154462025,153.25,233.0,291.0
10,9576728365754.365,8.571428571428571,9.576729365757533,9.576729365757533,3.1678885381473707,0,1,81.55943048745394,149,9576728.365754366,"[0.0, 9.576729365757533, -1.0, -3.1678885381473707]",0,64,64,0,64,0,64,0,227.35070245695087,3086.5522797268627,10484,142045,8.229931800000486,202.58577610000793,5.133928571428571,6.756595969200134,6.756595969200134,6756594.969196582,3.5523547258898573,0.0,0.0,2.857142857142857,5.714285714285714,5.133928571428571,3.3189194631779215,8.571428571428571,8.571428571428571,8.571428571428571,1.8705858503069197,2.1069504874093195,5.289577756609235,8.177228655133929,6.756595969200134,2.8134874706438997,8.998964173453196,9.301879610334124,9.576729365757533,1.8705858503069197,2.1069504874093195,5.289577756609235,8.177228655133929,6.756595969200134,2.8134874706438997,8.998964173453196,9.301879610334124,9.576729365757533,2.0876742025565798,2.9568304349042753,3.0437673821398814,3.1314443859099677,3.5523547258898573,0.9060169042511746,4.398177597489754,5.0102856040171995,5.182579692817532,5.102085020625964,7.742059231914754,45.09501354023814,76.27984894439578,58.29791603722458,29.170392838875046,79.02844241261482,80.37406982332467,81.55943048745394,1870584.850301892,2106949.487404316,5289576.756607064,8177227.655130805,6756594.969196582,2813487.4706445634,8998963.17345007,9301878.610329552,9576728.365754366,1870584850301.892,2106949487404.3162,5289576756607.064,8177227655130.805,6756594969196.582,2813487470644.563,8998963173450.07,9301878610329.55,9576728365754.365,98.0,134.6,140.0,145.0,163.8125,42.34267756944523,201.75,234.7,240.0
