generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,15,0,1,1,7409211929858.472,"[0.0, 7.409212929861885, -1.0, -3.414347051857402]",7.409212929861885,5.714285714285714,7.409212929861885,3.414347051857402,0,1,0,72.34908831119537,7409211.929858471,148,1,0
1,2,54,0,1,1,7359849747240.991,"[0.0, 7.359850747244699, -1.0, -3.707844807220199]",7.359850747244699,5.714285714285714,7.359850747244699,3.707844807220199,0,1,0,71.87141658365726,7359849.747240991,169,1,0
1,3,19,0,1,1,7142856142854.369,"[0.0, 7.142857142857142, -1.0, -2.7735183905906813]",7.142857142857142,5.714285714285714,7.142857142857142,2.7735183905906813,0,1,0,66.1064617857337,7142856.142854369,127,1,0
1,4,28,0,1,1,7142856142854.342,"[0.0, 7.142857142857142, -1.0, -2.800513386525131]",7.142857142857142,5.714285714285714,7.142857142857142,2.800513386525131,0,1,0,67.11697248369455,7142856.142854342,129,1,0
1,5,10,0,1,1,7142856142854.319,"[0.0, 7.142857142857142, -1.0, -2.822783327386959]",7.142857142857142,5.714285714285714,7.142857142857142,2.822783327386959,0,1,0,67.95136696845293,7142856.142854319,134,1,0
1,6,40,0,1,1,7142856142854.312,"[0.0, 7.142857142857142, -1.0, -2.8305923692652337]",7.142857142857142,5.714285714285714,7.142857142857142,2.8305923692652337,0,1,0,66.85337761044502,7142856.1428543115,126,1,0
1,7,36,0,1,1,7142856142854.308,"[0.0, 7.142857142857142, -1.0, -2.8347288195424922]",7.142857142857142,5.714285714285714,7.142857142857142,2.8347288195424922,0,1,0,68.42653731256723,7142856.142854308,128,1,0
1,8,46,0,1,1,7142856142854.26,"[0.0, 7.142857142857142, -1.0, -2.8823603203764607]",7.142857142857142,5.714285714285714,7.142857142857142,2.8823603203764607,0,1,0,70.24509307742119,7142856.142854259,132,1,0
1,9,13,0,0,1,7142856142853.869,"[0.0, 7.142857142857142, -1.0, -3.2731385621549256]",7.142857142857142,5.714285714285714,7.142857142857142,3.2731385621549256,0,1,0,65.85262753069401,7142856.142853869,154,1,0
1,10,55,0,0,1,7142856142853.129,"[0.0, 7.142857142857142, -1.0, -4.013747025146868]",7.142857142857142,5.714285714285714,7.142857142857142,4.013747025146868,0,1,0,66.92294910550117,7142856.142853129,177,1,0
1,11,51,0,0,1,7142856142852.021,"[0.0, 7.142857142857142, -1.0, -5.121556741816268]",7.142857142857142,5.714285714285714,7.142857142857142,5.121556741816268,0,1,0,68.92939809709787,7142856.142852021,232,1,0
1,12,21,0,0,1,3229837779989.0693,"[0.0, 3.2298387799944197, -1.0, -5.350706193553347]",3.2298387799944197,2.857142857142857,3.2298387799944197,5.350706193553347,0,1,0,20.197155398636824,3229837.7799890693,247,1,0
1,13,3,0,0,1,2732418605229.4766,"[0.0, 2.7324186052594865, -0.0, -30.009929210858296]",2.7324186052594865,0.0,2.7324186052594865,30.009929210858296,0,0,1,293.756002971204,2732418.6052294765,1383,0,1
1,14,45,0,0,1,2114730924869.4163,"[0.0, 2.114731924874442, -1.0, -5.025662138962144]",2.114731924874442,0.0,2.114731924874442,5.025662138962144,0,1,0,7.75610572550795,2114730.9248694163,230,1,0
1,15,30,0,0,1,2114425749088.1663,"[0.0, 2.114426749093192, -1.0, -5.025617292611193]",2.114426749093192,0.0,2.114426749093192,5.025617292611193,0,1,0,7.760567300647381,2114425.7490881663,226,1,0
1,16,14,0,0,1,2113858994065.8645,"[0.0, 2.1138599940708707, -1.0, -5.006121212648446]",2.1138599940708707,0.0,2.1138599940708707,5.006121212648446,0,1,0,7.7536415898939595,2113858.9940658645,233,1,0
1,17,44,0,0,1,2113831746228.2515,"[0.0, 2.113832746233259, -1.0, -5.007575174885929]",2.113832746233259,0.0,2.113832746233259,5.007575174885929,0,1,0,7.762479036435252,2113831.7462282516,223,1,0
1,18,43,0,0,1,2113641011364.9597,"[0.0, 2.113642011369978, -1.0, -5.018010142702726]",2.113642011369978,0.0,2.113642011369978,5.018010142702726,0,1,0,7.76386209166958,2113641.0113649596,236,1,0
1,19,20,0,0,1,2113417579096.5593,"[0.0, 2.1134185791015625, -1.0, -5.003262896972556]",2.1134185791015625,0.0,2.1134185791015625,5.003262896972556,0,1,0,7.755903183482587,2113417.5790965594,230,1,0
1,20,56,0,0,1,2112970714559.7048,"[0.0, 2.1129717145647318, -1.0, -5.026787290257875]",2.1129717145647318,0.0,2.1129717145647318,5.026787290257875,0,1,0,7.779920429442427,2112970.714559705,232,1,0
1,21,27,0,0,1,2112687337048.5679,"[0.0, 2.1126883370535716, -1.0, -5.003724635577397]",2.1126883370535716,0.0,2.1126883370535716,5.003724635577397,0,1,0,7.762369204807328,2112687.337048568,224,1,0
1,22,39,0,0,1,2112218674241.6414,"[0.0, 2.112219674246652, -1.0, -5.0105716738201735]",2.112219674246652,0.0,2.112219674246652,5.0105716738201735,0,1,0,7.752060616534436,2112218.6742416415,231,1,0
1,23,48,0,0,1,2112153279431.3616,"[0.0, 2.1121542794363837, -1.0, -5.022336728493525]",2.1121542794363837,0.0,2.1121542794363837,5.022336728493525,0,1,0,7.754185970581602,2112153.2794313617,230,1,0
1,24,47,0,0,1,2111842654082.5854,"[0.0, 2.1118436540876115, -1.0, -5.026099379203812]",2.1118436540876115,0.0,2.1118436540876115,5.026099379203812,0,1,0,7.750519094799529,2111842.6540825856,232,1,0
1,25,22,0,0,1,2111717314029.58,"[0.0, 2.111718314034598, -1.0, -5.0180760769283195]",2.111718314034598,0.0,2.111718314034598,5.0180760769283195,0,1,0,7.742353027526406,2111717.31402958,230,1,0
1,26,24,0,0,1,2111700965327.0122,"[0.0, 2.1117019653320312, -1.0, -5.019145770652675]",2.1117019653320312,0.0,2.1117019653320312,5.019145770652675,0,1,0,7.7733174591485295,2111700.9653270124,227,1,0
1,27,53,0,0,1,2111695515759.4812,"[0.0, 2.111696515764509, -1.0, -5.0279030559980615]",2.111696515764509,0.0,2.111696515764509,5.0279030559980615,0,1,0,7.755774846038548,2111695.515759481,233,1,0
1,28,26,0,0,1,2111646469651.807,"[0.0, 2.111647469656808, -1.0, -5.00112981269377]",2.111647469656808,0.0,2.111647469656808,5.00112981269377,0,1,0,7.756698195662466,2111646.469651807,224,1,0
1,29,49,0,0,1,2111564726138.9697,"[0.0, 2.111565726143973, -1.0, -5.003506328313074]",2.111565726143973,0.0,2.111565726143973,5.003506328313074,0,1,0,7.755127366632223,2111564.72613897,227,1,0
1,30,60,0,0,1,2111357642573.119,"[0.0, 2.111358642578125, -1.0, -5.0061532432539995]",2.111358642578125,0.0,2.111358642578125,5.0061532432539995,0,1,0,7.745308573037619,2111357.6425731187,218,1,0
1,31,58,0,0,1,2111112412034.5957,"[0.0, 2.1111134120396207, -1.0, -5.024789291326654]",2.1111134120396207,0.0,2.1111134120396207,5.024789291326654,0,1,0,7.7687543180582,2111112.412034596,229,1,0
1,32,16,0,0,1,2110790887550.795,"[0.0, 2.1107918875558034, -1.0, -5.008451221534424]",2.1107918875558034,0.0,2.1107918875558034,5.008451221534424,0,1,0,7.7410368379205465,2110790.887550795,244,1,0
1,33,52,0,0,0,2109597432263.3953,"[0.0, 2.1095984322684154, -1.0, -5.019920431064841]",2.1095984322684154,0.0,2.1095984322684154,5.019920431064841,0,1,0,7.731519690481946,2109597.4322633953,235,1,0
1,34,29,0,0,0,2109368550427.4758,"[0.0, 2.1093695504324774, -1.0, -5.001615961253843]",2.1093695504324774,0.0,2.1093695504324774,5.001615961253843,0,1,0,7.749042139766971,2109368.550427476,220,1,0
1,35,23,0,0,0,2109166916429.1465,"[0.0, 2.109167916434152, -1.0, -5.005427443707816]",2.109167916434152,0.0,2.109167916434152,5.005427443707816,0,1,0,7.736543626349885,2109166.9164291467,228,1,0
1,36,12,0,0,0,2108011608114.4111,"[0.0, 2.1080126081194193, -1.0, -5.008109222973374]",2.1080126081194193,0.0,2.1080126081194193,5.008109222973374,0,1,0,7.745058259512007,2108011.608114411,225,1,0
1,37,11,0,0,0,1874410446702.5706,"[0.0, 1.8744114467075894, -1.0, -5.018701508570642]",1.8744114467075894,0.0,1.8744114467075894,5.018701508570642,0,1,0,5.240992567822104,1874410.4467025707,234,1,0
1,38,7,0,0,0,1873712902059.7256,"[0.0, 1.873713902064732, -1.0, -5.006429230874442]",1.873713902064732,0.0,1.873713902064732,5.006429230874442,0,1,0,5.168445415620226,1873712.9020597255,234,1,0
1,39,42,0,0,0,1873173394875.0156,"[0.0, 1.8731743948800224, -1.0, -5.0067722053261186]",1.8731743948800224,0.0,1.8731743948800224,5.0067722053261186,0,1,0,5.168544396787183,1873173.3948750156,229,1,0
1,40,57,0,0,0,1872819172986.0625,"[0.0, 1.8728201729910716, -1.0, -5.008912040945962]",1.8728201729910716,0.0,1.8728201729910716,5.008912040945962,0,1,0,4.97627863753587,1872819.1729860625,227,1,0
1,41,5,0,0,0,1872301464071.444,"[0.0, 1.872302464076451, -1.0, -5.0069433644521]",1.872302464076451,0.0,1.872302464076451,5.0069433644521,0,1,0,5.016727699403418,1872301.464071444,228,1,0
1,42,18,0,0,0,1872116178775.683,"[0.0, 1.8721171787806918, -1.0, -5.008695304765634]",1.8721171787806918,0.0,1.8721171787806918,5.008695304765634,0,1,0,5.240498340135673,1872116.178775683,237,1,0
