generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8474949.102797152,5.714285714285714,8.474952152797153,8.474952152797153,3.049999999999994,0,1,76.67565283179283,183,8.474949102797153,"[0.0, 8.474952152797153, -3.049999999999994]",0,64,64,0,64,0,64,0,259.9999999999994,259.9999999999994,15600,15600,7.069194299983792,7.138464499992551,1.3392857142857142,2.9470585073743543,2.9470585073743543,2.9470544448743548,4.06249999999999,0.0,0.0,0.0,0.0,1.3392857142857142,2.4206145913796355,0.0,5.714285714285714,5.714285714285714,0.4926082066127232,0.4953286307198661,1.875716618129185,1.8758283342633928,2.9470585073743543,2.599450411799568,2.1118763514927457,7.36073248726981,8.474952152797153,0.4926082066127232,0.4953286307198661,1.875716618129185,1.8758283342633928,2.9470585073743543,2.599450411799568,2.1118763514927457,7.36073248726981,8.474952152797153,1.9333333333333313,1.9333333333333313,2.833333333333328,5.016666666666654,4.06249999999999,1.3417184255026542,5.016666666666654,5.016666666666654,7.316666666666646,2.455755914270412,5.173523949307855,5.173935563812847,7.705779772120877,22.33489802501549,26.154576130573727,16.143678408436244,70.4763131543994,76.67565283179283,0.49260627327938983,0.49532669738653273,1.8757116014625186,1.875823317596726,2.9470544448743548,2.599450658151076,2.111871334826079,7.360729570603143,8.474949102797153,492606.27327938983,495326.69738653273,1875711.6014625186,1875823.3175967261,2947054.4448743546,2599450.6581510757,2111871.334826079,7360729.5706031425,8474949.102797152,116.0,116.0,170.0,301.0,243.75,80.50310553015952,301.0,301.0,439.0
2,9136531.9995745,8.571428571428571,9.136535099574498,9.136535099574498,3.099999999999994,0,1,78.67891278862953,186,9.1365319995745,"[0.0, 9.136535099574498, -3.099999999999994]",0,64,64,0,64,0,64,0,254.99999999999943,514.9999999999989,15300,30900,2.034780199988745,9.26264169998467,2.9464285714285716,4.699351404394422,4.699351404394422,4.699347420019422,3.984374999999991,0.0,0.0,0.0,2.857142857142857,2.9464285714285716,2.986737264942452,5.714285714285714,5.714285714285714,8.571428571428571,0.4926082066127232,1.875762939453125,1.8758283342633928,4.107627868652344,4.699351404394422,2.8958299868975765,7.353230885096959,7.999382291521345,9.136535099574498,0.4926082066127232,1.875762939453125,1.8758283342633928,4.107627868652344,4.699351404394422,2.8958299868975765,7.353230885096959,7.999382291521345,9.136535099574498,1.9333333333333313,2.8216666666666614,2.929166666666661,4.083333333333324,3.984374999999991,1.1515232778259374,5.016666666666654,5.016666666666654,7.316666666666646,5.173353718593717,5.173928355588577,7.643001905895289,33.38102417625487,38.51728096697525,31.940180514589752,71.20647229999304,74.75247802585363,78.67891278862953,0.49260627327938983,1.8757579227864585,1.875823317596726,4.107624143652344,4.699347420019422,2.8958308602048946,7.353227968430292,7.999379274854679,9.1365319995745,492606.27327938983,1875757.9227864584,1875823.3175967261,4107624.1436523437,4699347.420019423,2895830.8602048946,7353227.968430292,7999379.274854678,9136531.9995745,116.0,169.3,175.75,245.0,239.0625,69.09139666955647,301.0,301.0,439.0
3,9495263.35565011,8.571428571428571,9.495266505650111,9.495266505650111,3.1499999999999937,0,1,80.70318564772606,189,9.49526335565011,"[0.0, 9.495266505650111, -3.1499999999999937]",0,64,64,0,64,0,64,0,256.6999999999994,771.6999999999982,15402,46302,2.1052521000092383,11.454764299996896,3.705357142857143,5.4646040712084085,5.4646040712084085,5.464600060270909,4.010937499999991,0.0,0.0,0.0,5.714285714285714,3.705357142857143,2.887326613753594,5.714285714285714,5.714285714285714,8.571428571428571,1.0493360246930805,1.8756964547293526,1.8758256094796315,7.142857142857142,5.4646040712084085,2.7374383973178626,7.521042142595564,8.135184696742467,9.495266505650111,1.0493360246930805,1.8756964547293526,1.8758256094796315,7.142857142857142,5.4646040712084085,2.7374383973178626,7.521042142595564,8.135184696742467,9.495266505650111,2.1499999999999972,2.8099999999999947,2.9458333333333275,3.0833333333333273,4.010937499999991,1.369560638787476,5.016666666666654,5.016666666666654,7.316666666666646,5.018698871193919,5.173842496989527,5.175431960626156,64.16843810677528,46.230977648843464,30.43463760037751,71.90479839965701,75.35202485471964,80.70318564772606,1.0493310080264138,1.8756914380626861,1.875820592812965,7.14285430952381,5.464600060270909,2.737439190842477,7.521039105095564,8.1351816800758,9.49526335565011,1049331.0080264139,1875691.438062686,1875820.592812965,7142854.30952381,5464600.060270909,2737439.190842477,7521039.105095563,8135181.6800758,9495263.35565011,129.0,168.6,176.75,185.0,240.65625,82.17363832724884,301.0,301.0,439.0
4,9495263.35565011,8.571428571428571,9.495266505650111,9.495266505650111,3.1499999999999937,0,1,80.70318564772606,189,9.49526335565011,"[0.0, 9.495266505650111, -3.1499999999999937]",0,64,64,0,64,0,64,0,247.8666666666661,1019.5666666666643,14872,61174,2.148657899990212,13.69057479998446,4.151785714285714,5.913391964776175,5.913391964776175,5.91338809185951,3.872916666666658,0.0,0.0,0.0,5.714285714285714,4.151785714285714,3.027496755926067,5.714285714285714,8.571428571428571,8.571428571428571,1.8705477033342632,1.8757313319614957,2.099161148071289,7.2612680707659045,5.913391964776175,2.8044905840578602,8.014841760907853,8.609856741768974,9.495266505650111,1.8705477033342632,1.8757313319614957,2.099161148071289,7.2612680707659045,5.913391964776175,2.8044905840578602,8.014841760907853,8.609856741768974,9.495266505650111,2.449999999999996,2.883333333333328,2.9958333333333274,3.099999999999994,3.872916666666658,1.2058073453776343,5.016666666666654,5.016666666666654,8.11666666666665,5.173415876808576,5.1746501113870185,7.642600263476197,70.41625951230526,51.08242229612392,31.209535428691627,74.75255215913057,77.34156425446272,80.70318564772606,1.8705426866675967,1.8757263152948291,2.099156131404623,7.261265179099237,5.91338809185951,2.804491448192917,8.014838535907854,8.609853675102308,9.49526335565011,1870542.6866675967,1875726.3152948292,2099156.1314046225,7261265.179099238,5913388.091859508,2804491.448192917,8014838.535907854,8609853.675102307,9495263.35565011,147.0,173.0,179.75,186.0,232.375,72.34844072265828,301.0,301.0,487.0
5,9495263.35565011,8.571428571428571,9.495266505650111,9.495266505650111,3.1499999999999937,0,1,80.70318564772606,189,9.49526335565011,"[0.0, 9.495266505650111, -3.1499999999999937]",0,64,64,0,64,0,64,0,228.7999999999995,1248.3666666666638,13728,74902,1.9514552999753505,15.73184239998227,4.866071428571429,6.488398228372846,6.488398228372846,6.488394653372847,3.574999999999992,0.0,0.0,2.142857142857143,5.714285714285714,4.866071428571429,3.058931698772482,5.714285714285714,8.571428571428571,8.571428571428571,0.4936926705496652,1.875774928501674,4.661942890712193,7.575298036847796,6.488398228372846,2.7578823906478642,8.449937275477819,9.060568945748464,9.495266505650111,0.4936926705496652,1.875774928501674,4.661942890712193,7.575298036847796,6.488398228372846,2.7578823906478642,8.449937275477819,9.060568945748464,9.495266505650111,1.9333333333333313,2.888333333333328,2.962499999999994,3.0666666666666607,3.574999999999992,0.947066926826654,4.704166666666655,5.016666666666654,6.21666666666665,5.173409829440061,5.1775677172132415,37.66163509315811,72.54144132137299,56.91973179427657,29.45278977910916,76.67594347149134,78.47788043618202,80.70318564772606,0.4936907372163319,1.8757699118350073,4.661936974045526,7.575295086847795,6.488394653372847,2.757883084734187,8.449934225477818,9.060565850748466,9.49526335565011,493690.7372163319,1875769.9118350074,4661936.974045526,7575295.086847795,6488394.653372847,2757883.0847341865,8449934.225477818,9060565.850748466,9495263.35565011,116.0,173.3,177.75,184.0,214.5,56.824015609599435,282.25,301.0,373.0
6,9601181.133347286,8.571428571428571,9.601184300013951,9.601184300013951,3.1666666666666603,0,1,81.12067271769047,190,9.601181133347286,"[0.0, 9.601184300013951, -3.1666666666666603]",0,64,64,0,64,0,64,0,227.7666666666662,1476.13333333333,13666,88568,1.9141909999889322,17.73493919998873,5.044642857142858,6.664192421095712,6.664192421095712,6.664188862241545,3.5588541666666593,0.0,0.0,2.857142857142857,5.714285714285714,5.044642857142858,3.2632065854597307,8.571428571428571,8.571428571428571,8.571428571428571,1.8699918474469865,1.8856048583984375,4.95539665222168,8.099697657993861,6.664192421095712,2.8166992810415077,8.756731578281947,9.253758566720146,9.601184300013951,1.8699918474469865,1.8856048583984375,4.95539665222168,8.099697657993861,6.664192421095712,2.8166992810415077,8.756731578281947,9.253758566720146,9.601184300013951,2.033333333333331,2.858333333333328,3.024999999999994,3.0833333333333273,3.5588541666666593,0.9949698520610611,5.016666666666654,5.016666666666654,6.21666666666665,5.173533645633142,5.297031851796783,41.43166921287775,75.34532183408737,56.85649812277643,29.61278910441655,77.50830941647291,79.3512103676796,81.12067271769047,1.8699868307803198,1.8855998417317708,4.955394593888347,8.099694641327194,6.664188862241545,2.816699948080601,8.756728507448614,9.253755450053479,9.601181133347286,1869986.8307803199,1885599.841731771,4955394.593888347,8099694.641327195,6664188.862241546,2816699.948080601,8756728.507448614,9253755.450053478,9601181.133347286,122.0,171.5,181.5,185.0,213.53125,59.698191123663875,301.0,301.0,373.0
7,9601181.133347286,8.571428571428571,9.601184300013951,9.601184300013951,3.1666666666666603,0,1,81.12067271769047,190,9.601181133347286,"[0.0, 9.601184300013951, -3.1666666666666603]",0,64,64,0,64,0,64,0,223.39999999999952,1699.5333333333297,13404,101972,1.9776886999898124,19.804915599990636,5.892857142857143,7.377591133117676,7.377591133117676,7.377587642492676,3.4906249999999925,0.0,0.8571428571428592,5.714285714285714,5.714285714285714,5.892857142857143,2.8064702938395913,8.571428571428571,8.571428571428571,8.571428571428571,1.8747711181640627,2.871552058628629,7.224697385515485,8.162916728428431,7.377591133117676,2.2963679577533607,8.796210289001465,9.347645895821708,9.601184300013951,1.8747711181640627,2.871552058628629,7.224697385515485,8.162916728428431,7.377591133117676,2.2963679577533607,8.796210289001465,9.347645895821708,9.601184300013951,1.949999999999998,2.966666666666661,3.016666666666661,3.0833333333333273,3.4906249999999925,1.0501152177195145,3.187499999999994,5.016666666666654,7.799999999999978,5.173924783826806,16.39175879428369,68.26863339170814,75.35203354805708,64.49360102688104,23.644818775323476,77.94035590440035,79.94790824353694,81.33876743912697,1.8747661014973962,2.8715462069619626,7.224694556348819,8.162913711761764,7.377587642492676,2.2963684969737286,8.796207218168131,9.347641249155041,9.601181133347286,1874766.1014973961,2871546.2069619624,7224694.556348819,8162913.711761765,7377587.642492676,2296368.4969737283,8796207.218168132,9347641.24915504,9601181.133347286,117.0,178.0,181.0,185.0,209.4375,63.00691306317109,191.25,301.0,468.0
8,9749507.44550316,8.571428571428571,9.749510628836495,9.749510628836495,3.183333333333327,0,1,82.06300529837608,191,9.749507445503161,"[0.0, 9.749510628836495, -3.183333333333327]",0,64,64,0,64,0,64,0,217.7333333333329,1917.2666666666626,13064,115036,1.959642800007714,21.853187800006708,5.848214285714285,7.340749033859797,7.340749033859797,7.340745631776464,3.4020833333333265,0.0,0.0,5.714285714285714,5.714285714285714,5.848214285714285,2.9636267555004907,8.571428571428571,8.571428571428571,8.571428571428571,1.8754795619419642,2.1105210440499445,7.041556494576589,8.37674822126116,7.340749033859797,2.486276436105017,9.02019909449986,9.467351096017019,9.749510628836495,1.8754795619419642,2.1105210440499445,7.041556494576589,8.37674822126116,7.340749033859797,2.486276436105017,9.02019909449986,9.467351096017019,9.749510628836495,1.8333333333333317,2.7833333333333283,3.012499999999994,3.0916666666666606,3.4020833333333265,0.9170193450340407,3.26666666666666,5.016666666666654,6.21666666666665,5.174035200267099,7.706080747379747,64.68474617600441,76.19352246820927,63.464045325338475,25.41831665523187,78.67861496284604,80.56596681177616,82.06300529837608,1.8754745452752974,2.110516027383278,7.041553715409924,8.376744804594495,7.340745631776464,2.4862768788508154,9.02019599449986,9.46734795101702,9.749507445503161,1875474.5452752975,2110516.0273832777,7041553.715409923,8376744.804594494,7340745.631776464,2486276.878850815,9020195.994499858,9467347.95101702,9749507.44550316,110.0,167.0,180.75,185.5,204.125,55.02116070204263,196.0,301.0,373.0
9,9794689.93461449,8.571428571428571,9.794695717947825,9.794695717947825,5.783333333333318,0,1,82.3865125104785,347,9.79468993461449,"[0.0, 9.794695717947825, -5.783333333333318]",0,64,64,0,64,0,64,0,229.68333333333283,2146.9499999999953,13781,128817,1.9742690999992192,23.914998199994443,6.116071428571428,7.476411206381662,7.476411206381662,7.476407617579578,3.5888020833333254,0.0,0.0,5.714285714285714,8.571428571428571,6.116071428571428,3.1890752410153547,8.571428571428571,8.571428571428571,8.571428571428571,1.1589486258370536,2.1106545584542413,7.478277342660086,8.632203510829381,7.476411206381662,2.705755927964339,9.25398281642369,9.53938947405134,9.794695717947825,1.1589486258370536,2.1106545584542413,7.478277342660086,8.632203510829381,7.476411206381662,2.705755927964339,9.25398281642369,9.53938947405134,9.794695717947825,2.199999999999997,2.9983333333333277,3.0666666666666607,3.1166666666666605,3.5888020833333254,0.949067774916282,3.5041666666666593,5.016666666666654,6.21666666666665,5.1735391931724735,7.705848147632059,71.91454818099737,77.34102902561426,63.926403046362,27.257251822655206,79.35155093297362,80.70975938588381,82.3865125104785,1.158943609170387,2.1106495417875744,7.478274305160086,8.632200444162715,7.476407617579578,2.705756593200009,9.253979699757023,9.53938629405134,9.79468993461449,1158943.609170387,2110649.5417875745,7478274.305160087,8632200.444162715,7476407.6175795775,2705756.593200009,9253979.699757023,9539386.29405134,9794689.93461449,132.0,179.9,184.0,187.0,215.328125,56.944066494977115,210.25,301.0,373.0
10,9794689.93461449,8.571428571428571,9.794695717947825,9.794695717947825,5.783333333333318,0,1,82.3865125104785,347,9.79468993461449,"[0.0, 9.794695717947825, -5.783333333333318]",0,64,64,0,64,0,64,0,223.0666666666662,2370.0166666666614,13384,142201,1.9858182999887504,25.99103139998624,5.669642857142857,7.068535642964499,7.068535642964499,7.068532157547832,3.4854166666666595,0.0,0.0,2.857142857142857,7.142857142857142,5.669642857142857,3.330907652700135,8.571428571428571,8.571428571428571,8.571428571428571,1.1418260846819195,2.109116690499442,5.26090213230678,8.52654320853097,7.068535642964499,2.793706479781042,9.24727848597935,9.557834352765765,9.794695717947825,1.1418260846819195,2.109116690499442,5.26090213230678,8.52654320853097,7.068535642964499,2.793706479781042,9.24727848597935,9.557834352765765,9.794695717947825,2.083333333333331,2.24333333333333,3.045833333333327,3.1166666666666605,3.4854166666666595,1.0234723541562885,3.3791666666666593,5.016666666666654,6.21666666666665,5.174935427203309,7.706091320935229,44.71372304111719,77.00852143764496,59.9600405563765,27.589220984318654,79.35109639540315,80.70963418483734,82.3865125104785,1.141821068015253,2.1091116738327753,5.26089996980678,8.526540150197638,7.068532157547832,2.7937070109148405,9.247275369312685,9.557830627765766,9.79468993461449,1141821.068015253,2109111.673832775,5260899.96980678,8526540.150197638,7068532.1575478325,2793707.0109148403,9247275.369312685,9557830.627765765,9794689.93461449,125.0,134.6,182.75,187.0,209.125,61.408341249377514,202.75,301.0,373.0
