generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,58,0,1,1,8474949.102797152,"[0.0, 8.474952152797153, -3.049999999999994]",8.474952152797153,5.714285714285714,8.474952152797153,3.049999999999994,0,1,0,76.67565283179283,8.474949102797153,183,1,0
1,2,6,0,1,1,8166999.525011625,"[0.0, 8.167002541678292, -3.016666666666661]",8.167002541678292,5.714285714285714,8.167002541678292,3.016666666666661,0,1,0,75.35208821296692,8.166999525011626,181,1,0
1,3,63,0,1,1,8002015.017840867,"[0.0, 8.002022334507533, -7.316666666666646]",8.002022334507533,5.714285714285714,8.002022334507533,7.316666666666646,0,1,0,57.63273313939135,8.002015017840867,439,1,0
1,4,4,0,1,1,7997733.232984561,"[0.0, 7.997736249651227, -3.016666666666661]",7.997736249651227,5.714285714285714,7.997736249651227,3.016666666666661,0,1,0,74.77766139805317,7.997733232984561,181,1,0
1,5,41,0,1,1,7960496.354771206,"[0.0, 7.960499354771206, -2.9999999999999942]",7.960499354771206,5.714285714285714,7.960499354771206,2.9999999999999942,0,1,0,74.69371132552624,7.960496354771206,180,1,0
1,6,3,0,1,1,7835355.227639045,"[0.0, 7.835358210972378, -2.9833333333333276]",7.835358210972378,5.714285714285714,7.835358210972378,2.9833333333333276,0,1,0,74.03772991895676,7.835355227639044,179,1,0
1,7,22,0,1,1,7365730.638718377,"[0.0, 7.365733555385044, -2.916666666666661]",7.365733555385044,5.714285714285714,7.365733555385044,2.916666666666661,0,1,0,71.43653340637684,7.365730638718377,175,1,0
1,8,18,0,1,1,7349060.411667597,"[0.0, 7.349063328334264, -2.916666666666661]",7.349063328334264,5.714285714285714,7.349063328334264,2.916666666666661,0,1,0,71.4359680712223,7.349060411667597,175,1,0
1,9,44,0,0,1,7142854.342857143,"[0.0, 7.142857142857142, -2.799999999999995]",7.142857142857142,5.714285714285714,7.142857142857142,2.799999999999995,0,1,0,66.10714711248875,7.1428543428571425,168,1,0
1,10,7,0,0,1,7142854.30952381,"[0.0, 7.142857142857142, -2.833333333333328]",7.142857142857142,5.714285714285714,7.142857142857142,2.833333333333328,0,1,0,67.74968799948692,7.14285430952381,170,1,0
1,11,53,0,0,1,7142854.30952381,"[0.0, 7.142857142857142, -2.833333333333328]",7.142857142857142,5.714285714285714,7.142857142857142,2.833333333333328,0,1,0,68.23711834847927,7.14285430952381,170,1,0
1,12,62,0,0,1,7142854.226190476,"[0.0, 7.142857142857142, -2.916666666666661]",7.142857142857142,5.714285714285714,7.142857142857142,2.916666666666661,0,1,0,67.20382587611675,7.142854226190476,175,1,0
