generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2157538.7106631324,0.0,2.157543727329799,2.157543727329799,5.016666666666654,0,1,8.207199690034031,301,2.1575387106631325,"[0.0, 2.157543727329799, -5.016666666666654]",0,64,64,0,64,0,64,0,321.06666666666587,321.06666666666587,19264,19264,10.795199299987871,10.859090899990406,0.0,1.974207077707563,1.974207077707563,1.9742020610408966,5.016666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8572344098772322,1.890496390206473,1.9202491215297153,1.9582748413085938,1.974207077707563,0.0711956763213825,2.019756862095424,2.08317129952567,2.157543727329799,1.8572344098772322,1.890496390206473,1.9202491215297153,1.9582748413085938,1.974207077707563,0.0711956763213825,2.019756862095424,2.08317129952567,2.157543727329799,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,0.0,5.016666666666654,5.016666666666654,5.016666666666654,4.986681130510988,5.333724970566982,5.646089271769597,6.054214996282099,6.222263862879572,0.7658021868947262,6.7043810842587845,7.397208196377324,8.207199690034031,1.8572293932105657,1.8904913735398066,1.9202441048630485,1.9582698246419272,1.9742020610408966,0.07119567632138253,2.0197518454287575,2.0831662828590036,2.1575387106631325,1857229.3932105657,1890491.3735398066,1920244.1048630485,1958269.8246419271,1974202.0610408965,71195.67632138249,2019751.8454287574,2083166.2828590034,2157538.7106631324,301.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0
2,2466937.9067429313,0.0,2.466942923409598,2.466942923409598,5.016666666666654,0,1,11.658978563020355,301,2.4669379067429316,"[0.0, 2.466942923409598, -5.016666666666654]",0,64,64,0,64,0,64,0,321.06666666666587,642.1333333333317,19264,38528,2.566836800018791,13.560998999979347,0.0,2.0417481660842896,2.0417481660842896,2.041743149417623,5.016666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.824967520577567,1.9281103951590401,1.9624628339494978,2.026111057826451,2.0417481660842896,0.11386703249964354,2.099261965070452,2.153132847377232,2.466942923409598,1.824967520577567,1.9281103951590401,1.9624628339494978,2.026111057826451,2.0417481660842896,0.11386703249964354,2.099261965070452,2.153132847377232,2.466942923409598,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,0.0,5.016666666666654,5.016666666666654,5.016666666666654,4.669615209568292,5.725322636988858,6.090465572007815,6.774134215374943,6.957127139275144,1.2421772576618932,7.604898050685733,8.158861533513118,11.658978563020355,1.8249625039109005,1.9281053784923734,1.962457817282831,2.0261060411597844,2.041743149417623,0.11386703249964353,2.0992569484037853,2.1531278307105657,2.4669379067429316,1824962.5039109006,1928105.3784923735,1962457.8172828313,2026106.0411597844,2041743.149417623,113867.03249964351,2099256.948403785,2153127.8307105657,2466937.9067429313,301.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0
3,2584632.216522508,0.0,2.5846372331891745,2.5846372331891745,5.016666666666654,0,1,13.151444199043908,301,2.584632216522508,"[0.0, 2.5846372331891745, -5.016666666666654]",0,64,64,0,64,0,64,0,321.06666666666587,963.1999999999975,19264,57792,2.4459868999838363,16.131774699984817,0.0,2.115528838975089,2.115528838975089,2.1155238223084223,5.016666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8837738037109375,1.9889651707240514,2.0235701969691684,2.088642120361328,2.115528838975089,0.13944914718784304,2.1598938533238004,2.24767575945173,2.5846372331891745,1.8837738037109375,1.9889651707240514,2.0235701969691684,2.088642120361328,2.115528838975089,0.13944914718784304,2.1598938533238004,2.24767575945173,2.5846372331891745,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,0.0,5.016666666666654,5.016666666666654,5.016666666666654,5.257563314917206,6.372972597829357,6.7490377576541505,7.434111264643434,7.7645002352351185,1.5449430373813313,8.247646183397592,9.208770908760197,13.151444199043908,1.883768787044271,1.988960154057385,2.0235651803025023,2.0886371036946616,2.1155238223084223,0.13944914718784304,2.159888836657134,2.2476707427850635,2.584632216522508,1883768.787044271,1988960.154057385,2023565.180302502,2088637.1036946615,2115523.8223084225,139449.14718784302,2159888.836657134,2247670.7427850636,2584632.216522508,301.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0
4,4972866.98577474,2.857142857142857,4.972877502441406,4.972877502441406,10.516666666666769,0,1,39.985645830631256,631,4.97286698577474,"[0.0, 4.972877502441406, -10.516666666666769]",0,64,64,0,64,0,64,0,328.0333333333326,1291.2333333333302,19682,77474,2.7224472999805585,18.988535399985267,0.08928571428571429,2.253741792270115,2.253741792270115,2.2537366667492824,5.125520833333322,0.0,0.0,0.0,0.0,0.08928571428571429,0.49712181810982337,0.0,0.0,2.857142857142857,1.8559592110770091,1.984879629952567,2.063662665230887,2.1729333060128346,2.253741792270115,0.39696274409322085,2.3313658578055243,2.511086600167411,4.972877502441406,1.8559592110770091,1.984879629952567,2.063662665230887,2.1729333060128346,2.253741792270115,0.39696274409322085,2.3313658578055243,2.511086600167411,4.972877502441406,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.125520833333322,0.7031487264515494,5.016666666666654,5.016666666666654,10.516666666666769,4.966818400986085,6.312613596928713,7.212898223911907,8.38037931828876,9.304978403867835,4.461818437604096,10.146346199173422,12.141506721820772,39.985645830631256,1.8559541944103426,1.9848746132859003,2.0636576485642206,2.172928289346168,2.2537366667492824,0.3969621187698634,2.331360841138858,2.5110815835007445,4.97286698577474,1855954.1944103425,1984874.6132859003,2063657.6485642206,2172928.289346168,2253736.6667492823,396962.11876986345,2331360.841138858,2511081.5835007443,4972866.98577474,301.0,301.0,301.0,301.0,307.53125,42.18892358709215,301.0,301.0,631.0
5,4972866.98577474,2.857142857142857,4.972877502441406,4.972877502441406,10.516666666666769,0,1,39.985645830631256,631,4.97286698577474,"[0.0, 4.972877502441406, -10.516666666666769]",0,64,64,0,64,0,64,0,332.4333333333326,1623.6666666666629,19946,97420,2.8405197999964003,21.965718599996762,0.22321428571428573,2.403128147125244,2.403128147125244,2.403122952854411,5.194270833333322,0.0,0.0,0.0,0.0,0.22321428571428573,0.7667662516659675,0.0,0.0,2.857142857142857,1.8279920305524555,2.0356957571847096,2.152385711669922,2.29938234601702,2.403128147125244,0.46061084158565074,2.530251911708287,2.699889591761998,4.972877502441406,1.8279920305524555,2.0356957571847096,2.152385711669922,2.29938234601702,2.403128147125244,0.46061084158565074,2.530251911708287,2.699889591761998,4.972877502441406,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.194270833333322,0.7658352531600102,5.016666666666654,5.016666666666654,10.516666666666769,4.698080506059341,6.8798597108907416,8.152643615598208,9.789296244132856,10.971769641592118,5.1773110202054085,12.348782442277297,14.24255977149005,39.985645830631256,1.8279870138857888,2.035690740518043,2.1523806950032554,2.299377329350354,2.403122952854411,0.46061016996444637,2.5302468950416204,2.6998845750953313,4.97286698577474,1827987.0138857889,2035690.740518043,2152380.6950032553,2299377.3293503537,2403122.952854411,460610.1699644464,2530246.8950416204,2699884.5750953313,4972866.98577474,301.0,301.0,301.0,301.0,311.65625,45.950115189599906,301.0,301.0,631.0
6,4972866.98577474,2.857142857142857,4.972877502441406,4.972877502441406,10.516666666666769,0,1,39.985645830631256,631,4.97286698577474,"[0.0, 4.972877502441406, -10.516666666666769]",0,64,64,0,64,0,64,0,338.41666666666595,1962.083333333329,20305,117725,2.9188080000167247,25.021057299978565,0.4017857142857143,2.492540308407375,2.492540308407375,2.492535020646958,5.287760416666655,0.0,0.0,0.0,0.0,0.4017857142857143,0.9932408688074548,0.0,2.857142857142857,2.857142857142857,1.9379643031529017,2.1238986424037387,2.200993129185268,2.3651368277413503,2.492540308407375,0.49201536171932553,2.63622556413923,2.9777101789202014,4.972877502441406,1.9379643031529017,2.1238986424037387,2.200993129185268,2.3651368277413503,2.492540308407375,0.49201536171932553,2.63622556413923,2.9777101789202014,4.972877502441406,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.287760416666655,0.8397525790307121,5.016666666666654,5.969999999999985,10.516666666666769,5.840456181002082,7.838143750387826,8.700861987985263,10.530581022238039,11.970500151466922,5.538972949959427,13.536981665150961,17.37531515176816,39.985645830631256,1.937959286486235,2.123893625737072,2.2009881125186013,2.3651318110746837,2.492535020646958,0.49201461585157125,2.6362205474725635,2.9777040339202014,4.97286698577474,1937959.286486235,2123893.625737072,2200988.112518601,2365131.8110746834,2492535.020646958,492014.61585157126,2636220.5474725636,2977704.0339202015,4972866.98577474,301.0,301.0,301.0,301.0,317.265625,50.385154741842115,301.0,358.20000000000005,631.0
7,6416486.119842821,5.714285714285714,6.416500636509487,6.416500636509487,14.516666666666968,0,1,56.05866922624409,871,6.416486119842821,"[0.0, 6.416500636509487, -14.516666666666968]",0,64,64,0,64,0,64,0,370.3999999999997,2332.4833333333286,22224,139949,3.081097799993586,28.23454700000002,1.0267857142857144,2.8330795254026144,2.8330795254026144,2.8330737379026143,5.787499999999995,0.0,0.0,0.0,0.0,1.0267857142857144,1.6262505000077665,2.857142857142857,2.857142857142857,5.714285714285714,2.0229285103934154,2.214997972760882,2.3155770983014787,2.442983899797712,2.8330795254026144,0.9420785475238065,2.989842551095145,3.798890250069755,6.416500636509487,2.0229285103934154,2.214997972760882,2.3155770983014787,2.442983899797712,2.8330795254026144,0.9420785475238065,2.989842551095145,3.798890250069755,6.416500636509487,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.787499999999995,1.6746812507658868,5.962499999999984,7.153333333333314,14.516666666666968,6.741272501647472,8.857643795415788,9.963681162196735,11.384867171094811,15.871953551698994,10.766483317955279,17.795412137862513,26.639186910074205,56.05866922624409,2.022923493726749,2.214992956094215,2.315572081634812,2.4429788831310457,2.8330737379026143,0.9420769656244227,2.989836538595145,3.7988830967364215,6.416486119842821,2022923.4937267487,2214992.956094215,2315572.081634812,2442978.8831310454,2833073.7379026143,942076.9656244226,2989836.5385951446,3798883.0967364213,6416486.119842821,301.0,301.0,301.0,301.0,347.25,100.48087504595091,357.75,429.20000000000005,871.0
8,8188926.226171875,5.714285714285714,8.188934326171875,8.188934326171875,8.099999999999982,0,1,76.4574209600687,486,8.188926226171874,"[0.0, 8.188934326171875, -8.099999999999982]",0,64,64,0,64,0,64,0,416.2333333333333,2748.7166666666617,24974,164923,3.4417434000060894,31.815034100000048,1.919642857142857,3.435252819742475,3.435252819742475,3.4352463160966416,6.503645833333333,0.0,0.0,0.0,2.857142857142857,1.919642857142857,1.7536177983394958,2.857142857142857,2.857142857142857,5.714285714285714,2.008634294782366,2.4048963274274553,2.555246353149414,3.0385589599609375,3.435252819742475,1.2539066842964595,3.835431507655553,5.186031341552735,8.188934326171875,2.008634294782366,2.4048963274274553,2.555246353149414,3.0385589599609375,3.435252819742475,1.2539066842964595,3.835431507655553,5.186031341552735,8.188934326171875,5.016666666666654,5.016666666666654,5.016666666666654,5.991666666666651,6.503645833333333,1.9002637535088276,7.270833333333313,9.023333333333364,14.516666666666968,6.584284670854686,10.96634636378003,12.640669907061238,18.357444316967303,22.876100511963728,14.542667027004244,27.098174743237905,43.22854503188284,76.4574209600687,2.0086292781156994,2.4048913107607883,2.555241336482747,3.0385531016276044,3.4352463160966416,1.253905112568844,3.8354243076555528,5.186020778219402,8.188926226171874,2008629.2781156993,2404891.3107607886,2555241.3364827475,3038553.1016276046,3435246.316096642,1253905.112568844,3835424.307655553,5186020.778219402,8188926.226171875,301.0,301.0,301.0,359.5,390.21875,114.01582521052724,436.25,541.4000000000001,871.0
9,9145322.95069057,8.571428571428571,9.14534160069057,9.14534160069057,18.650000000000222,0,1,80.19914485514164,1119,9.14532295069057,"[0.0, 9.14534160069057, -18.650000000000222]",0,64,64,0,64,0,64,0,475.7666666666679,3224.4833333333295,28546,193469,3.913784400006989,35.86083019999205,2.8125,4.107729579721179,4.107729579721179,4.107722145867012,7.433854166666686,0.0,0.0,2.857142857142857,2.857142857142857,2.8125,1.8552316745696562,2.857142857142857,5.714285714285714,8.571428571428571,2.1937942504882812,2.741783687046596,2.952402659824916,3.4465680803571432,4.107729579721179,1.6011804565562526,5.049003873552595,6.3375298636300235,9.14534160069057,2.1937942504882812,2.741783687046596,2.952402659824916,3.4465680803571432,4.107729579721179,1.6011804565562526,5.049003873552595,6.3375298636300235,9.14534160069057,5.016666666666654,5.016666666666654,5.770833333333318,6.3166666666666496,7.433854166666686,2.723574054713914,8.441666666666666,10.880000000000122,18.650000000000222,8.60929812672839,14.746784777956055,17.108578148174274,22.612102714483626,30.48987857773534,18.249548743253694,42.33156940108165,55.5905828287825,80.19914485514164,2.1937892338216147,2.7417786703799294,2.9523965931582494,3.4465616720238095,4.107722145867012,1.6011783021307098,5.048993340219262,6.337516931963357,9.14532295069057,2193789.2338216146,2741778.6703799292,2952396.5931582497,3446561.6720238095,4107722.1458670115,1601178.3021307099,5048993.340219261,6337516.931963357,9145322.95069057,301.0,301.0,346.25,379.0,446.03125,163.41444328283072,506.5,652.8000000000001,1119.0
10,9152536.603738837,8.571428571428571,9.152548653738839,9.152548653738839,12.050000000000178,0,1,80.05469228327274,723,9.152536603738836,"[0.0, 9.152548653738839, -12.050000000000178]",0,64,64,0,64,0,64,0,538.3000000000027,3762.783333333332,32298,225767,4.577649099985138,40.55990239998209,4.0625,5.270945557526179,5.270945557526179,5.27093714658868,8.410937500000042,0.0,0.8571428571428592,2.857142857142857,2.857142857142857,4.0625,2.1311996896928593,5.714285714285714,5.714285714285714,8.571428571428571,2.236769539969308,2.845411573137556,3.368592943464007,5.319480895996094,5.270945557526179,2.027930061560286,7.096045357840401,8.077803747994558,9.152548653738839,2.236769539969308,2.845411573137556,3.368592943464007,5.319480895996094,5.270945557526179,2.027930061560286,7.096045357840401,8.077803747994558,9.152548653738839,5.016666666666654,5.066666666666654,6.199999999999983,7.7583333333333115,8.410937500000042,2.9410295266538586,9.791666666666732,12.353333333333527,18.650000000000222,9.10954570069589,15.894104781799252,21.926929647983343,45.54958278685808,43.74747802201273,22.882108107540823,63.926886424422264,75.8258505821228,80.19914485514164,2.2367645233026416,2.84540621147089,3.3685867267973397,5.319473712662761,5.27093714658868,2.027927897894007,7.0960377120070675,8.077795609661225,9.152536603738836,2236764.5233026417,2845406.2114708894,3368586.72679734,5319473.71266276,5270937.146588679,2027927.8978940074,7096037.712007068,8077795.609661225,9152536.603738837,301.0,304.0,372.0,465.5,504.65625,176.46177159922627,587.5,741.2,1119.0
