generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8465861.932287015,5.714285714285714,8.465864998953682,8.465864998953682,3.0666666666666607,0,1,77.24159494042397,184,8.465861932287016,"[0.0, 8.465864998953682, -3.0666666666666607]",0,64,64,0,53,11,53,11,568.2499999999948,568.2499999999948,34095,34095,13.23099280000315,13.294445100007579,1.4732142857142858,2.9773252350943427,2.9773252350943427,2.977316356188093,8.878906249999918,0.0,0.0,0.0,0.0,1.4732142857142858,2.4218492839319365,2.857142857142857,5.714285714285714,5.714285714285714,0.0,0.0,1.8756771087646484,2.1117591857910156,2.9773252350943427,2.612969384856222,5.462145124162947,7.142857142857142,8.465864998953682,0.0,0.0,1.8756771087646484,2.1117591857910156,2.9773252350943427,2.612969384856222,5.462145124162947,7.142857142857142,8.465864998953682,2.5999999999999956,2.8716666666666613,5.016666666666654,5.016666666666654,8.878906249999918,9.677197587317606,5.016666666666654,30.016666666666243,30.016666666666243,5.173346934840083,5.173800625209696,7.705688098605606,20.447287793213036,73.499922816354,103.09936124133428,70.47122948616743,293.8569312844891,293.87233023718,-3.0016666666666243e-05,-3.0016666666666243e-05,1.875672092097982,2.1117541691243495,2.977316356188093,2.6129746112746024,5.46213851999628,7.142854372857143,8.465861932287016,-30.016666666666243,-30.016666666666243,1875672.0920979818,2111754.169124349,2977316.3561880933,2612974.6112746024,5462138.51999628,7142854.372857143,8465861.932287015,156.0,172.3,301.0,301.0,532.734375,580.6318552390658,301.0,1801.0,1801.0
2,8847906.554889789,8.571428571428571,8.847909654889788,8.847909654889788,3.099999999999994,0,1,78.39911510050297,186,8.84790655488979,"[0.0, 8.847909654889788, -3.099999999999994]",8,56,64,0,62,2,62,2,340.53333333333217,908.7833333333269,20432,54527,2.56319970000186,15.973330200009514,2.544642857142857,4.2405102508408685,4.2405102508408685,4.2405049300075355,5.320833333333315,0.0,0.0,0.0,0.0,2.544642857142857,2.817455950980296,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8758283342633928,2.111742837088449,2.1347645350864957,4.2405102508408685,2.6494494377352997,7.142857142857142,7.374027524675642,8.847909654889788,0.0,1.8758283342633928,2.111742837088449,2.1347645350864957,4.2405102508408685,2.6494494377352997,7.142857142857142,7.374027524675642,8.847909654889788,2.1499999999999972,2.804999999999995,2.9749999999999943,5.016666666666654,5.320833333333315,4.720225578707896,5.016666666666654,5.991666666666653,30.016666666666243,5.1733642053441145,7.705613929015817,7.705676302648499,42.51236962748226,45.69661242472978,54.042277461251736,69.6698523722589,74.03753928095102,293.87247293209657,-3.0016666666666243e-05,1.875823317596726,2.111737820421782,2.134759518419829,4.2405049300075355,2.6494515558739655,7.142854330357142,7.374024596342308,8.84790655488979,-30.016666666666243,1875823.3175967261,2111737.820421782,2134759.518419829,4240504.930007534,2649451.5558739654,7142854.330357143,7374024.596342308,8847906.554889789,129.0,168.3,178.5,301.0,319.25,283.21353472247756,301.0,359.5000000000001,1801.0
3,8847906.554889789,8.571428571428571,8.847909654889788,8.847909654889788,3.099999999999994,0,1,78.39911510050297,186,8.84790655488979,"[0.0, 8.847909654889788, -3.099999999999994]",8,56,64,0,64,0,64,0,256.4333333333327,1165.2166666666596,15386,69913,2.016563800018048,18.118108299997402,3.4375000000000004,5.154949384076255,5.154949384076255,5.154945377305422,4.006770833333324,0.0,0.0,0.0,5.714285714285714,3.4375000000000004,2.7283324268924147,5.714285714285714,5.714285714285714,8.571428571428571,0.21989004952566965,1.8756245204380582,1.8758283342633928,6.920209612165179,5.154949384076255,2.6262254773039766,7.14742796761649,7.605905260358539,8.847909654889788,0.21989004952566965,1.8756245204380582,1.8758283342633928,6.920209612165179,5.154949384076255,2.6262254773039766,7.14742796761649,7.605905260358539,8.847909654889788,2.0999999999999974,2.7333333333333285,2.8666666666666614,3.0833333333333273,4.006770833333324,1.3353751252964108,5.016666666666654,5.529999999999988,7.366666666666646,3.639325113093946,5.1735619153885635,5.175288544400246,62.18269857019186,44.44378705540714,29.4336674653667,70.37833664938807,73.64573195129633,78.39911510050297,0.21988281619233632,1.8756195037713916,1.875823317596726,6.9202069121651775,5.154945377305422,2.626226401465512,7.14742446761649,7.605902287025206,8.84790655488979,219882.81619233632,1875619.5037713917,1875823.3175967261,6920206.912165178,5154945.377305422,2626226.401465512,7147424.46761649,7605902.287025205,8847906.554889789,126.0,164.0,172.0,185.0,240.40625,80.12250751778491,301.0,331.8000000000001,442.0
4,9078924.587962704,8.571428571428571,9.078927721296036,9.078927721296036,3.133333333333327,0,1,79.2023363262415,188,9.078924587962703,"[0.0, 9.078927721296036, -3.133333333333327]",8,56,64,0,62,2,62,2,272.233333333332,1437.4499999999916,16334,86247,2.1992980999930296,20.451547400007257,4.642857142857142,6.269355160849434,6.269355160849434,6.269350907203602,4.253645833333312,0.0,0.0,5.714285714285714,5.714285714285714,4.642857142857142,2.4484480715718013,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8758283342633928,6.225873402186802,7.142857142857142,6.269355160849434,2.4549180441442413,7.6716845376150955,8.207330703735353,9.078927721296036,0.0,1.8758283342633928,6.225873402186802,7.142857142857142,6.269355160849434,2.4549180441442413,7.6716845376150955,8.207330703735353,9.078927721296036,2.3999999999999964,2.7833333333333283,2.879166666666661,2.9833333333333276,4.253645833333312,4.7300104503770815,3.4499999999999926,5.016666666666654,30.016666666666243,5.173345057293773,7.705917575658532,63.99112331867218,70.4708640947938,66.28711207921913,47.74850582530856,74.03760603815317,77.13235241174698,293.8720940942876,-3.0016666666666243e-05,1.875823317596726,6.225867685520135,7.14285438452381,6.269350907203602,2.4549208310404036,7.671681554281762,8.207327653735353,9.078924587962703,-30.016666666666243,1875823.3175967261,6225867.685520135,7142854.384523809,6269350.907203602,2454920.831040404,7671681.554281762,8207327.653735353,9078924.587962704,144.0,167.0,172.75,179.0,255.21875,283.8006270226292,207.0,301.0,1801.0
5,9078924.587962704,8.571428571428571,9.078927721296036,9.078927721296036,3.133333333333327,0,1,79.2023363262415,188,9.078924587962703,"[0.0, 9.078927721296036, -3.133333333333327]",8,56,64,0,63,1,63,1,262.6999999999991,1700.1499999999908,15762,102009,2.0331050000095274,22.616597500018543,4.196428571428571,6.072474505220141,6.072474505220141,6.072470400532641,4.104687499999986,0.0,0.0,0.0,5.714285714285714,4.196428571428571,2.7184530977925587,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.9460803440638952,2.1576527186802457,7.313899993896484,6.072474505220141,2.737655234431799,8.096515791756765,8.389693123953684,9.078927721296036,0.0,1.9460803440638952,2.1576527186802457,7.313899993896484,6.072474505220141,2.737655234431799,8.096515791756765,8.389693123953684,9.078927721296036,2.1333333333333306,2.8999999999999946,2.9833333333333276,3.049999999999994,4.104687499999986,3.46989091440912,5.016666666666654,5.016666666666654,30.016666666666243,5.173348698765039,7.705813647636387,39.58491636585131,71.94822035729885,59.205513857288565,40.875183057967064,76.01295713335276,77.31135940849781,293.8669955539517,-3.0016666666666243e-05,1.9460753273972284,2.157647702013579,7.3138970355631505,6.072470400532641,2.7376569786679488,8.096512758423433,8.389689992287018,9.078924587962703,-30.016666666666243,1946075.3273972285,2157647.702013579,7313897.03556315,6072470.4005326405,2737656.9786679484,8096512.758423433,8389689.992287017,9078924.587962704,128.0,174.0,179.0,183.0,246.28125,208.1934548645502,301.0,301.0,1801.0
6,9477206.196998233,8.571428571428571,9.4772093636649,9.4772093636649,3.1666666666666603,0,1,81.38210305571556,190,9.477206196998234,"[0.0, 9.4772093636649, -3.1666666666666603]",8,56,64,0,63,1,63,1,254.5166666666658,1954.6666666666565,15271,117280,1.9263796999875922,24.68495610001264,4.866071428571429,6.71433904341289,6.71433904341289,6.714335066589973,3.976822916666653,0.0,0.0,2.857142857142857,5.714285714285714,4.866071428571429,2.887326613753594,5.714285714285714,8.571428571428571,8.571428571428571,1.4003917149135043,2.111149379185268,5.6118093218122205,7.750804083687919,6.71433904341289,2.5747199808294314,8.43618597303118,8.788136073521205,9.4772093636649,1.4003917149135043,2.111149379185268,5.6118093218122205,7.750804083687919,6.71433904341289,2.5747199808294314,8.43618597303118,8.788136073521205,9.4772093636649,2.2333333333333303,2.9549999999999943,3.012499999999994,3.074999999999994,3.976822916666653,3.4131722694384137,4.204166666666657,5.016666666666654,30.016666666666243,4.1189520798798185,7.705714636141783,60.67220202878889,74.50926854461432,63.77324902049065,40.04470942238791,77.34128371626139,78.5499988630414,292.86468479176983,1.4003866982468378,2.1111443625186013,5.611803005145554,7.750800992021252,6.714335066589973,2.5747213598518823,8.436182781364513,8.788132395187871,9.477206196998234,1400386.6982468378,2111144.362518601,5611803.005145554,7750800.9920212515,6714335.066589973,2574721.3598518823,8436182.781364514,8788132.395187872,9477206.196998233,134.0,177.3,180.75,184.5,238.609375,204.79033616630784,252.25,301.0,1801.0
7,9477206.196998233,8.571428571428571,9.4772093636649,9.4772093636649,3.1666666666666603,0,1,81.38210305571556,190,9.477206196998234,"[0.0, 9.4772093636649, -3.1666666666666603]",8,56,64,0,63,1,63,1,248.63333333333247,2203.299999999989,14918,132198,2.0935373000102118,26.91893169999821,4.910714285714286,6.610899865627289,6.610899865627289,6.610895980731455,3.88489583333332,0.0,0.0,2.857142857142857,5.714285714285714,4.910714285714286,3.0916588737822828,6.428571428571429,8.571428571428571,8.571428571428571,0.0,1.8754970005580358,4.946309498378208,8.03269795009068,6.610899865627289,2.8139485329186256,8.533250944955007,8.934383119855609,9.4772093636649,0.0,1.8754970005580358,4.946309498378208,8.03269795009068,6.610899865627289,2.8139485329186256,8.533250944955007,8.934383119855609,9.4772093636649,1.949999999999998,2.971666666666661,3.0333333333333274,3.0833333333333273,3.88489583333332,3.4048190403430096,3.595833333333325,5.016666666666654,30.016666666666243,5.1733404928818345,5.174949780077441,45.484146408736706,76.01269549131393,61.95239028929802,39.098313730886055,77.96044173836708,79.1915641322732,268.290824041811,-3.0016666666666243e-05,1.8754919838913693,4.946306648378208,8.03269492509068,6.610895980731455,2.813950187104487,8.533247561621675,8.934379996522278,9.477206196998234,-30.016666666666243,1875491.9838913693,4946306.648378208,8032694.92509068,6610895.980731456,2813950.1871044873,8533247.561621675,8934379.996522276,9477206.196998233,117.0,178.3,182.0,185.0,233.09375,204.28914242058363,215.75,301.0,1801.0
8,9491339.650367374,8.571428571428571,9.49134281703404,9.49134281703404,3.1666666666666603,0,1,81.3819729834795,190,9.491339650367374,"[0.0, 9.49134281703404, -3.1666666666666603]",8,56,64,0,63,1,63,1,242.68333333333246,2445.9833333333213,14561,146759,2.2776716999942437,29.321216300013475,5.669642857142857,7.126579795564924,7.126579795564924,7.12657600363784,3.7919270833333196,0.0,0.0,5.714285714285714,5.714285714285714,5.669642857142857,2.9663154625678954,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.1144959586007257,7.0248004368373325,8.242811475481306,7.126579795564924,2.5558285219456454,8.86103970663888,9.168275560651505,9.49134281703404,0.0,2.1144959586007257,7.0248004368373325,8.242811475481306,7.126579795564924,2.5558285219456454,8.86103970663888,9.168275560651505,9.49134281703404,1.9166666666666647,2.864999999999995,3.0333333333333274,3.099999999999994,3.7919270833333196,3.409266620626223,3.1666666666666603,5.016666666666654,30.016666666666243,5.175062625785358,9.48954149611091,67.67324192076921,76.8858212530613,67.32577947150082,37.009605961547024,78.67911896109581,80.02592833936214,284.68380921240896,-3.0016666666666243e-05,2.1144909419340587,7.024797611837332,8.242808342147972,7.12657600363784,2.5558302148314844,8.86103660663888,9.168272432318172,9.491339650367374,-30.016666666666243,2114490.941934059,7024797.611837332,8242808.342147972,7126576.003637841,2555830.214831484,8861036.60663888,9168272.432318173,9491339.650367374,115.0,171.9,182.0,186.0,227.515625,204.55599723757643,190.0,301.0,1801.0
9,9492993.594110398,8.571428571428571,9.492996760777064,9.492996760777064,3.1666666666666603,0,1,81.3818364739418,190,9.492993594110398,"[0.0, 9.492996760777064, -3.1666666666666603]",8,56,64,0,64,0,64,0,205.99999999999957,2651.983333333321,12360,159119,1.4140164999989793,30.840824700018857,6.0267857142857135,7.579896109444754,7.579896109444754,7.5798928906947545,3.2187499999999933,0.0,2.857142857142857,5.714285714285714,5.714285714285714,6.0267857142857135,2.4803918541230536,8.571428571428571,8.571428571428571,8.571428571428571,1.8752452305385043,5.126635960170201,7.29046208517892,8.313371113368444,7.579896109444754,2.009894688043108,8.918723378862653,9.241433007376534,9.492996760777064,1.8752452305385043,5.126635960170201,7.29046208517892,8.313371113368444,7.579896109444754,2.009894688043108,8.918723378862653,9.241433007376534,9.492996760777064,2.116666666666664,2.8183333333333285,3.012499999999994,3.0833333333333273,3.2187499999999933,0.7035901239358017,3.137499999999994,3.57166666666666,6.2333333333333165,5.173401708481833,43.37591155171394,71.38048168644309,76.67581461369991,67.68599990546772,20.699155309202638,78.67908337712288,80.02596189826727,81.38210305571556,1.8752402138718378,5.126633518503534,7.290458981012253,8.313368063368443,7.5798928906947545,2.009895107828388,8.918720278862653,9.2414298740432,9.492993594110398,1875240.2138718378,5126633.518503535,7290458.981012253,8313368.063368443,7579892.890694754,2009895.1078283882,8918720.278862651,9241429.8740432,9492993.594110398,127.0,169.1,180.75,185.0,193.125,42.21540743614824,188.25,214.30000000000007,374.0
10,9492993.594110398,8.571428571428571,9.492996760777064,9.492996760777064,3.1666666666666603,0,1,81.3818364739418,190,9.492993594110398,"[0.0, 9.492996760777064, -3.1666666666666603]",8,56,64,0,64,0,64,0,217.93333333333288,2869.916666666654,13076,172195,1.608364999992773,32.58888300001854,5.803571428571429,7.293766566685267,7.293766566685267,7.293763161476934,3.4052083333333263,0.0,0.0,2.857142857142857,5.714285714285714,5.803571428571429,3.112218760345246,8.571428571428571,8.571428571428571,8.571428571428571,1.875555855887277,2.110731397356306,5.7029138292585095,8.27441624232701,7.293766566685267,2.5155592760892183,9.159697123936244,9.368212018694196,9.492996760777064,1.875555855887277,2.110731397356306,5.7029138292585095,8.27441624232701,7.293766566685267,2.5155592760892183,9.159697123936244,9.368212018694196,9.492996760777064,2.2333333333333303,2.8816666666666615,3.0333333333333274,3.124999999999994,3.4052083333333263,0.8718389080542444,3.17916666666666,5.016666666666654,6.21666666666665,5.173342455178499,7.706276880421501,49.61980094015598,76.67567846924067,63.522384376423815,26.13639338373341,79.51981691271067,80.70257894396782,81.38210305571556,1.8755508392206102,2.1107263806896395,5.70291151675851,8.27441319232701,7.293763161476934,2.515559848650867,9.159694003102912,9.368208323694194,9.492993594110398,1875550.8392206102,2110726.380689639,5702911.51675851,8274413.1923270095,7293763.161476934,2515559.848650867,9159694.003102912,9368208.323694196,9492993.594110398,134.0,172.9,182.0,187.5,204.3125,52.310334483254834,190.75,301.0,373.0
