generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8470611.23038272,5.714285714285714,8.470614297049387,8.470614297049387,3.0666666666666607,0,1,77.34129811823368,184,8.47061123038272,"[0.0, 8.470614297049387, -3.0666666666666607]",0,64,64,0,50,14,50,14,863.8666666666484,863.8666666666484,51832,51832,14.687969500024337,14.754564599978039,1.2946428571428572,2.7034252882003784,2.7034252882003784,2.703411790283712,13.49791666666638,0.0,0.0,0.0,0.0,1.2946428571428572,2.3652289605267156,0.0,5.714285714285714,5.714285714285714,0.0,0.0,0.7239001137869698,1.8758283342633928,2.7034252882003784,2.6499021584658307,2.2981929779052734,7.142857142857142,8.470614297049387,0.0,0.0,0.7239001137869698,1.8758283342633928,2.7034252882003784,2.6499021584658307,2.2981929779052734,7.142857142857142,8.470614297049387,2.666666666666662,2.843333333333328,5.016666666666654,5.016666666666654,13.49791666666638,16.718930424778783,5.379166666666653,45.016666666665394,45.016666666665394,4.836967400304275,5.1734712915029375,5.174991908716038,12.55194300005678,117.33692584808216,174.2503451317766,76.86903023347259,443.871906810347,443.8869732543826,-4.501666666666539e-05,-4.501666666666539e-05,0.7238950971203031,1.875823317596726,2.703411790283712,2.6499109507155505,2.298177961238607,7.142854399523809,8.47061123038272,-45.016666666665394,-45.016666666665394,723895.0971203031,1875823.3175967261,2703411.7902837116,2649910.9507155507,2298177.961238607,7142854.39952381,8470611.23038272,160.0,170.6,301.0,301.0,809.875,1003.1358254867583,322.75,2701.0,2701.0
2,8947134.988453312,8.571428571428571,8.94713810511998,8.94713810511998,3.1166666666666605,0,1,79.07110151648521,187,8.947134988453312,"[0.0, 8.94713810511998, -3.1166666666666605]",0,64,64,0,60,4,60,4,440.4833333333276,1304.349999999976,26429,78261,4.198448100010864,19.059326599992346,2.2767857142857144,3.9341765642166138,3.9341765642166138,3.9341696816645304,6.882552083333244,0.0,0.0,0.0,0.0,2.2767857142857144,2.820284012872694,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8729782104492188,1.8758283342633928,2.111734662737165,3.9341765642166138,2.850369909296415,7.142857142857142,7.853512355259488,8.94713810511998,0.0,1.8729782104492188,1.8758283342633928,2.111734662737165,3.9341765642166138,2.850369909296415,7.142857142857142,7.853512355259488,8.94713810511998,2.6499999999999955,2.8266666666666613,3.0791666666666604,5.016666666666654,6.882552083333244,9.89350298425005,5.016666666666654,5.188333333333321,45.016666666665394,5.17333984375,5.173743876471417,7.705667089059716,12.269044498181756,58.66325078249565,103.75510695157982,68.94123144075274,77.15232098400593,443.88913427107036,-4.501666666666539e-05,1.872973193782552,1.875823317596726,2.1117296460704984,3.9341696816645304,2.8503741657419264,7.142854338690476,7.853509353592821,8.947134988453312,-45.016666666665394,1872973.1937825521,1875823.3175967261,2111729.6460704985,3934169.68166453,2850374.1657419265,7142854.3386904765,7853509.353592821,8947134.988453312,159.0,169.6,184.75,301.0,412.953125,593.6101790550213,301.0,311.3,2701.0
3,8947134.988453312,8.571428571428571,8.94713810511998,8.94713810511998,3.1166666666666605,0,1,79.07110151648521,187,8.947134988453312,"[0.0, 8.94713810511998, -3.1166666666666605]",0,64,64,0,63,1,63,1,308.6999999999985,1613.0499999999745,18522,96783,2.815629299991997,21.973110299994005,3.2589285714285716,4.9991301979337415,4.9991301979337415,4.999125374496241,4.823437499999977,0.0,0.0,0.0,5.714285714285714,3.2589285714285716,2.806115201753165,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8757476806640625,2.111764635358538,6.606328146798269,4.9991301979337415,2.8343663886182053,7.4265691212245395,8.085178647722516,8.94713810511998,0.0,1.8757476806640625,2.111764635358538,6.606328146798269,4.9991301979337415,2.8343663886182053,7.4265691212245395,8.085178647722516,8.94713810511998,2.033333333333331,2.7133333333333285,2.920833333333328,3.8166666666666584,4.823437499999977,5.414982685950883,5.016666666666654,5.063333333333321,45.016666666665394,5.173550417937804,5.175108971964801,7.705739403951156,62.01989033073187,52.442075589978,58.934378862944016,73.503234423697,76.6329141408205,443.7707371711731,-4.501666666666539e-05,1.875742663997396,2.1117596186918712,6.606325563464936,4.999125374496241,2.8343687277868095,7.426566175391207,8.085175614389183,8.947134988453312,-45.016666666665394,1875742.663997396,2111759.6186918714,6606325.563464936,4999125.374496242,2834368.727786809,7426566.1753912065,8085175.614389183,8947134.988453312,122.0,162.8,175.25,229.0,289.40625,324.8989611570611,301.0,303.8,2701.0
4,9088283.986848958,8.571428571428571,9.088287353515625,9.088287353515625,3.3666666666666596,0,1,79.45972110331059,202,9.088283986848959,"[0.0, 9.088287353515625, -3.3666666666666596]",0,64,64,0,63,1,63,1,290.56666666666496,1903.6166666666395,17434,114217,3.3118691999989096,25.39890679999371,3.7500000000000004,5.558653814452034,5.558653814452034,5.558649274347868,4.54010416666664,0.0,0.0,0.0,5.714285714285714,3.7500000000000004,2.7606472917393403,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.875699724469866,2.111780984061105,7.142857142857142,5.558653814452034,2.7898832888170313,7.93701171875,8.445617948259626,9.088287353515625,0.0,1.875699724469866,2.111780984061105,7.142857142857142,5.558653814452034,2.7898832888170313,7.93701171875,8.445617948259626,9.088287353515625,2.1499999999999972,2.7983333333333285,2.916666666666661,3.108333333333327,4.54010416666664,5.26501137518376,5.016666666666654,5.016666666666654,45.016666666665394,5.17335039563477,5.176176761143142,7.714779114334306,68.55496975779533,55.86097779886734,57.323973370486,75.48780160024762,77.33550864458084,443.7900062799454,-4.501666666666539e-05,1.8756947078031996,2.1117759673944385,7.142854259523809,5.558649274347868,2.7898853853799004,7.937008702083334,8.445614809926292,9.088283986848959,-45.016666666665394,1875694.7078031995,2111775.9673944386,7142854.259523809,5558649.274347869,2789885.3853799,7937008.702083333,8445614.809926292,9088283.986848958,129.0,167.9,175.0,186.5,272.40625,315.90068251103463,301.0,301.0,2701.0
5,9088283.986848958,8.571428571428571,9.088287353515625,9.088287353515625,3.3666666666666596,0,1,79.45972110331059,202,9.088283986848959,"[0.0, 9.088287353515625, -3.3666666666666596]",0,64,64,0,62,2,62,2,324.31666666666365,2227.9333333333034,19459,133676,3.235166599974036,28.733546699979343,3.8392857142857144,5.72655860866819,5.72655860866819,5.726553541220274,5.0674479166666195,0.0,0.0,0.0,5.714285714285714,3.8392857142857144,2.7301580091822597,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.945866176060268,2.11162839617048,7.142857142857142,5.72655860866819,2.7599174480300714,7.918988636561803,8.467335564749582,9.088287353515625,0.0,1.945866176060268,2.11162839617048,7.142857142857142,5.72655860866819,2.7599174480300714,7.918988636561803,8.467335564749582,9.088287353515625,2.0499999999999976,2.833333333333328,2.9791666666666607,3.099999999999994,5.0674479166666195,7.259738089814317,5.016666666666654,5.133333333333321,45.016666666665394,5.1733439434319735,7.705795698768634,8.087517641730301,70.14952297508717,63.61701405965459,74.24470043568883,75.41161671280861,77.34129489511251,443.8720604539849,-4.501666666666539e-05,1.9458611593936013,2.111623379503813,7.142854367857143,5.726553541220274,2.759920920308487,7.918985619895136,8.467332493082916,9.088283986848959,-45.016666666665394,1945861.1593936014,2111623.379503813,7142854.367857143,5726553.541220274,2759920.920308487,7918985.619895136,8467332.493082915,9088283.986848958,123.0,170.0,178.75,186.0,304.046875,435.5842853888721,301.0,308.0,2701.0
6,9222308.159042504,8.571428571428571,9.222311292375837,9.222311292375837,3.133333333333327,0,1,80.02574247121811,188,9.222308159042504,"[0.0, 9.222311292375837, -3.133333333333327]",0,64,64,0,63,1,63,1,271.2333333333316,2499.166666666635,16274,149950,2.986732799996389,31.821437999984482,4.508928571428571,6.425439289637975,6.425439289637975,6.425435051617141,4.238020833333306,0.0,0.0,2.142857142857143,5.714285714285714,4.508928571428571,2.803272845792786,5.714285714285714,7.714285714285722,8.571428571428571,0.0,1.960976736886161,4.191033499581473,7.8743198939732135,6.425439289637975,2.705565405308474,8.2816287449428,8.67223848615374,9.222311292375837,0.0,1.960976736886161,4.191033499581473,7.8743198939732135,6.425439289637975,2.705565405308474,8.2816287449428,8.67223848615374,9.222311292375837,2.1499999999999972,2.9549999999999943,3.016666666666661,3.074999999999994,4.238020833333306,5.213153160474412,5.016666666666654,5.016666666666654,45.016666666665394,5.173465703905094,7.7057373463496335,43.36902428936446,75.33864364027977,64.22185359935293,55.633244549239066,76.67580597102642,78.20971025973559,443.8705043233931,-4.501666666666539e-05,1.9609717202194945,4.191030020414806,7.87431688563988,6.425435051617141,2.70556763489963,8.2816256949428,8.672235117820406,9.222308159042504,-45.016666666665394,1960971.7202194943,4191030.0204148064,7874316.88563988,6425435.05161714,2705567.63489963,8281625.6949428,8672235.117820406,9222308.159042504,129.0,177.3,181.0,184.5,254.28125,312.78918962847405,301.0,301.0,2701.0
7,9487950.01936849,8.571428571428571,9.487953186035156,9.487953186035156,3.1666666666666603,0,1,81.38175958395004,190,9.48795001936849,"[0.0, 9.487953186035156, -3.1666666666666603]",0,64,64,0,64,0,64,0,236.58333333333283,2735.749999999968,14195,164145,1.9286735999921802,33.848452899983386,5.3125,6.924720321382795,6.924720321382795,6.9247166247682115,3.6966145833333255,0.0,0.0,5.0,5.714285714285714,5.3125,2.982396802703408,8.571428571428571,8.571428571428571,8.571428571428571,1.322511945452009,1.8757711138044084,6.101691382271904,7.983102798461914,6.924720321382795,2.6050359570010255,8.784076145717076,9.036900384085518,9.487953186035156,1.322511945452009,1.8757711138044084,6.101691382271904,7.983102798461914,6.924720321382795,2.6050359570010255,8.784076145717076,9.036900384085518,9.487953186035156,2.499999999999996,2.9833333333333276,3.049999999999994,3.1166666666666605,3.6966145833333255,1.0610618522177504,4.966666666666654,5.016666666666654,7.599999999999978,5.173450994188897,5.175537983875256,53.39818696305156,75.35222174972296,60.86899618300731,27.699132231877215,78.30070951581001,79.35117164105176,81.38175958395004,1.3225069287853422,1.875766097137742,6.101687928105237,7.983099456795248,6.9247166247682115,2.6050366667316456,8.784072220717078,9.03689726741885,9.48795001936849,1322506.9287853423,1875766.0971377417,6101687.928105237,7983099.456795247,6924716.6247682115,2605036.666731646,8784072.220717078,9036897.26741885,9487950.01936849,150.0,179.0,183.0,187.0,221.796875,63.66371113306524,298.0,301.0,456.0
8,9487950.01936849,8.571428571428571,9.487953186035156,9.487953186035156,3.1666666666666603,0,1,81.38175958395004,190,9.48795001936849,"[0.0, 9.487953186035156, -3.1666666666666603]",0,64,64,0,64,0,64,0,209.99999999999957,2945.7499999999677,12600,176745,1.7612982999999076,35.745052799989935,5.580357142857142,7.067062045846667,7.067062045846667,7.067058764596666,3.2812499999999933,0.0,0.0,2.857142857142857,5.714285714285714,5.580357142857142,2.8315680149820497,8.571428571428571,8.571428571428571,8.571428571428571,0.8072008405412947,2.1108076913016185,5.66997936793736,8.03335462297712,7.067062045846667,2.35042568612683,8.8307557787214,9.096494674682619,9.487953186035156,0.8072008405412947,2.1108076913016185,5.66997936793736,8.03335462297712,7.067062045846667,2.35042568612683,8.8307557787214,9.096494674682619,9.487953186035156,1.8999999999999981,2.2999999999999967,2.933333333333328,3.0833333333333273,3.2812499999999933,0.9184523327315329,3.133333333333327,5.016666666666654,6.21666666666665,5.17468410555739,8.314523912830193,49.20278761908412,75.68238599598408,62.52689463460331,24.075483420360285,78.68175651878119,79.35141362845897,81.38175958395004,0.807195823874628,2.110802674634952,5.66997706793736,8.03335159797712,7.067058764596666,2.350426091035683,8.8307526662214,9.096491483015951,9.48795001936849,807195.8238746279,2110802.674634952,5669977.067937361,8033351.59797712,7067058.764596666,2350426.091035683,8830752.666221399,9096491.48301595,9487950.01936849,114.0,138.0,176.0,185.0,196.875,55.10713996389216,188.0,301.0,373.0
9,9562200.060193455,8.571428571428571,9.562203543526786,9.562203543526786,3.483333333333326,0,1,81.50759248435497,209,9.562200060193454,"[0.0, 9.562203543526786, -3.483333333333326]",0,64,64,0,64,0,64,0,215.69999999999953,3161.449999999967,12942,189687,1.9023304000147618,37.796887200005585,5.7142857142857135,7.088191424097333,7.088191424097333,7.088188053784834,3.3703124999999927,0.0,0.0,2.857142857142857,5.714285714285714,5.7142857142857135,3.0722590239437952,8.571428571428571,8.571428571428571,8.571428571428571,1.8682425362723216,2.1113869803292413,5.482653209141322,8.348392759050643,7.088191424097333,2.464273774825364,8.917455673217773,9.229280744280134,9.562203543526786,1.8682425362723216,2.1113869803292413,5.482653209141322,8.348392759050643,7.088191424097333,2.464273774825364,8.917455673217773,9.229280744280134,9.562203543526786,2.0999999999999974,2.29333333333333,3.0333333333333274,3.099999999999994,3.3703124999999927,0.9946579044014016,3.1999999999999935,5.016666666666654,7.616666666666645,5.175387941417284,7.706197027777671,47.18756838142872,76.77650748193264,61.62762594068295,25.515379847484496,78.67900036647916,80.02561024725438,81.50759248435497,1.868237519605655,2.1113819636625744,5.482649675807989,8.348389609050642,7.088188053784834,2.464274357329162,8.917452573217775,9.2292776109468,9.562200060193454,1868237.519605655,2111381.9636625745,5482649.675807988,8348389.609050643,7088188.053784834,2464274.357329162,8917452.573217774,9229277.6109468,9562200.060193455,126.0,137.6,182.0,186.0,202.21875,59.6794742640843,192.0,301.0,457.0
10,9774467.139539158,8.571428571428571,9.77447237287249,9.77447237287249,5.23333333333332,0,1,83.27885612845421,314,9.774467139539158,"[0.0, 9.77447237287249, -5.23333333333332]",0,64,64,0,64,0,64,0,222.8666666666662,3384.3166666666334,13372,203059,1.8819471999886446,39.8127594999969,6.0267857142857135,7.330927423068456,7.330927423068456,7.330923940776789,3.4822916666666592,0.0,0.0,2.857142857142857,8.571428571428571,6.0267857142857135,3.2778316742465403,8.571428571428571,8.571428571428571,8.571428571428571,1.8744604928152904,2.110424586704799,5.594287599836077,8.692462103707449,7.330927423068456,2.6685277468868502,9.158618790762764,9.390062332153322,9.77447237287249,1.8744604928152904,2.110424586704799,5.594287599836077,8.692462103707449,7.330927423068456,2.6685277468868502,9.158618790762764,9.390062332153322,9.77447237287249,1.9833333333333312,2.9066666666666614,3.0791666666666604,3.1166666666666605,3.4822916666666592,1.016815541524668,3.2749999999999932,5.016666666666654,7.749999999999978,5.175036301719956,7.706259536403377,48.381850466132164,78.0089234188199,62.78106455121076,27.42213882866688,79.63260120153427,80.70260161310435,83.27885612845421,1.8744554761486238,2.1104195700381325,5.594285324836076,8.692459012040784,7.330923940776789,2.668528248469591,9.158615557429432,9.39005918215332,9.774467139539158,1874455.4761486237,2110419.5700381324,5594285.324836077,8692459.012040783,7330923.94077679,2668528.248469591,9158615.557429431,9390059.18215332,9774467.139539158,119.0,174.4,184.75,187.0,208.9375,61.008932491480294,196.5,301.0,465.0
