generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,7861278.803542048,5.714285714285714,7.861281803676061,7.861281803676061,3.000134012809184,0,1,74.834279127419,139,7.8612788035420476,"[0.0, 7.861281803676061, -3.000134012809184]",0,64,64,0,54,10,54,10,562.6340388859376,562.6340388859376,25822,25822,11.32431140000699,11.384994300024118,1.2946428571428572,2.7935422744069784,2.7935422744069784,2.793533483250121,8.791156857592775,0.0,0.0,0.0,0.0,1.2946428571428572,2.3652289605267156,0.0,5.714285714285714,5.714285714285714,0.0,0.0,1.8702888488769533,2.065070016043527,2.7935422744069784,2.5155746388547486,2.469771248953683,7.142857142857142,7.861281803676061,0.0,0.0,1.8702888488769533,2.065070016043527,2.7935422744069784,2.5155746388547486,2.469771248953683,7.142857142857142,7.861281803676061,2.71327826053946,2.969048377674063,5.002722678171623,5.009623143591897,8.791156857592775,9.280914483451301,5.020020786734745,30.009490836713397,30.023112454235573,4.985727664083242,5.054456306499196,5.245284508688201,7.77310125848453,67.81004376753413,99.55291077234484,70.76033321022987,293.6034451086074,293.98211305076256,-3.0023112454235574e-05,-3.0009490836713396e-05,1.8702838450685273,2.0650649990407377,2.793533483250121,2.5155798477847227,2.4697662400342124,7.142854293389774,7.8612788035420476,-30.023112454235573,-30.009490836713393,1870283.8450685274,2065064.9990407377,2793533.4832501207,2515579.8477847227,2469766.2400342124,7142854.293389774,7861278.803542048,121.0,138.0,224.75,229.0,403.46875,425.22391045593554,238.0,1371.0,1396.0
2,8721051.535991795,8.571428571428571,8.72105462210519,8.72105462210519,3.0861133936232252,0,1,78.02859304100275,150,8.721051535991796,"[0.0, 8.72105462210519, -3.0861133936232252]",0,64,64,0,60,4,60,4,391.159805751648,953.7938446375856,18101,43923,2.6576881000073627,14.159581800020533,3.125,4.606272450515202,4.606272450515202,4.606266338643237,6.1118719648695,0.0,0.0,0.0,4.285714285714286,3.125,2.7993598940340862,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.0912540980747776,2.1118858882359097,6.0022190638950885,4.606272450515202,2.835580444183758,7.1512086050851,7.56648554120745,8.72105462210519,0.0,1.0912540980747776,2.1118858882359097,6.0022190638950885,4.606272450515202,2.835580444183758,7.1512086050851,7.56648554120745,8.72105462210519,2.4924549626845325,2.8634796224194603,3.0364548735111185,5.006186468458925,6.1118719648695,6.355766879240003,5.021884008119422,7.396085608965071,30.02200419989714,4.984633188811131,7.736127735541959,7.759817448402828,61.56904108697199,58.01783512095619,67.02914595715919,70.97476072236896,75.16840845793486,293.8551821471192,-3.002200419989714e-05,1.0912490835560023,2.111880875892786,6.002215490070851,4.606266338643237,2.8355836428603896,7.151202079865984,7.566482484288139,8.721051535991796,-30.02200419989714,1091249.0835560022,2111880.875892786,6002215.4900708515,4606266.338643237,2835583.6428603893,7151202.079865983,7566482.484288139,8721051.535991795,118.0,132.3,142.75,228.0,282.828125,292.6255368794466,238.25,344.0,1407.0
3,8783435.4124083,8.571428571428571,8.783438546316964,8.783438546316964,3.133908663292576,0,1,78.59752981364727,135,8.7834354124083,"[0.0, 8.783438546316964, -3.133908663292576]",0,64,64,0,63,1,63,1,285.9984413649006,1239.7922860024862,12993,56916,1.652365899994038,15.91240810000454,3.928571428571429,5.584882412637983,5.584882412637983,5.584877943912337,4.468725646326572,0.0,0.0,0.0,5.714285714285714,3.928571428571429,2.550510153051018,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.872894287109375,2.3250675201416016,7.142857142857142,5.584882412637983,2.4986453397956887,7.424897466387068,7.861096245901925,8.783438546316964,0.0,1.872894287109375,2.3250675201416016,7.142857142857142,5.584882412637983,2.4986453397956887,7.424897466387068,7.861096245901925,8.783438546316964,2.217474686865426,2.791221171491076,2.904885750727193,3.1471257937974286,4.468725646326572,3.6724281057432036,5.014269037550374,5.505254191909117,30.001697122856786,5.0164939046953805,5.25711755099037,15.034646233592866,67.75548116117716,54.44463495626974,41.95443863300903,73.57923137769103,75.28861174881459,293.7027490604669,-3.0001697122856785e-05,1.8728892820255398,2.325062511420117,7.142854063571272,5.584877943912337,2.4986470545837096,7.424894459220848,7.8610932467694425,8.7834354124083,-30.001697122856786,1872889.2820255398,2325062.5114201168,7142854.063571272,5584877.943912337,2498647.054583709,7424894.459220848,7861093.246769442,8783435.4124083,103.0,123.0,131.0,145.0,203.015625,167.80098817009207,226.25,255.20000000000002,1373.0
4,8790152.025598224,8.571428571428571,8.790155138288224,8.790155138288224,3.1126900002485365,0,1,79.07162802666426,137,8.790152025598225,"[0.0, 8.790155138288224, -3.1126900002485365]",0,64,64,0,63,1,63,1,276.3268307485861,1516.1191167510724,12680,69596,1.8842976999876555,17.945597500016447,3.8839285714285716,5.672032875674111,5.672032875674111,5.672028558067382,4.317606730446657,0.0,0.0,0.0,5.714285714285714,3.8839285714285716,2.783295080493989,5.714285714285714,5.714285714285714,8.571428571428571,1.3279451642717635,1.871382032121931,2.1145956856863837,7.142857142857142,5.672032875674111,2.6121845400194807,7.777343477521624,8.087404251098633,8.790155138288224,1.3279451642717635,1.871382032121931,2.1145956856863837,7.142857142857142,5.672032875674111,2.6121845400194807,7.777343477521624,8.087404251098633,8.790155138288224,2.1093804851230917,2.8957118272409543,2.994294057158121,3.180016670465643,4.317606730446657,3.4376435045084746,5.005824737265178,5.025122478832861,30.002477997157396,4.124364066286944,5.254851622262504,7.780446191862211,69.56558879837394,54.022445395778846,41.90107015539442,74.70777983404696,76.32398046851158,288.3329208176583,1.3279401616611652,1.8713770310357871,2.1145906650731128,7.142854246849755,5.672028558067382,2.61218581609501,7.777340482971982,8.087401077405204,8.790152025598225,1327940.1616611653,1871377.0310357872,2114590.6650731126,7142854.246849755,5672028.558067381,2612185.81609501,7777340.482971982,8087401.077405204,8790152.025598224,101.0,131.3,137.75,150.0,198.125,156.72642366557082,228.0,236.0,1371.0
5,8879710.224759381,8.571428571428571,8.879713330950057,8.879713330950057,3.1061906766095047,0,1,78.53341195732355,144,8.879710224759382,"[0.0, 8.879713330950057, -3.1061906766095047]",0,64,64,0,61,3,61,3,325.32071255362143,1841.4398293046938,14907,84503,2.086734400014393,20.133300500019686,4.196428571428571,5.844703316688538,5.844703316688538,5.844698233552403,5.083136133650335,0.0,0.0,0.0,5.714285714285714,4.196428571428571,2.810727899767356,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8721117292131697,2.1132360185895647,7.142857142857142,5.844703316688538,2.8142556245899444,7.930259704589844,8.423425674438477,8.879713330950057,0.0,1.8721117292131697,2.1132360185895647,7.142857142857142,5.844703316688538,2.8142556245899444,7.930259704589844,8.423425674438477,8.879713330950057,2.675064985552543,2.840342903076759,3.000547416602986,3.107114587561665,5.083136133650335,5.655988394086798,5.018119536496613,5.875892208105659,30.01739490161401,4.971510563977063,7.740756064350717,38.501753060507326,68.94074475765228,65.46818577334284,57.37975888881584,76.0175943300128,77.7351768180728,293.74262526771054,-3.001739490161401e-05,1.8721067109442169,2.1132309913931597,7.142854307628747,5.844698233552403,2.814258850349405,7.930256686186046,8.423422620902796,8.879710224759382,-30.01739490161401,1872106.710944217,2113230.99139316,7142854.307628747,5844698.233552404,2814258.8503494044,7930256.686186045,8423422.620902795,8879710.224759381,122.0,129.3,135.75,143.5,232.921875,261.0555080274775,231.0,269.10000000000014,1397.0
6,9164801.60529313,8.571428571428571,9.16480473109654,9.16480473109654,3.125803408519098,0,1,79.85316994041204,147,9.16480160529313,"[0.0, 9.16480473109654, -3.125803408519098]",0,64,64,0,64,0,64,0,244.35824973141143,2085.7980790361053,11279,95782,1.3770339000038803,21.610693500027992,4.866071428571429,6.537592368466514,6.537592368466514,6.537588550368861,3.8180976520533036,0.0,0.0,5.0,5.714285714285714,4.866071428571429,2.6572814623987737,5.714285714285714,8.571428571428571,8.571428571428571,0.08316584995814731,1.8720877511160716,6.612412588936943,7.455829892839704,6.537592368466514,2.5152762646752787,8.268776621137347,8.734297071184432,9.16480473109654,0.08316584995814731,1.8720877511160716,6.612412588936943,7.455829892839704,6.537592368466514,2.5152762646752787,8.268776621137347,8.734297071184432,9.16480473109654,2.7267654538004273,2.8745460833441623,2.961865246551663,3.0990919949759457,3.8180976520533036,1.231433658383687,5.001336566683418,5.015187066464897,8.252800254742823,4.984712031437084,6.0040823438204844,56.277188663319976,72.36896032840014,58.724696188374196,26.882603247423535,76.83227820880711,78.2795469507575,79.92816017568111,0.08316084584987808,1.8720827426325541,6.612407518619889,7.455826939228563,6.537588550368861,2.5152770371431745,8.268773554718425,8.734293984906698,9.16480160529313,83160.84584987808,1872082.7426325541,6612407.518619889,7455826.939228563,6537588.550368861,2515277.0371431746,8268773.5547184255,8734293.984906698,9164801.60529313,126.0,133.0,137.0,143.5,176.234375,56.53503951850901,224.25,239.5,373.0
7,9404650.67284947,8.571428571428571,9.404653821672712,9.404653821672712,3.1488232415396036,0,1,80.78340402245522,148,9.40465067284947,"[0.0, 9.404653821672712, -3.1488232415396036]",0,64,64,0,63,1,63,1,244.6239136071697,2330.421992643275,11362,107144,1.7005736000137404,23.444180800026515,5.625,7.048657877104622,7.048657877104622,7.048654054855973,3.8222486501120265,0.0,0.0,5.714285714285714,5.714285714285714,5.625,2.810727899767356,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.1077564784458707,7.142857142857142,7.806096758161272,7.048657877104622,2.420167991417528,8.717084612165179,8.89645767211914,9.404653821672712,0.0,2.1077564784458707,7.142857142857142,7.806096758161272,7.048657877104622,2.420167991417528,8.717084612165179,8.89645767211914,9.404653821672712,2.2592999310103474,2.9014807572149204,2.9826112112737837,3.0943643055608874,3.8222486501120265,3.3873228343241206,3.4261986058027687,5.00945807245417,30.002946462097118,5.030179389839759,7.846823865125043,70.41335854306817,75.28788036480546,68.02989141230591,37.400441070485975,78.44588121026754,78.98055071085692,292.1513645546511,-3.0002946462097116e-05,2.107751473708659,7.142854280604518,7.806093762601056,7.048654054855973,2.4201697686137287,8.717081347694329,8.896454359250663,9.40465067284947,-30.002946462097118,2107751.473708659,7142854.280604518,7806093.762601055,7048654.0548559725,2420169.7686137287,8717081.34769433,8896454.359250663,9404650.67284947,105.0,133.3,138.0,143.5,177.53125,157.6284167700656,162.0,231.0,1395.0
8,9477960.954614207,8.571428571428571,9.477964128766741,9.477964128766741,3.1741525353223548,0,1,81.80403827130795,154,9.477960954614208,"[0.0, 9.477964128766741, -3.1741525353223548]",0,64,64,0,63,1,63,1,287.23148583057196,2617.653478473847,13317,120461,2.32811989999027,25.908216700016055,5.267857142857142,6.874213942459651,6.874213942459651,6.874209454467685,4.487991966102687,0.0,0.0,5.0,5.714285714285714,5.267857142857142,2.776484250976109,6.428571428571429,8.571428571428571,8.571428571428571,0.0,2.111898149762835,6.52843884059361,7.831392288208008,6.874213942459651,2.507850445411876,8.556930678231376,9.056370871407646,9.477964128766741,0.0,2.111898149762835,6.52843884059361,7.831392288208008,6.874213942459651,2.507850445411876,8.556930678231376,9.056370871407646,9.477964128766741,1.9460078989739742,2.862276297083297,3.007644621276863,3.111196576974671,4.487991966102687,4.649806199389931,4.403918938826936,5.39237733258492,30.003267681273822,4.282068483524199,7.773796319452231,67.45603981800377,75.14446810632944,70.43444447857439,44.69239256394177,78.45247301273048,80.01181013137102,293.65775981452316,-3.000326768127382e-05,2.111893139562045,6.528436290071847,7.83138928904383,6.874209454467685,2.507852860937266,8.556927572979692,9.05636743409155,9.477960954614208,-30.003267681273822,2111893.1395620448,6528436.290071847,7831389.289043831,6874209.454467686,2507852.860937266,8556927.572979692,9056367.43409155,9477960.954614207,88.0,129.2,139.0,145.5,208.078125,214.66247522910095,209.75,250.60000000000005,1397.0
9,9506268.731767539,8.571428571428571,9.50627190726144,9.50627190726144,3.175493899806966,0,1,81.88184928148985,145,9.50626873176754,"[0.0, 9.50627190726144, -3.175493899806966]",0,64,64,0,63,1,63,1,269.3744858130099,2887.027964286857,12356,132817,1.7693884000182152,27.782702300028177,4.285714285714286,6.056051807744162,6.056051807744162,6.056047598767821,4.20897634082828,0.0,0.0,0.0,5.714285714285714,4.285714285714286,3.0722590239437952,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.0314848763602122,2.479771205357143,7.504076276506696,6.056051807744162,2.8425967998993493,8.308006014142716,9.064461571829659,9.50627190726144,0.0,2.0314848763602122,2.479771205357143,7.504076276506696,6.056051807744162,2.8425967998993493,8.308006014142716,9.064461571829659,9.50627190726144,2.1066527886112913,2.9234139902514826,3.0206273931049528,3.1751591818628544,4.20897634082828,3.4384026554210134,5.005069544128818,5.022376205673378,30.01702694245863,4.180031598603819,7.727141514854156,14.15510942005858,73.94769497215748,56.69506904389971,42.35127858520275,77.21528316661716,79.4927603341639,293.99100293777883,-3.001702694245863e-05,2.0314798601451116,2.479766190728431,7.504073306506024,6.056047598767821,2.842598363669292,8.30800295379477,9.064458109724743,9.50626873176754,-30.01702694245863,2031479.8601451116,2479766.190728431,7504073.306506025,6056047.598767823,2842598.3636692925,8308002.953794769,9064458.109724741,9506268.731767539,95.0,130.3,138.0,146.5,193.0625,157.9288679872999,229.5,234.0,1377.0
10,9946683.031154623,8.571428571428571,9.946692330496653,9.946692330496653,9.2993420296851,0,1,84.36958602443337,425,9.946683031154624,"[0.0, 9.946692330496653, -9.2993420296851]",0,64,64,0,64,0,64,0,246.64097191575695,3133.6689362026136,11285,144102,1.4255779999948572,29.325753400014946,5.044642857142857,6.700885253293174,6.700885253293174,6.7008813995279874,3.8537651861837023,0.0,0.0,2.857142857142857,5.714285714285714,5.044642857142857,3.019586888051045,8.571428571428571,8.571428571428571,8.571428571428571,0.5201394217354911,2.1093897138323103,4.563437870570592,7.983538763863699,6.700885253293174,2.7244226255154937,8.626198768615723,9.127173287527901,9.946692330496653,0.5201394217354911,2.1093897138323103,4.563437870570592,7.983538763863699,6.700885253293174,2.7244226255154937,8.626198768615723,9.127173287527901,9.946692330496653,1.9747467765072582,2.9142209960300667,3.041306886882581,3.1638489881447285,3.8537651861837023,1.311411544621723,5.00394797161084,5.2626565260864195,9.2993420296851,5.122166166831448,7.744224626289361,36.844081789953634,75.37282637506723,58.4677114711011,28.52543011177152,77.89010702259839,79.62326146438718,84.36958602443337,0.5201333230956511,2.1093847065094167,4.563434944370464,7.9835356428226305,6.7008813995279874,2.7244232236566077,8.626195691963428,9.127168578356558,9.946683031154624,520133.32309565105,2109384.7065094165,4563434.944370464,7983535.642822631,6700881.399527987,2724423.223656608,8626195.691963427,9127168.578356558,9946683.031154623,90.0,132.3,138.75,146.0,176.328125,60.370226179668855,227.25,247.00000000000006,425.0
