generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8483864805262.672,5.714285714285714,8.483867645263672,8.483867645263672,2.8399999999999834,0,1,77.02139236778021,284,8483864.805262672,"[0.0, 8.483867645263672, -2.8399999999999834, -1.0]",0,48,48,0,38,10,38,10,475.9200000000168,475.9200000000168,47592,47592,25.106806299998425,25.144005400012247,2.0833333333333335,3.311812593823387,3.311812593823387,3311802.6788225956,9.915000000000349,0.0,0.0,0.0,0.0,2.0833333333333335,2.456394081186113,5.714285714285714,5.714285714285714,5.714285714285714,0.0,0.0,1.8831648145403181,1.9277490888323103,3.311812593823387,2.758314724629417,6.615595136369977,7.618920734950475,8.483867645263672,0.0,0.0,1.8831648145403181,1.9277490888323103,3.311812593823387,2.758314724629417,6.615595136369977,7.618920734950475,8.483867645263672,1.9100000000000015,2.7079999999999864,5.009999999999938,5.009999999999938,9.915000000000349,10.388651059370005,5.81249999999992,30.00000000000189,30.00000000000189,5.134403872303665,5.134578408751986,5.135220644133369,38.86981196339184,86.27480233580688,109.3177537850936,74.56601345751551,293.60073379066307,293.6014954961138,-30.00000000000189,-30.00000000000189,1883159.8045393182,1927744.0788313104,3311802.6788225956,2758321.0595232984,6615592.721368978,7618917.953949475,8483864.805262672,-30000000.00000189,-30000000.00000189,1883159804539.318,1927744078831.3103,3311802678822.5957,2758321059523.2983,6615592721368.979,7618917953949.475,8483864805262.672,191.0,270.8,501.0,501.0,991.5,1038.8651059369224,581.25,3000.0,3000.0
2,8483864805262.672,5.714285714285714,8.483867645263672,8.483867645263672,2.8399999999999834,0,1,77.02139236778021,284,8483864.805262672,"[0.0, 8.483867645263672, -2.8399999999999834, -1.0]",0,48,48,0,46,2,46,2,242.73000000000192,718.6500000000187,24273,71865,11.399479300016537,36.680138200026704,3.2738095238095237,4.8848043736957365,4.8848043736957365,4884799.316819779,5.05687500000004,0.0,0.0,0.0,5.714285714285714,3.2738095238095237,2.6719494866027906,5.714285714285714,5.714285714285714,5.714285714285714,0.0,1.8826070513044086,1.883730207170759,6.435824802943638,4.8848043736957365,2.8387440893427085,7.5673096520560135,7.9598396846226285,8.483867645263672,0.0,1.8826070513044086,1.883730207170759,6.435824802943638,4.8848043736957365,2.8387440893427085,7.5673096520560135,7.9598396846226285,8.483867645263672,2.3099999999999947,2.573999999999989,2.7874999999999845,4.864999999999941,5.05687500000004,5.354790750755714,5.009999999999938,5.732999999999922,30.00000000000189,5.134486301743891,5.134571690566372,7.177956458937842,60.750248439610004,53.43336999486913,58.29919043200444,73.62714217975736,75.41013977900148,293.6012587903533,-30.00000000000189,1882602.0413034086,1883725.1971697588,6435822.442942638,4884799.316819779,2838746.8518290743,7567306.909555013,7959835.967621628,8483864.805262672,-30000000.00000189,1882602041303.4087,1883725197169.7588,6435822442942.638,4884799316819.778,2838746851829.0737,7567306909555.014,7959835967621.629,8483864805262.672,231.0,257.4,278.75,486.5,505.6875,535.4790750755345,501.0,573.3,3000.0
3,9405808934770.205,8.571428571428571,9.405811854771205,9.405811854771205,2.9199999999999817,0,1,80.55324866622686,292,9405808.934770206,"[0.0, 9.405811854771205, -2.9199999999999817, -1.0]",0,48,48,0,42,6,42,6,343.4800000000097,1062.1300000000283,34348,106213,14.503503700019792,51.39588419999927,3.4523809523809526,5.003656319209508,5.003656319209508,5003649.163375299,7.155833333333535,0.0,0.0,0.0,5.714285714285714,3.4523809523809526,2.9136281548858136,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.8182067871093752,1.883730207170759,5.78526360648019,5.003656319209508,3.136297885968316,7.892589569091797,8.407947267804827,9.405811854771205,0.0,0.8182067871093752,1.883730207170759,5.78526360648019,5.003656319209508,3.136297885968316,7.892589569091797,8.407947267804827,9.405811854771205,2.1699999999999977,2.6909999999999865,2.807499999999984,4.1249999999999565,7.155833333333535,8.727397911494954,5.712499999999922,30.00000000000189,30.00000000000189,5.134425684111193,5.134893414545513,17.99299285786401,72.69882560521364,78.2231619905665,84.36279683329803,76.49031298048794,269.89580089256935,293.60154699732084,-30.00000000000189,818194.2801086752,1883725.1971697588,5785259.361479189,5003649.163375299,3136303.4101076727,7892584.444090797,8407944.333803829,9405808.934770206,-30000000.00000189,818194280108.6753,1883725197169.7588,5785259361479.189,5003649163375.3,3136303410107.673,7892584444090.797,8407944333803.828,9405808934770.205,217.0,269.1,280.75,412.5,715.5833333333334,872.7397911494328,571.25,3000.0,3000.0
4,9628576155947.662,8.571428571428571,9.628579275948661,9.628579275948661,3.1199999999999775,0,1,81.27468889951706,312,9628576.155947663,"[0.0, 9.628579275948661, -3.1199999999999775, -1.0]",0,48,48,0,48,0,48,0,183.2299999999982,1245.3600000000265,18323,124536,7.492638600000646,59.02864650002448,5.1190476190476195,6.449070828301566,6.449070828301566,6449067.011008901,3.817291666666629,0.0,0.0,2.857142857142857,5.714285714285714,5.1190476190476195,2.794451093882262,6.428571428571429,8.571428571428571,8.571428571428571,1.8832996913364954,1.8837362016950334,3.074395315987723,7.577054159981865,6.449070828301566,2.6560675841026984,8.545096942356654,9.023183277675082,9.628579275948661,1.8832996913364954,1.8837362016950334,3.074395315987723,7.577054159981865,6.449070828301566,2.6560675841026984,8.545096942356654,9.023183277675082,9.628579275948661,1.9800000000000015,2.7269999999999857,2.7899999999999845,2.909999999999982,3.817291666666629,1.3694170590426946,5.009999999999938,5.739999999999922,6.839999999999899,5.134425351629034,5.1352625296087355,18.43810983921503,72.89152529463172,55.54099342756505,28.528462634022382,77.13090594857931,78.6956422008574,81.27468889951706,1883294.6813354953,1883731.1916940336,3074389.6059867227,7577051.414980864,6449067.011008901,2656068.4522609413,8545093.589855654,9023180.383674083,9628576.155947663,1883294681335.4954,1883731191694.0337,3074389605986.7227,7577051414980.864,6449067011008.899,2656068452260.941,8545093589855.654,9023180383674.084,9628576155947.662,198.0,272.7,279.0,291.0,381.7291666666667,136.94170590427237,501.0,574.0,684.0
5,9628576155947.662,8.571428571428571,9.628579275948661,9.628579275948661,3.1199999999999775,0,1,81.27468889951706,312,9628576.155947663,"[0.0, 9.628579275948661, -3.1199999999999775, -1.0]",0,48,48,0,47,1,47,1,191.60000000000053,1436.960000000027,19160,143696,8.533623800001806,67.70184150000568,5.535714285714286,6.975558485303606,6.975558485303606,6975554.49363596,3.991666666666678,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714286,2.9969513988509773,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.2822320120675226,4.909211567470006,8.26728139604841,6.975558485303606,2.6380855424008685,8.848110607692174,9.21017483302525,9.628579275948661,0.0,2.2822320120675226,4.909211567470006,8.26728139604841,6.975558485303606,2.6380855424008685,8.848110607692174,9.21017483302525,9.628579275948661,1.7000000000000013,2.53799999999999,2.8274999999999837,2.8799999999999826,3.991666666666678,3.9909571394454866,4.522499999999948,5.45799999999993,30.00000000000189,5.13442646455951,19.799777153334436,45.705257235094905,76.2732565337792,67.0941947475582,41.07813848271933,78.4466860666871,79.93107478097082,293.599620773457,-5.010000999999938,2282227.0020665224,4909209.654969006,8267278.57104741,6975554.49363596,2638086.866906348,8848107.742691174,9210171.940024251,9628576.155947663,-5010000.999999938,2282227002066.5225,4909209654969.006,8267278571047.41,6975554493635.961,2638086866906.348,8848107742691.174,9210171940024.252,9628576155947.662,170.0,253.8,282.75,288.0,399.1666666666667,399.0957139445235,452.25,545.8000000000002,3000.0
6,9628576155947.662,8.571428571428571,9.628579275948661,9.628579275948661,3.1199999999999775,0,1,81.27468889951706,312,9628576.155947663,"[0.0, 9.628579275948661, -3.1199999999999775, -1.0]",0,48,48,0,48,0,48,0,169.8499999999985,1606.8100000000256,16985,160681,8.401949999999488,76.25091050000628,4.940476190476191,6.348809287661598,6.348809287661598,6348805.749118932,3.538541666666635,0.0,0.0,2.857142857142857,5.714285714285714,4.940476190476191,2.958878219437278,8.571428571428571,8.571428571428571,8.571428571428571,1.8823351178850447,1.889596666608538,3.4454032352992465,7.150279453822544,6.348809287661598,2.7353995107406774,8.84218624659947,9.365753718784877,9.628579275948661,1.8823351178850447,1.889596666608538,3.4454032352992465,7.150279453822544,6.348809287661598,2.7353995107406774,8.84218624659947,9.365753718784877,9.628579275948661,1.7500000000000013,2.433999999999992,2.7999999999999843,2.9349999999999814,3.538541666666635,1.2074818659496138,4.972499999999938,5.219999999999936,5.81999999999992,5.13501317439659,5.266711021249648,26.331622175173834,69.58347978070378,53.980950944374705,28.370365145404357,77.89787862077355,80.24133780151605,81.44572735577822,1882330.1078840448,1889591.656607538,3445398.560298247,7150276.823821545,6348805.749118932,2735400.2608478563,8842183.386598468,9365750.805783877,9628576.155947663,1882330107884.0447,1889591656607.538,3445398560298.2466,7150276823821.545,6348805749118.93,2735400260847.856,8842183386598.469,9365750805783.877,9628576155947.662,175.0,243.4,280.0,293.5,353.8541666666667,120.74818659496393,497.25,522.0000000000003,582.0
7,9732722810866.744,8.571428571428571,9.732725960867745,9.732725960867745,3.149999999999977,0,1,82.05415915697813,315,9732722.810866743,"[0.0, 9.732725960867745, -3.149999999999977, -1.0]",0,48,48,0,47,1,47,1,195.53000000000046,1802.340000000026,19553,180234,11.278828700014856,87.74476760000107,4.7023809523809526,6.230064119611467,6.230064119611467,6230060.046068822,4.073541666666676,0.0,0.0,2.857142857142857,5.714285714285714,4.7023809523809526,3.2203426177914234,8.571428571428571,8.571428571428571,8.571428571428571,1.0961641584123885,1.8831160409109933,4.322068350655692,6.764741625104632,6.230064119611467,2.813637028960644,8.866650036403112,9.421901975359235,9.732725960867745,1.0961641584123885,1.8831160409109933,4.322068350655692,6.764741625104632,6.230064119611467,2.813637028960644,8.866650036403112,9.421901975359235,9.732725960867745,1.8600000000000014,2.1219999999999986,2.7349999999999857,2.9399999999999813,4.073541666666676,3.9935137460552905,5.009999999999938,5.237999999999936,30.00000000000189,5.135074597674247,5.135506867830554,41.459857853129506,61.294785261154175,58.12489434058307,40.65996039012505,78.58181021176279,80.87433984000236,267.1111616716371,1096134.1584123885,1883111.0309099932,4322065.513154692,6764739.155103631,6230060.046068822,2813638.56419564,8866647.028902112,9421897.033358235,9732722.810866743,1096134158412.3884,1883111030909.9932,4322065513154.692,6764739155103.632,6230060046068.823,2813638564195.64,8866647028902.111,9421897033358.234,9732722810866.744,186.0,212.2,273.5,294.0,407.3541666666667,399.3513746055039,501.0,523.8000000000003,3000.0
8,9732722810866.744,8.571428571428571,9.732725960867745,9.732725960867745,3.149999999999977,0,1,82.05415915697813,315,9732722.810866743,"[0.0, 9.732725960867745, -3.149999999999977, -1.0]",0,48,48,0,48,0,48,0,158.83999999999872,1961.1800000000248,15884,196118,11.7092043000157,99.67078920002677,4.761904761904762,6.3396988596235,6.3396988596235,6339695.550455834,3.30916666666664,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.761904761904762,2.817180849095055,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.042763301304409,4.83753068106515,5.513463701520648,6.3396988596235,2.479310080779902,8.700172560555595,9.483620234898158,9.732725960867745,0.0,3.042763301304409,4.83753068106515,5.513463701520648,6.3396988596235,2.479310080779902,8.700172560555595,9.483620234898158,9.732725960867745,1.6300000000000012,2.0010000000000012,2.2349999999999963,2.904999999999982,3.30916666666664,1.2829000892075815,4.304999999999953,5.1449999999999365,6.549999999999905,5.13525868490251,20.204053235037282,40.30383182922378,47.46984305791557,54.82124394572929,23.093982713928817,77.56919316016138,80.55658534243703,82.05415915697813,-5.800000999999921,3042757.5033034086,4837525.76356415,5513461.271519648,6339695.550455834,2479310.5691251573,8700169.685554596,9483617.275897158,9732722.810866743,-5800000.999999921,3042757503303.4087,4837525763564.15,5513461271519.647,6339695550455.833,2479310569125.1577,8700169685554.596,9483617275897.158,9732722810866.744,163.0,200.1,223.5,290.5,330.9166666666667,128.2900089207608,430.5,514.5000000000002,655.0
9,10322754000859.771,8.571428571428571,10.32275881086077,10.32275881086077,4.809999999999942,0,1,86.28445706516504,481,10322754.00085977,"[0.0, 10.32275881086077, -4.809999999999942, -1.0]",0,48,48,0,48,0,48,0,157.08999999999878,2118.2700000000236,15709,211827,11.814557200006675,111.82666440002504,5.0,6.709083829607283,6.709083829607283,6709080.5568979485,3.272708333333308,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.0,2.827224306437599,8.571428571428571,8.571428571428571,8.571428571428571,1.8806185041155135,2.9867837088448663,4.670682634626115,7.558907100132534,6.709083829607283,2.5056789191794793,8.697334017072405,9.627793448311943,10.32275881086077,1.8806185041155135,2.9867837088448663,4.670682634626115,7.558907100132534,6.709083829607283,2.5056789191794793,8.697334017072405,9.627793448311943,10.32275881086077,1.5900000000000012,2.010000000000001,2.1874999999999973,2.8449999999999833,3.272708333333308,1.9520445900637264,3.0249999999999795,5.009999999999938,14.569999999999734,5.135840616800124,17.9329798037179,38.468087304383516,73.5548733882606,58.98391301655314,26.125900419324523,78.88933119550347,81.58027286008,111.03103333163745,1880613.4941145135,2986778.1598438662,4670680.697125115,7558904.355131533,6709080.5568979485,2505679.343583809,8697331.159571406,9627790.454310942,10322754.00085977,1880613494114.5134,2986778159843.866,4670680697125.115,7558904355131.533,6709080556897.948,2505679343583.8096,8697331159571.405,9627790454310.943,10322754000859.771,159.0,201.0,218.75,284.5,327.2708333333333,195.20445900637677,302.5,501.0,1457.0
10,10322754000859.771,8.571428571428571,10.32275881086077,10.32275881086077,4.809999999999942,0,1,86.28445706516504,481,10322754.00085977,"[0.0, 10.32275881086077, -4.809999999999942, -1.0]",0,48,48,0,46,2,46,2,219.7300000000024,2338.000000000026,21973,233800,18.559950700000627,130.59685150001314,5.2976190476190474,6.601175580705916,6.601175580705916,6601171.0029966235,4.5777083333333835,0.0,0.0,2.857142857142857,5.714285714285714,5.2976190476190474,3.2466405103082483,8.571428571428571,8.571428571428571,8.571428571428571,0.06176539829799107,1.8833939688546317,4.196314130510603,7.6842580522809705,6.601175580705916,2.940119719027007,9.166981833321708,9.54743358067104,10.32275881086077,0.06176539829799107,1.8833939688546317,4.196314130510603,7.6842580522809705,6.601175580705916,2.940119719027007,9.166981833321708,9.54743358067104,10.32275881086077,1.5500000000000012,2.0440000000000005,2.8274999999999837,2.9399999999999813,4.5777083333333835,5.46633836904875,4.859999999999941,5.8529999999999225,30.00000000000189,3.4297585952226655,19.63968807203055,41.08374468050897,76.36633968353271,68.02815713390707,52.374033746180146,80.0281269326806,82.12527706176043,291.74629802795243,61760.38829699106,1883388.9588536317,4196310.203009603,7684254.922279971,6601171.0029966235,2940121.7850831184,9166978.810820708,9547430.64467004,10322754.00085977,61760388296.991066,1883388958853.6316,4196310203009.603,7684254922279.971,6601171002996.624,2940121785083.1187,9166978810820.709,9547430644670.04,10322754000859.771,155.0,204.4,282.75,294.0,457.7708333333333,546.6338369048384,486.0,585.3000000000003,3000.0
