generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9103086223689.012,8.571428571428571,9.103091103690012,9.103091103690012,4.87999999999994,0,1,79.32232102751732,488,9103086.223689012,"[0.0, 9.103091103690012, -4.87999999999994, -1.0]",0,48,48,0,38,10,38,10,491.1100000000165,491.1100000000165,49111,49111,43.70284890005132,43.83398609998403,1.7857142857142856,2.8993921052841913,2.8993921052841913,2899381.8738250663,10.231458333333677,0.0,0.0,0.0,0.0,1.7857142857142856,2.3779743280283547,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,1.8830857958112444,1.8837411063058036,2.8993921052841913,2.548426038111131,3.074359893798828,7.748253686087472,9.103091103690012,0.0,0.0,1.8830857958112444,1.8837411063058036,2.8993921052841913,2.548426038111131,3.074359893798828,7.748253686087472,9.103091103690012,2.629999999999988,4.519999999999948,5.009999999999938,5.3449999999999305,10.231458333333677,10.173585075574225,5.957499999999918,30.00000000000189,30.00000000000189,5.1344011118635535,5.134539293681155,5.135166665299039,18.43481734333909,81.01585553990662,111.5805243969028,75.62206253828481,293.600672253815,293.6013745997334,-30.00000000000189,-30.00000000000189,1883080.7858102443,1883736.0963048036,2899381.8738250663,2548431.6600714666,3074354.1837978284,7748248.579086472,9103086.223689012,-30000000.00000189,-30000000.00000189,1883080785810.2444,1883736096304.8037,2899381873825.0664,2548431660071.4663,3074354183797.828,7748248579086.473,9103086223689.012,263.0,452.0,501.0,534.5,1023.1458333333334,1017.3585075573435,595.75,3000.0,3000.0
2,9103086223689.012,8.571428571428571,9.103091103690012,9.103091103690012,4.87999999999994,0,1,79.32232102751732,488,9103086.223689012,"[0.0, 9.103091103690012, -4.87999999999994, -1.0]",0,48,48,0,46,2,46,2,279.56000000000154,770.670000000018,27956,77067,15.170043300022371,59.35427150002215,4.107142857142858,5.319839715957642,5.319839715957642,5319833.891790017,5.824166666666699,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,4.107142857142858,2.0123977981401153,5.714285714285714,5.714285714285714,8.571428571428571,0.0,2.908928462437221,3.0705819811139787,6.659878322056362,5.319839715957642,2.5237374052786548,7.404106003897531,8.051762989589147,9.103091103690012,0.0,2.908928462437221,3.0705819811139787,6.659878322056362,5.319839715957642,2.5237374052786548,7.404106003897531,8.051762989589147,9.103091103690012,2.0799999999999996,2.6519999999999873,2.7999999999999843,5.709999999999923,5.824166666666699,5.6133924061621965,5.729999999999922,6.307999999999912,30.00000000000189,5.134674698638264,18.434264352360334,18.435288953702184,65.43969168886542,61.09137440428564,57.60159972817,74.42334025725722,76.69874110426754,293.6016844586702,-30.00000000000189,2908918.9854362207,3070576.2611129787,6659875.332055362,5319833.891790017,2523740.6988347284,7404102.856396532,8051760.189588146,9103086.223689012,-30000000.00000189,2908918985436.2207,3070576261112.9785,6659875332055.361,5319833891790.017,2523740698834.7285,7404102856396.531,8051760189588.146,9103086223689.012,208.0,265.2,280.0,571.0,582.4166666666666,561.3392406161853,573.0,630.8000000000002,3000.0
3,9239656635365.908,8.571428571428571,9.239662715366908,9.239662715366908,6.079999999999915,0,1,79.48670761100948,608,9239656.635365909,"[0.0, 9.239662715366908, -6.079999999999915, -1.0]",0,48,48,0,48,0,48,0,203.82999999999777,974.5000000000158,20383,97450,8.158049199962988,67.6643369999947,4.761904761904762,5.9967687016441715,5.9967687016441715,5996764.455184837,4.246458333333287,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.761904761904762,2.048172682629197,5.714285714285714,5.714285714285714,8.571428571428571,0.7938167027064732,3.057478768484933,3.0724239349365234,7.142857142857142,5.9967687016441715,2.3260534098093086,7.680890219552176,8.4685183933803,9.239662715366908,0.7938167027064732,3.057478768484933,3.0724239349365234,7.142857142857142,5.9967687016441715,2.3260534098093086,7.680890219552176,8.4685183933803,9.239662715366908,1.9400000000000015,2.6479999999999877,2.757499999999985,4.039999999999958,4.246458333333287,1.5009864667157373,5.742499999999922,5.988999999999917,6.419999999999908,5.134669906052295,18.435209494723676,18.43826271751459,69.19488164409995,52.74042624010068,25.64374677910312,73.35770498029888,76.69874110426754,79.48670761100948,793811.6927054732,3057473.008483933,3072418.219935524,7142854.502856143,5996764.455184837,2326054.0760565996,7680887.454551176,8468514.625379302,9239656.635365909,793811692705.4731,3057473008483.9326,3072418219935.5234,7142854502856.143,5996764455184.837,2326054076056.599,7680887454551.176,8468514625379.301,9239656635365.908,194.0,264.8,275.75,404.0,424.6458333333333,150.09864667157692,574.25,598.9,642.0
4,9484130119201.008,8.571428571428571,9.484133039202009,9.484133039202009,2.9199999999999817,0,1,80.5524151623249,292,9484130.119201008,"[0.0, 9.484133039202009, -2.9199999999999817, -1.0]",0,48,48,0,47,1,47,1,227.90999999999974,1202.4100000000155,22791,120241,12.708256500016432,80.57191280002007,5.178571428571428,6.442761421203613,6.442761421203613,6442756.673077635,4.748124999999995,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.178571428571428,2.380208217039548,5.714285714285714,8.571428571428571,8.571428571428571,0.0,3.023132869175502,3.0734198434012274,7.614359174455915,6.442761421203613,2.599923944749856,8.151862280709404,8.836088997977122,9.484133039202009,0.0,3.023132869175502,3.0734198434012274,7.614359174455915,6.442761421203613,2.599923944749856,8.151862280709404,8.836088997977122,9.484133039202009,2.629999999999988,2.7369999999999854,2.7999999999999843,2.9699999999999807,4.748124999999995,4.161873904990821,5.729999999999922,5.988999999999917,30.00000000000189,5.13452472636709,18.435170499930244,41.88986231560921,73.12603539600968,65.31235986607165,42.8283135610507,76.7659277501516,79.37163700256497,293.57630847685505,-13.530000999999755,3023127.0121745025,3073414.1309002275,7614355.924454915,6442756.673077635,2599925.9652266908,8151859.470708404,8836085.19297612,9484130.119201008,-13530000.999999756,3023127012174.5024,3073414130900.2275,7614355924454.916,6442756673077.634,2599925965226.691,8151859470708.403,8836085192976.121,9484130119201.008,263.0,273.7,280.0,297.0,474.8125,416.1873904990595,573.0,598.9,3000.0
5,9484130119201.008,8.571428571428571,9.484133039202009,9.484133039202009,2.9199999999999817,0,1,80.5524151623249,292,9484130.119201008,"[0.0, 9.484133039202009, -2.9199999999999817, -1.0]",0,48,48,0,48,0,48,0,191.57999999999942,1393.990000000015,19158,139399,8.229391800006852,88.95957400003681,5.714285714285714,6.950310014543079,6.950310014543079,6950306.02329208,3.991249999999988,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.404644032943352,8.571428571428571,8.571428571428571,8.571428571428571,0.11106218610491073,3.0617577689034596,5.118246078491211,8.042494910103933,6.950310014543079,2.4862110417821417,8.711203166416713,9.227181025913783,9.484133039202009,0.11106218610491073,3.0617577689034596,5.118246078491211,8.042494910103933,6.950310014543079,2.4862110417821417,8.711203166416713,9.227181025913783,9.484133039202009,1.8900000000000015,2.7339999999999858,2.7999999999999843,2.859999999999983,3.991249999999988,3.1542158461600858,5.009999999999938,5.742999999999922,23.79000000000092,5.13456041374593,18.43617361592187,61.451336704194546,75.27995556592941,65.57211446745244,34.36113846324955,77.80126644857228,79.66385222524404,231.50154382636538,111057.17610391072,3061752.02590246,5118244.098490211,8042492.090102933,6950306.02329208,2486212.3642192003,8711200.306415712,9227177.171912784,9484130.119201008,111057176103.91072,3061752025902.46,5118244098490.211,8042492090102.934,6950306023292.079,2486212364219.2,8711200306415.713,9227177171912.783,9484130119201.008,189.0,273.4,280.0,286.0,399.125,315.4215846159972,501.0,574.3,2379.0
6,9770959891387.115,8.571428571428571,9.770962851388115,9.770962851388115,2.959999999999981,0,1,82.34355183690786,296,9770959.891387116,"[0.0, 9.770962851388115, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,156.5799999999988,1550.5700000000138,15658,155057,9.38223210000433,98.58448210003553,6.071428571428572,7.269139630453928,7.269139630453928,7269136.368369594,3.262083333333308,0.0,2.857142857142857,5.0,5.714285714285714,6.071428571428572,2.6486423168198794,8.571428571428571,8.571428571428571,8.571428571428571,1.8827656337193082,3.052971431187221,6.582659312656947,8.322064535958425,7.269139630453928,2.390103896514403,8.983371598379954,9.30081639971052,9.770962851388115,1.8827656337193082,3.052971431187221,6.582659312656947,8.322064535958425,7.269139630453928,2.390103896514403,8.983371598379954,9.30081639971052,9.770962851388115,1.8900000000000015,2.5039999999999907,2.7999999999999843,2.859999999999983,3.262083333333308,1.1398208162055565,2.9199999999999817,5.762999999999922,6.019999999999916,5.134605373779777,18.43825246558263,58.554396940395236,76.36637439206243,63.195529132382035,24.244547321797953,78.54446108965203,79.93036373481155,82.34355183690786,1882760.623718308,3052965.661186221,6582656.9226559475,8322061.710957427,7269136.368369594,2390104.610019006,8983368.725878954,9300813.49370952,9770959.891387116,1882760623718.308,3052965661186.2207,6582656922655.947,8322061710957.426,7269136368369.594,2390104610019.006,8983368725878.953,9300813493709.52,9770959891387.115,189.0,250.4,280.0,286.0,326.2083333333333,113.98208162055803,292.0,576.3,602.0
7,9770959891387.115,8.571428571428571,9.770962851388115,9.770962851388115,2.959999999999981,0,1,82.34355183690786,296,9770959.891387116,"[0.0, 9.770962851388115, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,140.15999999999912,1690.730000000013,14016,169073,6.203757000039332,105.02358750003623,6.13095238095238,7.46281073206947,7.46281073206947,7462807.81206847,2.9199999999999817,0.0,2.857142857142857,2.857142857142857,5.714285714285714,6.13095238095238,2.5414645285963324,8.571428571428571,8.571428571428571,8.571428571428571,1.882220676967076,4.188733237130301,5.569372177124023,8.406490598406112,7.46281073206947,2.165925264908943,9.163789749145508,9.451646532331194,9.770962851388115,1.882220676967076,4.188733237130301,5.569372177124023,8.406490598406112,7.46281073206947,2.165925264908943,9.163789749145508,9.451646532331194,9.770962851388115,1.7000000000000013,2.096999999999999,2.7374999999999856,2.8749999999999827,2.9199999999999817,0.8789908987014415,2.9199999999999817,3.03599999999998,5.809999999999921,5.135813920489454,33.403754126280546,48.166653433814645,76.58456919714808,64.70036355948211,21.038622240866715,79.22049646638334,80.55261010304093,82.34355183690786,1882215.666966076,4188731.0901293014,5569370.0596230235,8406487.768405112,7462807.81206847,2165925.558697523,9163786.85414451,9451643.612330195,9770959.891387116,1882215666966.076,4188731090129.3013,5569370059623.023,8406487768405.111,7462807812068.469,2165925558697.5232,9163786854144.508,9451643612330.193,9770959891387.115,170.0,209.7,273.75,287.5,292.0,87.89908987014599,292.0,303.6000000000001,581.0
8,9785581081049.502,8.571428571428571,9.785584041050502,9.785584041050502,2.959999999999981,0,1,82.3426846191287,296,9785581.081049502,"[0.0, 9.785584041050502, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,137.54999999999916,1828.280000000012,13755,182828,9.318364000006113,114.65728129999479,5.952380952380952,7.49670976684207,7.49670976684207,7496706.90121607,2.8656249999999823,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.952380952380952,2.6619856874997496,8.571428571428571,8.571428571428571,8.571428571428571,1.8806403023856029,4.343942369733538,5.394957406180246,8.298044204711914,7.49670976684207,2.29462033912957,9.419187818254743,9.658488137381417,9.785584041050502,1.8806403023856029,4.343942369733538,5.394957406180246,8.298044204711914,7.49670976684207,2.29462033912957,9.419187818254743,9.658488137381417,9.785584041050502,1.7200000000000013,1.9570000000000016,2.709999999999986,2.859999999999983,2.8656249999999823,0.8137718411047244,2.9299999999999815,2.959999999999981,5.869999999999919,5.135126862303878,34.98501712977886,46.344031386077404,76.36646873876452,64.77033156927412,21.909497901862693,80.55251038633287,81.58028081730008,82.34355183690786,1880635.2923846028,4343940.642732537,5394955.226179245,8298041.379710915,7496706.90121607,2294620.5046945987,9419184.898253743,9658485.180380417,9785581.081049502,1880635292384.6028,4343940642732.538,5394955226179.245,8298041379710.914,7496706901216.07,2294620504694.5986,9419184898253.742,9658485180380.416,9785581081049.502,172.0,195.7,271.0,286.0,286.5625,81.3771841104741,293.0,296.0,587.0
9,9785581081049.502,8.571428571428571,9.785584041050502,9.785584041050502,2.959999999999981,0,1,82.3426846191287,296,9785581.081049502,"[0.0, 9.785584041050502, -2.959999999999981, -1.0]",0,48,48,0,47,1,47,1,162.24000000000112,1990.5200000000132,16224,199052,9.655167299963068,124.5668483999907,5.357142857142857,6.838861647106352,6.838861647106352,6838858.267105374,3.3800000000000234,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142857,2.64864231681988,8.571428571428571,8.571428571428571,8.571428571428571,2.857142857142857,3.939713614327567,5.052479335239956,7.478348868233816,6.838861647106352,2.2061226747863842,8.729686737060547,9.503342764718193,9.785584041050502,2.857142857142857,3.939713614327567,5.052479335239956,7.478348868233816,6.838861647106352,2.2061226747863842,8.729686737060547,9.503342764718193,9.785584041050502,1.5600000000000012,1.9140000000000015,2.0400000000000005,2.8399999999999834,3.3800000000000234,4.030496764254839,2.909999999999982,3.796999999999975,30.00000000000189,18.437568460307375,31.886498489366932,42.63743974454701,73.0747407451272,64.32638182891317,35.20073312630932,78.00810016877949,81.8941085614264,260.47086062814196,2857112.8571428573,3939708.337326567,5052477.377738956,7478346.138232816,6838858.267105374,2206123.8354783505,8729683.877059547,9503339.835717194,9785581.081049502,2857112857142.8574,3939708337326.5674,5052477377738.956,7478346138232.816,6838858267105.372,2206123835478.35,8729683877059.547,9503339835717.193,9785581081049.502,156.0,191.4,204.0,284.0,338.0,403.0496764254583,291.0,379.7000000000012,3000.0
10,9785581081049.502,8.571428571428571,9.785584041050502,9.785584041050502,2.959999999999981,0,1,82.3426846191287,296,9785581.081049502,"[0.0, 9.785584041050502, -2.959999999999981, -1.0]",0,48,48,0,48,0,48,0,135.7599999999992,2126.2800000000125,13576,212628,9.006608600029722,134.01730280002812,5.952380952380952,7.324152446928479,7.324152446928479,7324149.6185941445,2.8283333333333167,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.952380952380952,2.597312408246599,8.571428571428571,8.571428571428571,8.571428571428571,1.3814653669084822,4.412611825125558,5.231512614658901,8.069665091378349,7.324152446928479,2.1885121469920428,8.955841745649066,9.545715059552874,9.785584041050502,1.3814653669084822,4.412611825125558,5.231512614658901,8.069665091378349,7.324152446928479,2.1885121469920428,8.955841745649066,9.545715059552874,9.785584041050502,1.7000000000000013,1.9700000000000015,2.5424999999999898,2.8449999999999833,2.8283333333333167,0.8081700866085444,2.8949999999999823,2.959999999999981,5.759999999999922,5.1832161151687615,35.74471124410629,44.45039929263294,75.28213550895452,64.07474427447217,21.04285563418691,78.44834954850376,81.13315185680986,82.34355183690786,1381460.3569074823,4412610.074124558,5231510.602157901,8069662.291377349,7324149.6185941445,2188512.3043190883,8955838.873148065,9545712.126551874,9785581.081049502,1381460356907.4822,4412610074124.558,5231510602157.901,8069662291377.349,7324149618594.145,2188512304319.0884,8955838873148.066,9545712126551.875,9785581081049.502,170.0,197.0,254.25,284.5,282.8333333333333,80.8170086608561,289.5,296.0,576.0
