generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9389154.55120675,8.571428571428571,9.389160701206752,9.389160701206752,6.1499999999999835,0,1,79.86773818358779,369,8.803446415492468,"[0.0, 9.389160701206752, -6.1499999999999835]",0,48,48,0,42,6,42,6,372.4166666666637,372.4166666666637,22345,22345,7.787093500024639,7.85171449999325,1.8452380952380951,3.0688188757215222,3.0688188757215222,2.3298969180495708,7.758680555555493,0.0,0.0,0.0,0.0,1.8452380952380951,2.507782670588202,2.857142857142857,5.714285714285714,8.571428571428571,0.0,0.0,1.8744986397879466,1.8758283342633928,3.0688188757215222,2.640059973641393,3.738446916852679,7.3068471636090955,9.389160701206752,0.0,0.0,1.8744986397879466,1.8758283342633928,3.0688188757215222,2.640059973641393,3.738446916852679,7.3068471636090955,9.389160701206752,2.116666666666664,2.7233333333333287,5.016666666666654,5.016666666666654,7.758680555555493,8.48798373790796,5.770833333333318,30.016666666666243,30.016666666666243,5.1733415219932795,5.173542389314389,5.182294999292935,18.720209555802285,62.11480419220652,90.9531638301822,71.08067034184933,293.8677993565798,293.87205359665677,-2.8587301587301184,-2.8587301587301184,1.39672086201017,1.3980505564856163,2.3298969180495708,3.1374025793317823,3.2678119962177594,7.046370973132905,8.803446415492468,-30.016666666666243,-30.016666666666243,1874493.62312128,1875823.3175967261,3068811.117040967,2640064.3881269544,3738441.975186012,7306844.428609096,9389154.55120675,127.0,163.4,301.0,301.0,465.5208333333333,509.2790242744858,346.25,1801.0,1801.0
2,9389154.55120675,8.571428571428571,9.389160701206752,9.389160701206752,6.1499999999999835,0,1,79.86773818358779,369,8.803446415492468,"[0.0, 9.389160701206752, -6.1499999999999835]",0,48,48,0,45,3,45,3,289.18333333333163,661.5999999999954,17351,39696,1.8791998999658972,9.799521399952937,3.273809523809524,4.523240554900396,4.523240554900396,3.9494640998739445,6.024652777777742,0.0,0.0,2.142857142857143,2.857142857142857,3.273809523809524,2.403907203131985,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8747869219098774,2.730850492204939,3.0726650782993863,4.523240554900396,2.6473397033449086,7.160132953098842,7.933002744402205,9.389160701206752,0.0,1.8747869219098774,2.730850492204939,3.0726650782993863,4.523240554900396,2.6473397033449086,7.160132953098842,7.933002744402205,9.389160701206752,1.9833333333333312,2.6183333333333287,2.7666666666666617,5.016666666666654,6.024652777777742,6.385244120002623,5.749999999999985,6.219999999999985,30.016666666666243,4.981137593335006,5.174763142241863,18.416105468932074,44.99709917604923,55.47065096753386,67.44306485411015,73.44254106283188,76.53612006157637,293.8712238348089,-2.8587301587301184,1.3970091441321009,2.2018822382366863,2.526461670890688,3.9494640998739445,3.029193643027449,6.911720254686143,7.599852564978222,8.803446415492468,-30.016666666666243,1874781.9052432107,2730844.938038272,3072659.3449660526,4523234.530247618,2647343.268605644,7160130.344765509,7932999.2510688715,9389154.55120675,119.0,157.1,166.0,301.0,361.4791666666667,383.11464720016323,345.0,373.20000000000005,1801.0
3,9389154.55120675,8.571428571428571,9.389160701206752,9.389160701206752,6.1499999999999835,0,1,79.86773818358779,369,8.803446415492468,"[0.0, 9.389160701206752, -6.1499999999999835]",0,48,48,0,47,1,47,1,220.61666666666582,882.2166666666612,13237,52933,1.7531910000252537,11.62567899998976,3.1547619047619047,4.71200704574585,4.71200704574585,4.274275564264371,4.596180555555538,0.0,0.0,0.0,2.857142857142857,3.1547619047619047,2.9299986843426113,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8754681178501673,1.8757942744663785,4.440770830426898,4.71200704574585,2.892884697449487,7.469299861363002,8.122819900512695,9.389160701206752,0.0,1.8754681178501673,1.8757942744663785,4.440770830426898,4.71200704574585,2.892884697449487,7.469299861363002,8.122819900512695,9.389160701206752,1.6666666666666656,2.711666666666662,2.749999999999995,5.016666666666654,4.596180555555538,3.913338183177856,5.016666666666654,5.743333333333318,30.016666666666243,5.173348044976592,5.173582380166044,5.17473640521348,39.14838156104088,45.15395746210864,48.040259849001,72.5503464601934,75.70869180858135,293.87182384729385,-2.8587301587301184,1.3976903400723908,1.398016496688602,4.13631562732515,4.274275564264371,3.0747508599820432,7.208982401045542,7.84024158296131,8.803446415492468,-30.016666666666243,1875463.1011835008,1875789.2577997118,4440768.830426898,4712002.449565294,2892886.4149878505,7469297.128029669,8122816.568846029,9389154.55120675,100.0,162.7,165.0,301.0,275.7708333333333,234.8002909906748,301.0,344.6,1801.0
4,9389154.55120675,8.571428571428571,9.389160701206752,9.389160701206752,6.1499999999999835,0,1,79.86773818358779,369,8.803446415492468,"[0.0, 9.389160701206752, -6.1499999999999835]",0,48,48,0,47,1,47,1,205.1833333333325,1087.3999999999937,12311,65244,1.5850344999926165,13.276183799956925,4.226190476190476,5.661965097699846,5.661965097699846,5.254855309340059,4.274652777777761,0.0,0.0,0.0,5.714285714285714,4.226190476190476,2.97321279612909,5.714285714285714,8.571428571428571,8.571428571428571,0.0,1.8756392342703683,1.8760163443429128,7.142857142857142,5.661965097699846,2.838601918683491,7.976288114275251,8.657743998936244,9.389160701206752,0.0,1.8756392342703683,1.8760163443429128,7.142857142857142,5.661965097699846,2.838601918683491,7.976288114275251,8.657743998936244,9.389160701206752,1.649999999999999,2.6499999999999955,2.7666666666666617,2.908333333333328,4.274652777777761,3.9822857025172502,5.016666666666654,5.781666666666652,30.016666666666243,5.173529921099544,5.1748443679360205,15.109235581654502,69.72846897691488,54.479445388776035,46.18030068028348,75.30925475433469,78.33431039452553,293.8719336860813,-2.8587301587301184,1.3978614564925917,1.3982385665651362,6.890476190476191,5.254855309340059,3.037711084913183,7.71081192379906,8.375839237031483,8.803446415492468,-30.016666666666243,1875634.2176037016,1876011.3276762462,7142854.492857142,5661960.823047069,2838603.816618017,7976285.326775251,8657741.038936244,9389154.55120675,99.0,159.0,166.0,174.5,256.4791666666667,238.93714215103842,301.0,346.90000000000003,1801.0
5,9694293.918817429,8.571428571428571,9.694298335484095,9.694298335484095,4.416666666666656,0,1,82.01231294870377,265,9.273663414849176,"[0.0, 9.694298335484095, -4.416666666666656]",0,48,48,0,47,1,47,1,199.1499999999992,1286.549999999993,11949,77193,1.3438980999635532,14.685476999962702,5.297619047619048,6.6541093871707,6.6541093871707,6.258970498281815,4.148958333333317,0.0,0.0,2.857142857142857,5.714285714285714,5.297619047619048,3.1401277831214234,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.875014168875558,5.190458297729493,7.858600616455078,6.6541093871707,2.929473778790032,8.811802182878766,9.251171929495674,9.694298335484095,0.0,1.875014168875558,5.190458297729493,7.858600616455078,6.6541093871707,2.929473778790032,8.811802182878766,9.251171929495674,9.694298335484095,2.0166666666666644,2.7233333333333287,2.795833333333328,2.8749999999999947,4.148958333333317,3.9678123436674433,5.016666666666654,5.663333333333319,30.016666666666243,5.174424352240749,5.175439321232261,48.498139468429144,74.93137755990028,64.85109447165466,43.19729149825211,78.33429754525423,79.8087851807475,293.8538654851727,-2.8587301587301184,1.3972363910977814,4.982918615189811,7.501668790786985,6.258970498281815,3.129985676864801,8.517357738434322,8.854376493181503,9.273663414849176,-30.016666666666243,1875009.1522088915,5190456.118562826,7858597.833121745,6654105.238212367,2929475.700306089,8811799.0912121,9251169.029495673,9694293.918817429,121.0,163.4,167.75,172.5,248.9375,238.06874062005005,301.0,339.8,1801.0
6,9694293.918817429,8.571428571428571,9.694298335484095,9.694298335484095,4.416666666666656,0,1,82.01231294870377,265,9.350636533706908,"[0.0, 9.694298335484095, -4.416666666666656]",0,48,48,0,47,1,47,1,192.48333333333255,1479.0333333333256,11549,88742,1.4842582999845035,16.240140399953816,5.238095238095238,6.780753305980138,6.780753305980138,6.398841930318764,4.0100694444444285,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.238095238095238,2.8769157079987075,8.571428571428571,8.571428571428571,8.571428571428571,1.8748746599469865,2.885047367640904,4.7697843824114114,8.058639253888812,6.780753305980138,2.5400898678465684,8.898988451276505,9.328382219587056,9.694298335484095,1.8748746599469865,2.885047367640904,4.7697843824114114,8.058639253888812,6.780753305980138,2.5400898678465684,8.898988451276505,9.328382219587056,9.694298335484095,1.7666666666666653,1.9866666666666646,2.799999999999995,2.8916666666666613,4.0100694444444285,4.043797747991173,5.016666666666654,5.999999999999984,30.016666666666243,5.175224476202857,17.939099059630827,40.98344214633107,75.58253799378872,63.74958776970425,40.90684914198493,78.71886662580073,79.92751584835351,284.83406563522294,-0.0015873015872611695,2.342596127949065,4.43316046699645,7.791972587222145,6.398841930318764,2.6861663869483547,8.524478412809827,9.041008442470007,9.350636533706908,1874869.6432803199,2885033.8709742376,4769782.515744744,8058636.453888812,6780749.295910694,2540091.1391997533,8898985.555443171,9328379.264587054,9694293.918817429,106.0,119.2,168.0,173.5,240.60416666666666,242.62786487947383,301.0,360.0,1801.0
7,9694293.918817429,8.571428571428571,9.694298335484095,9.694298335484095,4.416666666666656,0,1,82.01231294870377,265,9.350636533706908,"[0.0, 9.694298335484095, -4.416666666666656]",0,48,48,0,47,1,47,1,209.44999999999922,1688.4833333333247,12567,101309,1.4846540999715216,17.791853899951093,5.059523809523809,6.596252180281138,6.596252180281138,6.180676783455745,4.36354166666665,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.059523809523809,2.6878147392561043,6.428571428571429,8.571428571428571,8.571428571428571,0.0,2.6882607596261163,5.152722767421177,7.142857142857142,6.596252180281138,2.547461405320027,8.619657244001118,9.327343532017299,9.694298335484095,0.0,2.6882607596261163,5.152722767421177,7.142857142857142,6.596252180281138,2.547461405320027,8.619657244001118,9.327343532017299,9.694298335484095,1.9833333333333312,2.499999999999996,2.7291666666666616,2.8666666666666614,4.36354166666665,4.835358359610588,4.991666666666655,5.749999999999985,30.016666666666243,5.174805213115178,18.417199430835172,46.305589217692614,71.1345679089427,67.58757091568259,47.10060085069761,78.5183743275702,80.54979858845472,293.8494740384631,-2.8587301587301184,1.8975083996000777,4.8826017894442115,6.894444444444444,6.180676783455745,2.803027330437133,8.349022323366198,9.00871923658583,9.350636533706908,-30.016666666666243,2688255.171292783,5152718.496587844,7142854.534523809,6596247.816739473,2547463.7863203036,8619654.40233445,9327339.657017298,9694293.918817429,119.0,150.0,163.75,172.0,261.8125,290.1215015766383,299.5,345.0,1801.0
8,9694293.918817429,8.571428571428571,9.694298335484095,9.694298335484095,4.416666666666656,0,1,82.01231294870377,265,9.350636533706908,"[0.0, 9.694298335484095, -4.416666666666656]",0,48,48,0,48,0,48,0,155.91666666666634,1844.399999999991,9355,110664,0.9226314999978058,18.780716899957042,5.595238095238095,6.968333153497606,6.968333153497606,6.658974687889141,3.248263888888882,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.595238095238095,2.854661621019476,8.571428571428571,8.571428571428571,8.571428571428571,1.8755122593470983,3.044886997767857,5.255321775163923,8.210954666137695,6.968333153497606,2.447090202989003,8.966914585658483,9.296948841639928,9.694298335484095,1.8755122593470983,3.044886997767857,5.255321775163923,8.210954666137695,6.968333153497606,2.447090202989003,8.966914585658483,9.296948841639928,9.694298335484095,1.8333333333333317,2.033333333333331,2.787499999999995,2.8666666666666614,3.248263888888882,1.1652483421490731,2.9833333333333276,5.283333333333323,5.966666666666651,5.173646618088242,18.418169773070257,44.69581578299403,76.1437426880002,60.521045637949555,24.144957991386697,78.33441561833024,79.80851492881774,82.01231294870377,1.3977344815693218,2.492029854910716,5.063258283100431,7.942700697883729,6.658974687889141,2.5090912873773794,8.672888776991105,9.020758365449453,9.350636533706908,1875507.2426804318,3044881.1927678576,5255319.758497256,8210951.84947103,6968329.905233716,2447090.8358256877,8966911.718991816,9296945.941639928,9694293.918817429,110.0,122.0,167.25,172.0,194.89583333333334,69.91490052894463,179.0,317.00000000000017,358.0
9,9694293.918817429,8.571428571428571,9.694298335484095,9.694298335484095,4.416666666666656,0,1,82.01231294870377,265,9.350636533706908,"[0.0, 9.694298335484095, -4.416666666666656]",0,48,48,0,48,0,48,0,140.28333333333308,1984.683333333324,8417,119081,0.8887186999781989,19.734867799968924,5.238095238095238,6.758741651262555,6.758741651262555,6.48040170417261,2.9225694444444392,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.238095238095238,2.756151643521482,8.571428571428571,8.571428571428571,8.571428571428571,1.8750054495675221,3.797306605747768,5.307607650756836,7.442910330636161,6.758741651262555,2.28495689708188,8.712566920689174,9.16075542994908,9.694298335484095,1.8750054495675221,3.797306605747768,5.307607650756836,7.442910330636161,6.758741651262555,2.28495689708188,8.712566920689174,9.16075542994908,9.694298335484095,1.649999999999999,1.969999999999998,2.0874999999999977,2.833333333333328,2.9225694444444392,1.015661442840949,2.916666666666661,5.016666666666654,5.733333333333318,5.173684851382859,28.401409479980067,45.279412128031254,71.97660977393389,59.010277330279074,23.42826774655266,78.06447542831302,79.51416008323432,82.01231294870377,1.3972276717897456,3.5234970819382445,5.113956857106042,7.136550830659413,6.48040170417261,2.3034680672366172,8.426136001708016,8.885199874393527,9.350636533706908,1875000.4329008556,3797303.730747768,5307605.617423503,7442907.55563616,6758738.72869311,2284957.070738575,8712562.154022506,9160752.536615748,9694293.918817429,99.0,118.2,125.25,170.0,175.35416666666666,60.939686570457155,175.0,301.0,344.0
10,9731736.639146207,8.571428571428571,9.731739589146207,9.731739589146207,2.9499999999999944,0,1,82.04085414111614,177,9.450787208193827,"[0.0, 9.731739589146207, -2.9499999999999944]",0,48,48,0,48,0,48,0,156.29999999999967,2140.9833333333236,9378,128459,0.9719097000197507,20.77496309997514,5.059523809523809,6.582234076091221,6.582234076091221,6.272115028472174,3.256249999999993,0.0,0.0,2.857142857142857,5.714285714285714,5.059523809523809,2.9299986843426113,8.571428571428571,8.571428571428571,8.571428571428571,1.874662126813616,2.562683650425502,4.55286979675293,7.825675691877093,6.582234076091221,2.644276470918815,8.770219257899694,9.447208404541016,9.731739589146207,1.874662126813616,2.562683650425502,4.55286979675293,7.825675691877093,6.582234076091221,2.644276470918815,8.770219257899694,9.447208404541016,9.731739589146207,1.566666666666666,1.861666666666665,2.7791666666666615,2.8666666666666614,3.256249999999993,1.266367951802256,3.1041666666666607,5.016666666666654,6.916666666666647,5.173551471380051,14.454235180318939,38.76583197712898,74.30214547365904,56.79880813799476,26.388448370950098,77.78466941043735,80.54979858845472,82.04109264910221,1.3968843490358396,1.9582392059810594,4.381838050721184,7.561389977591379,6.272115028472174,2.707230106642914,8.498393861074298,9.169430626763239,9.450787208193827,1874657.1101469495,2562677.303758836,4552868.000919597,7825672.916877093,6582230.819841222,2644277.110920989,8770216.403733026,9447205.48787435,9731736.639146207,94.0,111.7,166.75,172.0,195.375,75.98207710813561,186.25,301.0,415.0
