generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,34,0,1,1,9389154.55120675,"[0.0, 9.389160701206752, -6.1499999999999835]",9.389160701206752,8.571428571428571,9.389160701206752,6.1499999999999835,0,1,0,79.86773818358779,8.803446415492468,369,1,0
1,2,30,0,1,1,7816385.49976051,"[0.0, 7.816388266427177, -2.7666666666666617]",7.816388266427177,5.714285714285714,7.816388266427177,2.7666666666666617,0,1,0,73.97946418821812,7.5528962029351145,166,1,0
1,3,20,0,1,1,7751146.00216704,"[0.0, 7.751148768833706, -2.7666666666666617]",7.751148768833706,5.714285714285714,7.751148768833706,2.7666666666666617,0,1,0,73.97977967560291,7.487656705341642,166,1,0
1,4,41,0,1,1,7612707.9302804135,"[0.0, 7.612710680280413, -2.749999999999995]",7.612710680280413,5.714285714285714,7.612710680280413,2.749999999999995,0,1,0,73.26323027908802,7.350805918375651,165,1,0
1,5,7,0,0,1,7324281.328143602,"[0.0, 7.324284144810268, -2.8166666666666615]",7.324284144810268,5.714285714285714,7.324284144810268,2.8166666666666615,0,1,0,71.52563552558422,7.0560301765563,169,1,0
1,6,28,0,0,1,7299371.471665736,"[0.0, 7.299374171665736, -2.6999999999999953]",7.299374171665736,5.714285714285714,7.299374171665736,2.6999999999999953,0,1,0,71.13318866491318,7.042231314522879,162,1,0
1,7,38,0,0,1,7278728.47655785,"[0.0, 7.278731209891183, -2.7333333333333285]",7.278731209891183,5.714285714285714,7.278731209891183,2.7333333333333285,0,1,0,71.06316423416138,7.018413749573723,164,1,0
1,8,32,0,0,1,7142853.976190476,"[0.0, 7.142857142857142, -3.1666666666666603]",7.142857142857142,5.714285714285714,7.142857142857142,3.1666666666666603,0,1,0,66.6082389652729,6.841269841269841,190,1,0
1,9,24,0,0,1,6864468.968880208,"[0.0, 6.864471435546875, -2.466666666666663]",6.864471435546875,5.714285714285714,6.864471435546875,2.466666666666663,0,1,0,61.536406084895134,6.62955080062624,148,1,0
1,10,3,0,0,1,6597145.9503069185,"[0.0, 6.597148350306919, -2.3999999999999964]",6.597148350306919,5.714285714285714,6.597148350306919,2.3999999999999964,0,1,0,58.817356660962105,6.368576921735491,144,1,0
1,11,5,0,0,1,6536312.444721911,"[0.0, 6.536314828055245, -2.3833333333333298]",6.536314828055245,5.714285714285714,6.536314828055245,2.3833333333333298,0,1,0,58.25019170343876,6.309330701071118,143,1,0
1,12,4,0,0,1,5578883.64295945,"[0.0, 5.578885759626116, -2.116666666666664]",5.578885759626116,2.857142857142857,5.578885759626116,2.116666666666664,0,1,0,48.24341455101967,5.377298458038815,127,1,0
1,13,13,0,0,1,3124961.419261533,"[0.0, 3.1249673025948663, -5.883333333333318]",3.1249673025948663,2.857142857142857,3.1249673025948663,5.883333333333318,0,1,0,19.016364178125514,2.5646498422774076,353,1,0
1,14,36,0,0,1,3069915.487718564,"[0.0, 3.0699212210518976, -5.733333333333318]",3.0699212210518976,2.857142857142857,3.0699212210518976,5.733333333333318,0,1,0,18.415791607665597,2.523889475020153,344,1,0
1,15,21,0,0,1,3058972.7228004094,"[0.0, 3.058978489467076, -5.7666666666666515]",3.058978489467076,2.857142857142857,3.058978489467076,5.7666666666666515,0,1,0,18.41878245939006,2.5097721402607283,346,1,0
1,16,45,0,0,1,3055495.882054501,"[0.0, 3.0555016653878346, -5.783333333333318]",3.0555016653878346,2.857142857142857,3.0555016653878346,5.783333333333318,0,1,0,18.418507757123734,2.5047080145941854,347,1,0
1,17,18,0,0,0,3050623.9686895465,"[0.0, 3.05062975202288, -5.783333333333318]",3.05062975202288,2.857142857142857,3.05062975202288,5.783333333333318,0,1,0,18.418801984553284,2.4998361012292305,347,1,0
1,18,9,0,0,0,3042956.4771856396,"[0.0, 3.042962210518973, -5.733333333333318]",3.042962210518973,2.857142857142857,3.042962210518973,5.733333333333318,0,1,0,18.084899455861887,2.4969304644872286,344,1,0
1,19,2,0,0,0,3029016.366796875,"[0.0, 3.029022216796875, -5.8499999999999845]",3.029022216796875,2.857142857142857,3.029022216796875,5.8499999999999845,0,1,0,18.424054933479056,2.4718793596540194,351,1,0
1,20,25,0,0,0,2856511.140211124,"[0.0, 2.8565161568777904, -5.016666666666654]",2.8565161568777904,0.0,2.8565161568777904,5.016666666666654,0,1,0,16.251575483358465,2.378738379100014,301,1,0
1,21,43,0,0,0,2849786.373888579,"[0.0, 2.8497913905552457, -5.016666666666654]",2.8497913905552457,0.0,2.8497913905552457,5.016666666666654,0,1,0,16.645350013510324,2.372013612777469,301,1,0
1,22,26,0,0,0,2465602.7626999626,"[0.0, 2.4656077793666293, -5.016666666666654]",2.4656077793666293,0.0,2.4656077793666293,5.016666666666654,0,1,0,33.81680090953887,1.9878300015888528,301,1,0
1,23,35,0,0,0,1921534.2899739584,"[0.0, 1.921539306640625, -5.016666666666654]",1.921539306640625,0.0,1.921539306640625,5.016666666666654,0,1,0,5.616414688847726,1.4437615288628485,301,1,0
1,24,11,0,0,0,1875823.3175967261,"[0.0, 1.8758283342633928, -5.016666666666654]",1.8758283342633928,0.0,1.8758283342633928,5.016666666666654,0,1,0,5.1733415219932795,1.3980505564856163,301,1,0
