generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8754667.42931792,8.571428571428571,8.754670279366628,8.754670279366628,2.850048708734126,0,1,77.63912598788738,156,8.483237069010997,"[0.0, 8.754670279366628, -2.850048708734126]",0,48,48,0,40,8,40,8,427.94681497517814,427.94681497517814,23312,23312,7.5834979000501335,7.650156999996398,2.6785714285714284,3.6374247641790483,3.6374247641790483,2.7883239408155993,8.915558645316212,0.0,0.0,0.0,2.857142857142857,2.6785714285714284,2.8812229310192734,5.714285714285714,5.714285714285714,8.571428571428571,0.0,0.0,1.193958009992327,3.0475534711565286,3.6374247641790483,3.049817417023928,7.142857142857142,7.977242878505162,8.754670279366628,0.0,0.0,1.193958009992327,3.0475534711565286,3.6374247641790483,3.049817417023928,7.142857142857142,7.977242878505162,8.754670279366628,2.3397480653589318,2.6613257282632548,2.849884575684521,5.014132850447853,8.915558645316212,9.62124559798295,5.794989739896008,30.007976819426567,30.015690170853457,5.028918761643581,5.1153637169059945,15.144618058511696,59.420378528535366,82.32348255636543,99.06455453489548,76.99151465296745,293.7253412403399,293.8255319353193,-2.858637159128901,-2.857515485100382,0.5514630829186674,2.49561136451812,2.7883239408155993,3.659947471285233,6.8885210855607335,7.614829872989361,8.483237069010997,-30.015690170853457,-30.00391259355401,1193953.001934216,3047547.675764409,3637415.848620402,3049823.0188728813,7142854.472328542,7977239.073168604,8754667.42931792,127.0,145.1,155.75,273.0,485.6666666666667,523.8617157439759,316.25,1633.3,1636.0
2,9166278.66995557,8.571428571428571,9.166281563895089,9.166281563895089,2.893939517139972,0,1,79.57585074007511,158,8.890668276548425,"[0.0, 9.166281563895089, -2.893939517139972]",0,48,48,0,47,1,47,1,211.7057271215992,639.6525420967773,11551,34863,1.353130900010001,9.067701300024055,4.0476190476190474,5.412930704298474,5.412930704298474,4.992879658422284,4.410535981699984,0.0,0.0,2.142857142857143,5.714285714285714,4.0476190476190474,2.847204938833666,5.714285714285714,8.571428571428571,8.571428571428571,0.2865546090262277,1.874539511544364,2.6848397936139787,7.142857142857142,5.412930704298474,2.790188630148778,7.733169964381626,8.6173768724714,9.166281563895089,0.2865546090262277,1.874539511544364,2.6848397936139787,7.142857142857142,5.412930704298474,2.790188630148778,7.733169964381626,8.6173768724714,9.166281563895089,1.7634079662345057,2.6451503336530147,2.7362134362354635,2.8686711402530936,4.410535981699984,3.980500743616522,5.0167885261099725,5.8191034958050185,30.018384108238315,5.000941114267334,5.099482541467296,18.089470088472808,66.7184672281146,52.10396791053942,46.27780004882819,74.32482116669416,77.66997999697924,293.8379498012364,-2.5723391155678974,1.3969094992913567,2.1177586838886975,6.872812884688546,4.992879658422284,2.99778543113724,7.469994863965848,8.27021634354934,8.890668276548425,286524.59064211947,1874534.4944220346,2684833.8392623267,7142854.454118789,5412926.293762491,2790190.620597389,7733167.201043072,8617373.227285847,9166278.66995557,96.0,144.1,149.0,157.0,240.64583333333334,217.6192670682115,274.0,317.6,1641.0
3,9146314.189801551,8.571428571428571,9.146317073277064,9.146317073277064,2.88347551249056,0,1,79.1111843585968,158,8.871700357801773,"[0.0, 9.146317073277064, -2.88347551249056]",0,48,48,0,48,0,48,0,184.07889910563836,823.7314412024157,10059,44922,1.0444801999838091,10.176785500021651,4.464285714285714,6.000721624919346,6.000721624919346,5.635485713995461,3.8349770647007992,0.0,0.0,2.142857142857143,5.714285714285714,4.464285714285714,3.025191847517396,5.714285714285714,8.571428571428571,8.571428571428571,1.8714959280831471,1.8736354282924108,2.761490685599191,7.4452972412109375,6.000721624919346,2.7629922877930513,8.168033191135951,8.772211619785855,9.146317073277064,1.8714959280831471,1.8736354282924108,2.761490685599191,7.4452972412109375,6.000721624919346,2.7629922877930513,8.168033191135951,8.772211619785855,9.146317073277064,1.6994199378096861,2.66834221233785,2.7871249910521407,2.878134176722516,3.8349770647007992,1.4807590367525563,5.009278037110397,5.434023442381643,8.906568745145833,5.006728600419592,5.077450054208748,15.194509244129222,72.22032833844423,51.7974931269182,30.90566984351484,76.1237194687128,78.21476770043374,95.09206380281103,1.3934411449184725,1.396553060743964,2.2277361971739706,7.185797832691286,5.635485713995461,2.837985668744774,7.841323296749159,8.464912086445489,8.871700357801773,1871490.9085079238,1873630.4255874334,2761485.081177062,7445294.516467148,6000717.789942282,2762993.0481207133,8168028.858225053,8772208.763563195,9146314.189801551,93.0,145.4,152.0,158.0,209.5625,80.7534587107574,274.0,296.4000000000001,486.0
4,9587358.534358384,8.571428571428571,9.587361471993583,9.587361471993583,2.937635200063616,0,1,81.52160707116127,161,9.307586691035144,"[0.0, 9.587361471993583, -2.937635200063616]",0,48,48,0,48,0,48,0,155.9378434643814,979.669284666797,8503,53425,0.720472399960272,10.960670800006483,5.416666666666667,6.899150496437436,6.899150496437436,6.5897500133731866,3.2487050721746122,0.0,0.0,2.857142857142857,5.714285714285714,5.416666666666667,2.987478593173716,8.571428571428571,8.571428571428571,8.571428571428571,1.8700463431222096,1.8763465881347654,5.544113431658063,8.187137331281388,6.899150496437436,2.5978634456531613,8.71689592088972,9.06805774143764,9.587361471993583,1.8700463431222096,1.8763465881347654,5.544113431658063,8.187137331281388,6.899150496437436,2.5978634456531613,8.71689592088972,9.06805774143764,9.587361471993583,1.65021318544011,2.2850848690913965,2.8108989394701567,2.8653644407591523,3.2487050721746122,1.0576227891833787,3.0183496534410352,5.010827081392164,6.257622173348163,4.997235297749285,5.124478940446716,47.21000370243928,75.92431246489286,60.01945086859905,27.434012625015093,77.77808842249215,79.10879993587733,81.52160707116127,1.3926167443335062,1.3992902264511513,5.065601300962161,7.914127241366851,6.5897500133731866,2.6555775433675017,8.382703252300153,8.793236880026898,9.307586691035144,1870041.3301114223,1876341.5780545496,5544108.232805403,8187134.464675445,6899147.247732364,2597864.0378793515,8716892.543070076,9068054.855818594,9587358.534358384,90.0,124.1,153.0,156.0,177.14583333333334,57.61220558734832,165.5,273.0,342.0
5,9579527.511367746,8.571428571428571,9.579530443464007,9.579530443464007,2.9320962608191024,0,1,81.2759598493576,160,9.300283180528854,"[0.0, 9.579530443464007, -2.9320962608191024]",0,48,48,0,48,0,48,0,172.6120231963967,1152.2813078631937,9397,62822,0.8851631000288762,11.909365500032436,4.940476190476191,6.328800632840111,6.328800632840111,5.986316459831387,3.596083816591598,0.0,0.0,2.857142857142857,5.714285714285714,4.940476190476191,3.3370514977166144,8.571428571428571,8.571428571428571,8.571428571428571,1.3237762451171875,1.8754049028669084,3.0295780726841515,7.990726743425642,6.328800632840111,2.975503683769596,8.856470925467356,9.213328225272043,9.579530443464007,1.3237762451171875,1.8754049028669084,3.0295780726841515,7.990726743425642,6.328800632840111,2.975503683769596,8.856470925467356,9.213328225272043,9.579530443464007,1.7010890949208168,2.599310864655155,2.8263125892075283,2.89893406705398,3.596083816591598,1.1873992545223913,5.003196114342462,5.014999836905335,6.0490419461195515,4.320653865557688,5.102837431945227,18.416532894512784,74.8958655372262,53.885517800162994,30.297651979454844,78.39539856091142,79.54302129745484,81.28637447953224,0.847298702447684,1.3980322133622305,2.472581282339368,7.725290502319422,5.986316459831387,3.0606211246676054,8.58287307686364,8.909668818710871,9.300283180528854,1323771.2421029895,1875399.8904536685,3029572.224217853,7990723.95634511,6328797.036756295,2975504.567722045,8856468.052689947,9213325.036848273,9579527.511367746,93.0,141.4,153.0,157.5,195.77083333333334,64.63430448277619,272.0,273.0,330.0
6,9717288.486340133,8.571428571428571,9.717292785644531,9.717292785644531,4.29930439846882,0,1,82.0589808523655,235,9.343266082517193,"[0.0, 9.717292785644531, -4.29930439846882]",0,48,48,0,48,0,48,0,167.06660245493646,1319.34791031813,9106,71928,0.8348663000506349,12.810832800052594,5.535714285714286,6.692458958852858,6.692458958852858,6.360977604775603,3.4805542178111764,0.0,0.0,2.857142857142857,5.714285714285714,5.535714285714286,3.162613768758388,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.8721002851213726,4.629053388323102,8.093258993966238,6.692458958852858,2.8947968695888577,9.013563564845494,9.4810243334089,9.717292785644531,0.0,1.8721002851213726,4.629053388323102,8.093258993966238,6.692458958852858,2.8947968695888577,9.013563564845494,9.4810243334089,9.717292785644531,1.802257779470869,2.3272188053112917,2.854021947495155,2.9121349723287033,3.4805542178111764,1.2443360693846879,5.000650905420427,5.785426374538197,5.91011602192315,5.0709463820167,15.963476574665403,38.076112158596516,75.56163553893566,57.33376380769793,27.68747173753753,78.91471170261502,80.75301289707423,82.0589808523655,-0.47787136146170894,1.3945969508522318,4.411855168769306,7.795073717815669,6.360977604775603,2.966369026514698,8.73931981340593,9.203451016802948,9.343266082517193,-5.017649295347944,1872095.2689106741,4629051.107741797,8093254.623987643,6692455.478298641,2894797.6049164427,9013560.685286105,9481021.418889076,9717288.486340133,98.0,127.0,155.0,159.0,189.70833333333334,67.84325019648028,272.0,315.0,322.0
7,9848439.113230545,8.571428571428571,9.848442077636719,9.848442077636719,2.9644061735885336,0,1,82.72601118683815,162,9.566117680152097,"[0.0, 9.848442077636719, -2.9644061735885336]",0,48,48,0,47,1,47,1,188.8645388525436,1508.2124491706736,10305,82233,1.5026810000417754,14.376939800044056,5.595238095238095,7.002877905255271,7.002877905255271,6.628146677373242,3.934677892761325,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.595238095238095,2.7944510938822624,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.026562282017299,5.389540536063058,7.947416305541992,7.002877905255271,2.507574824782651,8.862665040152415,9.509573255266464,9.848442077636719,0.0,3.026562282017299,5.389540536063058,7.947416305541992,7.002877905255271,2.507574824782651,8.862665040152415,9.509573255266464,9.848442077636719,2.0076315669650873,2.3595351709420855,2.793384408562023,2.8799182079146775,3.934677892761325,4.002807266837638,3.695952572658717,5.809048569909158,30.015334342563456,5.036155202295049,18.425302354558518,47.19073482602835,75.12159006297588,67.26586578020108,40.35006401958002,78.62440326809883,81.21866060048342,293.8633657125756,-2.858603270720329,2.4587481963953386,5.157916082199779,7.624542949086262,6.628146677373242,2.7247616129410073,8.58947135124832,9.231518708347714,9.566117680152097,-30.015334342563456,3026556.3199694,5389538.104006292,7947412.866612962,7002873.970577379,2507576.899736327,8862662.171618681,9509570.33569372,9848439.113230545,110.0,129.0,152.75,157.0,214.6875,218.15792791098988,202.0,316.90000000000003,1636.0
8,9866490.795112753,8.571428571428571,9.86649377005441,9.86649377005441,2.9749416554725845,0,1,82.969914868474,162,9.583165993342735,"[0.0, 9.86649377005441, -2.9749416554725845]",0,48,48,0,48,0,48,0,156.4925867574345,1664.7050359281081,8533,90766,0.7939164999988861,15.236077300040051,5.297619047619048,6.855082284836541,6.855082284836541,6.544581120635283,3.260262224113219,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.297619047619048,2.5414645285963324,8.571428571428571,8.571428571428571,8.571428571428571,1.8726294381277904,3.0588128226143976,4.914569854736328,7.612579890659877,6.855082284836541,2.3516477955779647,8.968156405857632,9.584476743425641,9.86649377005441,1.8726294381277904,3.0588128226143976,4.914569854736328,7.612579890659877,6.855082284836541,2.3516477955779647,8.968156405857632,9.584476743425641,9.86649377005441,1.8104294506050111,1.912638358186378,2.5611515288171276,2.9017618167891817,3.260262224113219,1.3011859934668901,3.441526134809604,5.756409905302809,7.244517359704576,5.1844182983913925,18.419850083506027,41.1276675388217,72.86318874359131,58.96907969943004,23.319542154068976,78.51755720749497,81.13058213442564,82.969914868474,1.3960170759223982,2.510323363452839,4.73232916297161,7.312465608468477,6.544581120635283,2.3876688425690453,8.680073040333058,9.287705841117647,9.583165993342735,1872624.433697987,3058807.063107438,4914567.941209065,7612577.13762951,6855079.024574318,2351648.1424123067,8968153.44415426,9584473.778993517,9866490.795112753,99.0,103.7,140.5,158.0,177.77083333333334,71.08569933049513,188.25,313.6,396.0
9,9887512.4934971,8.571428571428571,9.887515476771764,9.887515476771764,2.983274664767911,0,1,83.31609353423119,162,9.6033940801272,"[0.0, 9.887515476771764, -2.983274664767911]",0,48,48,0,48,0,48,0,164.30805250408366,1829.0130884321918,8963,99729,0.8302639999892563,16.12976710003568,6.309523809523809,7.574209372202556,7.574209372202556,7.248201331519849,3.4230844271684098,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.309523809523809,2.7944510938822624,8.571428571428571,8.571428571428571,8.571428571428571,0.0,3.5459136962890625,7.142857142857142,8.663026264735631,7.574209372202556,2.514999714729437,9.25658975328718,9.66851098196847,9.887515476771764,0.0,3.5459136962890625,7.142857142857142,8.663026264735631,7.574209372202556,2.514999714729437,9.25658975328718,9.66851098196847,9.887515476771764,1.609179258802782,2.6455294503187963,2.8350006585346477,2.9017939842178846,3.4230844271684098,1.2305445358398994,3.9591094550600414,5.070627940316898,7.0255161913786255,5.006572675876669,29.987773835223198,68.04642457142472,77.41994767636061,66.41120952255126,22.866956444123836,79.94785333052278,81.84013240635394,83.31609353423119,-0.6690967801312977,3.0371460120747327,6.890956211499026,8.363003039370508,7.248201331519849,2.5687093334448248,8.977986230618216,9.326262980548874,9.6033940801272,-7.0255161913786255,3545908.3542283783,7142854.497897363,8663023.419456962,7574205.949118127,2515000.2560318215,9256586.82795019,9668508.008612199,9887512.4934971,87.0,144.7,154.0,158.0,186.72916666666666,67.11518071672674,216.75,276.8,383.0
10,9880730.514517993,8.571428571428571,9.880733489990234,9.880733489990234,2.9754722410372385,0,1,83.22724415361881,162,9.59735518132002,"[0.0, 9.880733489990234, -2.9754722410372385]",0,48,48,0,48,0,48,0,159.05877918948156,1988.0718676216734,8679,108408,0.8380268000182696,17.033241600031033,5.1190476190476195,6.361172880445207,6.361172880445207,6.045580064593061,3.3137245664475325,0.0,2.857142857142857,2.857142857142857,2.857142857142857,5.1190476190476195,2.9136281548858136,8.571428571428571,8.571428571428571,8.571428571428571,1.8707166399274555,3.024279458182199,4.545660018920898,5.624961853027344,6.361172880445207,2.542531244036108,8.841371536254883,9.717867170061385,9.880733489990234,1.8707166399274555,3.024279458182199,4.545660018920898,5.624961853027344,6.361172880445207,2.542531244036108,8.841371536254883,9.717867170061385,9.880733489990234,1.6397828787485562,1.845648498876584,2.110469700588958,2.8741701076303263,3.3137245664475325,1.3882487806326749,4.318414983633803,5.817895212501783,6.401515127842674,5.151604937207594,18.43811567886514,37.202903386205435,48.788261733949184,53.70412597169874,24.89590336913002,78.58031985908747,82.00414706468582,83.22724415361881,1.393536184268951,2.464559288071915,4.323048720062333,5.393443032637026,6.045580064593061,2.572800003844872,8.516770789996496,9.347009784746021,9.59735518132002,1870711.629532671,3024273.581120413,4545658.225868566,5624959.42207973,6361169.566720642,2542531.5276551167,8841368.243842743,9717863.317178199,9880730.514517993,90.0,101.0,115.25,157.0,180.8125,75.61874113218671,236.5,317.6,349.0
