generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2234944.3669717847,0.0,2.234949384416853,2.234949384416853,5.017445068480907,0,1,9.08184114744654,229,1.9163814435609223,"[0.0, 2.234949384416853, -5.017445068480907]",0,48,48,0,48,0,48,0,240.53366537340233,240.53366537340233,11124,11124,12.188150200003292,12.22059050000098,0.0,2.0044254121326266,2.0044254121326266,1.6862591880937343,5.0111180286125485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8536104474748885,1.904756818498884,1.9558525085449219,2.001598903111049,2.0044254121326266,0.08028319678990944,2.054516928536551,2.0790443420410156,2.234949384416853,1.8536104474748885,1.904756818498884,1.9558525085449219,2.001598903111049,2.0044254121326266,0.08028319678990944,2.054516928536551,2.0790443420410156,2.234949384416853,5.000522827089238,5.002691568385382,5.0046527950136,5.007545502166996,5.0111180286125485,0.00850711603910435,5.018386702453519,5.024695610956203,5.025782204799682,5.037560661439784,5.58688104111352,6.109470416005934,6.576183547374967,6.609295957166826,0.8468067446195032,7.11610140387711,7.392708835564555,9.08184114744654,1.5357739750721355,1.5863816304635165,1.6376857151930284,1.6838969056558475,1.6862591880937343,0.08025647671289758,1.735654540852896,1.760961267289979,1.9163814435609223,1853605.441550448,1904751.8040896722,1955847.4974179268,2001593.899304589,2004420.401014598,80283.19634052135,2054511.9064539452,2079039.3322325882,2234944.3669717847,226.0,227.0,229.0,232.0,231.75,3.514849451493857,235.25,236.0,237.0
2,3430327.420044517,2.857142857142857,3.430333818708147,3.430333818708147,6.398663629707529,0,1,22.428280346095562,299,3.024069461266399,"[0.0, 3.430333818708147, -6.398663629707529]",4,44,48,0,48,0,48,0,242.84609882688966,483.379764200292,11278,22402,4.3555178999959026,16.739344300003722,0.11904761904761905,2.1214518092927475,2.1214518092927475,1.800226810844481,5.0592937255602015,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038953,0.0,0.0,2.857142857142857,1.717796325683594,1.8091468811035156,1.911393574305943,2.0375442504882812,2.1214518092927475,0.336838383543022,2.2312586648123602,2.510274614606585,3.430333818708147,1.717796325683594,1.8091468811035156,1.911393574305943,2.0375442504882812,2.1214518092927475,0.336838383543022,2.2312586648123602,2.510274614606585,3.430333818708147,5.000522827089238,5.0069046660463,5.010283947899503,5.0147001732383485,5.0592937255602015,0.22465642844114622,5.018616724122409,5.024272758016402,6.398663629707529,3.746523928202805,4.615413594671554,5.628543552964402,6.950590335571178,7.943163238192635,3.6990581124347144,9.103683651150277,12.15083088620159,22.428280346095562,1.3996317866171337,1.4905355910075213,1.5930977250607992,1.7192698902385037,1.800226810844481,0.3266170258857543,1.9130279805868526,2.1919496896316093,3.024069461266399,1717791.3145921037,1809141.8629756966,1911388.5611463175,2037539.237667107,2121446.749999022,336838.22024254146,2231253.652679084,2510269.6009890162,3430327.420044517,223.0,225.7,231.0,233.0,234.95833333333334,12.350705670347567,236.5,239.60000000000002,299.0
3,6282755.760368755,5.714285714285714,6.282762799944197,6.282762799944197,7.039575441560959,0,1,56.488034047186375,333,5.835805629051438,"[0.0, 6.282762799944197, -7.039575441560959]",4,44,48,0,48,0,48,0,257.24742479739103,740.6271889976831,11919,34321,4.329492200005916,21.309066899993923,0.5357142857142857,2.5220289684477306,2.5220289684477306,2.18175459702261,5.359321349945646,0.0,0.0,0.0,0.0,0.5357142857142857,1.2584746733253556,0.0,2.857142857142857,5.714285714285714,1.719730922154018,1.8554262433733257,1.9797502245221819,2.201690673828125,2.5220289684477306,0.9431747753352617,2.690653119768415,3.4615582057407925,6.282762799944197,1.719730922154018,1.8554262433733257,1.9797502245221819,2.201690673828125,2.5220289684477306,0.9431747753352617,2.690653119768415,3.4615582057407925,6.282762799944197,5.00012403989258,5.000805862092116,5.006083296996255,5.014045057802089,5.359321349945646,0.9206184717737067,5.02101770077275,6.4482955950119445,9.740390231897273,3.829505519650411,5.052452789412928,6.331691947701984,8.766812680209114,12.647655422463231,11.131534276396138,14.262628742537345,22.822759010629674,56.488034047186375,1.4022444642792402,1.5374994148136505,1.6616967678168701,1.883440500208473,2.18175459702261,0.894015283061142,2.372724865758898,3.039745672448737,5.835805629051438,1719725.9217423063,1855421.2360257762,1979745.2151802387,2201685.6613878906,2522023.6091263806,943173.9927241175,2690648.112398414,3461551.5621933932,6282755.760368755,223.0,227.0,229.0,233.0,248.3125,44.186704377561355,238.0,298.3,461.0
4,8591394.335493267,8.571428571428571,8.591401236397878,8.591401236397878,6.900904613428826,0,1,79.15025369822979,319,8.153248562529381,"[0.0, 8.591401236397878, -6.900904613428826]",4,44,48,0,48,0,48,0,284.0263481637982,1024.6535371614814,13130,47451,4.760823699994944,26.208467999997083,1.607142857142857,3.3312743050711493,3.3312743050711493,2.955578077341258,5.9172155867457965,0.0,0.0,0.0,0.0,1.607142857142857,2.174860226957751,2.857142857142857,5.714285714285714,8.571428571428571,1.7795726231166296,1.8651063101632255,2.0496014186314175,2.6352255684988837,3.3312743050711493,1.7721752271400615,3.7010329110281805,6.342713492257256,8.591401236397878,1.7795726231166296,1.8651063101632255,2.0496014186314175,2.6352255684988837,3.3312743050711493,1.7721752271400615,3.7010329110281805,6.342713492257256,8.591401236397878,3.503542052032581,5.005195025288722,5.011300273411238,5.0191351630022485,5.9172155867457965,1.7104676617223467,6.594813057727233,8.147967060373132,13.685986967469294,4.431610076804645,5.174216266644362,7.09961221202866,14.212417537335568,22.481322195271634,21.303402071337047,26.511290329974145,56.984228396415716,79.15025369822979,1.46103251475974,1.5472727373861574,1.7317406441871612,2.316768556045114,2.955578077341258,1.696312013336409,3.3579817985594866,5.902473154751521,8.153248562529381,1779567.606109923,1865101.3042844543,2049596.4123242202,2635220.5528009376,3331268.387855563,1772174.0054595005,3701027.507973159,6342706.5584719395,8591394.335493267,161.0,226.7,230.0,236.0,273.5416666666667,79.74933602997721,298.75,373.0000000000001,633.0
5,8725722.298300996,8.571428571428571,8.72572762625558,8.72572762625558,5.327954582245706,0,1,80.45565332472324,239,8.387444795636805,"[0.0, 8.72572762625558, -5.327954582245706]",4,44,48,0,48,0,48,0,269.41411878239484,1294.0676559438762,12480,59931,5.147742299988749,31.49502499999653,1.7857142857142858,3.6325068133217946,3.6325068133217946,3.2761389313345,5.612794141299893,0.0,0.0,0.0,0.0,1.7857142857142858,2.516949346650711,2.857142857142857,5.714285714285714,8.571428571428571,1.654750279017857,1.9420007978166853,2.0606885637555807,2.566168648856027,3.6325068133217946,2.143245538805727,4.2352431161063055,7.285502570016044,8.72572762625558,1.654750279017857,1.9420007978166853,2.0606885637555807,2.566168648856027,3.6325068133217946,2.143245538805727,4.2352431161063055,7.285502570016044,8.72572762625558,3.8096751743335133,5.00035070780605,5.005080570137441,5.016442127526386,5.612794141299893,1.5294485448790909,5.47359998303929,7.029330475220216,13.685986967469294,3.266721624757338,5.979760707955575,7.446789734121921,13.361001517274417,26.281858082943625,25.554138454969532,36.429446591064334,74.56314096562565,80.45565332472324,1.3357813348186398,1.6236550943840335,1.7428744975882249,2.248552098512599,3.2761389313345,2.0988631252782763,3.9187296731361028,6.890204125358358,8.387444795636805,1654745.255256986,1941995.7838718563,2060683.5581840386,2566163.646395359,3632501.200527653,2143244.8123721094,4235235.494236719,7285491.159887949,8725722.298300996,178.0,224.7,230.75,236.0,260.0,70.6154492067187,254.5,321.70000000000005,633.0
6,10101623.621897632,8.571428571428571,10.101628984723773,10.101628984723773,5.362826139738172,0,1,86.64957672357559,254,9.761132086962618,"[0.0, 10.101628984723773, -5.362826139738172]",4,44,48,0,48,0,48,0,256.4358001008543,1550.5034560447305,11898,71829,5.382127300006687,37.0535566000035,2.976190476190476,4.661976893742879,4.661976893742879,4.322776099958681,5.342412502101131,0.0,0.0,0.0,2.857142857142857,2.976190476190476,2.605484360504677,5.714285714285714,5.714285714285714,8.571428571428571,1.9124548775809151,2.148179190499442,2.5239808218819757,3.938018253871373,4.661976893742879,2.3778172153141335,6.887412752423968,8.295596258980888,10.101628984723773,1.9124548775809151,2.148179190499442,2.5239808218819757,3.938018253871373,4.661976893742879,2.3778172153141335,6.887412752423968,8.295596258980888,10.101628984723773,2.9581234593937804,3.6321065871106284,4.883060150177795,5.016208222411567,5.342412502101131,1.3381095844275515,5.9806853397042445,6.963000394442024,8.775390721433903,5.618734495023091,8.24291830596485,12.392551752078361,31.819266472011805,38.06801138831391,26.961479892909487,63.792745855636895,78.61141320914031,86.64957672357559,1.594467535401822,1.8299883724449775,2.2057495135161527,3.71945607335603,4.322776099958681,2.345171269625918,6.369153134222753,7.9326526024724595,9.761132086962618,1912449.869280276,2148174.1789940572,2523975.809738869,3938014.8115170295,4661971.551330377,2377816.680765139,6887404.589834982,8295587.6848485265,10101623.621897632,139.0,171.8,220.25,235.0,247.875,62.3543720065669,276.75,324.1000000000001,423.0
7,11783385.831666127,11.428571428571429,11.783398219517299,11.783398219517299,12.387851172059264,0,1,98.56134949903935,575,10.99686798637068,"[0.0, 11.783398219517299, -12.387851172059264]",4,44,48,0,48,0,48,0,259.18498931053796,1809.6884453552684,12044,83873,6.990482100009103,44.22171139999409,3.8095238095238098,5.161033982322329,5.161033982322329,4.818196694874528,5.399687277302874,0.0,0.0,2.857142857142857,2.857142857142857,3.8095238095238098,2.8769157079987075,5.714285714285714,8.571428571428571,11.428571428571429,1.7785481044224332,2.3427276611328125,2.914295196533203,4.5246124267578125,5.161033982322329,2.4250527542105242,6.422074181692941,8.745284761701312,11.783398219517299,1.7785481044224332,2.3427276611328125,2.914295196533203,4.5246124267578125,5.161033982322329,2.4250527542105242,6.422074181692941,8.745284761701312,11.783398219517299,2.556376511971601,3.3758229572453096,3.9157472432506073,5.012567533542482,5.399687277302874,2.1495937293752454,6.123577736566081,7.604832550066814,12.387851172059264,4.499597829759296,10.717981534398131,17.397614702540523,37.99246881902218,42.264400483581845,24.88363135137838,57.429296070709825,80.36336613968015,98.56134949903935,1.4600483186693585,2.0245152716695065,2.5422508451881276,4.329238473352717,4.818196694874528,2.372853878358974,6.044583583596565,8.408348720713473,10.99686798637068,1778543.0880508074,2342722.6492876788,2914289.239023741,4524609.349618047,5161028.582635052,2425051.8804375147,6422068.236216021,8745279.454958664,11783385.831666127,116.0,155.4,183.25,231.0,250.91666666666666,99.9209757202605,288.75,363.00000000000034,575.0
8,11783385.831666127,11.428571428571429,11.783398219517299,11.783398219517299,12.387851172059264,0,1,98.56134949903935,575,10.99686798637068,"[0.0, 11.783398219517299, -12.387851172059264]",4,44,48,0,48,0,48,0,242.49269064297937,2052.1811359982476,11281,95154,4.482795699994313,48.84555359999649,3.5119047619047614,5.139134441103255,5.139134441103255,4.818376913797725,5.05193105506207,0.0,0.0,2.857142857142857,2.857142857142857,3.5119047619047614,2.7503607267018864,5.714285714285714,8.571428571428571,11.428571428571429,1.6920525687081474,2.2195047651018416,3.759370531354632,4.678562709263392,5.139134441103255,2.3958806816851124,5.9984139033726285,9.065624509538925,11.783398219517299,1.6920525687081474,2.2195047651018416,3.759370531354632,4.678562709263392,5.139134441103255,2.3958806816851124,5.9984139033726285,9.065624509538925,11.783398219517299,2.211701737260251,2.8559445772718552,3.787218880329875,5.003318780772387,5.05193105506207,2.3619534113582867,5.194041182368684,7.092627379851441,15.066451250324153,3.7544911268050782,8.916616740921018,30.349068915471435,39.41196646168828,42.53484663647183,24.412965781915386,53.781671864911914,77.81328947842124,98.56134949903935,1.3741429832601615,1.9011274096325481,3.466686788567967,4.428016494194148,4.818376913797725,2.3240972454266804,5.782672200702301,8.261954742300333,10.99686798637068,1692047.5616321766,2219499.750658493,3759367.5907973843,4678556.869858464,5139129.389172199,2395879.494112915,5998408.10964641,9065612.45271375,11783385.831666127,102.0,133.4,173.0,228.5,235.02083333333334,109.27917032066185,241.5,325.50000000000017,697.0
9,13685450.42915928,11.428571428571429,13.685466221400668,13.685466221400668,15.79224138871445,0,1,117.67365384111326,716,12.682784228466417,"[0.0, 13.685466221400668, -15.79224138871445]",4,44,48,0,48,0,48,0,247.694110623532,2299.8752466217798,11358,106512,4.769522299990058,53.76712459999544,3.9880952380952386,5.66743322781154,5.66743322781154,5.339795515346552,5.160293971323584,0.0,0.0,2.857142857142857,2.857142857142857,3.9880952380952386,3.2335182989383497,5.714285714285714,8.571428571428571,11.428571428571429,1.6866030011858257,2.037943158830915,3.323629924229213,4.941692352294922,5.66743322781154,2.99970537777271,7.402631214686802,9.89373506818499,13.685466221400668,1.6866030011858257,2.037943158830915,3.323629924229213,4.941692352294922,5.66743322781154,2.99970537777271,7.402631214686802,9.89373506818499,13.685466221400668,2.5131626766844892,3.1152145467001593,4.390291142768706,4.981887370828838,5.160293971323584,2.246419971551036,5.325601569567816,6.331615982596472,15.79224138871445,3.6202235767705133,6.968206575225485,21.7907357962049,42.41973891109228,46.805194624486376,29.615922327750344,71.77505745366216,85.19591321647168,117.67365384111326,1.3682636132541475,1.7204102918898778,2.9554811780951633,4.6453824754639905,5.339795515346552,2.918629022996467,7.117857774146853,9.515807953313532,12.682784228466417,1686597.987340466,2037938.1576882605,3323624.1258864617,4941687.685414362,5667428.06751757,2999704.06467115,7402626.729505113,9893729.11583293,13685450.42915928,120.0,145.6,199.75,225.0,236.625,102.88922542391566,241.25,299.70000000000005,716.0
10,13685450.42915928,11.428571428571429,13.685466221400668,13.685466221400668,15.79224138871445,0,1,117.67365384111326,716,12.682784228466417,"[0.0, 13.685466221400668, -15.79224138871445]",4,44,48,0,48,0,48,0,272.85018837892517,2572.725435000705,12549,119061,5.844735599996056,59.77648030000273,4.166666666666667,5.631088188716343,5.631088188716343,5.270175241125173,5.684378924560941,0.0,0.0,2.857142857142857,2.857142857142857,4.166666666666667,2.854661621019476,5.714285714285714,8.571428571428571,11.428571428571429,1.6652406964983257,2.42108644757952,3.862137113298689,4.853545597621373,5.631088188716343,2.6583952188575943,7.142857142857142,9.111580984933036,13.685466221400668,1.6652406964983257,2.42108644757952,3.862137113298689,4.853545597621373,5.631088188716343,2.6583952188575943,7.142857142857142,9.111580984933036,13.685466221400668,2.532648554045561,3.252247589877985,4.256005775724915,5.009382698896207,5.684378924560941,2.593912707611472,6.097119367917754,8.79526164034298,15.79224138871445,3.472356724087149,11.546673914118582,31.306166157126427,41.41906372457743,47.32646132599833,25.824001837496503,66.06158754043281,80.61946397572756,117.67365384111326,1.3471627655391014,2.1030752856845303,3.6024458724176283,4.613416701556446,5.270175241125173,2.563746535830009,6.784477315148687,8.528272760184784,12.682784228466417,1665235.6867709132,2421081.43890372,3862134.398906178,4853541.273617808,5631082.504337419,2658393.674330138,7142851.760883901,9111571.003000978,13685450.42915928,106.0,146.8,193.75,233.5,261.4375,119.39446285492751,282.0,404.4000000000001,716.0
