generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,8393702.345205596,5.714285714285714,8.393707275390625,8.393707275390625,4.930185028641922,0,1,78.90286680310965,236,8.080679654524472,"[0.0, 8.393707275390625, -4.930185028641922]",0,48,48,0,48,0,48,0,195.3107897502884,195.3107897502884,9101,9101,10.318801800021902,10.382674899999984,1.607142857142857,2.7000891594659713,2.7000891594659713,2.441741553976172,4.0689747864643415,0.0,0.0,0.0,0.0,1.607142857142857,2.326002819354753,2.857142857142857,5.714285714285714,5.714285714285714,0.25709424700055805,0.2711197989327567,0.2824919564383371,1.8735013689313618,2.7000891594659713,2.6522861100070676,3.2926109858921597,7.159393038068498,8.393707275390625,0.25709424700055805,0.2711197989327567,0.2824919564383371,1.8735013689313618,2.7000891594659713,2.6522861100070676,3.2926109858921597,7.159393038068498,8.393707275390625,2.148271124309896,2.1769308855270397,2.1944904679509656,4.966438298513652,4.0689747864643415,1.6986429105786678,5.011931255468346,5.819128091795315,8.98323530125048,5.001596893183887,5.1187097667221675,14.588675811222856,15.484115100814961,26.030239945751116,24.421616270638925,22.00482554267728,72.80522506833077,78.90286680310965,0.018979232935800283,0.12847433340638273,0.14229257437979648,1.5553241139301033,2.441741553976172,2.6228009649987563,2.909155205088593,6.990715504599672,8.080679654524472,257092.0504083336,271117.62052306667,282489.8000341252,1873496.3576395954,2700085.090491185,2652285.6136617237,3292604.946463612,7159390.381397347,8393702.345205596,97.0,102.0,106.5,229.5,189.60416666666666,78.59833002449155,236.0,269.90000000000003,420.0
2,9279635.055053715,8.571428571428571,9.279638017926898,9.279638017926898,2.9628731836336413,0,1,82.76664836704731,139,9.091519085632697,"[0.0, 9.279638017926898, -2.9628731836336413]",4,44,48,0,48,0,48,0,215.54717317680553,410.8579629270939,9926,19027,2.169675200013444,12.670170099998359,4.166666666666667,5.335202046803066,5.335202046803066,5.050086738368138,4.490566107850115,0.0,0.0,2.857142857142857,4.285714285714286,4.166666666666667,2.3298078322358244,5.714285714285714,5.714285714285714,8.571428571428571,0.2834756033761161,2.552964346749442,3.0677250453404015,5.663623809814453,5.335202046803066,2.6544873882510855,7.837557792663574,8.40021242414202,9.279638017926898,0.2834756033761161,2.552964346749442,3.0677250453404015,5.663623809814453,5.335202046803066,2.6544873882510855,7.837557792663574,8.40021242414202,9.279638017926898,2.3417426811412545,2.7728546740595874,2.9080333564828944,4.773504757945971,4.490566107850115,1.6316346444276935,5.748808871295364,5.885135141400359,10.280097112590115,4.038579964108067,16.868747156249448,18.39643611219799,48.550333925522864,47.0112607238666,29.234231625953125,76.87021251954138,78.9940858796239,82.76664836704731,0.01958900002590319,2.2273607890019615,2.7022215508413927,5.337662116777604,5.050086738368138,2.705611943368456,7.648036292080214,8.126186571601458,9.091519085632697,283471.4471621133,2552959.3303942657,3067719.287949903,5663618.6759177875,5335197.556236958,2654488.169378624,7837554.80769994,8400208.108234843,9279635.055053715,104.0,125.8,135.75,215.5,206.79166666666666,74.2189773388331,265.0,269.40000000000003,467.0
3,9558625.6618079,8.571428571428571,9.558628627232142,9.558628627232142,2.965424241286273,0,1,82.87946806848049,140,9.37034772302349,"[0.0, 9.558628627232142, -2.965424241286273]",4,44,48,0,48,0,48,0,195.87968628340332,606.7376492104972,9014,28041,1.9743944000219926,14.783720000006724,4.761904761904762,6.010363953454154,6.010363953454154,5.751263839322668,4.080826797570903,0.0,0.0,2.857142857142857,5.714285714285714,4.761904761904762,2.8769157079987075,5.714285714285714,8.571428571428571,8.571428571428571,0.27217864990234375,1.8715051923479353,3.0683244977678568,7.504079001290458,6.010363953454154,2.914691089230627,8.295797620500839,8.977439335414342,9.558628627232142,0.27217864990234375,1.8715051923479353,3.0683244977678568,7.504079001290458,6.010363953454154,2.914691089230627,8.295797620500839,8.977439335414342,9.558628627232142,2.168640042249963,2.770783052608619,2.8728257537539257,2.996529186760414,4.080826797570903,1.6758061909928788,5.023714956953315,5.762100328716656,10.548156341117162,4.9900970172311645,8.234723667771323,18.393643904179044,75.44359459728003,54.23516191827912,30.415290570677648,79.07129342108965,80.98966651931406,83.04346799850464,0.13448721864837784,1.553504544502988,2.703825511211238,7.306808203913858,5.751263839322668,2.965134013624852,8.11313460239871,8.741355255383171,9.37034772302349,272176.4812623015,1871500.1872231434,3068318.7563951947,7504076.194936368,6010359.872627355,2914691.859994306,8295794.7435583025,8977435.951383311,9558625.6618079,97.0,125.1,130.75,142.5,187.79166666666666,76.57348277235984,234.5,269.5,485.0
4,10016383.821777387,8.571428571428571,10.01638684953962,10.01638684953962,3.027762232081624,0,1,85.71558436751366,142,9.824147977661422,"[0.0, 10.01638684953962, -3.027762232081624]",4,44,48,0,48,0,48,0,193.7521465306324,800.4897957411297,9010,37051,1.7475174000137486,16.644974099996034,4.7023809523809526,6.167630524862379,6.167630524862379,5.911344616753078,4.036503052721508,0.0,0.0,2.857142857142857,5.714285714285714,4.7023809523809526,2.8265976358532776,5.714285714285714,8.571428571428571,8.571428571428571,0.26520865304129465,1.7500681195940289,3.0632032666887556,7.727370943341937,6.167630524862379,3.056095679475735,8.365319796970912,9.34586306980678,10.01638684953962,0.26520865304129465,1.7500681195940289,3.0632032666887556,7.727370943341937,6.167630524862379,3.056095679475735,8.365319796970912,9.34586306980678,10.01638684953962,2.162627393653996,2.828182573811945,2.8993366605320983,3.3856678236478457,4.036503052721508,1.3308589250342628,5.018818793732551,5.875554260723576,7.0375650337824185,3.6676281926993397,6.239269632447395,18.41189226991446,76.49512956663966,55.56181809362715,31.081947898677434,78.87385378964245,82.68114383891225,85.71558436751366,0.12312296801514372,1.4323963937180393,2.697438298355509,7.511756493012434,5.911344616753078,3.0884974278101724,8.116895973075131,9.108976628385982,9.824147977661422,265206.4151917555,1750063.1162643463,3063197.5058905045,7727367.959238054,6167626.488359327,3056096.1741101774,8365316.145136201,9345856.89746239,10016383.821777387,95.0,129.4,133.0,158.5,187.70833333333334,62.07520919998758,238.0,276.0,327.0
5,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,182.57143947124604,983.0612352123758,8518,45569,1.576305599999614,18.331440899986774,5.357142857142857,6.766525904337565,6.766525904337565,6.525029291280362,3.803571655650959,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.357142857142857,2.774090523269296,8.571428571428571,8.571428571428571,8.571428571428571,0.28374808175223215,2.6837681361607144,5.057336262294225,7.71033695765904,6.766525904337565,2.757651052989671,8.819430215018135,9.57786124093192,10.305570874895368,0.28374808175223215,2.6837681361607144,5.057336262294225,7.71033695765904,6.766525904337565,2.757651052989671,8.819430215018135,9.57786124093192,10.305570874895368,2.1505360443260786,2.7389238234668176,2.8681912885743728,3.0396031775178196,3.803571655650959,1.3507658570821384,5.009148008264969,5.852913586288511,6.966919728071761,5.138998698501382,17.46799769907666,42.07827577109492,76.27941080927849,60.49195011012019,28.366267331384844,80.54065039381385,83.07701788581907,87.69037090986967,0.1459746827552951,2.3261288311965354,4.749233393744121,7.5310646358649596,6.525029291280362,2.8002549579733906,8.525861592200975,9.303853094989051,10.109982477835326,283745.91182119795,2683762.5033416613,5057331.898581276,7710334.134119971,6766522.100765909,2757651.7081803717,8819425.591312326,9577857.523755273,10305567.794378115,98.0,124.0,134.0,142.5,177.45833333333334,63.918880339762595,238.75,272.90000000000003,326.0
6,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,191.1211563228945,1174.1823915352702,8881,54450,1.5861977000022307,20.028565799992066,5.178571428571428,6.4893318357921785,6.4893318357921785,6.236526073460308,3.981690756726969,0.0,0.0,2.857142857142857,5.714285714285714,5.178571428571428,3.122022390938894,8.571428571428571,8.571428571428571,8.571428571428571,0.26528494698660715,1.8722577776227678,3.2934951782226562,7.805479594639369,6.4893318357921785,3.0294462794804353,8.966107368469238,9.593840190342496,10.305570874895368,0.26528494698660715,1.8722577776227678,3.2934951782226562,7.805479594639369,6.4893318357921785,3.0294462794804353,8.966107368469238,9.593840190342496,10.305570874895368,1.911270169710475,2.7424705113602927,2.897631028387007,3.0541397428886423,3.981690756726969,1.7639728725582269,5.015525111467562,6.1788318636936514,11.546189959628688,4.993987611291232,12.565363504017299,23.33564746562115,78.14465782046318,57.68013581292204,29.879212152223793,81.27871677838266,84.55493767261505,87.69037090986967,0.09003633680943149,1.5537831917038276,2.8627660773764037,7.625476034310692,6.236526073460308,3.071047053722198,8.72319370887104,9.380917932670258,10.109982477835326,265282.7587867039,1872252.7670450632,3293488.3942393176,7805476.759583294,6489327.85410142,3029446.906584874,8966102.024229184,9593836.836816937,10305567.794378115,90.0,121.9,134.75,144.5,185.02083333333334,81.55659833906076,233.0,289.0,537.0
7,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,168.74333975740785,1342.925731292678,7819,62269,1.6813733000308275,21.826778799993917,5.357142857142857,6.974881490071614,6.974881490071614,6.751676014202029,3.515486244945997,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142857,2.64864231681988,8.571428571428571,8.571428571428571,8.571428571428571,0.27983529227120535,3.0676018851143976,5.332750592912947,7.572531018938337,6.974881490071614,2.4877114132440172,9.021355084010533,9.898072651454381,10.305570874895368,0.27983529227120535,3.0676018851143976,5.332750592912947,7.572531018938337,6.974881490071614,2.4877114132440172,9.021355084010533,9.898072651454381,10.305570874895368,1.8683998021591643,2.114716370761871,2.7826407889324036,2.9405245027337146,3.515486244945997,1.6554160198750207,3.3768145210420677,5.748023789854277,9.551634321848224,5.140666441729991,18.418202114568704,46.253058061003685,74.7216345667839,62.30795688788521,24.139500422770787,81.01164589822292,85.1565962990746,87.69037090986967,0.1414096748571429,2.702647993695078,5.09094594670498,7.3810106400741065,6.751676014202029,2.501557511993727,8.835828337170222,9.516825307702279,10.109982477835326,279833.1120677311,3067596.1370906075,5332748.535039961,7572528.002492369,6974877.974585369,2487711.5969568463,9021352.161964271,9898066.646808716,10305567.794378115,88.0,97.7,125.75,136.0,162.89583333333334,76.55587272904381,155.25,266.6,443.0
8,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,180.404749477005,1523.330480769683,8288,70557,1.666103399998974,23.60166049998952,5.059523809523809,6.278820435206096,6.278820435206096,6.040189814204766,3.7584322807709376,0.0,2.0000000000000004,2.857142857142857,5.714285714285714,5.059523809523809,2.8713683559981753,8.571428571428571,8.571428571428571,8.571428571428571,0.2801949637276786,2.9209872654506137,3.069971629551479,7.258506502423968,6.278820435206096,2.8826260494877634,8.75631264277867,9.73847280229841,10.305570874895368,0.2801949637276786,2.9209872654506137,3.069971629551479,7.258506502423968,6.278820435206096,2.8826260494877634,8.75631264277867,9.73847280229841,10.305570874895368,1.9593152465347898,2.44983872079306,2.8749621664883205,3.0370779376615347,3.7584322807709376,1.3454535822316416,5.1542980838379036,5.813691012058729,6.127986011387067,5.4515413245608215,18.186562207855605,18.423263475333442,71.04129173606634,55.86614345726806,27.92275920179339,80.62530477531254,84.38026491999626,87.69037090986967,0.12033780805962174,2.5401137685437942,2.705424454524931,7.044349387681795,6.040189814204766,2.928971652552221,8.568112767442642,9.539277177715599,10.109982477835326,280192.7416430559,2920981.266693037,3069965.887933472,7258503.12944941,6278816.676773814,2882626.7653630655,8756309.678630631,9738469.664967323,10305567.794378115,88.0,117.0,130.5,138.0,172.66666666666666,62.71142018980453,237.0,269.3,285.0
9,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,158.33841306577858,1681.6688938354614,7318,77875,1.5775226000114344,25.293780000007246,6.428571428571428,7.879335426148914,7.879335426148914,7.669893080823811,3.298716938870387,0.0,2.857142857142857,5.714285714285714,8.571428571428571,6.428571428571428,2.7042420694287017,8.571428571428571,8.571428571428571,8.571428571428571,0.7438278198242188,4.636396135602679,6.856434685843331,8.74925068446568,7.879335426148914,2.3983446393500034,9.809165000915527,10.133020401000977,10.305570874895368,0.7438278198242188,4.636396135602679,6.856434685843331,8.74925068446568,7.879335426148914,2.3983446393500034,9.809165000915527,10.133020401000977,10.305570874895368,1.7288680643066474,2.686380032367559,2.9120910755530764,3.047510824823981,3.298716938870387,0.932222594977574,3.2568508255408224,5.003764857205035,6.387239082799193,4.673448334739078,38.894541043788195,66.22506673075259,80.51177520677447,70.13957055822827,21.817009366467246,84.8816286623478,86.59312992244959,87.69037090986967,0.42503998691241096,4.517617455862135,6.627422372234017,8.561019758617054,7.669893080823811,2.4101797192365204,9.615428916965747,9.939053534797477,10.109982477835326,743822.7989158503,4636393.087890902,6856431.078899392,8749247.719828598,7879332.127431977,2398344.814709447,9809161.949572206,10133017.346022833,10305567.794378115,78.0,125.0,134.5,141.0,152.45833333333334,42.5332998628395,150.0,226.10000000000002,293.0
10,10305567.794378115,8.571428571428571,10.305570874895368,10.305570874895368,3.08051725369566,0,1,87.69037090986967,145,10.109982477835326,"[0.0, 10.305570874895368, -3.08051725369566]",4,44,48,0,48,0,48,0,173.9946581044634,1855.663551939925,8040,85915,1.6908611999824643,27.102758199966047,5.833333333333333,7.097227176030477,7.097227176030477,6.867075511871133,3.6248887105096546,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.833333333333333,2.9136281548858136,8.571428571428571,8.571428571428571,8.571428571428571,1.8692289079938615,3.0449889046805247,4.599458149501256,8.292440686907087,7.097227176030477,2.748112387314865,9.446107319423131,10.174588067190987,10.305570874895368,1.8692289079938615,3.0449889046805247,4.599458149501256,8.292440686907087,7.097227176030477,2.748112387314865,9.446107319423131,10.174588067190987,10.305570874895368,1.7101515053321406,2.4572394324358475,2.9088129640217937,3.0513906292858,3.6248887105096546,1.2634868109057233,4.843052206686869,5.795256216324177,6.624256961411324,5.145710611905088,18.38866963101318,38.6759716658853,78.76743636652827,61.57605294212696,27.437324666972312,82.98032898455858,86.77130354344845,87.87065483629704,1.5515263574590876,2.6763079038982234,4.29276154697892,8.105332781606913,6.867075511871133,2.8022525952022006,9.25109659683991,9.97037791722248,10.109982477835326,1869223.9041786906,3044983.1003935,4599453.319029766,8292437.7399575785,7097223.551141766,2748113.229981342,9446104.24800425,10174584.850881126,10305567.794378115,79.0,116.9,134.0,140.0,167.5,58.298441946018876,223.25,264.90000000000003,309.0
