generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,3398006.116342646,2.857142857142857,3.3980124337332587,3.3980124337332587,6.317390612914773,0,1,22.06066915905103,299,2.996908267833908,"[0.0, 3.3980124337332587, -6.317390612914773]",0,48,48,0,48,0,48,0,241.62275858431764,241.62275858431764,11221,11221,9.897034500027075,9.9619349000277,0.05952380952380953,2.206003325326102,2.206003325326102,1.8863965018018725,5.033807470506617,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9246728079659599,1.9921760559082033,2.1060058048793246,2.184055873325893,2.206003325326102,0.2180285973642188,2.2882284436907083,2.3457499912806923,3.3980124337332587,1.9246728079659599,1.9921760559082033,2.1060058048793246,2.184055873325893,2.206003325326102,0.2180285973642188,2.2882284436907083,2.3457499912806923,3.3980124337332587,5.000522827089238,5.000522827089238,5.002691568385382,5.00492135145346,5.033807470506617,0.1873133451412318,5.009570679322141,5.011283537442986,6.317390612914773,5.746098383329809,6.47348179566543,7.700295988528524,8.52129322698238,8.797977633873415,2.4076453124006933,9.684605038119116,10.329556083709031,22.06066915905103,1.606747376511906,1.6743802000410468,1.7878290723432622,1.8655607104412362,1.8863965018018725,0.2086703335264195,1.9701526982338446,2.0271712837845124,2.996908267833908,1924667.8006404145,1992171.0506234732,2106000.7935957876,2184050.857027077,2205998.291518632,218028.44802606455,2288223.4339977177,2345744.9736660486,3398006.116342646,225.0,226.0,230.0,233.5,233.77083333333334,10.190354065105993,236.0,236.0,299.0
2,5320505.622933855,2.857142857142857,5.320516313825334,5.320516313825334,10.690891479111269,0,1,44.16069886647165,491,4.641729553246841,"[0.0, 5.320516313825334, -10.690891479111269]",4,44,48,0,48,0,48,0,247.73961567561062,489.3623742599283,11408,22629,1.5542196999886073,11.621497199987061,0.11904761904761905,2.4413446017674034,2.4413446017674034,2.1136466974345853,5.161241993241888,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038953,0.0,0.0,2.857142857142857,2.0221165248325894,2.1768569946289062,2.2561209542410716,2.3307418823242188,2.4413446017674034,0.47917062948688127,2.4604279654366628,2.6927245003836497,5.320516313825334,2.0221165248325894,2.1768569946289062,2.2561209542410716,2.3307418823242188,2.4413446017674034,0.47917062948688127,2.4604279654366628,2.6927245003836497,5.320516313825334,5.000522827089238,5.0059244403433585,5.007765458932647,5.017445068480907,5.161241993241888,0.8277577223547726,5.024695610956203,5.025782204799682,10.690891479111269,6.8211474293711944,8.453892033504962,9.321793294551753,10.353985677640594,11.435687104324188,5.427894158753244,11.6133218683608,14.191678068437616,44.16069886647165,1.7033094388407575,1.8581862479766935,1.9381675917691576,2.0126395539327335,2.1136466974345853,0.43105926335665984,2.1422058703929463,2.37383035533604,4.641729553246841,2022111.503620985,2176851.975564646,2256115.946475613,2330736.872212547,2441339.44052541,479169.86437954253,2460422.9534386657,2692719.477800865,5320505.622933855,222.0,227.0,229.0,230.0,237.66666666666666,38.3896325703814,232.0,237.0,491.0
3,8643262.621516809,8.571428571428571,8.643278394426618,8.643278394426618,15.772909809345952,0,1,69.45531501993537,743,7.641823803357034,"[0.0, 8.643278394426618, -15.772909809345952]",4,44,48,0,48,0,48,0,272.42573733989815,761.7881115998264,12631,35260,1.6192821000004187,13.344567799998913,0.8928571428571428,2.8274389108022056,2.8274389108022056,2.467087406384351,5.675536194581212,0.0,0.0,0.0,0.0,0.8928571428571428,1.6656034023372885,2.857142857142857,2.857142857142857,8.571428571428571,2.0181710379464284,2.203110831124442,2.364420209612165,2.498692103794643,2.8274389108022056,1.0391573051942142,2.926534925188337,3.4763908386230478,8.643278394426618,2.0181710379464284,2.203110831124442,2.364420209612165,2.498692103794643,2.8274389108022056,1.0391573051942142,2.926534925188337,3.4763908386230478,8.643278394426618,5.0030391466501785,5.006847365465276,5.0136036771527674,5.019257709665041,5.675536194581212,1.7901628508701477,5.738018803490265,6.5619490265474525,15.772909809345952,6.7119685774086975,8.75789828356137,10.581884554843782,12.09833488033837,15.529628081167024,10.396760484039007,16.80372460945,23.29745827686567,69.45531501993537,1.700517758794036,1.8840742586260268,2.0457792670257753,2.1806712675478885,2.467087406384351,0.9281342217680093,2.545916174712827,3.0603217862219423,7.641823803357034,2018166.0349072819,2203105.806298425,2364415.191017319,2498687.094966472,2827433.235266011,1039155.5520888676,2926528.687398924,3476384.2855354724,8643262.621516809,223.0,223.7,231.0,233.0,263.1458333333333,84.04859447152515,260.5,307.7000000000001,743.0
4,9443357.106529446,8.571428571428571,9.443372998918806,9.443372998918806,15.892389358747895,0,1,81.29386825859547,744,8.43433240471259,"[0.0, 9.443372998918806, -15.892389358747895]",4,44,48,0,48,0,48,0,314.3159613070921,1076.1040729069184,14605,49865,1.885972500022035,15.329824800021015,1.6666666666666667,3.3382928371429443,3.3382928371429443,2.9225309835621345,6.548249193897752,0.0,0.0,0.0,0.0,1.6666666666666667,2.169150852177214,2.857142857142857,2.857142857142857,8.571428571428571,2.03207288469587,2.288659232003348,2.425661087036133,2.680407932826451,3.3382928371429443,1.6244233658863088,3.189668655395508,5.329380580357142,9.443372998918806,2.03207288469587,2.288659232003348,2.425661087036133,2.680407932826451,3.3382928371429443,1.6244233658863088,3.189668655395508,5.329380580357142,9.443372998918806,4.722188464264686,5.003625353870666,5.008686617961892,5.024633581946503,6.548249193897752,2.793013270177357,6.388461967415186,10.831444560738388,15.892389358747895,6.849805923760869,9.706827985400015,11.206604775397864,14.107796506275918,20.985396413179995,16.409009651167928,19.83031982315879,44.01354028619826,81.29386825859547,1.714457932460401,1.9703245883427856,2.1077284666064835,2.362645194005428,2.9225309835621345,1.4541399176972492,2.81255854072693,4.641590163061488,8.43433240471259,2032067.8822603724,2288654.2182327104,2425656.079597361,2680402.9280633144,3338286.2888937504,1624420.6720402353,3189662.7159112017,5329369.748912582,9443357.106529446,219.0,229.8,232.0,240.0,304.2708333333333,130.36195437820638,304.5,498.2000000000001,744.0
5,9443357.106529446,8.571428571428571,9.443372998918806,9.443372998918806,15.892389358747895,0,1,81.29386825859547,744,8.43433240471259,"[0.0, 9.443372998918806, -15.892389358747895]",4,44,48,0,48,0,48,0,381.5174604013266,1457.621533308245,17680,67545,2.13426319998689,17.552590599982068,2.9761904761904763,4.330515691212246,4.330515691212246,3.825862965813665,7.9482804250276375,0.0,0.0,2.142857142857143,2.857142857142857,2.9761904761904763,2.401695357360954,2.857142857142857,5.714285714285714,8.571428571428571,1.9724764142717635,2.5700618198939735,2.863315854753767,3.5421671186174666,4.330515691212246,1.9839429286490078,5.585196358816964,7.28919519696917,9.443372998918806,1.9724764142717635,2.5700618198939735,2.863315854753767,3.5421671186174666,4.330515691212246,1.9839429286490078,5.585196358816964,7.28919519696917,9.443372998918806,5.00067654597895,5.006637742012844,5.6311875300331335,6.871357518612897,7.9482804250276375,3.4533432132406796,8.584416159605535,13.513758000393844,20.494351536745825,6.252144509344362,12.812287733496486,16.103900979120226,23.947054961696267,32.295926423245724,20.772410316187585,47.81331217009574,63.692560863494904,81.29386825859547,1.6546273122615187,2.252043632142447,2.4913743082013897,3.106939004084479,3.825862965813665,1.793172153488551,4.885213416668571,6.410038673642667,8.43433240471259,1972471.4081484068,2570056.8111075168,2863309.369060875,3542160.2637746627,4330507.74293182,1983939.877642144,5585185.334085626,7289181.350253928,9443357.106529446,226.0,230.0,257.0,313.0,368.3333333333333,162.2096551448841,395.5,631.2,954.0
6,10690918.62068244,8.571428571428571,10.690934317452568,10.690934317452568,15.696770127896096,0,1,90.16596307232976,728,9.694313991871864,"[0.0, 10.690934317452568, -15.696770127896096]",4,44,48,0,48,0,48,0,427.7905270968487,1885.4120604050936,19781,87326,2.502184099983424,20.153774700011127,4.107142857142858,5.5802777835301,5.5802777835301,5.0144172979522565,8.912302647851014,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.107142857142858,2.2517000380211596,5.714285714285714,6.571428571428584,8.571428571428571,2.437547956194196,3.037395477294922,3.866548538208008,4.971332550048828,5.5802777835301,2.1623292736376176,7.158197675432477,8.5915892464774,10.690934317452568,2.437547956194196,3.037395477294922,3.866548538208008,4.971332550048828,5.5802777835301,2.1623292736376176,7.158197675432477,8.5915892464774,10.690934317452568,4.8955679505462735,5.01068782879344,6.402937877988961,7.689524441295029,8.912302647851014,3.632615358752022,9.946957258526789,14.89438183252852,20.494351536745825,11.39057670008333,18.170381398334577,28.118673612596467,41.96242385171354,46.470946696325576,22.592019331588244,69.52610121737234,77.0665226109326,90.16596307232976,2.119358569261509,2.6700638776019083,3.4591385003418327,4.571814089990516,5.0144172979522565,1.9874841969857977,6.676017084237499,7.6879021586784635,9.694313991871864,2437542.9447113522,3037389.6918222266,3866542.9640000034,4971326.257633083,5580268.871227452,2162326.4374305666,7158190.081088167,8591578.367322737,10690918.62068244,222.0,237.7,295.5,352.5,412.1041666666667,169.45073516897338,458.0,690.1,954.0
7,10690918.62068244,8.571428571428571,10.690934317452568,10.690934317452568,15.696770127896096,0,1,90.16596307232976,728,9.694313991871864,"[0.0, 10.690934317452568, -15.696770127896096]",4,44,48,0,48,0,48,0,420.2979080458278,2305.709968450921,19461,106787,2.3899046000442468,22.634453000035137,4.345238095238095,5.809391396386283,5.809391396386283,5.253441782569051,8.756206417621412,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.345238095238095,2.3320878600190156,5.714285714285714,8.571428571428571,8.571428571428571,2.5633948189871654,3.6267422267368863,4.275109427315849,5.119062151227679,5.809391396386283,2.0661604725990714,7.14348384312221,8.776390620640347,10.690934317452568,2.5633948189871654,3.6267422267368863,4.275109427315849,5.119062151227679,5.809391396386283,2.0661604725990714,7.14348384312221,8.776390620640347,10.690934317452568,3.2681455318271975,4.568060523638545,5.803883536368741,8.559088723774476,8.756206417621412,3.548830521497504,10.472572596620335,12.925823186800454,20.494351536745825,12.721452510741074,27.073311652056873,33.8099709241651,42.924933661706746,49.455234930184965,21.401141355415024,70.09616362862289,78.39890871495008,90.16596307232976,2.2457127385522857,3.338594582655006,3.7462084112523737,4.671421559169977,5.253441782569051,1.9215875176309025,6.556077188630786,8.03301002620785,9.694313991871864,2563389.8154943986,3626738.295607702,4275101.055162774,5119056.945693547,5809382.640179865,2066158.081733764,7143474.591467402,8776380.676372262,10690918.62068244,155.0,212.0,265.25,399.5,405.4375,164.91120164222724,487.25,589.0000000000002,954.0
8,13912180.922380527,11.428571428571429,13.912206377301898,13.912206377301898,25.45492136973865,0,1,124.30197681486607,1203,12.296020893508967,"[0.0, 13.912206377301898, -25.45492136973865]",4,44,48,0,48,0,48,0,448.43462401380395,2754.144592464725,20780,127567,2.77270229998976,25.503841000027023,4.940476190476191,6.432187103089832,6.432187103089832,5.839019611008081,9.342388000287583,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.940476190476191,2.386155030098505,5.714285714285714,8.571428571428571,11.428571428571429,2.7829088483537947,3.599575587681362,4.059731619698661,6.727583748953682,6.432187103089832,2.398238377304143,8.095882960728236,9.15427453177316,13.912206377301898,2.7829088483537947,3.599575587681362,4.059731619698661,6.727583748953682,6.432187103089832,2.398238377304143,8.095882960728236,9.15427453177316,13.912206377301898,3.708243368057459,5.49890103200373,6.394557789267681,7.7583989306517624,9.342388000287583,4.322357385973051,11.065075371008426,15.634928087122018,25.45492136973865,15.171728405286558,25.12866596481763,30.837783709168434,57.752704051323235,55.64886532733605,24.297949087850647,75.79368632193655,80.09397246632726,124.30197681486607,2.465015121010659,3.1669572123110523,3.645290417729359,5.884029204692366,5.839019611008081,2.2175895336300036,7.5540261726844085,8.394237740037934,12.296020893508967,2782903.841527589,3599568.7739419495,4059725.08848045,6727570.4629696105,6432177.760701832,2398235.391937718,8095870.987456115,9154257.408626154,13912180.922380527,166.0,256.0,308.75,368.0,432.9166666666667,203.27483789741962,515.0,730.7,1203.0
9,13912180.922380527,11.428571428571429,13.912206377301898,13.912206377301898,25.45492136973865,0,1,124.30197681486607,1203,12.296020893508967,"[0.0, 13.912206377301898, -25.45492136973865]",4,44,48,0,48,0,48,0,404.85680752656975,3159.001399991295,18890,146457,2.3929407999967225,27.979859800019767,5.416666666666667,6.790748891376315,6.790748891376315,6.255224013695667,8.434516823470203,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.4215292389057135,6.428571428571429,8.571428571428571,11.428571428571429,2.530163356236049,4.105670383998326,4.9028137751988,7.138410295758929,6.790748891376315,2.3075664122879322,8.473837716238839,9.316825321742469,13.912206377301898,2.530163356236049,4.105670383998326,4.9028137751988,7.138410295758929,6.790748891376315,2.3075664122879322,8.473837716238839,9.316825321742469,13.912206377301898,3.5498621174362714,4.372475592159232,5.671427509200186,7.4956614804042,8.434516823470203,4.072231797101811,10.299353588720543,12.32674199684096,25.45492136973865,12.355572338216007,31.406570892129093,41.14269349351525,65.44532497227192,59.53412783503882,22.829587886753117,77.5137062780559,80.81605570316314,124.30197681486607,2.2122380277259786,3.7312644547382674,4.602833762226148,6.532382540225353,6.255224013695667,2.1232815305277963,7.85782625040186,8.61675917482824,12.296020893508967,2530158.348912125,4105664.10419091,4902809.259144268,7138402.198163132,6790740.456859489,2307563.397561263,8473829.027063034,9316816.88775011,13912180.922380527,165.0,200.5,263.0,350.5,393.5416666666667,191.69354431111017,488.25,574.1000000000003,1203.0
10,13912180.922380527,11.428571428571429,13.912206377301898,13.912206377301898,25.45492136973865,0,1,124.30197681486607,1203,12.296020893508967,"[0.0, 13.912206377301898, -25.45492136973865]",4,44,48,0,48,0,48,0,379.73154658871476,3538.7329465800094,17560,164017,2.125002900022082,30.19312670000363,5.0,6.513101543698991,6.513101543698991,6.010811138158364,7.911073887264891,2.857142857142857,2.857142857142857,2.857142857142857,4.285714285714286,5.0,2.439750182371333,5.714285714285714,8.571428571428571,11.428571428571429,3.4542628696986606,4.121340070452009,4.887609481811523,5.736925942557199,6.513101543698991,2.2051162647808202,7.8581374032156805,9.408012662615095,13.912206377301898,3.4542628696986606,4.121340070452009,4.887609481811523,5.736925942557199,6.513101543698991,2.2051162647808202,7.8581374032156805,9.408012662615095,13.912206377301898,3.100362758758378,4.473782665964776,5.888426163113259,6.6433047954848075,7.911073887264891,4.105950048139444,7.987381014617748,12.647872518497152,25.45492136973865,22.907644751656335,32.3248014700599,41.059743052348495,49.509443908929825,56.70708079170223,21.130326969945592,74.45270216837525,81.08058008514345,124.30197681486607,3.0432040661515227,3.7961829109421688,4.494055281400292,5.367413560635139,6.010811138158364,2.0071895547606045,7.444724765343702,8.482059151992832,12.296020893508967,3454256.3955225046,4121335.1244778335,4887603.283332867,5736917.932562737,6513093.632625106,2205113.044631222,7858130.8919666335,9407999.081108997,13912180.922380527,153.0,206.8,266.75,307.5,365.8333333333333,192.2341598733748,365.25,583.9000000000001,1203.0
