generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,6722267.945105565,5.714285714285714,6.7222813197544635,6.7222813197544635,13.374648898525649,0,1,60.184252981096506,610,5.873097262705216,"[0.0, 6.7222813197544635, -13.374648898525649]",0,48,48,0,48,0,48,0,248.89075758328954,248.89075758328954,11516,11516,18.4950485000154,18.913396499992814,0.11904761904761905,2.2854576792035783,2.2854576792035783,1.9562371003897034,5.185224116318532,0.0,0.0,0.0,0.0,0.11904761904761905,0.8161493571906006,0.0,0.0,5.714285714285714,1.965724400111607,2.023602621895926,2.0906148638044084,2.15740476335798,2.2854576792035783,0.6649077585580293,2.2631849561418806,2.456019810267857,6.7222813197544635,1.965724400111607,2.023602621895926,2.0906148638044084,2.15740476335798,2.2854576792035783,0.6649077585580293,2.2631849561418806,2.456019810267857,6.7222813197544635,5.000522827089238,5.002691568385382,5.004856489977303,5.009427807116598,5.185224116318532,1.1945764390409466,5.017559356831439,5.024695610956203,13.374648898525649,6.218762552161934,6.79298837986571,7.517960521199711,8.262054419981723,9.698557012782052,7.551619552475862,9.416067635182117,11.541449313297926,60.184252981096506,1.6477989686575532,1.7049864700555106,1.7719358415622815,1.8396952912154216,1.9562371003897034,0.591353116135545,1.9450978975626532,2.138125841553551,5.873097262705216,1965719.3927860616,2023597.603691535,2090609.8446098082,2157399.7594337934,2285452.493979462,664906.5960177729,2263179.946270708,2456014.80343785,6722267.945105565,223.0,226.7,229.75,232.0,239.91666666666666,54.114397858199965,236.0,236.3,610.0
2,6720393.09864412,5.714285714285714,6.7204066685267865,6.7204066685267865,13.569882666644496,0,1,60.16728005185723,632,5.858826816676342,"[0.0, 6.7204066685267865, -13.569882666644496]",0,48,48,0,48,0,48,0,250.24298832063835,499.1337459039279,11628,23144,2.5597155999857932,21.62725949997548,0.17857142857142858,2.46542941956293,2.46542941956293,2.134420175752562,5.213395590013299,0.0,0.0,0.0,0.0,0.17857142857142858,0.9046835805696822,0.0,0.0,5.714285714285714,1.9539260864257815,2.130550929478237,2.2123963492257253,2.3423985072544644,2.46542941956293,0.6565140670086915,2.527097974504743,2.7519215175083707,6.7204066685267865,1.9539260864257815,2.130550929478237,2.2123963492257253,2.3423985072544644,2.46542941956293,0.6565140670086915,2.527097974504743,2.7519215175083707,6.7204066685267865,5.000040909063011,5.002691568385382,5.005960850720497,5.010727084769386,5.213395590013299,1.230588082169214,5.014990264073995,5.019926857157929,13.569882666644496,6.084623986578663,7.962919066147151,8.846423640097782,10.267732817388605,11.692018252781205,7.459538106079107,12.330662554410083,14.829707712162055,60.16728005185723,1.6355324246328704,1.811918082745061,1.8942508230078947,2.024186211283857,2.134420175752562,0.5825651073071991,2.2085113021473557,2.4339206957297144,5.858826816676342,1953921.0717256083,2130545.9110109005,2212391.3384336876,2342393.495410803,2465424.2061673403,656512.8946807432,2527092.9567646533,2751916.5089954273,6720393.09864412,223.0,227.7,230.0,233.0,242.25,57.54509101565485,236.0,238.3,632.0
3,7358892.657177234,5.714285714285714,7.358905247279576,7.358905247279576,12.590102342070391,0,1,71.85493965819478,576,6.5595336700052655,"[0.0, 7.358905247279576, -12.590102342070391]",0,48,48,0,48,0,48,0,273.22537233468825,772.3591182386161,12615,35759,2.3779468999709934,24.099885699979495,0.9523809523809524,2.8665699277605334,2.8665699277605334,2.5051607050956015,5.6921952569726715,0.0,0.0,0.0,0.0,0.9523809523809524,1.579345138264476,2.857142857142857,2.857142857142857,5.714285714285714,1.8817138671875,2.3101801191057483,2.4201570238385886,2.571511949811663,2.8665699277605334,0.9683932959729709,2.8945214407784596,3.4545369829450343,7.358905247279576,1.8817138671875,2.3101801191057483,2.4201570238385886,2.571511949811663,2.8665699277605334,0.9683932959729709,2.8945214407784596,3.4545369829450343,7.358905247279576,5.000522827089238,5.00384712569402,5.006502780063548,5.016672830811832,5.6921952569726715,1.646689425708599,5.945816496605551,6.660051774940132,13.354717740066416,5.35184069693787,9.920739898957255,11.14228930801437,12.825568578075035,16.290707468322733,11.441171187107093,16.439923274119792,22.75236577140168,71.85493965819478,1.562906781195668,1.9913198533611718,2.102006046698036,2.2538627103004054,2.5051607050956015,0.8677770458599051,2.488548268097895,3.05611957733603,6.5595336700052655,1881708.8459758956,2310175.0959678763,2420152.0129606985,2571506.946836141,2866564.2355652764,968391.7047010805,2894514.902034752,3454530.5881079417,7358892.657177234,223.0,226.0,229.0,235.0,262.8125,75.33775510160892,272.5,310.3,615.0
4,9151403.521751413,8.571428571428571,9.151417868477958,9.151417868477958,14.346726545644096,0,1,80.08974390849471,675,8.24051459573865,"[0.0, 9.151417868477958, -14.346726545644096]",0,48,48,0,48,0,48,0,309.2777358528317,1081.6368540914477,14336,50095,2.8954245999921113,27.14149719994748,1.8452380952380956,3.5921564556303474,3.5921564556303474,3.18305892143348,6.443286163600661,0.0,0.0,0.0,2.857142857142857,1.8452380952380956,2.061105915854855,2.857142857142857,3.7142857142857264,8.571428571428571,2.1733529227120534,2.3998522077287947,2.655728203909738,2.924750191824777,3.5921564556303474,1.6389141477581697,3.7153148651123042,5.843855176653186,9.151417868477958,2.1733529227120534,2.3998522077287947,2.655728203909738,2.924750191824777,3.5921564556303474,1.6389141477581697,3.7153148651123042,5.843855176653186,9.151417868477958,5.001523516849039,5.0045821653111915,5.008501710441648,5.422047945937675,6.443286163600661,2.3781774192204383,6.335082048793209,9.470703542217345,14.346726545644096,8.403947902086657,10.91771356735553,13.76829344923317,16.77660565077531,24.464040743117494,18.48594379157116,25.630684302886948,51.09502165764576,80.08974390849471,1.8557958740232254,2.0817028175186807,2.337781182775544,2.5383470752909973,3.18305892143348,1.5002445926286612,3.2715743520487033,5.368377106921217,8.24051459573865,2173347.921188536,2399847.196875899,2655723.1976294084,2924743.95312906,3592150.012344185,1638911.946557292,3715307.8761992236,5843847.687873588,9151403.521751413,222.0,229.7,231.75,255.0,298.6666666666667,110.40348977978711,297.0,437.30000000000007,675.0
5,9533805.534934226,8.571428571428571,9.533822195870535,9.533822195870535,16.660936308269974,0,1,82.95433622226119,758,8.475984969948632,"[0.0, 9.533822195870535, -16.660936308269974]",0,48,48,0,48,0,48,0,381.94520079733184,1463.5820548887796,17725,67820,3.233237000007648,30.47789629996987,3.630952380952381,5.004543293090094,5.004543293090094,4.4993247735169035,7.957191683277746,0.0,0.0,2.857142857142857,2.857142857142857,3.630952380952381,2.1617880711112947,5.714285714285714,5.714285714285714,8.571428571428571,2.0343290056501115,2.768470219203404,3.33547728402274,4.446389334542411,5.004543293090094,1.9861384585955872,7.099056243896484,7.396720068795341,9.533822195870535,2.0343290056501115,2.768470219203404,3.33547728402274,4.446389334542411,5.004543293090094,1.9861384585955872,7.099056243896484,7.396720068795341,9.533822195870535,4.894168563672532,5.004790820347038,6.0479125231758015,7.086713152103947,7.957191683277746,2.830687818644442,9.725938247329072,12.38461358639741,16.660936308269974,6.924729292935808,15.110923448058747,21.79721348068051,33.96444493159652,40.980735554951934,22.566898372528822,64.00084086088464,72.057177278772,82.95433622226119,1.715692201863915,2.4507549609554857,2.9384076112977824,3.9262459630562434,4.4993247735169035,1.845307558266637,6.4093674896465895,6.760300597001567,8.475984969948632,2034323.9871204519,2768465.215188087,3335471.0301753944,4446381.1422843095,5004535.3358984105,1986136.1910735872,7099046.175909632,7396709.117403796,9533805.534934226,224.0,237.4,281.5,328.0,369.2708333333333,130.66221393082836,461.5,577.4000000000001,758.0
6,9965077.893114818,8.571428571428571,9.96509279523577,9.96509279523577,14.902120953411194,0,1,84.66822857037187,704,9.018926385495378,"[0.0, 9.96509279523577, -14.902120953411194]",0,48,48,0,48,0,48,0,439.36626800345834,1902.948322892238,20284,88104,4.087117400020361,34.680343199986964,4.761904761904762,6.173384359904698,6.173384359904698,5.592212047730811,9.153463916738716,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.761904761904762,2.048172682629197,5.714285714285714,6.571428571428584,8.571428571428571,2.645209176199777,3.559769766671317,4.482487269810267,6.248602185930524,6.173384359904698,1.9355637697925125,7.461795125688825,8.544734137398857,9.96509279523577,2.645209176199777,3.559769766671317,4.482487269810267,6.248602185930524,6.173384359904698,1.9355637697925125,7.461795125688825,8.544734137398857,9.96509279523577,3.6294545283775137,5.576200823177134,6.457107265542087,8.599863325217129,9.153463916738716,3.2372767213389224,12.083517148880983,13.791256574986498,16.497193224806026,13.668516278354218,25.318784071708798,36.48911138344556,54.782516594510525,54.11510898288528,20.911246367799674,72.42072608321905,78.4400267958641,84.66822857037187,2.327367419469912,3.21764558400936,4.098784844614383,5.590658624673093,5.592212047730811,1.7936107881082872,6.972994399198431,7.781741853315369,9.018926385495378,2645204.1701921085,3559764.008158273,4482480.817819737,6248588.763527677,6173375.206440781,1935561.4441324926,7461787.746643051,8544721.650396679,9965077.893114818,169.0,261.1,294.5,396.0,422.5833333333333,149.87839978536675,552.0,636.7,762.0
7,9943595.657783087,8.571428571428571,9.943610600062778,9.943610600062778,14.942279691695347,0,1,84.59912717342377,704,8.994894429161485,"[0.0, 9.943610600062778, -14.942279691695347]",0,48,48,0,48,0,48,0,399.89141579610515,2302.839738688343,18510,106614,4.177811500034295,38.979390699998476,4.464285714285714,6.081641515096028,6.081641515096028,5.55268461589483,8.331071162418857,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.464285714285714,2.174860226957751,5.714285714285714,6.571428571428584,8.571428571428571,2.502490452357701,3.924306052071708,4.391354152134487,5.9676715305873325,6.081641515096028,1.884071900096217,7.248174803597586,8.339865820748468,9.943610600062778,2.502490452357701,3.924306052071708,4.391354152134487,5.9676715305873325,6.081641515096028,1.884071900096217,7.248174803597586,8.339865820748468,9.943610600062778,3.595535136610026,4.8323840891465935,5.922146994886371,7.48560443729605,8.331071162418857,3.248513605842746,9.993890076310116,13.697476495968614,16.285584352116164,12.063301542060799,29.032820528466253,35.77781108394265,52.50642370805144,53.2981288075354,19.977413047144005,70.9890392338857,76.82932237051429,84.59912717342377,2.183508290389591,3.4808524240164775,4.096309407819625,5.515131271693452,5.55268461589483,1.7331358794686322,6.7107046189388715,7.718232519185389,8.994894429161485,2502485.42838865,3924299.502877966,4391349.505179765,5967665.653853739,6081633.184024867,1884069.4402653163,7248163.97743688,8339855.793448039,9943595.657783087,164.0,220.5,272.75,344.0,385.625,152.7256015702672,465.5,636.9000000000002,765.0
8,9977336.687335758,8.571428571428571,9.977351597377233,9.977351597377233,14.91004147558508,0,1,84.7122528553009,686,9.030682297340086,"[0.0, 9.977351597377233, -14.91004147558508]",0,48,48,0,48,0,48,0,397.131014939392,2699.970753627735,18448,125062,3.207069700001739,42.328112299961504,4.940476190476191,6.36935001327878,6.36935001327878,5.844044437962123,8.273562811237333,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.940476190476191,2.386155030098505,5.714285714285714,8.571428571428571,8.571428571428571,2.8442055838448663,3.853945050920759,4.661816188267299,6.698017120361328,6.36935001327878,2.052169391003478,7.9583617619105755,9.021204812186106,9.977351597377233,2.8442055838448663,3.853945050920759,4.661816188267299,6.698017120361328,6.36935001327878,2.052169391003478,7.9583617619105755,9.021204812186106,9.977351597377233,4.07739427710576,4.99399941951141,5.75041943808036,7.532272738065071,8.273562811237333,3.1230122083553216,10.382328933750104,13.060712441887853,16.417489659140898,15.88922790189099,27.724407181655987,37.870191264897585,59.91926500201225,55.61373854531045,21.313338039260266,75.5085289273411,80.15429563596845,84.7122528553009,2.525821968906558,3.394619076991706,4.227466618938468,6.28532686459872,5.844044437962123,1.9210844961166882,7.565070234226107,8.353351932438473,9.030682297340086,2844200.569302931,3853937.7572875153,4661807.175796975,6698011.273436675,6369341.739715968,2052167.2414794834,7958355.567569014,9021194.420682069,9977336.687335758,193.0,231.7,268.75,347.5,384.3333333333333,145.39491241290239,478.25,604.2000000000003,773.0
9,9954445.84225097,8.571428571428571,9.95446068899972,9.95446068899972,14.846748751039234,0,1,84.52987287193537,696,9.079194468514585,"[0.0, 9.95446068899972, -14.846748751039234]",0,48,48,0,48,0,48,0,439.6350030885249,3139.60575671626,20462,145524,4.161317100049928,46.62198779999744,5.535714285714286,7.062923340570358,7.062923340570358,6.481395558707231,9.15906256434427,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714286,2.2136135692603633,8.571428571428571,8.571428571428571,8.571428571428571,2.91046142578125,4.531021663120814,5.443135670253208,7.595319747924805,7.062923340570358,1.9104908397546196,8.68107727595738,9.372123173304967,9.95446068899972,2.91046142578125,4.531021663120814,5.443135670253208,7.595319747924805,7.062923340570358,1.9104908397546196,8.68107727595738,9.372123173304967,9.95446068899972,3.172479267362831,5.663720463331851,6.701665396745727,9.144113640025008,9.15906256434427,3.1703194133409034,10.855660015109319,14.4669745991765,16.32040392091337,16.63845869990473,36.059262925013904,45.82283351384103,73.5905978102237,62.63259584359639,18.997604457764922,77.9068503882736,80.84398898556829,84.52987287193537,2.493300533625422,4.042224675151955,4.822635954823052,6.891258421983915,6.481395558707231,1.820044559032303,8.043705367308274,8.69801914203056,9.079194468514585,2910454.8554971986,4531013.964568254,5443129.299164726,7595308.809188743,7062914.181507795,1910489.2819345559,8681067.39447587,9372114.851201307,9954445.84225097,151.0,264.0,311.5,430.5,426.2916666666667,147.2909476644403,499.25,664.6,763.0
10,9972129.662411217,8.571428571428571,9.972144535609655,9.972144535609655,14.873198438075304,0,1,84.67279937118292,684,9.334074174935957,"[0.0, 9.972144535609655, -14.873198438075304]",0,48,48,0,48,0,48,0,398.59069288033055,3538.196449596591,18405,163929,3.3764830000000075,50.112817199958954,5.416666666666667,6.837472631817772,6.837472631817772,6.310236265573949,8.30397276834022,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.276737083203009,8.571428571428571,8.571428571428571,8.571428571428571,3.2291303362165182,4.176789964948382,4.883493695940291,7.142857142857142,6.837472631817772,2.0414203419656585,8.771588461739677,9.53792108808245,9.972144535609655,3.2291303362165182,4.176789964948382,4.883493695940291,7.142857142857142,6.837472631817772,2.0414203419656585,8.771588461739677,9.53792108808245,9.972144535609655,3.1508688018562316,4.609899970839347,5.988051139311543,7.290714652357385,8.30397276834022,3.2171740997687963,10.348241696157995,13.498373168021882,16.481426517532896,20.256951313465834,33.48440969437361,40.820934341754764,68.42674508690834,59.978995422425214,19.856695019611855,78.728740260005,81.9279631882906,84.67279937118292,2.8576464344513175,3.8997523857236938,4.525350812923708,6.555430584457234,6.310236265573949,1.9380541924474997,8.070886821076314,9.022616168971187,9.334074174935957,3229124.4853450656,4176785.6016065096,4883487.389357051,7142849.322845988,6837464.327845003,2041418.594211824,8771577.425688837,9537907.457928607,9972129.662411217,149.0,211.4,283.0,340.0,383.4375,147.24255870416678,478.5,622.3000000000001,756.0
