generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2571215.3866656814,0.0,2.5712203979492188,2.5712203979492188,5.011283537442986,0,1,12.90564754868683,236,2.253043665413156,"[0.0, 2.5712203979492188, -5.011283537442986]",0,48,48,0,48,0,48,0,240.29084350670405,240.29084350670405,11154,11154,6.347499999974389,6.435144799994305,0.0,2.138071060180664,2.138071060180664,1.8202260290871404,5.006059239723001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.904770987374442,1.96055657523019,2.0433085305350165,2.097388676234654,2.138071060180664,0.1390946061684805,2.219916752406529,2.304345267159598,2.5712203979492188,1.904770987374442,1.96055657523019,2.0433085305350165,2.097388676234654,2.138071060180664,0.1390946061684805,2.219916752406529,2.304345267159598,2.5712203979492188,5.000522827089238,5.000522827089238,5.002691568385382,5.00492135145346,5.006059239723001,0.005238856051537422,5.007325545401346,5.011283537442986,5.025782204799682,5.580784095567651,6.155192709623952,7.014452239001912,7.584538249313482,8.049243918017813,1.5206574717458026,8.915905013738666,9.900767656072276,12.90564754868683,1.5868455559203882,1.6429792809826658,1.725383099080963,1.7791731572622451,1.8202260290871404,0.13909472127215208,1.902094134715655,1.9867553658264847,2.253043665413156,1904765.9800488967,1960551.5733878056,2043303.5232094713,2097383.661963286,2138066.054121424,139094.60616402945,2219911.7467003,2304340.2651186525,2571215.3866656814,226.0,226.0,230.0,232.0,232.375,3.6033838263498934,236.0,236.0,236.0
2,3519029.8989457856,2.857142857142857,3.5190364292689735,3.5190364292689735,6.53032318793988,0,1,23.417241659015417,305,3.1044127347966004,"[0.0, 3.5190364292689735, -6.53032318793988]",4,44,48,0,48,0,48,0,243.89186270649196,484.182706213196,11249,22403,1.145822099992074,7.647473399993032,0.11904761904761905,2.3145218122573126,2.3145218122573126,1.9919135282540166,5.081080473051916,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038952,0.0,0.0,2.857142857142857,1.9905962262834822,2.11321531023298,2.1807098388671875,2.2774015154157365,2.3145218122573126,0.23938427887934974,2.3806612832205634,2.4815695626395087,3.5190364292689735,1.9905962262834822,2.11321531023298,2.1807098388671875,2.2774015154157365,2.3145218122573126,0.23938427887934974,2.3806612832205634,2.4815695626395087,3.5190364292689735,5.000522827089238,5.0059244403433585,5.007305204285324,5.017445068480907,5.081080473051916,0.3174606580824774,5.024695610956203,5.025782204799682,6.672502804957313,6.448660826456035,7.764399925745965,8.507571871572509,9.563707526467624,9.989219237267056,2.662789589058455,10.71333477702865,11.823596693281434,23.417241659015417,1.6726428638115682,1.7941870174738561,1.8627564763952735,1.959506597978403,1.9919135282540166,0.22447156079680342,2.062822883158862,2.1628154559068378,3.1044127347966004,1990591.2185180234,2113210.285537369,2180704.8311017286,2277396.5085707866,2314516.731176839,239384.03795489846,2380656.2772657624,2481564.542262328,3519029.8989457856,223.0,227.0,229.0,232.0,234.35416666666666,15.010398594715005,236.0,237.0,305.0
3,7142846.851285828,5.714285714285714,7.142857142857142,7.142857142857142,10.291571314205727,0,1,69.00564369186759,481,6.489424043542493,"[0.0, 7.142857142857142, -10.291571314205727]",4,44,48,0,48,0,48,0,253.80172035876623,737.9844265719622,11766,34169,1.0858221999951638,8.80027110001538,0.4166666666666667,2.5892485891069685,2.5892485891069685,2.253532027785849,5.28753584080763,0.0,0.0,0.0,0.0,0.4166666666666667,1.1649039161179122,0.0,2.857142857142857,5.714285714285714,2.0542635236467635,2.1624930245535716,2.307074410574777,2.431112016950335,2.5892485891069685,0.7521581010381271,2.578612736293248,2.9073524475097656,7.142857142857142,2.0542635236467635,2.1624930245535716,2.307074410574777,2.431112016950335,2.5892485891069685,0.7521581010381271,2.578612736293248,2.9073524475097656,7.142857142857142,5.000522827089238,5.008039206075637,5.010362679242023,5.0147001732383485,5.28753584080763,0.9088377376992953,5.018729567505115,5.830480328043484,10.291571314205727,7.133439795899903,8.30938617598731,9.894941716902395,11.269492741063004,13.16551748333101,9.058097783661104,12.966189200695226,16.598125067814546,69.00564369186759,1.7361452582980634,1.8449354022951432,1.9886302804394431,2.1129275459338634,2.253532027785849,0.6977128934797064,2.260458816923985,2.496903269890763,6.489424043542493,2054258.5132840844,2162488.0230210214,2307069.395079727,2431107.0055449163,2589243.3015711275,752157.2396997492,2578607.7253690176,2907345.982935218,7142846.851285828,223.0,224.0,229.75,233.0,245.125,43.444708634462415,238.0,267.90000000000003,481.0
4,8080379.718133304,5.714285714285714,8.080392565046038,8.080392565046038,12.846912734023876,0,1,78.42863055691123,589,7.264715566060396,"[0.0, 8.080392565046038, -12.846912734023876]",4,44,48,0,48,0,48,0,273.07097662492924,1011.0554031968915,12695,46864,1.2483166999882087,10.113810700015165,1.0119047619047619,3.0200734024956115,3.0200734024956115,2.6588684069599906,5.688978679686026,0.0,0.0,0.0,0.0,1.0119047619047619,1.6992979075738333,2.857142857142857,2.857142857142857,5.714285714285714,2.0302200317382812,2.255001613071987,2.4293204716273715,2.7265630449567517,3.0200734024956115,1.2199255396152997,2.9406179700578963,3.5128566196986606,8.080392565046038,2.0302200317382812,2.255001613071987,2.4293204716273715,2.7265630449567517,3.0200734024956115,1.2199255396152997,2.9406179700578963,3.5128566196986606,8.080392565046038,5.001313565330866,5.0034430658491535,5.0086671384068655,5.0170238592335705,5.688978679686026,1.5274893533007259,5.886067808439897,6.532404682129169,12.846912734023876,6.888581641942437,9.333154927746364,11.269913232028557,14.574037738799234,18.192772287993648,14.780798621463369,17.028227543187313,23.43380401749164,78.42863055691123,1.7126763133045755,1.9367077603101113,2.1106882734809678,2.4083859443081934,2.6588684069599906,1.1266544337938569,2.5501888624879046,3.097924555716763,7.264715566060396,2030215.030424716,2254996.599943806,2429315.4531702506,2726558.0336674163,3020067.7135169315,1219924.066036123,2940611.820799452,3512850.084518653,8080379.718133304,222.0,226.0,231.0,234.5,264.4791666666667,71.32641796210963,276.25,305.0,589.0
5,9485109.444122477,8.571428571428571,9.485130310058594,9.485130310058594,20.86593611697333,0,1,83.32323952391744,956,8.449349901165965,"[0.0, 9.485130310058594, -20.86593611697333]",4,44,48,0,48,0,48,0,368.0317609800933,1379.0871641769847,17119,63983,1.4887863000039943,11.667945499997586,2.6785714285714284,4.178072554724557,4.178072554724557,3.69125805607364,7.667328353751944,0.0,0.0,0.0,2.857142857142857,2.6785714285714284,2.36227795630767,2.857142857142857,5.714285714285714,8.571428571428571,2.0411246163504466,2.564330509730748,2.796585900442941,3.3951922825404575,4.178072554724557,1.9794449256187323,4.476559502737864,7.424117769513815,9.485130310058594,2.0411246163504466,2.564330509730748,2.796585900442941,3.3951922825404575,4.178072554724557,1.9794449256187323,4.476559502737864,7.424117769513815,9.485130310058594,5.000262342202939,5.0028341187373195,5.015074968615612,6.4441359847458015,7.667328353751944,3.3686458913971933,8.701247982616753,12.777487549723846,20.86593611697333,7.061061781285389,12.750424350181856,15.374902616764302,22.324764817290998,30.856207490416637,21.554752258621924,34.82859254349023,71.14909013919534,83.32323952391744,1.7227053399746843,2.2464232573562892,2.478864286773182,2.9929497845965187,3.69125805607364,1.7833034381881308,3.9218416730459325,6.751163460119376,8.449349901165965,2041119.6012468436,2564325.5026915227,2796580.8963275254,3395185.947221115,4178064.887396204,1979441.80745134,4476550.765932045,7424107.170483443,9485109.444122477,225.0,231.0,240.0,296.5,356.6458333333333,154.78836217872527,411.25,583.4000000000001,956.0
6,9485109.444122477,8.571428571428571,9.485130310058594,9.485130310058594,20.86593611697333,0,1,83.32323952391744,956,8.449349901165965,"[0.0, 9.485130310058594, -20.86593611697333]",4,44,48,0,48,0,48,0,420.06951877534675,1799.1566829523315,19355,83338,1.6945190000114962,13.428963400016073,3.630952380952381,5.024849062874204,5.024849062874204,4.469201551266602,8.751448307819723,0.0,0.0,2.857142857142857,2.857142857142857,3.630952380952381,2.313784729235335,5.714285714285714,5.714285714285714,8.571428571428571,2.216949462890625,2.787325177873884,3.139254706246512,4.298591613769531,5.024849062874204,2.060041661235621,6.722799028669085,8.145245960780553,9.485130310058594,2.216949462890625,2.787325177873884,3.139254706246512,4.298591613769531,5.024849062874204,2.060041661235621,6.722799028669085,8.145245960780553,9.485130310058594,5.003288275113701,5.015262072305739,5.85642304810353,7.538590537747263,8.751448307819723,3.6981983558669476,10.799786045642376,13.333584336680092,20.86593611697333,8.900940407329472,15.440626082984817,19.20904758420511,34.45935898460448,40.754967039142834,22.724332463304183,60.67563384678215,75.08255155459048,83.32323952391744,1.89911835588874,2.468546189552573,2.7689167293499946,3.8771742301810557,4.469201551266602,1.8724612589809193,6.1207307083266596,7.563034443458775,8.449349901165965,2216944.4570506895,2787320.157104818,3139248.873423376,4298584.97644574,5024840.311425895,2060038.6305910551,6722790.103685346,8145237.868890627,9485109.444122477,224.0,228.7,272.75,351.0,403.2291666666667,171.42092924330706,500.0,614.8000000000001,956.0
7,9941696.71282066,8.571428571428571,9.941705976213727,9.941705976213727,9.263393066557477,0,1,85.76936861127615,429,9.35355403547992,"[0.0, 9.941705976213727, -9.263393066557477]",4,44,48,0,48,0,48,0,427.33811213812936,2226.4947950904607,19783,103121,1.7259075000183657,15.22005820000777,4.404761904761904,5.697034086499895,5.697034086499895,5.131772033407131,8.902877336211029,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.404761904761904,2.401695357360954,5.714285714285714,8.571428571428571,8.571428571428571,2.3998314993722096,3.0622057233537947,3.720614569527762,5.361401694161552,5.697034086499895,2.1973953433216407,7.232382638113839,8.805787222726007,9.941705976213727,2.3998314993722096,3.0622057233537947,3.720614569527762,5.361401694161552,5.697034086499895,2.1973953433216407,7.232382638113839,8.805787222726007,9.941705976213727,3.63522682000326,5.009173331265799,6.008989119017942,8.026201019919549,8.902877336211029,3.9565513377060424,11.804377620439308,14.089590808003164,20.86593611697333,10.898191401967779,18.358375971993517,28.8337469531034,46.76890556141734,48.148565659512464,23.17807500498563,67.95373849477619,79.88182873800397,85.76936861127615,2.0819566740870186,2.685201409427583,3.4097139350527863,4.9757377704928505,5.131772033407131,2.0118529780615018,6.5787306996184425,7.953450058626501,9.35355403547992,2399826.4928437113,3062199.78553585,3720609.672842769,5361394.247977037,5697025.183622559,2197392.3182467464,7232369.826818595,8805770.6952695,9941696.71282066,172.0,232.7,281.25,375.5,412.1458333333333,181.96164769708724,544.75,649.7,956.0
8,9941696.71282066,8.571428571428571,9.941705976213727,9.941705976213727,9.263393066557477,0,1,85.76936861127615,429,9.35355403547992,"[0.0, 9.941705976213727, -9.263393066557477]",4,44,48,0,48,0,48,0,450.45549399835414,2676.9502890888148,20873,123994,1.855610099970363,17.142032000003383,4.821428571428572,6.217667091460456,6.217667091460456,5.621826490933532,9.384489458299045,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.821428571428572,2.3442105556565735,5.714285714285714,8.571428571428571,8.571428571428571,2.3900222778320312,3.2134083339146207,4.490400041852679,6.2556866237095425,6.217667091460456,2.205045692732429,8.515207426888603,9.248866762433734,9.941705976213727,2.3900222778320312,3.2134083339146207,4.490400041852679,6.2556866237095425,6.217667091460456,2.205045692732429,8.515207426888603,9.248866762433734,9.941705976213727,4.875573959217342,5.630193541380283,6.275244595428401,8.265368736339042,9.384489458299045,3.9090170901681542,11.472205593490468,15.005719666602392,20.86593611697333,10.794879463268444,20.08203947692964,34.74497574288398,54.28931036265567,53.384970205103706,22.93095451150613,76.12669436261058,82.05388044826687,85.76936861127615,2.0710830115072745,2.840495904425999,3.9359172372677693,5.429011664295414,5.621826490933532,2.0657140836981838,7.299225142681227,8.247021248858658,9.35355403547992,2390017.254538587,3213402.460543856,4490391.308748506,6255673.603578933,6217657.706970997,2205043.3476015204,8515188.275167627,9248858.10808711,9941696.71282066,220.0,258.5,295.5,380.5,434.8541666666667,183.93341068433494,526.5,703.7000000000002,956.0
9,10124284.384150868,8.571428571428571,10.124296460832868,10.124296460832868,12.076681999484032,0,1,86.28867840021849,570,9.357523000548168,"[0.0, 10.124296460832868, -12.076681999484032]",4,44,48,0,48,0,48,0,412.48729280209653,3089.437581890911,19161,143155,1.7435540999867953,18.951779299997725,5.2976190476190474,6.7144983155386795,6.7144983155386795,6.1688802033665935,8.593485266710344,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.2976190476190474,2.5414645285963324,8.571428571428571,8.571428571428571,8.571428571428571,2.6637377057756697,3.686397007533482,4.387856892177037,7.142857142857142,6.7144983155386795,2.3314161905589668,8.92702375139509,9.526529312133789,10.124296460832868,2.6637377057756697,3.686397007533482,4.387856892177037,7.142857142857142,6.7144983155386795,2.3314161905589668,8.92702375139509,9.526529312133789,10.124296460832868,3.3740044940557725,4.9306529123526905,6.774004626527641,8.422403672775012,8.593485266710344,3.2108341207749445,9.511829209081121,11.931472580954596,20.86593611697333,13.845380618004128,28.384082495095207,33.37999248551205,69.81102825514972,59.28847679921137,23.779142090102177,80.70860279910266,83.70778388865293,86.28867840021849,2.345500626376681,3.3806794523007215,3.8313440890793986,6.639958126235962,6.1688802033665935,2.2109734797023823,8.322064263118776,8.87161056657309,9.357523000548168,2663732.6935416693,3686392.857030953,4387848.418810897,7142850.1372873895,6714489.722053412,2331414.2022071057,8927015.028733533,9526511.732571974,10124284.384150868,151.0,227.7,312.5,382.5,399.1875,149.2529531045087,448.0,556.7,956.0
10,10333835.093965001,8.571428571428571,10.333845955984932,10.333845955984932,10.86201993050899,0,1,89.49004548043013,496,9.644193896904996,"[0.0, 10.333845955984932, -10.86201993050899]",4,44,48,0,48,0,48,0,396.9415213467289,3486.3791032376403,18355,161510,1.6714038999634795,20.688439699995797,5.535714285714285,6.9987696693057115,6.9987696693057115,6.473714746889403,8.269615028056853,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714285,2.5021249472599645,8.571428571428571,8.571428571428571,8.571428571428571,3.002264840262277,4.184207916259766,4.922663824898856,7.429468972342355,6.9987696693057115,2.2272427036879345,9.028816904340472,9.918841770717076,10.333845955984932,3.002264840262277,4.184207916259766,4.922663824898856,7.429468972342355,6.9987696693057115,2.2272427036879345,9.028816904340472,9.918841770717076,10.333845955984932,3.1286604061863783,5.334053097803046,6.535085327218203,8.169807146104095,8.269615028056853,2.3962851732101065,9.401617958006145,11.73308313539795,14.241601336528712,17.764243865618482,33.90839819340035,41.54064701590687,74.48819361999631,62.515323961983086,21.953061337429656,81.2336987387389,85.43059629648924,89.49004548043013,2.6174614022673874,3.7134329778740107,4.498460608387867,6.762115622130448,6.473714746889403,2.1265054106616716,8.477731958666192,9.149060963581642,9.644193896904996,3002258.7796081286,4184201.840086292,4922655.3273146,7429457.616786319,6998761.399690683,2227241.0711109084,9028808.35510587,9918829.646669364,10333835.093965001,143.0,246.9,302.5,371.5,382.3958333333333,110.56968760004806,443.25,540.9000000000001,658.0
