generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2758309.9334588917,0.0,2.758314950125558,2.758314950125558,5.016666666666654,0,1,14.897165142727317,301,2.43979643160704,"[0.0, 2.758314950125558, -5.016666666666654]",0,48,48,0,48,0,48,0,240.79999999999941,240.79999999999941,14448,14448,6.9293692000210285,6.990422699949704,0.0,2.1563779740106495,2.1563779740106495,1.8378594554921317,5.016666666666654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.935631888253348,1.9923024858747211,2.0433957236153737,2.1300942557198663,2.1563779740106495,0.15664015491899938,2.2385597229003906,2.331780569893973,2.758314950125558,1.935631888253348,1.9923024858747211,2.0433957236153737,2.1300942557198663,2.1563779740106495,0.15664015491899938,2.2385597229003906,2.331780569893973,2.758314950125558,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,0.0,5.016666666666654,5.016666666666654,5.016666666666654,5.817786806859658,6.408403192857804,6.976681097343317,7.9046612384481705,8.209662852939951,1.7310218607035168,9.104325890308246,10.14753407956305,14.897165142727317,1.6171133697348303,1.6737839673562034,1.724877205096856,1.8115757372013486,1.8378594554921317,0.15664015491899932,1.920041204381873,2.013262051375455,2.43979643160704,1935626.8715866816,1992297.4692080545,2043390.706948707,2130089.2390531995,2156372.9573439825,156640.15491899938,2238554.706233724,2331775.5532273063,2758309.9334588917,301.0,301.0,301.0,301.0,301.0,0.0,301.0,301.0,301.0
2,2907986.4216936384,2.857142857142857,2.9079927716936385,2.9079927716936385,6.349999999999983,0,1,16.628975319115852,381,2.5048181685190363,"[0.0, 2.9079927716936385, -6.349999999999983]",4,44,48,0,48,0,48,0,242.13333333333276,482.93333333333214,14528,28976,1.386005699983798,8.442235699971206,0.05952380952380953,2.3319228490193686,2.3319228490193686,2.0116406620705156,5.044444444444433,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,2.0053754534040182,2.1387781415666853,2.183401925223214,2.2805540902273997,2.3319228490193686,0.19329368410221062,2.435707364763532,2.5868279593331476,2.9079927716936385,2.0053754534040182,2.1387781415666853,2.183401925223214,2.2805540902273997,2.3319228490193686,0.19329368410221062,2.435707364763532,2.5868279593331476,2.9079927716936385,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.044444444444433,0.19043485001113944,5.016666666666654,5.016666666666654,6.349999999999983,6.568536682709237,8.016315707427566,8.531572880539898,9.572286078706384,10.160481524573092,2.146883320311723,11.340602743184718,12.995019676859375,16.628975319115852,1.6868569348855005,1.8202596230481674,1.8648834067046964,1.962035571708882,2.0116406620705156,0.18835246316107565,2.1171888462450146,2.2683094408146296,2.5048181685190363,2005370.4367373516,2138773.1249000183,2183396.9085565475,2280549.0735607333,2331917.804574924,193293.6013166418,2435702.348096865,2586822.942666481,2907986.4216936384,301.0,301.0,301.0,301.0,302.6666666666667,11.426091000668407,301.0,301.0,381.0
3,4373710.884965588,2.857142857142857,4.373719351632255,4.373719351632255,8.466666666666667,0,1,33.516155237331986,508,3.8361532140661176,"[0.0, 4.373719351632255, -8.466666666666667]",4,44,48,0,48,0,48,0,249.1499999999994,732.0833333333316,14949,43925,1.4462489999714307,9.954521299980115,0.2976190476190476,2.541344960530599,2.541344960530599,2.2117814684671075,5.190624999999987,0.0,0.0,0.0,0.0,0.2976190476190476,0.8727903749175703,0.0,0.8571428571428693,2.857142857142857,2.0305579049246654,2.2293570382254466,2.3373004368373325,2.4716949462890625,2.541344960530599,0.36213763782081326,2.668181828090123,2.8662964957101007,4.373719351632255,2.0305579049246654,2.2293570382254466,2.3373004368373325,2.4716949462890625,2.541344960530599,0.36213763782081326,2.668181828090123,2.8662964957101007,4.373719351632255,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.190624999999987,0.5876714313516123,5.016666666666654,5.3166666666666575,8.466666666666667,6.8226542561315,9.003584741443046,10.208072253266437,11.693779188673943,12.516533280323832,4.1105252201966955,13.963250082993909,16.114602442694014,33.516155237331986,1.7120393864061476,1.9108385197069286,2.018781918318815,2.1531764277705445,2.2117814684671075,0.33182050441729943,2.349663309571605,2.490336566097523,3.8361532140661176,2030552.8882579987,2229352.0215587798,2337295.420170666,2471689.929622396,2541339.7699055993,362137.1500383112,2668176.8114234563,2866291.044043434,4373710.884965588,301.0,301.0,301.0,301.0,311.4375,35.26028588109669,301.0,319.0000000000002,508.0
4,4373710.884965588,2.857142857142857,4.373719351632255,4.373719351632255,8.466666666666667,0,1,33.516155237331986,508,3.8361532140661176,"[0.0, 4.373719351632255, -8.466666666666667]",4,44,48,0,48,0,48,0,266.44999999999936,998.5333333333309,15987,59912,1.5743065999704413,11.594723099959083,1.0714285714285714,2.7543155352274575,2.7543155352274575,2.401868445280369,5.551041666666653,0.0,0.0,0.0,0.0,1.0714285714285714,1.3832083379312203,2.857142857142857,2.857142857142857,2.857142857142857,2.0623070853097096,2.244380405970982,2.326216016496931,2.6937185014997205,2.7543155352274575,0.5000833397124778,2.9500893184116905,3.4403136117117747,4.373719351632255,2.0623070853097096,2.244380405970982,2.326216016496931,2.6937185014997205,2.7543155352274575,0.5000833397124778,2.9500893184116905,3.4403136117117747,4.373719351632255,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.551041666666653,0.8005669739287081,6.033333333333317,6.364999999999983,8.466666666666667,7.188678130485641,9.176274511060182,10.112267808201068,14.176384317368502,15.064969536467137,5.954437145152076,17.143042442199658,22.824472461004195,33.516155237331986,1.7437885667911919,1.9258618874524644,2.007697497978413,2.375199982981203,2.401868445280369,0.45506346817488574,2.571610433588584,3.02486387626204,3.8361532140661176,2062302.068643043,2244375.3893043157,2326210.9998302646,2693713.4848330542,2754309.984185791,500082.621880474,2950083.197578357,3440307.068378441,4373710.884965588,301.0,301.0,301.0,301.0,333.0625,48.034018435722544,362.0,381.90000000000003,508.0
5,7142847.759523809,5.714285714285714,7.142857142857142,7.142857142857142,9.383333333333379,0,1,65.27994064241648,563,6.547089947089944,"[0.0, 7.142857142857142, -9.383333333333379]",4,44,48,0,48,0,48,0,293.09999999999945,1291.6333333333305,17586,77498,1.7475352000328712,13.407428199949209,1.8452380952380951,3.27651443935576,3.27651443935576,2.8888160266573473,6.106249999999989,0.0,0.0,0.0,2.857142857142857,1.8452380952380951,1.4857123778986532,2.857142857142857,2.857142857142857,5.714285714285714,2.089734758649554,2.5411736624581476,2.6708371298653737,3.0605861118861606,3.27651443935576,0.8639228012338195,3.6798109327043806,4.377278464181083,7.142857142857142,2.089734758649554,2.5411736624581476,2.6708371298653737,3.0605861118861606,3.27651443935576,0.8639228012338195,3.6798109327043806,4.377278464181083,7.142857142857142,3.9666666666666575,5.016666666666654,5.016666666666654,5.8499999999999845,6.106249999999989,1.2604086317466647,6.6791666666666485,7.849999999999985,9.633333333333391,7.445569402247202,12.489718058500875,13.980236885612612,18.50939714168271,21.101224126301833,10.074529158288566,25.43218410952977,33.86130265276879,65.27994064241648,1.771216240131036,2.2226551439396296,2.3523186113468557,2.6928612441612936,2.8888160266573473,0.8009748277399907,3.2384993477473194,3.870558763130633,6.547089947089944,2089729.7419828873,2541168.645791481,2670832.1131987073,3060580.3202194944,3276508.333105759,863921.787546454,3679804.1035377136,4377270.767514416,7142847.759523809,238.0,301.0,301.0,351.0,366.375,75.62451790479945,400.75,471.00000000000017,578.0
6,7474637.96188616,5.714285714285714,7.474648611886161,7.474648611886161,10.650000000000109,0,1,74.71992670744658,639,6.798458135695677,"[0.0, 7.474648611886161, -10.650000000000109]",4,44,48,0,48,0,48,0,331.4833333333337,1623.116666666664,19889,97387,1.8950304000172764,15.366236799978651,2.4404761904761902,3.8293617112295966,3.8293617112295966,3.3908916935929123,6.9059027777777855,0.0,0.0,2.857142857142857,2.857142857142857,2.4404761904761902,1.5418849817843594,2.857142857142857,2.857142857142857,5.714285714285714,2.211134774344308,2.6517557416643416,2.9465144021170477,3.4654372079031805,3.8293617112295966,1.2727116470905024,4.492082595825195,4.925393785749166,7.474648611886161,2.211134774344308,2.6517557416643416,2.9465144021170477,3.4654372079031805,3.8293617112295966,1.2727116470905024,4.492082595825195,4.925393785749166,7.474648611886161,4.383333333333323,5.016666666666654,5.2166666666666535,6.091666666666651,6.9059027777777855,2.1707346682188815,7.787499999999977,9.458333333333384,14.76666666666698,8.819371332858282,13.721593591179408,17.08368772247377,22.987643786360422,27.796471730720896,15.295588114429963,35.19405926181935,40.9127539560199,74.71992670744658,1.8926162558257904,2.333237223145824,2.560491787945784,3.0564424989084733,3.3908916935929123,1.1548727679540518,3.972998880456996,4.4030350853652545,6.798458135695677,2211129.7576776417,2651750.724997675,2946508.347950381,3465430.766236514,3829354.805326819,1272709.7595127535,4492074.154158529,4925383.672415832,7474637.96188616,263.0,301.0,313.0,365.5,414.3541666666667,130.24408009312958,467.25,567.5000000000001,886.0
7,8364228.247130766,5.714285714285714,8.364241463797432,8.364241463797432,13.216666666666903,0,1,58.55705388635397,793,7.525088024643978,"[0.0, 8.364241463797432, -13.216666666666903]",4,44,48,0,48,0,48,0,399.10000000000196,2022.216666666666,23946,121333,2.297071099979803,17.730786499974784,3.3333333333333335,4.974580151694162,4.974580151694162,4.446670098784106,8.314583333333374,0.0,2.0000000000000004,2.857142857142857,2.857142857142857,3.3333333333333335,1.6835875742536848,5.714285714285714,5.714285714285714,5.714285714285714,2.3957552228655135,2.869582039969308,3.600739070347377,4.768071855817523,4.974580151694162,1.6636442617231206,6.233692169189453,7.5016999925885886,8.364241463797432,2.3957552228655135,2.869582039969308,3.600739070347377,4.768071855817523,4.974580151694162,1.6636442617231206,6.233692169189453,7.5016999925885886,8.364241463797432,5.016666666666654,5.09833333333332,6.345833333333316,7.641666666666644,8.314583333333374,2.708266291905369,9.770833333333398,12.005000000000184,15.583333333333687,10.843047832808224,16.236662465936387,25.184443068690598,40.5464782230556,41.11773611260772,19.121379353159096,55.73784077912569,69.03363751024008,76.53339540213346,2.077236704346996,2.503656114043383,3.1723779910455954,4.288711798127998,4.446670098784106,1.5357022018042725,5.687192398152021,6.802505258227139,7.525088024643978,2395750.206198847,2869576.2766359746,3600732.324514044,4768065.739150856,4974571.837110828,1663642.1841589245,6233684.523356119,7501689.4725885885,8364228.247130766,301.0,305.9,380.75,458.5,498.875,162.49597751431673,586.25,720.3000000000004,935.0
8,9355541.460179502,8.571428571428571,9.355550493512835,9.355550493512835,9.033333333333362,0,1,82.45630511641502,542,8.78200551996786,"[0.0, 9.355550493512835, -9.033333333333362]",4,44,48,0,48,0,48,0,459.38333333333753,2481.6000000000035,27563,148896,2.7351608999888413,20.531445599975996,4.583333333333333,6.066422973360335,6.066422973360335,5.4587730615437495,9.5704861111112,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.583333333333333,1.9982631347136333,5.714285714285714,5.714285714285714,8.571428571428571,2.398578098842076,3.096758706229074,4.570892878941127,6.840643201555524,6.066422973360335,1.8728148356804666,7.451251574925014,7.996238980974471,9.355550493512835,2.398578098842076,3.096758706229074,4.570892878941127,6.840643201555524,6.066422973360335,1.8728148356804666,7.451251574925014,7.996238980974471,9.355550493512835,5.016666666666654,5.544999999999986,6.808333333333314,9.133333333333367,9.5704861111112,3.23947233568937,12.170833333333517,14.146666666666952,16.666666666667002,10.899463862275297,20.09549837398081,38.12402231013402,59.508807711303234,53.56483239965761,21.097161375185152,70.50625044479966,76.39512525126338,82.45630511641502,2.0800595803235584,2.7158063252766937,4.018567750315186,6.119697320524333,5.4587730615437495,1.738892703909477,6.7836098676005365,7.320462692906611,8.78200551996786,2398573.0821754094,3096752.706229074,4570886.5497744605,6840634.359888857,6066413.402874224,1872812.6239372867,7451241.862425014,7996226.600974472,9355541.460179502,301.0,332.7,408.5,548.0,574.2291666666666,194.36834014135522,730.25,848.8000000000002,1000.0
9,10039244.342980374,8.571428571428571,10.039255959647042,10.039255959647042,11.616666666666823,0,1,85.58969735354185,697,9.301689822080894,"[0.0, 10.039255959647042, -11.616666666666823]",4,44,48,0,48,0,48,0,454.3166666666707,2935.9166666666742,27259,176155,2.75962890003575,23.35747970000375,5.357142857142858,6.816499573843821,6.816499573843821,6.215551602062509,9.46493055555564,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142858,1.9010380265084896,5.714285714285714,8.571428571428571,8.571428571428571,2.885197230747768,3.49152592250279,5.423056738717215,7.142857142857142,6.816499573843821,2.0183799606829487,8.36956364767892,8.886856624058318,10.039255959647042,2.885197230747768,3.49152592250279,5.423056738717215,7.142857142857142,6.816499573843821,2.0183799606829487,8.36956364767892,8.886856624058318,10.039255959647042,4.016666666666658,5.8099999999999845,6.487499999999982,8.966666666666692,9.46493055555564,3.174094431194694,11.695833333333495,13.706666666666935,16.000000000000373,16.317665004258743,23.109776081706514,47.18825590610504,68.90403293818235,60.65224545857973,21.50009692458881,78.72160132229328,80.80925315320492,85.88078786432743,2.46614961170015,3.081155552132421,5.100040865701343,6.5634920634920615,6.215551602062509,1.8847606395410796,7.558698623899413,8.157762583576181,9.301689822080894,2885190.6307477676,3491519.4591694567,5423051.651217215,7142848.017857143,6816490.108913264,2018377.7673779842,8369547.935178921,8886844.67739165,10039244.342980374,241.0,348.6,389.25,538.0,567.8958333333334,190.4456658716747,701.75,822.4000000000004,960.0
10,10039244.342980374,8.571428571428571,10.039255959647042,10.039255959647042,11.616666666666823,0,1,85.58969735354185,697,9.301689822080894,"[0.0, 10.039255959647042, -11.616666666666823]",4,44,48,0,48,0,48,0,449.4833333333368,3385.400000000011,26969,203124,2.818278899998404,26.240846299973782,5.17857142857143,6.614815564382645,6.614815564382645,6.020260890661298,9.364236111111184,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.17857142857143,2.1552222607418656,5.714285714285714,8.571428571428571,8.571428571428571,2.870532444545201,3.2924085344587057,5.131989887782506,7.142857142857142,6.614815564382645,2.063886542811833,8.306319372994558,9.17059407915388,10.039255959647042,2.870532444545201,3.2924085344587057,5.131989887782506,7.142857142857142,6.614815564382645,2.063886542811833,8.306319372994558,9.17059407915388,10.039255959647042,2.883333333333328,6.141666666666651,7.16249999999998,9.025000000000027,9.364236111111184,2.847338729831818,11.387500000000145,12.850000000000218,16.500000000000345,17.146126809893758,21.107636157097296,43.35404204763472,69.42383042909205,58.75576914671698,21.9131452706247,78.09100416488945,81.95656204447151,85.88078786432743,2.4229133969261545,2.9024614445116166,4.443954437498059,6.421164021164012,6.020260890661298,1.9608008182256293,7.466511297478243,8.564832387449881,9.301689822080894,2870525.394545201,3292402.392792039,5131978.9586158395,7142845.7761904765,6614806.200146534,2063884.8350557801,8306304.9313278925,9170582.804153878,10039244.342980374,173.0,368.5,429.75,541.5,561.8541666666666,170.84032378990298,683.25,771.0,990.0
