generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2936498.758970424,2.857142857142857,2.936504908970424,2.936504908970424,6.1499999999999835,0,1,17.000569424257264,369,2.5460287184942345,"[0.0, 2.936504908970424, -6.1499999999999835]",0,48,48,0,48,0,48,0,241.93333333333277,241.93333333333277,14516,14516,7.347666700021364,7.410554699948989,0.05952380952380953,2.130113442738851,2.130113442738851,1.8100958060545482,5.040277777777766,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9213649204799108,1.9779352460588728,2.022948946271624,2.0968845912388394,2.130113442738851,0.17828826322070068,2.167914254324777,2.326204572405134,2.936504908970424,1.9213649204799108,1.9779352460588728,2.022948946271624,2.0968845912388394,2.130113442738851,0.17828826322070068,2.167914254324777,2.326204572405134,2.936504908970424,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.040277777777766,0.1618696225094685,5.016666666666654,5.016666666666654,6.1499999999999835,5.65858001315064,6.250073915084068,6.740946641919436,7.545904952883575,7.930669062931429,1.986621827065787,8.314294082338165,10.162749514122698,17.000569424257264,1.602846401961393,1.659416727540355,1.7044304277531062,1.7783660727203217,1.8100958060545482,0.17168161901803866,1.8493957358062592,2.007686053886616,2.5460287184942345,1921359.9038132443,1977930.229392206,2022943.9296049576,2096879.574572173,2130108.402461073,178288.15642852738,2167909.2376581104,2326199.5557384673,2936498.758970424,301.0,301.0,301.0,301.0,302.4166666666667,9.712177350568146,301.0,301.0,369.0
2,6240539.649916295,5.714285714285714,6.240550449916295,6.240550449916295,10.800000000000116,0,1,55.77393760159612,648,5.554836164202002,"[0.0, 6.240550449916295, -10.800000000000116]",0,48,48,0,48,0,48,0,261.46666666666613,503.3999999999989,15688,30204,1.7973980999668129,9.277508799976204,0.8928571428571429,2.6866265705653603,2.6866265705653603,2.340771191376648,5.447222222222211,0.0,0.0,0.0,0.0,0.8928571428571429,1.4470530691837165,2.857142857142857,2.857142857142857,5.714285714285714,1.7650440761021204,1.882023402622768,2.0103767939976285,2.319196973528181,2.6866265705653603,0.9782447731576837,3.058349064418248,3.719620295933316,6.240550449916295,1.7650440761021204,1.882023402622768,2.0103767939976285,2.319196973528181,2.6866265705653603,0.9782447731576837,3.058349064418248,3.719620295933316,6.240550449916295,3.733333333333325,5.016666666666654,5.016666666666654,5.016666666666654,5.447222222222211,1.0249510677871654,5.7458333333333185,6.566666666666649,10.800000000000116,4.11702341720229,5.304367268460919,6.65631673012831,10.34891888355196,14.66094340221025,11.66595529092435,18.514693556036946,28.665955250058325,55.77393760159612,1.4465255575836027,1.5635048841042503,1.6918582754791107,2.000678455009663,2.340771191376648,0.9278651140371871,2.6930051490743336,3.3486283721116497,5.554836164202002,1765039.0594354537,1882018.3859561014,2010371.777330962,2319191.9568615146,2686621.1233431376,978243.9660187165,3058343.310251581,3719613.5609333157,6240539.649916295,224.0,301.0,301.0,301.0,326.8333333333333,61.49706406722917,344.75,394.0,648.0
3,7471188.827527436,5.714285714285714,7.47119631086077,7.47119631086077,7.483333333333312,0,1,74.64629727602005,449,6.996064035728496,"[0.0, 7.47119631086077, -7.483333333333312]",0,48,48,0,48,0,48,0,270.64999999999964,774.0499999999986,16239,46443,1.8027360999840312,11.14733939996222,1.4285714285714288,3.277556271780105,3.277556271780105,2.91955362627746,5.638541666666659,0.0,0.0,0.0,0.0,1.4285714285714288,1.8442777839082938,2.857142857142857,2.857142857142857,5.714285714285714,1.7397090366908483,1.9752257210867747,2.2982188633510043,2.6989664350237166,3.277556271780105,1.481441085890798,3.684549331665039,5.367225102015905,7.47119631086077,1.7397090366908483,1.9752257210867747,2.2982188633510043,2.6989664350237166,3.277556271780105,1.481441085890798,3.684549331665039,5.367225102015905,7.47119631086077,3.049999999999994,4.921666666666654,5.016666666666654,5.016666666666654,5.638541666666659,1.5289572073091031,6.0874999999999835,7.683333333333317,10.800000000000116,3.8961272517044563,6.228875531475206,9.906202048885461,15.088191259517771,22.637567076133717,18.256232605373672,29.48589985113358,46.91080870181323,74.64629727602005,1.4211905181723306,1.656707202568257,1.9797003448324868,2.3804479165051986,2.91955362627746,1.4180094867474988,3.2906174251011446,4.960135154925959,6.996064035728496,1739704.0200241818,1975220.704420108,2298213.8466843376,2698961.41835705,3277550.6332384385,1481440.0581367498,3684545.1983317058,5367218.690349239,7471188.827527436,183.0,295.3,301.0,301.0,338.3125,91.73743243854531,365.25,461.00000000000017,648.0
4,11240717.77709496,8.571428571428571,11.240733010428293,11.240733010428293,15.23333333333367,0,1,108.6483039110899,914,10.273537243232505,"[0.0, 11.240733010428293, -15.23333333333367]",0,48,48,0,48,0,48,0,283.95,1057.9999999999986,17037,63480,2.062203200010117,13.275299399974756,2.5,3.885022004445394,3.885022004445394,3.509426766350156,5.9156249999999995,0.0,0.0,0.0,2.857142857142857,2.5,2.230356427999428,2.857142857142857,5.714285714285714,8.571428571428571,1.8129076276506697,1.9977128165108817,2.185948235648019,3.407519204275949,3.885022004445394,2.0267358569561287,4.616331372942243,7.142857142857142,11.240733010428293,1.8129076276506697,1.9977128165108817,2.185948235648019,3.407519204275949,3.885022004445394,2.0267358569561287,4.616331372942243,7.142857142857142,11.240733010428293,2.6999999999999953,3.5583333333333256,5.016666666666654,5.091666666666654,5.9156249999999995,2.1721416036741767,6.516666666666649,7.753333333333316,15.23333333333367,4.586082701629493,6.567966365000757,8.941512267887447,25.97501253709197,29.495243984790097,23.489835841682307,39.154543267562985,68.23520133793356,108.6483039110899,1.494389109132152,1.679194297992364,1.8674297171295013,3.016349929728837,3.509426766350156,1.943558340373775,4.399929256540128,6.493544973544968,10.273537243232505,1812902.6109840032,1997707.7998442152,2185943.2189813526,3407514.712609282,3885016.088820394,2026734.4998890779,4616327.96460891,7142846.916190476,11240717.77709496,162.0,213.5,301.0,305.5,354.9375,130.32849622044802,391.0,465.20000000000016,914.0
5,11240717.77709496,8.571428571428571,11.240733010428293,11.240733010428293,15.23333333333367,0,1,108.6483039110899,914,10.273537243232505,"[0.0, 11.240733010428293, -15.23333333333367]",0,48,48,0,48,0,48,0,295.7166666666669,1353.7166666666656,17743,81223,2.0804791999980807,15.422148899990134,2.9166666666666665,4.569283837363833,4.569283837363833,4.178124225370888,6.160763888888894,0.0,0.0,0.0,2.857142857142857,2.9166666666666665,2.765776227497367,5.714285714285714,5.714285714285714,8.571428571428571,1.8547003609793529,2.0007029942103793,2.264575958251953,3.9622034345354353,4.569283837363833,2.5281827192890387,6.4225373949323386,8.25480788094657,11.240733010428293,1.8547003609793529,2.0007029942103793,2.264575958251953,3.9622034345354353,4.569283837363833,2.5281827192890387,6.4225373949323386,8.25480788094657,11.240733010428293,2.9833333333333276,3.971666666666658,5.016666666666654,5.016666666666654,6.160763888888894,2.3666849803266223,7.4041666666666455,9.218333333333371,15.23333333333367,5.0691123990982305,6.503621844543522,9.470393894323934,29.04869086938561,36.15969811527475,28.00604606275271,57.614144744351506,77.93536877855658,108.6483039110899,1.5361818424608351,1.6821844756918614,1.9460574397334354,3.5256954980275,4.178124225370888,2.442352546588712,6.008923317641808,7.77249664871781,10.273537243232505,1854695.3443126862,2000697.9775437126,2264570.9415852865,3962196.5595354354,4569277.676599945,2528181.3200778905,6422527.169932339,8254798.61594657,11240717.77709496,179.0,238.3,301.0,301.0,369.6458333333333,142.00109881959443,444.25,553.1,914.0
6,11240717.77709496,8.571428571428571,11.240733010428293,11.240733010428293,15.23333333333367,0,1,108.6483039110899,914,10.447877268311839,"[0.0, 11.240733010428293, -15.23333333333367]",0,48,48,0,48,0,48,0,270.11666666666684,1623.8333333333323,16207,97430,1.9790182000142522,17.472764000005554,3.809523809523809,5.192837431317283,5.192837431317283,4.835540253186772,5.627430555555559,0.0,0.0,2.857142857142857,2.857142857142857,3.809523809523809,2.8171808490950556,5.714285714285714,8.571428571428571,8.571428571428571,1.845446995326451,2.5397551400320872,3.162508010864258,4.313864026750837,5.192837431317283,2.5650415124937274,7.022735050746373,9.379226957048688,11.240733010428293,1.845446995326451,2.5397551400320872,3.162508010864258,4.313864026750837,5.192837431317283,2.5650415124937274,7.022735050746373,9.379226957048688,11.240733010428293,2.33333333333333,2.941666666666661,4.008333333333324,5.016666666666654,5.627430555555559,2.4605204244359675,6.429166666666649,8.826666666666686,15.23333333333367,4.886761409899918,12.917606731237901,23.898306195822443,35.914371218532324,43.39807488228795,26.82133224880229,64.5891899317503,82.94430431798102,108.6483039110899,1.5269284768079332,2.2212366215135693,2.91559444003635,3.994847300695996,4.835540253186772,2.491220834991598,6.608901101571542,8.966841684169871,10.447877268311839,1845441.9786597844,2539750.123365421,3162503.8400309244,4313856.443417504,5192831.803886728,2565040.291620735,7022728.913246374,9379220.810382023,11240717.77709496,140.0,176.5,240.5,301.0,337.6458333333333,147.63122546615568,385.75,529.6,914.0
7,11240717.77709496,8.571428571428571,11.240733010428293,11.240733010428293,15.23333333333367,0,1,108.6483039110899,914,10.447877268311839,"[0.0, 11.240733010428293, -15.23333333333367]",0,48,48,0,48,0,48,0,253.58333333333326,1877.4166666666656,15215,112645,1.8212674999958836,19.361435399972834,3.392857142857143,4.9514031410217285,4.9514031410217285,4.6159754514273725,5.28298611111111,0.0,0.0,2.142857142857143,2.857142857142857,3.392857142857143,2.714050741709047,5.714285714285714,8.571428571428571,8.571428571428571,1.845158168247768,2.199949537004743,2.839930398123605,4.33426993233817,4.9514031410217285,2.543664429473954,6.916224615914481,8.971306392124724,11.240733010428293,1.845158168247768,2.199949537004743,2.839930398123605,4.33426993233817,4.9514031410217285,2.543664429473954,6.916224615914481,8.971306392124724,11.240733010428293,2.3833333333333298,3.1416666666666604,4.36249999999999,5.016666666666654,5.28298611111111,2.0918063520847436,5.6208333333333185,6.988333333333317,15.23333333333367,4.895148422452621,8.683131756924558,18.2607308836632,36.503996916115284,40.81972023238465,27.284799007854,62.499059945344925,81.13716818094255,108.6483039110899,1.5266396497292503,1.8814310184862253,2.4531579113511195,4.038511245969743,4.6159754514273725,2.499197699299822,6.45060153940998,8.649084169902501,10.447877268311839,1845153.1515811014,2199944.5203380766,2839924.3064569384,4334265.20733817,4951397.8580356175,2543663.6806351985,6916218.540914481,8971301.317124723,11240717.77709496,143.0,188.5,261.75,301.0,316.9791666666667,125.5083811250822,337.25,419.30000000000024,914.0
8,13748667.73842541,11.428571428571429,13.748675755092076,13.748675755092076,8.016666666666644,0,1,126.3331218957901,481,13.239681046097369,"[0.0, 13.748675755092076, -8.016666666666644]",0,48,48,0,48,0,48,0,252.58333333333331,2129.999999999999,15155,127800,1.8166044999961741,21.245622399961576,3.9285714285714284,5.484428746359689,5.484428746359689,5.150323808088084,5.262152777777778,0.0,2.0000000000000004,2.857142857142857,2.857142857142857,3.9285714285714284,2.5836350493107982,5.714285714285714,8.571428571428571,11.428571428571429,2.110917227608817,2.692750658307757,3.8539736611502513,4.685001373291016,5.484428746359689,2.647083114755922,6.64130755833217,9.375970567975727,13.748675755092076,2.110917227608817,2.692750658307757,3.8539736611502513,4.685001373291016,5.484428746359689,2.647083114755922,6.64130755833217,9.375970567975727,13.748675755092076,2.3833333333333298,2.8949999999999947,3.645833333333325,5.016666666666654,5.262152777777778,2.3696302346318383,6.079166666666651,8.046666666666646,15.23333333333367,8.477686436730437,16.93147821781531,31.197166673839092,40.00786619633436,46.34564567851476,26.715383361622816,58.8086716334692,83.39486033320428,126.3331218957901,1.792398709090299,2.184602510159607,3.6636243688997143,4.474419362709005,5.150323808088084,2.589405654251963,6.349773166797779,9.067716599721761,13.239681046097369,2110912.21094215,2692742.654974424,3853970.9778169184,4684998.056624349,5484423.484206911,2647082.1488920753,6641302.966665504,9375965.712975727,13748667.73842541,143.0,173.7,218.75,301.0,315.7291666666667,142.17781407790815,364.75,482.8,914.0
9,13814027.00128813,11.428571428571429,13.814037867954799,13.814037867954799,10.866666666666786,0,1,124.55895353853703,652,13.252155776250932,"[0.0, 13.814037867954799, -10.866666666666786]",0,48,48,0,48,0,48,0,232.5333333333333,2362.5333333333324,13952,141752,1.5256240000016987,22.837892399984412,4.166666666666667,5.726568755649385,5.726568755649385,5.418984981398945,4.844444444444444,0.0,0.0,2.857142857142857,2.857142857142857,4.166666666666667,2.971424755797306,5.714285714285714,8.571428571428571,11.428571428571429,1.6167068481445315,2.730375017438616,3.6045946393694197,4.504887717110769,5.726568755649385,3.0962770317436332,7.142857142857142,10.429978234427319,13.814037867954799,1.6167068481445315,2.730375017438616,3.6045946393694197,4.504887717110769,5.726568755649385,3.0962770317436332,7.142857142857142,10.429978234427319,13.814037867954799,2.2999999999999967,2.5516666666666623,3.4541666666666595,4.683333333333322,4.844444444444444,2.2755553181966395,5.729166666666652,6.779999999999982,15.23333333333367,3.2505803123422083,16.65970334460726,27.201401632279158,37.67379807680845,49.6803515839174,31.224414278516765,68.29434226453304,91.01256015300754,126.3331218957901,1.2981883296260137,2.411856498920098,3.2494720277332134,4.3218584938654825,5.418984981398945,3.0137256567938877,6.851587301587302,10.017570406797699,13.252155776250932,1616701.8314778649,2730370.000771949,3604589.32686942,4504885.025444103,5726563.911204941,3096275.6958010215,7142852.555357142,10429972.562760651,13814027.00128813,138.0,153.1,207.25,281.0,290.6666666666667,136.53331909179613,343.75,406.8,914.0
10,13814027.00128813,11.428571428571429,13.814037867954799,13.814037867954799,10.866666666666786,0,1,124.55895353853703,652,13.252155776250932,"[0.0, 13.814037867954799, -10.866666666666786]",0,48,48,0,48,0,48,0,255.90000000000026,2618.4333333333325,15354,157106,1.717946299992036,24.629119299992453,4.523809523809524,6.118706975664412,6.118706975664412,5.780214912172347,5.331250000000005,0.0,2.0000000000000004,2.857142857142857,2.857142857142857,4.523809523809524,2.9642618090449364,5.714285714285714,8.571428571428571,11.428571428571429,1.702166966029576,2.9077677045549666,3.9115660531180243,5.534204755510602,6.118706975664412,3.127658887394391,7.817164829799108,10.565499169485914,13.814037867954799,1.702166966029576,2.9077677045549666,3.9115660531180243,5.534204755510602,6.118706975664412,3.127658887394391,7.817164829799108,10.565499169485914,13.814037867954799,2.116666666666664,2.5266666666666624,3.5083333333333258,5.016666666666654,5.331250000000005,2.639226495217069,6.11666666666665,8.823333333333354,15.23333333333367,3.475988488724397,17.02834827440529,31.879598300904036,48.75089596956968,53.94824481686495,32.07612996619536,77.2521677725017,96.68405507430441,126.3331218957901,1.3836484475110582,2.538138074925338,3.701897850238457,5.120401675108248,5.780214912172347,3.038804153343032,7.436279694491594,9.977562661549399,13.252155776250932,1702161.9493629094,2907761.8828883,3911562.5906180246,5534198.9471772695,6118701.644414413,3127657.4371113586,7817159.425632441,10565489.909485916,13814027.00128813,127.0,151.6,210.5,301.0,319.875,158.35358971302165,367.0,529.4000000000001,914.0
