generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,3365270.6149600074,2.857142857142857,3.365276881626674,3.365276881626674,6.26666666666665,0,1,21.739200237527257,376,2.9673932837430774,"[0.0, 3.365276881626674, -6.26666666666665]",0,48,48,0,48,0,48,0,242.0499999999994,242.0499999999994,14523,14523,19.711253899964504,19.780602200014982,0.05952380952380953,2.2151087579273043,2.2151087579273043,1.894936800255347,5.04270833333332,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9813755580357144,2.002929142543248,2.028867176600865,2.124988010951451,2.2151087579273043,0.261220741345989,2.272882461547851,2.5485812595912396,3.365276881626674,1.9813755580357144,2.002929142543248,2.028867176600865,2.124988010951451,2.2151087579273043,0.261220741345989,2.272882461547851,2.5485812595912396,3.365276881626674,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.04270833333332,0.1785326718854432,5.016666666666654,5.016666666666654,6.26666666666665,6.27434383900254,6.524203501745797,6.805646157499723,7.856183532443538,8.870591125594425,2.9082971971799014,9.487995040406531,12.556158525893997,21.739200237527257,1.6628570395171967,1.68441062402473,1.7103486580823475,1.8064694924329332,1.894936800255347,0.25408915986406744,1.9543639430293336,2.2300627410727216,2.9673932837430774,1981370.5413690477,2002924.125876581,2028862.1599341985,2124982.9942847844,2215103.715218971,261220.62668325062,2272877.4448811845,2548576.2429245724,3365270.6149600074,301.0,301.0,301.0,301.0,302.5625,10.711960313126632,301.0,301.0,376.0
2,3365270.6149600074,2.857142857142857,3.365276881626674,3.365276881626674,6.26666666666665,0,1,21.739200237527257,376,2.9673932837430774,"[0.0, 3.365276881626674, -6.26666666666665]",0,48,48,0,48,0,48,0,242.7499999999994,484.7999999999988,14565,29088,2.987513099971693,22.91322869999567,0.11904761904761905,2.4704072588966004,2.4704072588966004,2.1493093752987176,5.0572916666666545,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038953,0.0,0.0,2.857142857142857,2.1645900181361606,2.286633627755301,2.3096411568777904,2.414782387869699,2.4704072588966004,0.22228555941758452,2.5812694004603793,2.7005348205566406,3.365276881626674,2.1645900181361606,2.286633627755301,2.3096411568777904,2.414782387869699,2.4704072588966004,0.22228555941758452,2.5812694004603793,2.7005348205566406,3.365276881626674,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.0572916666666545,0.20275607522751662,5.016666666666654,5.016666666666654,6.26666666666665,8.282052001333795,9.637620925338705,9.897989595479885,11.082139138394268,11.694960898196163,2.4885955885904916,12.922518930434308,14.257320665408042,21.739200237527257,1.8460714996176428,1.9681151092367835,1.9911226383592724,2.096263869351181,2.1493093752987176,0.21320957818633426,2.2627508819418614,2.3820163020381226,2.9673932837430774,2164585.001469494,2286628.6110886345,2309636.140211124,2414777.3712030323,2470402.201604934,222285.41351801407,2581264.3837937126,2700529.803889974,3365270.6149600074,301.0,301.0,301.0,301.0,303.4375,12.16536451365104,301.0,301.0,376.0
3,3365270.6149600074,2.857142857142857,3.365276881626674,3.365276881626674,6.26666666666665,0,1,21.739200237527257,376,2.9673932837430774,"[0.0, 3.365276881626674, -6.26666666666665]",0,48,48,0,48,0,48,0,247.94999999999942,732.7499999999982,14877,43965,2.944472200004384,25.938939600018784,0.35714285714285715,2.66196988877796,2.66196988877796,2.33399369830177,5.165624999999988,0.0,0.0,0.0,0.0,0.35714285714285715,0.944911182523068,0.0,2.857142857142857,2.857142857142857,2.2550582885742188,2.4854294913155695,2.53894533429827,2.619765145438058,2.66196988877796,0.20721233160949573,2.7185044969831194,2.878659384591239,3.365276881626674,2.2550582885742188,2.4854294913155695,2.53894533429827,2.619765145438058,2.66196988877796,0.20721233160949573,2.7185044969831194,2.878659384591239,3.365276881626674,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.165624999999988,0.41761567273719447,5.016666666666654,5.751666666666652,6.899999999999981,9.286262932844693,11.84971441308735,12.45828421790793,13.347301177389454,13.83495420654996,2.324813330105886,14.452441570771043,16.249107139080298,21.739200237527257,1.936539770055701,2.166910972797052,2.220426815779752,2.30124662691954,2.33399369830177,0.18973709186306034,2.399985978464602,2.512573226040634,2.9673932837430774,2255053.271907552,2485424.4746489027,2538940.3176316037,2619760.1287713917,2661964.72315296,207212.04126120734,2718499.4803164527,2878652.629591239,3365270.6149600074,301.0,301.0,301.0,301.0,309.9375,25.056940364231757,301.0,345.1,414.0
4,3652462.2733863466,2.857142857142857,3.6524690900530135,3.6524690900530135,6.816666666666648,0,1,24.910168495494872,409,3.219664857248782,"[0.0, 3.6524690900530135, -6.816666666666648]",0,48,48,0,48,0,48,0,263.19999999999936,995.9499999999975,15792,59757,2.9585123999859206,29.00542270002188,1.1904761904761905,2.879092920394171,2.879092920394171,2.530944772246024,5.48333333333332,0.0,0.0,0.0,0.0,1.1904761904761905,1.4085904245475276,2.857142857142857,2.857142857142857,2.857142857142857,2.570887974330357,2.6470489501953125,2.703936440604074,2.798290252685547,2.879092920394171,0.2426524136060764,3.002650397164481,3.2564375741141185,3.6524690900530135,2.570887974330357,2.6470489501953125,2.703936440604074,2.798290252685547,2.879092920394171,0.2426524136060764,3.002650397164481,3.2564375741141185,3.6524690900530135,5.016666666666654,5.016666666666654,5.016666666666654,5.016666666666654,5.48333333333332,0.593609876253068,5.920833333333317,6.399999999999983,6.816666666666648,12.806908469676273,13.652911273593782,14.292980962658476,15.353772797774582,16.262213486500816,2.721398096927662,17.672223922796547,20.499317606462867,24.910168495494872,2.2523694558118397,2.328530431676795,2.385417922085556,2.4763296056676802,2.530944772246024,0.2147887737456898,2.628840873354958,2.8725222301987756,3.219664857248782,2570882.9576636907,2647043.933528646,2703931.4239374073,2798285.2360188803,2879087.437060838,242651.95384996987,3002644.509664481,3256431.527447452,3652462.2733863466,301.0,301.0,301.0,301.0,329.0,35.61659257518421,355.25,384.0,409.0
5,3844471.968801154,2.857142857142857,3.844479152134487,3.844479152134487,7.183333333333313,0,1,27.064595033414662,431,3.3883944960498322,"[0.0, 3.844479152134487, -7.183333333333313]",0,48,48,0,48,0,48,0,290.0999999999992,1286.0499999999968,17406,77163,3.756374499993399,32.89102700003423,2.678571428571429,3.113675117492676,3.113675117492676,2.7299449587625184,6.043749999999984,0.0,2.857142857142857,2.857142857142857,2.857142857142857,2.678571428571429,0.6916041689656102,2.857142857142857,2.857142857142857,2.857142857142857,2.625563485281808,2.903587886265346,2.9400062561035156,3.052528926304408,3.113675117492676,0.23934207965536478,3.3008711678641185,3.387219020298549,3.844479152134487,2.625563485281808,2.903587886265346,2.9400062561035156,3.052528926304408,3.113675117492676,0.23934207965536478,3.3008711678641185,3.387219020298549,3.844479152134487,5.016666666666654,5.733333333333318,5.8499999999999845,6.074999999999983,6.043749999999984,0.38693395036419764,6.26666666666665,6.388333333333316,7.183333333333313,13.411701161181554,16.530720089783426,16.95769774515793,18.19238440268964,18.888860271301382,2.683908804533836,20.99344661023497,21.976012095436456,27.064595033414662,2.30704496676329,2.4999900026674635,2.5505882666855273,2.68374585752134,2.7299449587625184,0.22431174482279026,2.91171772871068,2.9877481208276504,3.3883944960498322,2625558.4686151417,2903581.529598679,2940000.1227701823,3052523.117971075,3113669.073742675,239341.83050246318,3300865.0386974514,3387212.7286318825,3844471.968801154,301.0,344.0,351.0,364.5,362.625,23.216037021851943,376.0,383.3,431.0
6,5657021.224562873,2.857142857142857,5.657032557896206,5.657032557896206,11.333333333333476,0,1,47.57032121531665,680,4.937455838319477,"[0.0, 5.657032557896206, -11.333333333333476]",0,48,48,0,48,0,48,0,306.8333333333327,1592.8833333333296,18410,95573,4.213404999987688,37.210032500035595,2.7380952380952386,3.424728370848156,3.424728370848156,3.018864173317293,6.392361111111097,0.0,2.857142857142857,2.857142857142857,2.857142857142857,2.7380952380952386,0.5709323242038952,2.857142857142857,2.857142857142857,2.857142857142857,2.8167016165597096,3.0860345023018976,3.2438319069998607,3.38702883039202,3.424728370848156,0.40028357667705655,3.5176481519426623,3.7065522330147878,5.657032557896206,2.8167016165597096,3.0860345023018976,3.2438319069998607,3.38702883039202,3.424728370848156,0.40028357667705655,3.5176481519426623,3.7065522330147878,5.657032557896206,5.016666666666654,5.811666666666651,6.016666666666651,6.283333333333316,6.392361111111097,0.8523860731774922,6.545833333333316,6.914999999999981,11.333333333333476,15.550720686616842,18.57840148511459,20.341729546533315,21.966740957694128,22.394014914397303,4.518271227294418,23.407518193940632,25.533282780554146,47.57032121531665,2.498183098041192,2.721695877963274,2.8618213249892794,2.9886161319793225,3.018864173317293,0.34664344385817997,3.1020396863341975,3.2675046139671697,4.937455838319477,2816696.599893043,3086028.763968564,3243825.890333194,3387022.5553920204,3424721.978487045,400282.7308281793,3517641.6061093286,3706545.318014788,5657021.224562873,301.0,348.7,361.0,377.0,383.5416666666667,51.14316439064842,392.75,414.90000000000003,680.0
7,5898179.869461495,5.714285714285714,5.898192269461496,5.898192269461496,12.400000000000196,0,1,51.2107753790915,744,5.110890682159896,"[0.0, 5.898192269461496, -12.400000000000196]",0,48,48,0,48,0,48,0,351.6499999999999,1944.5333333333294,21099,116672,4.480159000027925,41.842151599994395,2.9166666666666665,3.850413617633638,3.850413617633638,3.385268114988136,7.326041666666665,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,2.9166666666666665,0.4080746785953002,2.857142857142857,2.857142857142857,5.714285714285714,2.8933279854910716,3.22199467250279,3.4575557708740234,3.769730159214565,3.850413617633638,0.659308897723547,3.9157417842320035,4.888316563197546,5.898192269461496,2.8933279854910716,3.22199467250279,3.4575557708740234,3.769730159214565,3.850413617633638,0.659308897723547,3.9157417842320035,4.888316563197546,5.898192269461496,5.716666666666652,6.18666666666665,6.445833333333316,7.04999999999998,7.326041666666665,1.4347171382479993,7.379166666666646,9.458333333333385,12.400000000000196,16.41252633347176,20.092669779705467,22.836809190004715,26.237865869421512,27.247512275049456,7.52911292515941,27.988021501339972,38.888375171087695,51.2107753790915,2.4859205780836655,2.8424179529260716,3.048825612143866,3.3221111115955186,3.385268114988136,0.5697425663065109,3.450139638103507,4.287787462668442,5.110890682159896,2893321.5688244053,3221988.6941694566,3457549.333374024,3769723.109214565,3850406.2915919716,659307.4837592144,3915734.455065337,4888307.104864213,5898179.869461495,343.0,371.2,386.75,423.0,439.5625,86.08302829487742,442.75,567.5000000000001,744.0
8,8441147.726041667,5.714285714285714,8.441162109375,8.441162109375,14.383333333333628,0,1,78.92312216758728,863,7.527934596147468,"[0.0, 8.441162109375, -14.383333333333628]",0,48,48,0,48,0,48,0,445.983333333336,2390.5166666666655,26759,143431,7.069081099994946,49.073836600000504,3.392857142857143,4.8942258812132335,4.8942258812132335,4.304300837121519,9.2913194444445,2.857142857142857,2.857142857142857,2.857142857142857,2.857142857142857,3.392857142857143,1.1151782139997142,2.857142857142857,5.714285714285714,5.714285714285714,3.555221557617187,3.768811362130301,3.9937945774623325,4.529549734933036,4.8942258812132335,1.2248309941982003,5.2347741808210095,6.4829831804547995,8.441162109375,3.555221557617187,3.768811362130301,3.9937945774623325,4.529549734933036,4.8942258812132335,1.2248309941982003,5.2347741808210095,6.4829831804547995,8.441162109375,6.599999999999982,7.068333333333314,7.516666666666645,8.641666666666676,9.2913194444445,2.170573373172633,10.375000000000096,12.830000000000217,14.383333333333628,23.828272774349898,26.28047858644277,28.80006308387965,35.166984039358795,38.44340757781174,12.73925649999469,42.84174597123638,56.42969632297754,78.92312216758728,3.136173938569569,3.319075912394853,3.5165459002136563,3.9825328322314704,4.304300837121519,1.0941091587214737,4.576044022090844,5.639491116962721,7.527934596147468,3555214.957617187,3768804.2787969676,3993787.0607956657,4529541.109933035,4894216.589893789,1224828.9230842348,5234763.80582101,6482969.895454801,8441147.726041667,396.0,424.1,451.0,518.5,557.4791666666666,130.2344023903524,622.5,769.8000000000001,863.0
9,9092832.682982234,8.571428571428571,9.092851366315568,9.092851366315568,18.683333333333554,0,1,81.43485803902149,1121,7.906607980072168,"[0.0, 9.092851366315568, -18.683333333333554]",0,48,48,0,48,0,48,0,598.3333333333426,2988.850000000008,35900,179331,8.793114800006151,58.01059730001725,4.8809523809523805,6.594733737763904,6.594733737763904,5.803287529651018,12.46527777777797,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,4.8809523809523805,1.423602469416833,5.714285714285714,5.714285714285714,8.571428571428571,3.911557878766741,4.960880824497768,5.511200768607004,6.276612962995257,6.594733737763904,1.336683986546793,7.938646589006696,8.265220369611468,9.092851366315568,3.911557878766741,4.960880824497768,5.511200768607004,6.276612962995257,6.594733737763904,1.336683986546793,7.938646589006696,8.265220369611468,9.092851366315568,5.916666666666651,9.58833333333339,11.070833333333463,12.583333333333538,12.46527777777797,2.4179542387352417,13.70000000000026,15.30500000000034,18.683333333333554,27.833085127174854,39.72518319580704,46.233556614257395,54.63551334943622,56.78699500783114,14.136912495180784,70.59906881256029,77.51352030709386,81.43485803902149,3.447007614216478,4.353685057301997,4.802735160141387,5.468147354529634,5.803287529651018,1.2066653728879855,7.069056444319447,7.384515762329086,7.906607980072168,3911550.562100074,4960871.261164435,5511189.61027367,6276600.229661923,6594721.272486127,1336681.89949461,7938633.501506696,8265206.452944802,9092832.682982234,355.0,575.3,664.25,755.0,747.9166666666666,145.07725432410908,822.0,918.3,1121.0
10,9283925.05148577,8.571428571428571,9.283940451485769,9.283940451485769,15.400000000000345,0,1,81.88939835503697,924,8.30616267370797,"[0.0, 9.283940451485769, -15.400000000000345]",0,48,48,0,48,0,48,0,659.4500000000121,3648.30000000002,39567,218898,11.838242800033186,69.95387050003046,6.071428571428572,7.794559172221592,7.794559172221592,6.922270812433216,13.738541666666919,2.857142857142857,5.714285714285714,5.714285714285714,5.714285714285714,6.071428571428572,1.38320833793122,5.714285714285714,8.571428571428571,8.571428571428571,5.238162449428013,6.077817644391741,7.6225287573678155,8.112667628696986,7.794559172221592,1.0560905421120055,8.456711087908063,8.797132764543806,9.283940451485769,5.238162449428013,6.077817644391741,7.6225287573678155,8.112667628696986,7.794559172221592,1.0560905421120055,8.456711087908063,8.797132764543806,9.283940451485769,8.966666666666692,10.958333333333458,12.841666666666885,13.87500000000027,13.738541666666919,2.0501754561602734,15.05833333333366,15.8383333333337,18.683333333333554,43.8810908831656,52.490904603526,59.05525054130703,75.60728990100324,69.30206979163147,11.69774932881713,78.8625956736505,80.05430145934224,82.24847308918834,4.583135994401552,5.27019859677268,6.782933513701886,7.19475159619849,6.922270812433216,0.9805729584746953,7.517263380181836,7.867907695467494,8.30616267370797,5238152.132761346,6077804.924391742,7622516.336534482,8112652.787030321,7794545.433679926,1056089.2688878325,8456696.150408063,8797117.859543806,9283925.05148577,538.0,657.5,770.5,832.5,824.3125,123.01052736961175,903.5,950.3,1121.0
