generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,3328306.1585181775,2.857142857142857,3.3283124651227682,3.3283124651227682,6.306604590623697,0,1,22.08058949606493,345,2.927893126035549,"[0.0, 3.3283124651227682, -6.306604590623697]",0,48,48,0,48,0,48,0,241.73328536434042,241.73328536434042,13191,13191,6.665154599992093,6.759398400026839,0.05952380952380953,2.1917857442583357,2.1917857442583357,1.8720327212896315,5.036110111757092,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9167491367885043,1.9915673392159599,2.059271676199777,2.131914411272321,2.1917857442583357,0.23364047809630561,2.2990308489118307,2.419986724853516,3.3283124651227682,1.9167491367885043,1.9915673392159599,2.059271676199777,2.131914411272321,2.1917857442583357,0.23364047809630561,2.2990308489118307,2.419986724853516,3.3283124651227682,5.004800963693322,5.004800963693322,5.005646627927991,5.008470461812179,5.036110111757092,0.1853476626254177,5.012664359952397,5.012898272691111,6.306604590623697,5.613547637884039,6.402981898041617,7.15421082147077,7.940963635905064,8.63480801835552,2.6777698696650414,9.793157886959307,11.117686963698363,22.08058949606493,1.5984847329820029,1.673426210373917,1.741337737208109,1.813642581664591,1.8720327212896315,0.22549544145001651,1.9812657083598735,2.1018063522653665,2.927893126035549,1916744.1241241444,1991562.3284931807,2059266.6687402378,2131909.3984910054,2191780.708148224,233640.3473802657,2299025.8441108665,2419981.7135126474,3328306.1585181775,272.0,272.0,273.0,273.0,274.8125,10.27873259453713,274.0,275.0,345.0
2,3329543.2078536344,2.857142857142857,3.329549516950335,3.329549516950335,6.3090967006984435,0,1,22.09626329364255,344,2.928971948652021,"[0.0, 3.329549516950335, -6.3090967006984435]",0,48,48,0,48,0,48,0,245.84400736064651,487.57729272498693,13401,26592,1.4609771999530494,8.296500299999025,0.2380952380952381,2.4275736581711542,2.4275736581711542,2.102383172244373,5.121750153346802,0.0,0.0,0.0,0.0,0.2380952380952381,0.789672569132238,0.0,0.0,2.857142857142857,1.9363294328962055,2.1662581307547435,2.238740921020508,2.34978267124721,2.4275736581711542,0.280888854121114,2.5457722800118585,2.7151009695870534,3.329549516950335,1.9363294328962055,2.1662581307547435,2.238740921020508,2.34978267124721,2.4275736581711542,0.280888854121114,2.5457722800118585,2.7151009695870534,3.329549516950335,5.000144507078743,5.001797740572862,5.003074940966933,5.010483442415608,5.121750153346802,0.3753866254427564,5.014217052287492,5.018096668727441,6.52262077073344,5.831371994034271,8.31779912983402,9.116729978351941,10.353289860115183,11.265517542490821,3.208866090833556,12.53589854976235,14.430226288554696,22.09626329364255,1.6187549731772937,1.8480131786633154,1.92119032167314,2.0313784848935326,2.102383172244373,0.2644460632689487,2.2277285788718677,2.3974345449724628,2.928971948652021,1936324.4310984649,2166253.118396748,2238735.919598568,2349777.6563812746,2427568.536421001,280888.58680103195,2545767.2708235653,2715095.9663408655,3329543.2078536344,271.0,272.0,273.0,273.0,279.1875,20.331273375844745,274.0,274.0,354.0
3,4550216.660680972,2.857142857142857,4.550225394112723,4.550225394112723,8.733431750758632,0,1,34.96338243596256,477,3.9957217908899527,"[0.0, 4.550225394112723, -8.733431750758632]",0,48,48,0,48,0,48,0,260.12863042985686,747.7059231548437,14217,40809,1.5534956000046805,9.917887600022368,0.7142857142857143,2.6722039495195666,2.6722039495195666,2.3281184595329827,5.419346467288684,0.0,0.0,0.0,0.0,0.7142857142857143,1.2371791482634837,0.7142857142857143,2.857142857142857,2.857142857142857,1.8676866803850445,2.197859082903181,2.434613364083426,2.572580065046038,2.6722039495195666,0.5032394940420367,2.8544766562325616,3.106172289167133,4.550225394112723,1.8676866803850445,2.197859082903181,2.434613364083426,2.572580065046038,2.6722039495195666,0.5032394940420367,2.8544766562325616,3.106172289167133,4.550225394112723,5.000097078800971,5.0018513666250275,5.005913294464211,5.011220767184283,5.419346467288684,0.8357313963823646,5.220712790288545,6.428579715335802,8.733431750758632,5.120957227198232,8.691100076855218,11.370078357756938,12.824038549952093,14.03241664827389,5.672659489469482,16.063412836385396,18.8917752927635,34.96338243596256,1.549883828287261,1.880302489557055,2.1166828556263146,2.2540650402413256,2.3281184595329827,0.4571967726714015,2.4822134364222337,2.7292247507947294,3.9957217908899527,1867681.674990124,2197854.081386836,2434608.3566779178,2572575.048434397,2672198.5301730987,503238.7579829563,2854471.1923232153,3106166.3522434034,4550216.660680972,272.0,272.7,273.0,274.0,296.1875,45.841055220729814,286.5,351.3,477.0
4,6213148.356011125,5.714285714285714,6.213155473981584,6.213155473981584,7.117970458729582,0,1,55.77118319272995,389,5.761220841681293,"[0.0, 6.213155473981584, -7.117970458729582]",0,48,48,0,48,0,48,0,286.70827535856034,1034.414198513404,15658,56467,2.0389585999655537,12.026527100009844,1.4285714285714286,3.0277341888064426,3.0277341888064426,2.6484904383321566,5.973089069970007,0.0,0.0,0.0,0.0,1.4285714285714286,1.649572197684645,2.857142857142857,2.857142857142857,5.714285714285714,2.1023832048688615,2.1956323896135603,2.4452454703194753,2.779497419084821,3.0277341888064426,0.9067201770673784,3.324414661952427,4.201954432896207,6.213155473981584,2.1023832048688615,2.1956323896135603,2.4452454703194753,2.779497419084821,3.0277341888064426,0.9067201770673784,3.324414661952427,4.201954432896207,6.213155473981584,5.000026785110818,5.002849489199604,5.006948568777998,5.016872000909865,5.973089069970007,1.6340564952314187,6.475894118400237,7.3739376596320785,14.675103989921606,7.601675197773147,8.684098040528625,11.404336692525249,15.185101546136138,18.109877418427004,10.42819575992101,21.444570395302435,31.220487895701094,55.77118319272995,1.7847310758342383,1.8775749148102747,2.1274636537441496,2.4582107299806806,2.6484904383321566,0.819908993838814,2.93051759683033,3.7056686827064453,5.761220841681293,2102378.2018478294,2195627.380208332,2445240.465255864,2779492.412113838,3027728.215717373,906718.7817577007,3324408.46164223,4201946.616395642,6213148.356011125,272.0,273.0,273.0,275.0,326.2083333333333,89.18659239980464,355.25,401.90000000000003,801.0
5,14395913.47745296,14.285714285714285,14.395926339285714,14.395926339285714,12.861832753211674,0,1,125.72151374816895,702,13.579302037494497,"[0.0, 14.395926339285714, -12.861832753211674]",0,48,48,0,48,0,48,0,366.92585190235746,1401.3400504157614,20010,76477,2.210929099994246,14.315020100038964,3.0952380952380953,4.411863883336385,4.411863883336385,3.9265122273808863,7.644288581299114,0.0,0.0,2.857142857142857,2.857142857142857,3.0952380952380953,2.3206653201926106,2.857142857142857,5.714285714285714,14.285714285714285,1.8855176653180803,2.4927003043038507,3.057072503226144,3.8485799516950334,4.411863883336385,2.122182298585174,5.031390871320452,6.859486716134209,14.395926339285714,1.8855176653180803,2.4927003043038507,3.057072503226144,3.8485799516950334,4.411863883336385,2.122182298585174,5.031390871320452,6.859486716134209,14.395926339285714,4.845533301483874,5.00853078387839,5.819231848537678,6.740342529780396,7.644288581299114,2.5390807240095885,8.972734566559325,11.428876887409995,14.701111431900598,5.3046013740458875,11.93472920551576,18.267624594067456,27.406982766697183,34.00490915437346,22.63104544824591,42.357150403782725,62.01650102809073,125.72151374816895,1.5672537417602865,2.174900007226423,2.692324418474368,3.384781291680252,3.9265122273808863,2.0017247110501994,4.536826852740245,6.114895016871284,13.579302037494497,1885512.6526612842,2492695.2989491713,3057066.7584438086,3848572.646866138,4411856.239047804,2122180.3587820926,5031381.65518485,6859474.988814946,14395913.47745296,264.0,273.0,317.0,368.0,416.875,138.387081676723,489.0,623.0000000000001,801.0
6,14394447.544991212,14.285714285714285,14.394460405622208,14.394460405622208,12.8606309970304,0,1,125.70455940067768,702,13.577912405810753,"[0.0, 14.394460405622208, -12.8606309970304]",0,48,48,0,48,0,48,0,383.47007870287695,1784.8101291186383,20929,97406,2.4468737000133842,16.826063300017267,3.9285714285714284,5.328589677810669,5.328589677810669,4.821354123970885,7.988959972976603,0.0,0.0,2.857142857142857,2.857142857142857,3.9285714285714284,2.6486423168198794,5.714285714285714,5.714285714285714,14.285714285714285,2.256246294294085,2.702594757080078,3.2072067260742188,4.2779404776436945,5.328589677810669,2.58552928993276,7.142857142857142,8.40303693498884,14.394460405622208,2.256246294294085,2.702594757080078,3.2072067260742188,4.2779404776436945,5.328589677810669,2.58552928993276,7.142857142857142,8.40303693498884,14.394460405622208,3.112760360864015,5.0030281618965695,5.810478586439396,7.210687029009004,7.988959972976603,2.9281404321692883,9.749311371632054,11.836838834682766,16.237829261861016,9.366672010379261,14.331151368828433,20.10446681431131,32.48073961120099,43.94379213495343,27.206558999830758,68.99869841523468,78.96965703219176,125.70455940067768,1.937899992740823,2.3850375090181237,2.8291296386619673,3.750814612264925,4.821354123970885,2.444046345120496,6.649463773438213,7.6797968832617105,13.577912405810753,2256241.280339835,2702589.755553421,3207200.771360092,4277932.175411315,5328581.688850696,2585527.017271423,7142849.371911574,8403025.543958025,14394447.544991212,170.0,273.0,317.0,393.5,436.0208333333333,159.81897175441622,531.0,646.7000000000002,886.0
7,14395908.030432347,14.285714285714285,14.395920889718191,14.395920889718191,12.859285844991875,0,1,125.69991770386696,703,13.579458296385374,"[0.0, 14.395920889718191, -12.859285844991875]",0,48,48,0,48,0,48,0,469.9381248233798,2254.748253942018,25659,123065,2.9965412999736145,19.895504500018433,5.714285714285714,7.115395920617239,7.115395920617239,6.493784644395838,9.790377600487078,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.714285714285714,2.608202654786505,8.571428571428571,8.571428571428571,14.285714285714285,2.545760018484933,3.627633775983538,5.111567633492607,7.152308055332728,7.115395920617239,2.4327264558959425,8.874968120029994,9.854213442121234,14.395920889718191,2.545760018484933,3.627633775983538,5.111567633492607,7.152308055332728,7.115395920617239,2.4327264558959425,8.874968120029994,9.854213442121234,14.395920889718191,4.533282190537703,5.785044451781079,6.882931044747572,9.3678408844729,9.790377600487078,3.498363869815562,12.129131451257102,14.220275384086477,18.828666022255454,12.692494402013835,26.097377331461757,44.01356658618897,71.49060682952404,63.05456823448276,23.85240213420664,80.80717346910387,84.95425243750215,125.69991770386696,2.227188696078536,3.181729510969521,4.485400437806451,6.680238487904626,6.493784644395838,2.2976991021826865,7.996385581803386,8.976739580452993,13.579458296385374,2545755.0009866054,3627626.7529913643,5111557.390760297,7152298.12565594,7115386.130239639,2432724.2285290337,8874953.529064782,9854203.596413065,14395908.030432347,249.0,315.7,373.75,508.5,534.5625,191.12592993560554,663.0,777.3000000000001,1026.0
8,14393848.081609614,14.285714285714285,14.393860953194753,14.393860953194753,12.871585140872044,0,1,125.85611148178577,704,13.576617452187005,"[0.0, 14.393860953194753, -12.871585140872044]",0,48,48,0,48,0,48,0,449.2323401831099,2703.980594125128,24517,147582,2.843526499986183,22.807359000027645,5.357142857142858,7.078452564421153,7.078452564421153,6.484229892221273,9.359007087148123,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.357142857142858,2.894106138367433,8.571428571428571,8.571428571428571,14.285714285714285,2.6194654192243303,4.358379364013672,4.970347540719169,6.522393907819475,7.078452564421153,2.5457393612323598,9.402390888759069,10.196241106305804,14.393860953194753,2.6194654192243303,4.358379364013672,4.970347540719169,6.522393907819475,7.078452564421153,2.5457393612323598,9.402390888759069,10.196241106305804,14.393860953194753,3.8568389704052395,5.714028906787419,7.16346725806118,9.240166398323492,9.359007087148123,3.191068965940503,10.833050796043821,13.681144825085,16.97830952138231,13.435193038108991,35.94883720967918,41.69005530234426,57.7059356784448,61.3838402996098,23.41242501305226,82.53491096757352,87.68993485420943,125.85611148178577,2.301667084061964,3.826629341257681,4.467274988640272,5.793012276342477,6.484229892221273,2.41705796836009,8.76664433713091,9.397105522893423,13.576617452187005,2619460.4139005514,4358374.015750659,4970338.6287980825,6522381.933619994,7078443.205414067,2545737.258741248,9402380.000989947,10196225.23959465,14393848.081609614,210.0,311.9,390.25,504.0,510.7708333333333,174.33913783955367,592.5,746.2000000000003,927.0
9,14398899.841946095,14.285714285714285,14.398912702287948,14.398912702287948,12.860341853166368,0,1,125.7462605535984,703,13.582383060817067,"[0.0, 14.398912702287948, -12.860341853166368]",0,48,48,0,48,0,48,0,470.651171612962,3174.63176573809,25702,173284,2.7224983000196517,25.595336900034454,5.654761904761905,7.234590167091007,7.234590167091007,6.612035707285501,9.805232741936708,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.654761904761905,2.8861376005715846,8.571428571428571,8.571428571428571,14.285714285714285,3.455172947474888,4.244436536516462,5.066969735281808,6.1863572256905695,7.234590167091007,2.667880092905536,9.480680738176618,10.673664910452707,14.398912702287948,3.455172947474888,4.244436536516462,5.066969735281808,6.1863572256905695,7.234590167091007,2.667880092905536,9.480680738176618,10.673664910452707,14.398912702287948,4.132784466866306,5.230811647481377,6.009343824821936,7.683113800769387,9.805232741936708,4.688301971678204,12.734795950501637,16.60392871046925,22.451663938326472,23.51972727291286,35.232615751028064,43.631153451278806,54.25744030624628,62.64686934949759,24.02641577293952,83.14432167261839,91.3566906116903,125.7462605535984,3.0395326359607786,3.91325183795703,4.654394300298442,5.587926460733395,6.612035707285501,2.457206052819141,8.626974880558022,9.781890933867707,13.582383060817067,3455166.4011399816,4244431.32035746,5066963.92428687,6186345.202002535,7234580.361858264,2667876.644252115,9480668.052336961,10673644.94623895,14398899.841946095,225.0,286.1,328.75,419.5,535.4583333333334,255.98770790259096,696.25,908.8000000000001,1223.0
10,14399243.159913551,14.285714285714285,14.399256025041854,14.399256025041854,12.865128302984724,0,1,125.75449424982071,703,13.582422481995206,"[0.0, 14.399256025041854, -12.865128302984724]",0,48,48,0,48,0,48,0,424.5353336077323,3599.1670993458224,23128,196412,2.817459099984262,28.47652610001387,4.880952380952381,6.542675722213019,6.542675722213019,5.981121048128716,8.844486116827756,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.880952380952381,2.794451093882262,6.428571428571429,8.571428571428571,14.285714285714285,2.7630887712751115,3.913744790213449,4.587071282523019,5.572618756975446,6.542675722213019,2.58113525570371,8.50031920841762,9.60595621381487,14.399256025041854,2.7630887712751115,3.913744790213449,4.587071282523019,5.572618756975446,6.542675722213019,2.58113525570371,8.50031920841762,9.60595621381487,14.399256025041854,3.189552287286166,4.776771937407126,5.820276411141223,7.819684619412206,8.844486116827756,4.319814443010608,10.579552430742645,13.662498534426051,22.417684051001363,15.251033073844155,30.574162718653678,38.59329746104777,48.8744248598814,56.8050844262713,24.59614330219566,80.48744220659137,84.2468725591898,125.75449424982071,2.444493062896398,3.4728695873935886,4.251279473722423,5.167060666500222,5.981121048128716,2.393457321482443,7.9741420894093356,8.970447407723482,13.582422481995206,2763083.7533927043,3913736.8984808642,4587065.375398299,5572612.736379923,6542666.877726902,2581132.17772899,8500311.693508256,9605945.754491339,14399243.159913551,174.0,259.6,318.5,425.5,481.8333333333333,235.27894201469786,576.25,743.4000000000004,1221.0
