generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,2817590.3451105435,0.0,2.8175953456333707,2.8175953456333707,5.000522827089238,0,1,15.571982586494414,236,2.3413550763867765,"[0.0, 2.8175953456333707, -5.000522827089238]",0,48,48,0,48,0,48,0,240.24473564373145,240.24473564373145,11160,11160,9.959173500014003,10.026652000029571,0.0,2.1788995606558665,2.1788995606558665,1.702223497870685,5.005098659244405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8549183436802457,1.9907068525041853,2.0696313040597096,2.1323885236467635,2.1788995606558665,0.17981768238074083,2.2671576908656528,2.354735238211495,2.8175953456333707,1.8549183436802457,1.9907068525041853,2.0696313040597096,2.1323885236467635,2.1788995606558665,0.17981768238074083,2.2671576908656528,2.354735238211495,2.8175953456333707,5.000522827089238,5.000522827089238,5.002691568385382,5.00438423857374,5.005098659244405,0.003453062430258523,5.007325545401346,5.011283537442986,5.011283537442986,5.054213336523389,6.45671761775302,7.289355089262244,8.006591180401301,8.49897626451957,1.9709595155930433,9.437555613221775,10.426690530360066,15.571982586494414,1.378030196499165,1.5140476761752844,1.5925176858744141,1.655886681071554,1.702223497870685,0.1799323111178635,1.790441271823707,1.8778470910304148,2.3413550763867765,1854913.3363547001,1990701.8475828338,2069626.2943667187,2132383.520377416,2178894.555557207,179817.6835815686,2267152.685343253,2354730.23088595,2817590.3451105435,226.0,226.0,230.0,233.5,232.5,3.640054944640259,236.0,236.0,236.0
2,3211353.274675081,2.857142857142857,3.2113592965262274,3.2113592965262274,6.021851146672383,0,1,20.131315612634353,280,2.63784966350981,"[0.0, 3.2113592965262274, -6.021851146672383]",4,44,48,0,48,0,48,0,241.74774185940407,481.99247750313555,11152,22312,1.662568400031887,11.796573900035582,0.05952380952380953,2.3571172214689704,2.3571172214689704,1.877459003493963,5.036411288737585,0.0,0.0,0.0,0.0,0.05952380952380953,0.4080746785953003,0.0,0.0,2.857142857142857,1.9907869611467635,2.1407508850097656,2.2406414576939175,2.286295209612165,2.3571172214689704,0.20700112344479804,2.4769810267857144,2.596098218645368,3.2113592965262274,1.9907869611467635,2.1407508850097656,2.2406414576939175,2.286295209612165,2.3571172214689704,0.20700112344479804,2.4769810267857144,2.596098218645368,3.2113592965262274,5.000522827089238,5.0059244403433585,5.007305204285324,5.017445068480907,5.036411288737585,0.1440129298567016,5.024695610956203,5.025782204799682,6.021851146672383,6.472318823885871,8.055176265207411,9.197637198971279,9.680538091601193,10.462834452666963,2.3042448151757324,11.775015865747264,13.095739622190013,20.131315612634353,1.5140322525426342,1.662692164500324,1.7623220048864474,1.8076492853455288,1.877459003493963,0.19925523747047502,1.9997535142659584,2.119168174937497,2.63784966350981,1990781.955222323,2140745.8653932,2240636.4353396627,2286290.1838299604,2357112.1850576825,207001.03886371022,2476976.015896833,2596093.2108799093,3211353.274675081,227.0,227.0,229.0,232.0,232.33333333333334,7.757612748491353,233.0,237.0,280.0
3,3538441.157021911,2.857142857142857,3.538447788783482,3.538447788783482,6.631761571621113,0,1,23.777873470447958,321,2.9068514486290904,"[0.0, 3.538447788783482, -6.631761571621113]",4,44,48,0,48,0,48,0,243.28210168842128,725.2745791915568,11293,33605,1.77088470000308,13.674674200010486,0.11904761904761905,2.4677516165233793,2.4677516165233793,1.9850490338082578,5.068377118508777,0.0,0.0,0.0,0.0,0.11904761904761905,0.5709323242038953,0.0,0.0,2.857142857142857,1.991675240652902,2.1381770542689735,2.2794451032366068,2.4305234636579245,2.4677516165233793,0.28581660910623385,2.6305947984967912,2.7432899475097656,3.538447788783482,1.991675240652902,2.1381770542689735,2.2794451032366068,2.4305234636579245,2.4677516165233793,0.28581660910623385,2.6305947984967912,2.7432899475097656,3.538447788783482,5.000522827089238,5.008090193272675,5.010362679242023,5.013967383898922,5.068377118508777,0.26973605703216963,5.017902221883036,5.022129950464868,6.631761571621113,6.477035433556011,8.035473696309783,9.619879810843486,11.28981718349678,11.70605762354277,3.1948796763165555,13.482016334277432,14.73885891649552,23.777873470447958,1.514221564247919,1.661003109874002,1.801872057912465,1.9531395183017162,1.9850490338082578,0.26930848612094743,2.1533011539873033,2.265189670493616,2.9068514486290904,1991670.2273892995,2138172.043942557,2279440.088719631,2430518.451126498,2467746.548146261,285816.42865482514,2630589.7936291154,2743284.927456857,3538441.157021911,222.0,223.0,231.0,233.0,235.27083333333334,15.124124745106922,236.5,238.3,321.0
4,7142846.647978615,5.714285714285714,7.142857142857142,7.142857142857142,10.494878527510147,0,1,70.26019846275449,502,6.14334490214189,"[0.0, 7.142857142857142, -10.494878527510147]",4,44,48,0,48,0,48,0,270.5427944958782,995.817373687435,12587,46192,2.0357716999715194,15.809976999997161,0.9523809523809522,2.8495292436508906,2.8495292436508906,2.312737984730497,5.636308218664129,0.0,0.0,0.0,0.0,0.9523809523809522,1.579345138264476,2.857142857142857,2.857142857142857,5.714285714285714,2.037299019949777,2.266249520438058,2.3753111703055247,2.551416669573103,2.8495292436508906,0.9322115935917082,2.948673793247768,3.473178318568639,7.142857142857142,2.037299019949777,2.266249520438058,2.3753111703055247,2.551416669573103,2.8495292436508906,0.9322115935917082,2.948673793247768,3.473178318568639,7.142857142857142,5.000522827089238,5.008251441464032,5.01078379450143,5.019302574466476,5.636308218664129,1.4119604775150474,5.804223161067236,6.724619584958549,12.499215188893618,6.941410842351615,9.438510307639081,10.633049306285102,12.609139750544273,16.109496825554896,11.105665271533534,17.093445847605835,22.94652987965383,70.26019846275449,1.5590651403253821,1.7892115526707053,1.8981963946297034,2.074601613664401,2.312737984730497,0.8072225566938154,2.384975822478896,2.8565407511723615,6.14334490214189,2037293.9984940407,2266244.5115393964,2375306.16060038,2551411.663015016,2849523.607342672,932210.2673495626,2948667.619545481,3473171.843874181,7142846.647978615,225.0,226.0,231.75,234.0,262.2291666666667,66.89208958692765,266.75,321.3,576.0
5,10180177.863513164,8.571428571428571,10.18019539969308,10.18019539969308,17.536179914795948,0,1,86.70947097614408,803,8.510083026855371,"[0.0, 10.18019539969308, -17.536179914795948]",4,44,48,0,48,0,48,0,365.72156888879744,1361.5389425762323,16976,63168,2.5538082999992184,18.456511500000488,2.619047619047619,4.061796267827352,4.061796267827352,3.3361582343178333,7.619199351849947,0.0,0.0,0.0,2.857142857142857,2.619047619047619,2.3206653201926106,2.857142857142857,5.714285714285714,8.571428571428571,2.0502144949776784,2.4081083025251115,2.729402269635882,3.1444713047572543,4.061796267827352,2.0107148151895093,4.405509403773717,7.5412799290248325,10.18019539969308,2.0502144949776784,2.4081083025251115,2.729402269635882,3.1444713047572543,4.061796267827352,2.0107148151895093,4.405509403773717,7.5412799290248325,10.18019539969308,5.001907727369425,5.00610663468314,5.015348637826788,6.109728761572713,7.619199351849947,3.6166390218987927,8.053519702314988,12.835592418518939,18.178560891823324,7.08201382542029,11.010785221376137,14.643385318917353,19.547835913606832,29.582736660910694,22.08709496105522,33.944739596685395,69.50168572291733,86.70947097614408,1.5738423304663045,1.9306854133201676,2.252460498795368,2.5833447445779507,3.3361582343178333,1.6966702587342417,3.5995288536496943,6.181101870511165,8.510083026855371,2050209.493069951,2408103.289584775,2729397.261747288,3144465.4129283726,4061788.648628,2010711.4654596527,4405500.94097794,7541264.180997581,10180177.863513164,222.0,227.0,234.0,284.5,353.6666666666667,168.24737904512972,371.75,593.1000000000003,843.0
6,10180177.863513164,8.571428571428571,10.18019539969308,10.18019539969308,17.536179914795948,0,1,86.70947097614408,803,8.510083026855371,"[0.0, 10.18019539969308, -17.536179914795948]",4,44,48,0,48,0,48,0,423.32151235260574,1784.860454928838,19539,82707,2.93645869998727,21.48689669999294,3.9285714285714284,5.052456231344315,5.052456231344315,4.212532595724064,8.81919817401262,0.0,2.857142857142857,2.857142857142857,2.857142857142857,3.9285714285714284,1.9884872724392935,5.714285714285714,5.714285714285714,8.571428571428571,2.2796031406947543,3.1071188790457587,3.339826038905553,4.043388366699219,5.052456231344315,2.122403110429239,6.486109324863979,8.239731107439315,10.18019539969308,2.2796031406947543,3.1071188790457587,3.339826038905553,4.043388366699219,5.052456231344315,2.122403110429239,6.486109324863979,8.239731107439315,10.18019539969308,3.6211947725049423,5.890061186127502,6.183195872544289,7.48504402918579,8.81919817401262,3.6024596953741135,10.329379186953833,14.49528627873445,18.178560891823324,9.591523800045252,18.893815051090495,21.78567974606267,30.5534342052415,40.08751013070347,22.006464317227373,58.20572875533253,76.46337535157801,86.70947097614408,1.8033928730293427,2.5461606708431392,2.754096047934002,3.284132456527095,4.212532595724064,1.8422650742771978,5.486809797419344,7.162512047950444,8.510083026855371,2279598.1404869435,3107112.9889845727,3339819.8641971713,4043380.394512162,5052447.41214614,2122400.0719301193,6486100.11184342,8239716.977416682,10180177.863513164,167.0,268.8,286.0,346.0,407.0625,166.45099457122507,474.5,668.8000000000001,843.0
7,14181412.6621787,11.428571428571429,14.18144226074219,14.18144226074219,29.598563488409077,0,1,127.99936026521027,1366,11.362531452322276,"[0.0, 14.18144226074219, -29.598563488409077]",4,44,48,0,48,0,48,0,452.7192777232306,2237.5797326520687,20941,103648,2.925338799948804,24.497704099980183,4.285714285714286,5.732010546184721,5.732010546184721,4.833758011019582,9.431651619233971,0.0,2.857142857142857,2.857142857142857,2.857142857142857,4.285714285714286,2.5421614885788832,5.714285714285714,8.571428571428571,11.428571428571429,2.699786594935826,3.466024671282087,3.8784653799874445,4.9078232901436945,5.732010546184721,2.4075286427599134,7.16595241001674,9.055410385131836,14.18144226074219,2.699786594935826,3.466024671282087,3.8784653799874445,4.9078232901436945,5.732010546184721,2.4075286427599134,7.16595241001674,9.055410385131836,14.18144226074219,5.014873309056751,5.736660386939215,6.726962869457669,8.41224685810858,9.431651619233971,4.271388345903274,10.498279336384877,14.180932556385077,29.598563488409077,14.244164338393603,23.665858877263965,29.512345139752142,40.17830564454198,48.17671015960938,24.54486672282725,69.77831250149757,80.56736992485821,127.99936026521027,2.2221796131208973,2.8390612600328273,3.1420992787490203,4.08571272671871,4.833758011019582,2.065998900303907,6.220804256667291,7.7289906599095755,11.362531452322276,2699781.580062517,3466018.0881662685,3878457.6481433813,4907815.7339833705,5732001.114533101,2407524.950189124,7165942.485961131,9055394.219313093,14181412.6621787,233.0,267.5,320.75,386.5,436.2708333333333,196.76379023922453,482.75,658.2,1366.0
8,14181412.6621787,11.428571428571429,14.18144226074219,14.18144226074219,29.598563488409077,0,1,127.99936026521027,1366,11.362531452322276,"[0.0, 14.18144226074219, -29.598563488409077]",4,44,48,0,48,0,48,0,488.13104756599023,2725.710780218059,22621,126269,3.242626700026449,27.83820190001279,5.178571428571429,6.7488317262558715,6.7488317262558715,5.780317742990017,10.169396824291463,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.178571428571429,2.380208217039548,5.714285714285714,8.571428571428571,11.428571428571429,2.125042506626674,4.210863385881697,4.575010027204241,6.844782148088727,6.7488317262558715,2.396640698662341,8.359691756112234,9.629964011056085,14.18144226074219,2.125042506626674,4.210863385881697,4.575010027204241,6.844782148088727,6.7488317262558715,2.396640698662341,8.359691756112234,9.629964011056085,14.18144226074219,4.683432565162487,6.0965454874352005,7.691063802022136,9.202044075805704,10.169396824291463,4.364889971306649,11.918416586645836,14.587731433838684,29.598563488409077,7.894201212548069,31.343420538492502,37.891153789591044,60.936987108550966,58.834831536228194,23.88627561900884,78.5822190809995,83.50904081631454,127.99936026521027,1.6481846446030577,3.4423545115151386,3.8846769091240354,5.734283324235957,5.780317742990017,2.138871788048834,7.384422864804021,8.4831508460223,11.362531452322276,2125037.4996191226,4210855.3165385155,4575004.190966932,6844770.487851078,6748821.556859046,2396637.7590917246,8359678.177079045,9629950.047477473,14181412.6621787,225.0,276.0,349.5,430.0,471.2708333333333,201.57936191313226,555.0,679.6,1366.0
9,14181412.6621787,11.428571428571429,14.18144226074219,14.18144226074219,29.598563488409077,0,1,127.99936026521027,1366,11.362531452322276,"[0.0, 14.18144226074219, -29.598563488409077]",4,44,48,0,48,0,48,0,504.8184297563402,3230.5292099743992,23401,149670,3.286138799972832,31.221434200007934,6.19047619047619,7.679835501171294,7.679835501171294,6.678211632607126,10.517050619923754,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,6.19047619047619,2.6298478612350618,8.571428571428571,8.571428571428571,11.428571428571429,3.0163301740373885,4.283684866768973,5.273547853742326,8.34226199558803,7.679835501171294,2.514080193636744,9.261061804635183,10.14093453543527,14.18144226074219,3.0163301740373885,4.283684866768973,5.273547853742326,8.34226199558803,7.679835501171294,2.514080193636744,9.261061804635183,10.14093453543527,14.18144226074219,4.0560285655146675,6.012977487515113,7.45282166457789,8.765378717597384,10.517050619923754,4.81800976818679,12.751138176373285,16.52031803988568,29.598563488409077,17.822482730000047,33.743429562356326,44.7920683962293,77.42293073236942,67.91875032988962,24.597898532743,82.37226952239871,86.57869211770594,127.99936026521027,2.447687955690731,3.5931356881723597,4.615906073197464,7.3269089246666645,6.678211632607126,2.2180852502411805,8.374455970748642,8.972569165283343,11.362531452322276,3016324.203294096,4283680.174586949,5273538.812999792,8342249.026550226,7679824.9841206735,2514076.8289688667,9261051.75500862,10140922.713244636,14181412.6621787,182.0,283.7,345.5,410.0,487.5208333333333,223.01522645917902,591.5,769.4000000000002,1366.0
10,14232855.971033668,11.428571428571429,14.232875279017856,14.232875279017856,19.307984188737695,0,1,126.41488217189908,900,12.394019641995218,"[0.0, 14.232875279017856, -19.307984188737695]",4,44,48,0,48,0,48,0,467.0983368043233,3697.6275467787227,21708,171378,3.119942200020887,34.43688370002201,5.833333333333333,7.544449283963158,7.544449283963158,6.617666869668864,9.73121535009007,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.833333333333333,2.669959701429262,8.571428571428571,8.571428571428571,11.428571428571429,3.542960030691964,4.6880340576171875,5.072338921683175,7.612540381295341,7.544449283963158,2.582096233235157,8.907412120274135,10.440068108694895,14.232875279017856,3.542960030691964,4.6880340576171875,5.072338921683175,7.612540381295341,7.544449283963158,2.582096233235157,8.907412120274135,10.440068108694895,14.232875279017856,2.9639139374434973,5.046676752311103,7.100226671701161,8.655750391503673,9.73121535009007,4.789517890539491,10.982822844032674,14.534403370147247,29.598563488409077,24.091385856969282,39.265999094769356,43.85689683118835,75.5790961459279,68.07846582322236,24.713014440072527,80.72562030516565,90.41863896399738,127.99936026521027,2.907835092560406,4.015322973227529,4.573886817081955,6.604848728354952,6.617666869668864,2.2559809978583094,7.963311472125304,9.27846355373795,12.394019641995218,3542953.361880114,4688026.025567412,5072330.792579299,7612529.92056435,7544439.552747808,2582092.602213424,8907402.275602732,10440049.817166705,14232855.971033668,136.0,244.8,325.75,398.0,452.25,221.4894184831411,510.5,679.8000000000002,1366.0
