generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,5665172.574089911,2.857142857142857,5.6651796613420755,5.6651796613420755,7.087252164412577,0,1,50.008539102971554,327,5.215195396934928,"[0.0, 5.6651796613420755, -7.087252164412577]",0,48,48,0,48,0,48,0,253.7760737220179,253.7760737220179,11798,11798,11.529773700007354,11.565342999994755,0.5952380952380952,2.6376150903247653,2.6376150903247653,2.3019324531263288,5.2870015358753735,0.0,0.0,0.0,0.0,0.5952380952380952,1.1603326600963053,0.0,2.857142857142857,2.857142857142857,2.109113420758929,2.2023598807198663,2.2946248735700334,2.4503162928989957,2.6376150903247653,0.6060505807410137,2.7253314426967075,3.1999549865722656,5.6651796613420755,2.109113420758929,2.2023598807198663,2.2946248735700334,2.4503162928989957,2.6376150903247653,0.6060505807410137,2.7253314426967075,3.1999549865722656,5.6651796613420755,5.000048411749943,5.0063212223568545,5.010198631308159,5.014476864416124,5.2870015358753735,0.5942594155250931,5.025647390655001,6.060291468860931,7.68398373155152,7.824173871391395,8.729075008972723,9.756418440400012,11.53102047860375,13.768924648772858,7.289257065412982,14.555835273333287,19.89991210259541,50.008539102971554,1.791385975081004,1.8832695414313378,1.9762953229364102,2.1321116020113973,2.3019324531263288,0.5733396637957661,2.407217667209133,2.822210601438838,5.215195396934928,2109108.4165516593,2202354.8550470225,2294619.859879611,2450311.281175114,2637609.8033232293,606050.0609493975,2725326.4324047435,3199949.0370981996,5665172.574089911,224.0,225.0,230.75,235.0,245.79166666666666,27.65558889668094,242.0,281.8,344.0
2,7142846.9529863065,5.714285714285714,7.142857142857142,7.142857142857142,10.189870836148732,0,1,65.94283486530185,459,6.495881216752461,"[0.0, 7.142857142857142, -10.189870836148732]",4,44,48,0,48,0,48,0,296.35909386287653,550.1351675848945,13608,25406,5.154976200006786,16.85743069999444,1.6666666666666667,3.3078754515874955,3.3078754515874955,2.915866068170992,6.174147788809928,0.0,0.0,0.0,2.857142857142857,1.6666666666666667,1.632298714381201,2.857142857142857,2.857142857142857,5.714285714285714,2.065783909388951,2.474104200090681,2.6361901419503346,2.9110745021275113,3.3078754515874955,1.0081318915303588,3.6152676173618863,4.54481669834682,7.142857142857142,2.065783909388951,2.474104200090681,2.6361901419503346,2.9110745021275113,3.3078754515874955,1.0081318915303588,3.6152676173618863,4.54481669834682,7.142857142857142,4.640388368192143,5.002890393116187,5.009843950813482,5.715742642687616,6.174147788809928,1.60906966767657,6.8971960837652295,7.977822046132551,12.823922709291205,7.283248895400902,11.906170455449319,13.679475384666148,16.784091818852175,21.72795038287025,12.009785472231323,25.883658428443596,36.95918242875488,65.94283486530185,1.7473721366054404,2.156139205607268,2.317484652845425,2.522387152945986,2.915866068170992,0.9256181696632906,3.170848742375158,4.0498135504892225,6.495881216752461,2065778.8944035296,2474099.1921420177,2636185.1223388813,2911068.129648459,3307869.2774397074,1008130.563593392,3615260.6177646057,4544809.088570047,7142846.9529863065,217.0,226.0,229.75,263.5,283.5,73.10665724360082,316.0,360.2000000000002,587.0
3,9336808.484117297,8.571428571428571,9.336825779506139,9.336825779506139,17.295388841977665,0,1,82.97700899094343,804,8.238705853031366,"[0.0, 9.336825779506139, -17.295388841977665]",4,44,48,0,48,0,48,0,377.74231960516954,927.877487190064,17402,42808,6.45397229999071,23.51830009999685,3.154761904761905,4.364031837100075,4.364031837100075,3.864372684183184,7.869631658441032,0.0,0.0,2.857142857142857,2.857142857142857,3.154761904761905,1.9552461554353384,2.857142857142857,5.714285714285714,8.571428571428571,2.051996503557478,2.677131107875279,3.1180013929094588,3.7051500592912947,4.364031837100075,1.836582245445885,4.836254119873047,7.3399628230503655,9.336825779506139,2.051996503557478,2.677131107875279,3.1180013929094588,3.7051500592912947,4.364031837100075,1.836582245445885,4.836254119873047,7.3399628230503655,9.336825779506139,3.870948451287009,5.011543995990768,5.799770103064201,6.466763443156952,7.869631658441032,3.4546715214279,8.617077462830794,13.357906615976153,17.588207656889335,7.073950170248281,14.086754180118442,18.943083754809777,27.835923000238836,33.635245429965074,20.252566857011537,39.48897801944986,67.32541790120305,82.97700899094343,1.7335534455672625,2.359425276995399,2.747981561204826,3.2541323638521575,3.864372684183184,1.649413035800374,4.365553709238789,6.583488907212144,8.238705853031366,2051991.4880793146,2677126.1040084427,3117995.5650971094,3705142.8949016384,4364023.967468415,1836579.2414482913,4836244.595993364,7339950.99637811,9336808.484117297,178.0,231.7,270.5,299.5,362.5416666666667,159.75214635143055,391.25,620.7000000000002,820.0
4,9336808.484117297,8.571428571428571,9.336825779506139,9.336825779506139,17.295388841977665,0,1,82.97700899094343,804,8.284492514252793,"[0.0, 9.336825779506139, -17.295388841977665]",4,44,48,0,48,0,48,0,418.3265449206714,1346.2040321107354,19296,62104,6.767311800009338,30.42359389999183,3.630952380952381,5.1238132658458895,5.1238132658458895,4.57047127521008,8.715136352513987,0.0,2.857142857142857,2.857142857142857,2.857142857142857,3.630952380952381,1.998263134713633,5.714285714285714,5.714285714285714,8.571428571428571,2.386877877371652,3.019550323486328,3.6109066009521484,4.70832279750279,5.1238132658458895,1.9761034055312043,6.879914147513253,8.529766900198801,9.336825779506139,2.386877877371652,3.019550323486328,3.6109066009521484,4.70832279750279,5.1238132658458895,1.9761034055312043,6.879914147513253,8.529766900198801,9.336825779506139,4.2964509691303405,5.000486650413727,6.053024688302475,7.235453082631699,8.715136352513987,3.9864222143342887,10.184877556465661,13.999762636579366,23.4936727704246,10.756725008337526,17.869157583014747,24.853518973090104,39.673810853622854,42.17865580514596,21.581550667606272,60.194738189922646,79.86909823454917,82.97700899094343,2.0694042836495945,2.6406081588962538,3.173039431135632,4.203079056909771,4.57047127521008,1.7882879267530019,6.414907748452791,7.205235693022287,8.284492514252793,2386872.877162551,3019544.355147236,3610899.704544224,4708316.2646939345,5123804.550709537,1976100.3327152245,6879907.191458626,8529756.29236709,9336808.484117297,192.0,230.7,275.25,335.0,402.0,185.89020056653516,470.0,644.4000000000005,1090.0
5,9336808.484117297,8.571428571428571,9.336825779506139,9.336825779506139,17.295388841977665,0,1,82.97700899094343,804,8.58167994889724,"[0.0, 9.336825779506139, -17.295388841977665]",4,44,48,0,48,0,48,0,413.34543149230205,1759.5494636030376,19111,81215,7.068668299994897,37.62812429999758,4.107142857142857,5.465986785434541,5.465986785434541,4.9192335691748825,8.611363156089626,0.0,0.0,2.857142857142857,2.857142857142857,4.107142857142857,2.535881952873904,5.714285714285714,8.571428571428571,8.571428571428571,2.407564435686384,2.812207358224051,3.6322362082345148,4.599813733782087,5.465986785434541,2.1949630167038117,7.142857142857142,8.913327898297991,9.336825779506139,2.407564435686384,2.812207358224051,3.6322362082345148,4.599813733782087,5.465986785434541,2.1949630167038117,7.142857142857142,8.913327898297991,9.336825779506139,2.8781991890298575,5.003727212069858,6.188528507145467,7.429547946438871,8.611363156089626,4.173280832636935,8.993825125047126,14.499737646692243,23.4936727704246,10.99496399279451,15.537953418849792,26.93160730530508,37.40696338471025,46.36243354189052,24.316634204195193,71.60460432432592,80.98992646709084,82.97700899094343,2.089916980138807,2.494168158742021,3.2644215274147816,4.18727211476193,4.9192335691748825,2.009500009022903,6.626856918265808,7.865627630573402,8.58167994889724,2407559.4327389593,2812202.3491066596,3632230.415153292,4599807.236251588,5465978.1740713855,2194959.9671759764,7142849.992934101,8913311.664430885,9336808.484117297,140.0,226.8,283.5,343.0,398.1458333333333,194.21176045570863,420.0,683.1,1090.0
6,9801088.030131288,8.571428571428571,9.80109623500279,9.80109623500279,8.20487150095409,0,1,84.5891668125987,379,9.280152012719991,"[0.0, 9.80109623500279, -8.20487150095409]",4,44,48,0,48,0,48,0,442.3488913746845,2201.898354977722,20375,101590,8.107337499997811,45.87213799999154,4.940476190476191,6.464132184074038,6.464132184074038,5.879014602890593,9.21560190363926,0.0,2.857142857142857,2.857142857142857,5.714285714285714,4.940476190476191,2.161788071111295,5.714285714285714,8.571428571428571,8.571428571428571,2.4750137329101562,3.6054665701729913,5.02690315246582,7.142857142857142,6.464132184074038,1.9468993812392328,7.785100255693708,9.029942376273018,9.80109623500279,2.4750137329101562,3.6054665701729913,5.02690315246582,7.142857142857142,6.464132184074038,1.9468993812392328,7.785100255693708,9.029942376273018,9.80109623500279,5.0231751110699205,5.998509451740712,6.893726434298221,8.258657784028218,9.21560190363926,3.3465567243732464,11.360992055675158,12.921517743900255,22.206391696630835,11.739709520945325,24.50233021498716,40.58413286018185,65.66727471724153,57.989438357854546,21.63312452619812,76.5411198399961,81.01887128986418,84.93754610791802,2.1560642358170226,3.1753904640357096,4.381687825262706,6.361860409715216,5.879014602890593,1.8368590821633513,7.178034770465633,8.152141961482359,9.280152012719991,2475008.709455577,3605459.7964743194,5026892.990324417,7142844.180771298,6464122.968472134,1946897.5144681092,7785092.270375108,9029933.252117889,9801088.030131288,229.0,275.0,316.75,385.5,424.4791666666667,154.46507015926144,525.25,604.0000000000001,1009.0
7,11386660.658025399,8.571428571428571,11.386683327811104,11.386683327811104,22.669785705207268,0,1,96.47147621586919,1050,9.947331854464611,"[0.0, 11.386683327811104, -22.669785705207268]",4,44,48,0,48,0,48,0,459.3417702907969,2661.240125268519,21222,122812,8.002335900004255,54.01066010000068,5.416666666666667,6.778111911955333,6.778111911955333,6.170516977708249,9.569620214391602,0.0,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.3502484550475753,6.428571428571429,8.571428571428571,8.571428571428571,2.4324962071010043,3.410406930106027,5.1932975224086215,7.142857142857142,6.778111911955333,2.149383474424143,8.608050346374512,9.258337565830775,11.386683327811104,2.4324962071010043,3.410406930106027,5.1932975224086215,7.142857142857142,6.778111911955333,2.149383474424143,8.608050346374512,9.258337565830775,11.386683327811104,4.358957285093781,5.185986714005347,6.391599971921295,8.979955469754085,9.569620214391602,4.247620708029258,11.888397731073464,13.732497267923165,22.669785705207268,11.2584440735518,24.0879906273447,45.218380853533745,67.0115307122469,60.547591188173705,22.355922879391205,79.61516990372911,82.08343681320548,96.47147621586919,2.1135385266667495,2.9869855200015363,4.786565383312091,6.514609192485111,6.170516977708249,1.9905908489106117,7.9815963743667595,8.4244444582329,9.947331854464611,2432491.1835175375,3410400.261218818,5193291.762319903,7142847.247951925,6778102.34233512,2149380.799345481,8608042.553704213,9258326.219175555,11386660.658025399,196.0,240.3,292.5,413.0,442.125,196.54522645352307,547.0,641.6000000000003,1050.0
8,11386660.658025399,8.571428571428571,11.386683327811104,11.386683327811104,22.669785705207268,0,1,96.47147621586919,1050,10.176815572010549,"[0.0, 11.386683327811104, -22.669785705207268]",4,44,48,0,48,0,48,0,414.7867812368425,3076.0269065053617,19084,141896,6.613112099992577,60.76439609999943,5.416666666666667,6.845532712482272,6.845532712482272,6.296872948941473,8.641391275767552,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.416666666666667,2.276737083203009,8.571428571428571,8.571428571428571,8.571428571428571,3.3198710850306923,3.9546083722795764,4.740520204816546,7.142857142857142,6.845532712482272,2.249747468096027,8.762674331665039,9.896314348493306,11.386683327811104,3.3198710850306923,3.9546083722795764,4.740520204816546,7.142857142857142,6.845532712482272,2.249747468096027,8.762674331665039,9.896314348493306,11.386683327811104,3.2117331755777623,5.403576468769655,6.424305838312133,7.910125465326373,8.641391275767552,3.878313137508124,9.21718078819633,12.074428634700793,22.669785705207268,21.193099912023172,30.028995730075987,40.29360090941191,68.26528502814472,60.79357415624023,21.912857306300257,80.1976999938488,85.40810026675463,96.47147621586919,2.929173781265324,3.541239079347433,4.334676664777018,6.5328348276935095,6.296872948941473,2.102843598317074,8.019144025981994,9.21247342605812,10.176815572010549,3319864.9315481577,3954601.8617132124,4740512.331292227,7142847.535005679,6845524.071090996,2249745.0176562495,8762666.230656719,9896304.187106056,11386660.658025399,151.0,238.6,296.5,366.0,397.5833333333333,178.91348390275738,429.25,553.8000000000001,1050.0
9,11386660.658025399,8.571428571428571,11.386683327811104,11.386683327811104,22.669785705207268,0,1,96.47147621586919,1050,10.176815572010549,"[0.0, 11.386683327811104, -22.669785705207268]",4,44,48,0,48,0,48,0,397.8828097977479,3473.9097163031097,18373,160269,6.754517299996223,67.65574360000028,5.654761904761905,7.064995481854393,7.064995481854393,6.53869546889441,8.289225204119747,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.654761904761905,2.5077826705882016,8.571428571428571,8.571428571428571,8.571428571428571,3.1537628173828125,4.468686240059989,5.1268495832170755,7.142857142857142,7.064995481854393,2.247111196890695,8.965702738080706,10.07295308794294,11.386683327811104,3.1537628173828125,4.468686240059989,5.1268495832170755,7.142857142857142,7.064995481854393,2.247111196890695,8.965702738080706,10.07295308794294,11.386683327811104,3.5155048313101496,4.655339347971354,6.047452102835211,7.348775496123933,8.289225204119747,3.512844141345046,10.484904528239179,12.074428634700793,22.669785705207268,19.515734756249003,36.73691806010902,44.34525780938566,65.5714969523251,62.087949969820635,20.855232291042217,81.14016376622021,86.33637809082866,96.47147621586919,2.784298506185526,4.04299596125258,4.780698461946367,6.6060246649754255,6.53869546889441,2.0981073687749108,8.438301137995282,9.391669077441117,10.176815572010549,3153756.9983199113,4468679.535438097,5126843.739282865,7142848.687745616,7064987.192629188,2247108.7535549896,8965695.321532877,10072942.357719775,11386660.658025399,166.0,213.1,279.25,335.0,382.7708333333333,162.65508491684346,482.25,555.2,1050.0
10,14737775.336172063,14.285714285714285,14.737794058663503,14.737794058663503,18.72249144131147,0,1,127.59814126044512,860,13.54906444334214,"[0.0, 14.737794058663503, -18.72249144131147]",4,44,48,0,48,0,48,0,378.6294684286315,3852.5391847317414,17459,177728,6.404121500003384,74.19729619999998,5.535714285714285,7.105813083194551,7.105813083194551,6.604980452997949,7.88811392559649,2.857142857142857,2.857142857142857,2.857142857142857,5.714285714285714,5.535714285714285,2.8812229310192734,8.571428571428571,8.571428571428571,14.285714285714285,3.1720788138253346,4.159220014299665,4.811521257672991,6.917768205915179,7.105813083194551,2.6170397277243063,9.083883421761648,10.316661562238423,14.737794058663503,3.1720788138253346,4.159220014299665,4.811521257672991,6.917768205915179,7.105813083194551,2.6170397277243063,9.083883421761648,10.316661562238423,14.737794058663503,3.2034493787440748,4.056848892495144,5.440488527120861,7.088348198410255,7.88811392559649,3.896829804681206,9.133285851558195,12.074428634700793,22.669785705207268,19.56361370626837,34.3523147419095,40.93536288291216,62.74347868561745,62.014349605148404,23.852776506097584,81.66745318844914,88.23868541792035,127.59814126044512,2.8014331844284106,3.909627878918148,4.541533052719063,6.472919790610119,6.604980452997949,2.448733509820506,8.61743335650818,9.697977710258588,13.54906444334214,3172072.9761566715,4159216.083223533,4811516.609638134,6917761.199552638,7105805.195080626,2617036.9779370157,9083875.498545833,10316651.817967754,14737775.336172063,142.0,193.2,247.5,332.5,363.7291666666667,179.6702697052916,419.75,553.8000000000001,1050.0
