generation,best_fitness,best_progress,best_dense_progress,best_ranking_progress,best_time,best_finished,best_crashes,best_distance,best_steps,best_reward,best_ranking_key,cached_evaluations,evaluated_count,population_size,finish_count,crash_count,timeout_count,terminated_count,truncated_count,virtual_time_sum,cumulative_virtual_time,virtual_steps_sum,cumulative_virtual_steps,generation_wall_seconds,cumulative_wall_seconds,mean_progress,mean_dense_progress,mean_ranking_progress,mean_reward,mean_time,progress_min,progress_p10,progress_p25,progress_median,progress_mean,progress_std,progress_p75,progress_p90,progress_max,dense_progress_min,dense_progress_p10,dense_progress_p25,dense_progress_median,dense_progress_mean,dense_progress_std,dense_progress_p75,dense_progress_p90,dense_progress_max,ranking_progress_min,ranking_progress_p10,ranking_progress_p25,ranking_progress_median,ranking_progress_mean,ranking_progress_std,ranking_progress_p75,ranking_progress_p90,ranking_progress_max,time_min,time_p10,time_p25,time_median,time_mean,time_std,time_p75,time_p90,time_max,distance_min,distance_p10,distance_p25,distance_median,distance_mean,distance_std,distance_p75,distance_p90,distance_max,reward_min,reward_p10,reward_p25,reward_median,reward_mean,reward_std,reward_p75,reward_p90,reward_max,fitness_min,fitness_p10,fitness_p25,fitness_median,fitness_mean,fitness_std,fitness_p75,fitness_p90,fitness_max,steps_min,steps_p10,steps_p25,steps_median,steps_mean,steps_std,steps_p75,steps_p90,steps_max
1,9124278626999.557,8.571428571428571,9.124281747000557,9.124281747000557,3.1199999999999775,0,1,79.19585587084293,312,9124278.626999557,"[0.0, 9.124281747000557, -3.1199999999999775, -1.0]",0,48,48,0,36,12,36,12,542.4400000000204,542.4400000000204,54244,54244,35.94640049998998,35.98996510001598,1.5476190476190474,2.801458495003837,2.801458495003837,2801447.1941697528,11.300833333333758,0.0,0.0,0.0,0.0,1.5476190476190474,2.605484360504677,3.5714285714285716,5.714285714285714,8.571428571428571,0.0,0.0,0.0,1.8837193080357142,2.801458495003837,2.9553026232561876,5.776090621948242,7.555015291486469,9.124281747000557,0.0,0.0,0.0,1.8837193080357142,2.801458495003837,2.9553026232561876,5.776090621948242,7.555015291486469,9.124281747000557,2.679999999999987,2.9339999999999815,5.009999999999938,5.009999999999938,11.300833333333758,11.006080295556648,19.087500000000258,30.00000000000189,30.00000000000189,5.1343994140625,5.134727047348861,7.017973893887756,66.12026308476925,101.51804713474455,115.51383983570052,181.47306355414912,293.6009622145095,293.60305971081834,-30.00000000000189,-30.00000000000189,-19.08750075000026,1883714.298034714,2801447.1941697528,2955309.6511244723,5776084.104447242,7555012.33648547,9124278.626999557,-30000000.00000189,-30000000.00000189,-19087500.750000257,1883714298034.714,2801447194169.7534,2955309651124.4717,5776084104447.242,7555012336485.469,9124278626999.557,268.0,293.4,501.0,501.0,1130.0833333333333,1100.6080295555826,1908.75,3000.0,3000.0
2,9124278626999.557,8.571428571428571,9.124281747000557,9.124281747000557,3.1199999999999775,0,1,79.19585587084293,312,9124278.626999557,"[0.0, 9.124281747000557, -3.1199999999999775, -1.0]",0,48,48,0,46,2,46,2,237.51000000000204,779.9500000000224,23751,77995,13.560496899997815,49.70043350002379,3.571428571428571,5.200314578555878,5.200314578555878,5200309.630429921,4.948125000000043,0.0,0.0,0.0,5.714285714285714,3.571428571428571,2.886751345948129,5.714285714285714,5.714285714285714,8.571428571428571,0.0,1.8836304800851003,2.110264641898019,6.730477469308035,5.200314578555878,2.8501264456384123,7.3501048769269675,8.049221311296737,9.124281747000557,0.0,1.8836304800851003,2.110264641898019,6.730477469308035,5.200314578555878,2.8501264456384123,7.3501048769269675,8.049221311296737,9.124281747000557,2.349999999999994,2.7469999999999852,2.9174999999999818,3.1749999999999763,4.948125000000043,5.351546371630568,5.009999999999938,5.018999999999938,30.00000000000189,5.134410382946953,5.135096311973757,7.669760166172637,64.23949227109551,56.99572657897655,56.939575481217986,73.38981546834111,76.3272805519402,293.5566198634915,-30.00000000000189,1883625.4700841003,2110259.6318970188,6730473.609307035,5200309.630429921,2850129.2233807133,7350101.826925967,8049218.235295736,9124278.626999557,-30000000.00000189,1883625470084.1003,2110259631897.019,6730473609307.035,5200309630429.921,2850129223380.7134,7350101826925.967,8049218235295.736,9124278626999.557,235.0,274.7,291.75,317.5,494.8125,535.1546371630197,501.0,501.90000000000003,3000.0
3,9124278626999.557,8.571428571428571,9.124281747000557,9.124281747000557,3.1199999999999775,0,1,79.19585587084293,312,9124278.626999557,"[0.0, 9.124281747000557, -3.1199999999999775, -1.0]",0,48,48,0,47,1,47,1,205.70000000000022,985.6500000000226,20570,98565,9.683950500009814,59.62797980001778,4.642857142857142,6.4303186393919445,6.4303186393919445,6430314.3539743,4.285416666666671,0.0,0.0,2.857142857142857,5.714285714285714,4.642857142857142,2.6486423168198794,5.714285714285714,6.571428571428584,8.571428571428571,0.0,1.882977076939174,5.4066508156912665,7.548488889421735,6.4303186393919445,2.5934344681936867,8.177382605416433,8.488310950143,9.124281747000557,0.0,1.882977076939174,5.4066508156912665,7.548488889421735,6.4303186393919445,2.5934344681936867,8.177382605416433,8.488310950143,9.124281747000557,2.1799999999999975,2.9269999999999814,3.0274999999999794,3.084999999999978,4.285416666666671,3.95056059225239,5.009999999999938,5.111999999999937,30.00000000000189,3.950716740830103,5.137309604258917,56.027788490428065,73.10481566563249,63.55408106996189,43.124853460252176,75.8485056720674,77.7445717960596,293.5994380802149,-30.00000000000189,1882972.0669381742,5406645.613190266,7548484.749420736,6430314.3539743,2593436.61696952,8177379.575415434,8488307.891141998,9124278.626999557,-30000000.00000189,1882972066938.174,5406645613190.267,7548484749420.735,6430314353974.3,2593436616969.5195,8177379575415.434,8488307891141.998,9124278626999.557,218.0,292.7,302.75,308.5,428.5416666666667,395.0560592252137,501.0,511.20000000000016,3000.0
4,9486990892150.227,8.571428571428571,9.486994062151227,9.486994062151227,3.1699999999999764,0,1,80.67763930559158,317,9486990.892150227,"[0.0, 9.486994062151227, -3.1699999999999764, -1.0]",0,48,48,0,47,1,47,1,186.76000000000062,1172.4100000000233,18676,117241,10.48396149999462,70.25370840000687,5.595238095238095,7.284759680430095,7.284759680430095,7284755.789595782,3.890833333333346,0.0,0.0,5.714285714285714,5.714285714285714,5.595238095238095,2.4714927966698443,5.714285714285714,8.571428571428571,8.571428571428571,0.0,2.1107232230050226,7.320060048784529,8.07577133178711,7.284759680430095,2.3794680913420625,8.561523982456752,8.92982155936105,9.486994062151227,0.0,2.1107232230050226,7.320060048784529,8.07577133178711,7.284759680430095,2.3794680913420625,8.561523982456752,8.92982155936105,9.486994062151227,2.819999999999984,2.963999999999981,3.00999999999998,3.0699999999999785,3.890833333333346,3.878839406174346,3.147499999999977,5.009999999999938,30.00000000000189,5.13475836449652,38.737139428091545,72.07501222193241,75.55580437555909,72.29409692134391,37.97281208293015,77.34664072282612,78.63335397914052,291.0959539330797,-30.00000000000189,2110718.2130040224,7320056.618783529,8075768.311786109,7284755.789595782,2379470.3364838306,8561520.912455752,8929818.45936005,9486990.892150227,-30000000.00000189,2110718213004.0225,7320056618783.529,8075768311786.108,7284755789595.781,2379470336483.8306,8561520912455.752,8929818459360.05,9486990892150.227,282.0,296.4,301.0,307.0,389.0833333333333,387.883940617408,314.75,501.0,3000.0
5,9586993180968.586,8.571428571428571,9.586996350969587,9.586996350969587,3.1699999999999764,0,1,81.07661265134811,317,9586993.180968586,"[0.0, 9.586996350969587, -3.1699999999999764, -1.0]",0,48,48,0,48,0,48,0,178.34999999999832,1350.7600000000216,17835,135076,8.323498499987181,78.74467720001121,5.714285714285714,6.962398290634155,6.962398290634155,6962394.575008155,3.715624999999965,0.0,0.0,2.857142857142857,5.714285714285714,5.714285714285714,3.2471861183299655,8.571428571428571,8.571428571428571,8.571428571428571,0.0,2.0411208016531805,5.358054297310966,8.422535487583705,6.962398290634155,2.7628195702630074,8.976337569100515,9.16319274902344,9.586996350969587,0.0,2.0411208016531805,5.358054297310966,8.422535487583705,6.962398290634155,2.7628195702630074,8.976337569100515,9.16319274902344,9.586996350969587,2.1199999999999988,2.9769999999999803,3.0699999999999785,3.1099999999999777,3.715624999999965,1.1823950028261596,4.88249999999994,5.180999999999936,7.539999999999884,5.135119047408807,7.669552077439585,45.80173265277335,76.74850279465318,61.30428018150784,26.073841733632285,78.54914693720639,79.36443157196045,81.07661265134811,-5.580000999999926,2041115.7916521807,5358049.092309967,8422532.432582706,6962394.575008155,2762820.359880932,8976334.469099516,9163189.633022439,9586993.180968586,-5580000.9999999255,2041115791652.1807,5358049092309.966,8422532432582.705,6962394575008.156,2762820359880.932,8976334469099.516,9163189633022.44,9586993180968.586,212.0,297.7,307.0,311.0,371.5625,118.23950028261848,488.25,518.1000000000003,754.0
6,9586993180968.586,8.571428571428571,9.586996350969587,9.586996350969587,3.1699999999999764,0,1,81.07661265134811,317,9586993.180968586,"[0.0, 9.586996350969587, -3.1699999999999764, -1.0]",0,48,48,0,48,0,48,0,177.62999999999835,1528.3900000000199,17763,152839,8.569469699985348,87.47404790000292,6.07142857142857,7.280000618525913,7.280000618525913,7279996.917899914,3.7006249999999654,0.0,0.0,5.714285714285714,8.571428571428571,6.07142857142857,3.3818744550813786,8.571428571428571,8.571428571428571,8.571428571428571,1.878476824079241,2.0404750279017856,7.010478973388672,8.699403490339007,7.280000618525913,2.823686528938827,9.071638243538994,9.420572008405413,9.586996350969587,1.878476824079241,2.0404750279017856,7.010478973388672,8.699403490339007,7.280000618525913,2.823686528938827,9.071638243538994,9.420572008405413,9.586996350969587,2.9199999999999817,3.0599999999999787,3.097499999999978,3.139999999999977,3.7006249999999654,1.0819261493781744,4.1474999999999556,5.009999999999938,7.399999999999887,5.135078715276904,6.952226994969533,55.977461480559214,77.71486593037844,61.55188279903117,29.08874521889535,79.00850653834641,80.31776866316795,81.07661265134811,1878471.8140782411,2040470.017900786,7010474.9333876725,8699400.295338007,7279996.917899914,2823687.285095617,9071635.123537991,9420568.858404415,9586993.180968586,1878471814078.2412,2040470017900.7856,7010474933387.672,8699400295338.007,7279996917899.914,2823687285095.617,9071635123537.992,9420568858404.414,9586993180968.586,292.0,306.0,309.75,314.0,370.0625,108.19261493781974,414.75,501.0,740.0
7,9719967328080.752,8.571428571428571,9.719971248081752,9.719971248081752,3.9199999999999604,0,1,81.8276710063219,392,9719967.328080753,"[0.0, 9.719971248081752, -3.9199999999999604, -1.0]",0,48,48,0,46,2,46,2,236.82000000000204,1765.2100000000219,23682,176521,13.103481400001328,100.73620640000445,5.059523809523809,6.601409685044061,6.601409685044061,6601404.751293103,4.9337500000000425,0.0,0.0,0.0,5.714285714285714,5.059523809523809,3.606474871357407,8.571428571428571,8.571428571428571,8.571428571428571,1.881920950753348,1.8834435599190846,2.857142857142857,8.479979378836497,6.601409685044061,3.03509778382799,8.95531109401158,9.511886324201312,9.719971248081752,1.881920950753348,1.8834435599190846,2.857142857142857,8.479979378836497,6.601409685044061,3.03509778382799,8.95531109401158,9.511886324201312,9.719971248081752,2.010000000000001,2.9899999999999802,3.0799999999999783,3.1549999999999767,4.9337500000000425,5.397526680882391,5.009999999999938,6.377999999999911,30.00000000000189,5.135197902753134,5.135470051352604,39.666030343954844,76.94741072133183,66.33764716486,56.162321737074876,79.66018524579704,81.16913882195949,293.59826775547117,1881915.9407523482,1883438.5499180846,2857112.8571428573,8479974.233835496,6601404.751293103,3035099.754872899,8955307.991510581,9511883.17120031,9719967.328080753,1881915940752.3481,1883438549918.0847,2857112857142.8574,8479974233835.496,6601404751293.1045,3035099754872.8994,8955307991510.58,9511883171200.312,9719967328080.752,201.0,299.0,308.0,315.5,493.375,539.7526680882025,501.0,637.8000000000002,3000.0
8,9764076707606.422,8.571428571428571,9.764080047607422,9.764080047607422,3.3399999999999728,0,1,82.07799821346998,334,9764076.707606422,"[0.0, 9.764080047607422, -3.3399999999999728, -1.0]",0,48,48,0,48,0,48,0,166.59999999999854,1931.8100000000204,16660,193181,7.967904200020712,108.8514897999994,5.2976190476190474,6.906399386269705,6.906399386269705,6906395.915435371,3.470833333333303,0.0,0.0,2.857142857142857,5.714285714285714,5.2976190476190474,3.193828196499122,8.571428571428571,8.571428571428571,8.571428571428571,1.8773705618722099,2.0392532348632812,5.247392654418945,8.344293321881977,6.906399386269705,2.7074866949011556,8.860487256731306,9.590090342930385,9.764080047607422,1.8773705618722099,2.0392532348632812,5.247392654418945,8.344293321881977,6.906399386269705,2.7074866949011556,8.860487256731306,9.590090342930385,9.764080047607422,2.0899999999999994,2.2669999999999955,3.0349999999999793,3.094999999999978,3.470833333333303,1.216622430702651,3.3449999999999727,5.009999999999938,9.179999999999849,5.135090691321238,6.932646809239668,44.71220579370856,76.54856014624238,58.86379706344602,27.540776029902677,77.93614136427641,81.16911498606206,82.2036411985755,1877365.5518712099,2039248.2248622812,5247390.486917945,8344290.271880977,6906395.915435371,2707487.3410739023,8860484.106730307,9590087.172929386,9764076.707606422,1877365551871.21,2039248224862.2812,5247390486917.945,8344290271880.977,6906395915435.372,2707487341073.9023,8860484106730.305,9590087172929.385,9764076707606.422,209.0,226.7,303.5,309.5,347.0833333333333,121.66224307026766,334.5,501.0,918.0
9,9764076707606.422,8.571428571428571,9.764080047607422,9.764080047607422,3.3399999999999728,0,1,82.07799821346998,334,9764076.707606422,"[0.0, 9.764080047607422, -3.3399999999999728, -1.0]",0,48,48,0,47,1,47,1,201.77000000000032,2133.580000000021,20177,213358,9.264857500005746,118.26421680001658,5.535714285714285,6.700499966031029,6.700499966031029,6700495.762488383,4.203541666666673,0.0,0.0,0.0,8.571428571428571,5.535714285714285,3.8423990698839305,8.571428571428571,8.571428571428571,8.571428571428571,0.0,1.881148202078683,2.109572546822684,8.848773411342076,6.700499966031029,3.365581032900807,9.266299520220075,9.69285065787179,9.764080047607422,0.0,1.881148202078683,2.109572546822684,8.848773411342076,6.700499966031029,3.365581032900807,9.266299520220075,9.69285065787179,9.764080047607422,2.0400000000000005,3.031999999999979,3.099999999999978,3.149999999999977,4.203541666666673,3.8985475337958766,5.009999999999938,5.009999999999938,30.00000000000189,5.135202679477516,6.916457272913249,33.29384881336955,78.24344153702259,62.63683093081848,44.3544689961837,80.14782715961337,81.89327240735292,281.4953114009695,-7.22000099999989,1881143.1920776828,2109567.5368216843,8848770.311341077,6700495.762488383,3365582.6551143616,9266296.387719076,9692847.255870791,9764076.707606422,-7220000.99999989,1881143192077.6829,2109567536821.684,8848770311341.076,6700495762488.383,3365582655114.362,9266296387719.076,9692847255870.791,9764076707606.422,204.0,303.2,310.0,315.0,420.3541666666667,389.85475337956177,501.0,501.0,3000.0
10,9764076707606.422,8.571428571428571,9.764080047607422,9.764080047607422,3.3399999999999728,0,1,82.07799821346998,334,9764076.707606422,"[0.0, 9.764080047607422, -3.3399999999999728, -1.0]",0,48,48,0,48,0,48,0,166.38999999999857,2299.9700000000194,16639,229997,8.040153899986763,126.46465330000501,5.357142857142857,6.806761650812057,6.806761650812057,6806758.184352726,3.4664583333333034,0.0,0.0,2.857142857142857,7.142857142857142,5.357142857142857,3.5773760003135044,8.571428571428571,8.571428571428571,8.571428571428571,1.8819808959960938,1.883984157017299,5.03551891871861,8.531462805611746,6.806761650812057,3.0156064527035435,9.30309636252267,9.575808116367886,9.764080047607422,1.8819808959960938,1.883984157017299,5.03551891871861,8.531462805611746,6.806761650812057,3.0156064527035435,9.30309636252267,9.575808116367886,9.764080047607422,2.010000000000001,2.243999999999996,3.0624999999999787,3.139999999999977,3.4664583333333034,0.9199241127744469,3.837499999999962,5.009999999999938,5.009999999999938,5.135150296940992,5.207099068639218,42.41802269406617,76.99940464645624,56.61278399535892,30.302364076534,79.93222557753325,80.97792123556137,82.25935136526823,1881975.8859950937,1883979.147016299,5035516.826217609,8531459.705610745,6806758.184352726,3015607.038929298,9303093.23002167,9575804.956366885,9764076.707606422,1881975885995.0938,1883979147016.299,5035516826217.61,8531459705610.746,6806758184352.724,3015607038929.2974,9303093230021.67,9575804956366.887,9764076707606.422,201.0,224.4,306.25,314.0,346.6458333333333,91.99241127744662,383.75,501.0,501.0
