generation,rank,original_index,cached,is_elite,is_parent,fitness,ranking_key,ranking_progress,progress,dense_progress,time,finished,crashes,timeout,distance,reward,steps,terminated,truncated
1,1,41,0,1,1,9124278626999.557,"[0.0, 9.124281747000557, -3.1199999999999775, -1.0]",9.124281747000557,8.571428571428571,9.124281747000557,3.1199999999999775,0,1,0,79.19585587084293,9124278.626999557,312,1,0
1,2,21,0,1,1,8291064165890.462,"[0.0, 8.291067395891462, -3.229999999999975, -1.0]",8.291067395891462,5.714285714285714,8.291067395891462,3.229999999999975,0,1,0,76.23235405236483,8291064.165890462,323,1,0
1,3,45,0,1,1,7945569979326.566,"[0.0, 7.945572989327567, -3.00999999999998, -1.0]",7.945572989327567,5.714285714285714,7.945572989327567,3.00999999999998,0,1,0,74.96241861581802,7945569.979326567,301,1,0
1,4,6,0,1,1,7825028290516.577,"[0.0, 7.825031280517577, -2.9899999999999802, -1.0]",7.825031280517577,5.714285714285714,7.825031280517577,2.9899999999999802,0,1,0,74.17460648715496,7825028.290516577,299,1,0
1,5,38,0,0,1,7802012042086.054,"[0.0, 7.802015032087054, -2.9899999999999802, -1.0]",7.802015032087054,5.714285714285714,7.802015032087054,2.9899999999999802,0,1,0,74.17449407279491,7802012.042086054,299,1,0
1,6,42,0,0,1,7449155319799.502,"[0.0, 7.449158259800502, -2.9399999999999813, -1.0]",7.449158259800502,5.714285714285714,7.449158259800502,2.9399999999999813,0,1,0,72.21917082369328,7449155.319799502,294,1,0
1,7,37,0,0,1,7365515377466.913,"[0.0, 7.365518297467913, -2.9199999999999817, -1.0]",7.365518297467913,5.714285714285714,7.365518297467913,2.9199999999999817,0,1,0,71.44354546815157,7365515.377466913,292,1,0
1,8,18,0,0,1,7142854302856.143,"[0.0, 7.142857142857142, -2.8399999999999834, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.8399999999999834,0,1,0,68.37206843495369,7142854.302856143,284,1,0
1,9,22,0,0,1,7142854282856.143,"[0.0, 7.142857142857142, -2.859999999999983, -1.0]",7.142857142857142,5.714285714285714,7.142857142857142,2.859999999999983,0,1,0,68.88449779897928,7142854.282856142,286,1,0
1,10,20,0,0,1,7096385960593.309,"[0.0, 7.096388680594308, -2.719999999999986, -1.0]",7.096388680594308,5.714285714285714,7.096388680594308,2.719999999999986,0,1,0,63.86845773458481,7096385.960593308,272,1,0
1,11,9,0,0,1,6950719060721.657,"[0.0, 6.950721740722657, -2.679999999999987, -1.0]",6.950721740722657,5.714285714285714,6.950721740722657,2.679999999999987,0,1,0,62.394307769834995,6950719.060721657,268,1,0
1,12,7,0,0,1,6594421666112.282,"[0.0, 6.594429016113282, -7.349999999999888, -1.0]",6.594429016113282,5.714285714285714,6.594429016113282,7.349999999999888,0,1,0,57.92927850261913,6594421.666112282,735,1,0
1,13,46,0,0,1,5503304917225.5625,"[0.0, 5.5033111572265625, -6.239999999999911, -1.0]",5.5033111572265625,2.857142857142857,5.5033111572265625,6.239999999999911,0,1,0,45.826420135301305,5503304.917225562,624,1,0
1,14,35,0,0,1,2110775978419.759,"[0.0, 2.110780988420759, -5.009999999999938, -1.0]",2.110780988420759,0.0,2.110780988420759,5.009999999999938,0,1,0,7.66944704571506,2110775.978419759,501,1,0
1,15,44,0,0,1,2110726932312.058,"[0.0, 2.110731942313058, -5.009999999999938, -1.0]",2.110731942313058,0.0,2.110731942313058,5.009999999999938,0,1,0,7.66958600806538,2110726.9323120583,501,1,0
1,16,10,0,0,1,2110579793988.9553,"[0.0, 2.1105848039899553, -5.009999999999938, -1.0]",2.1105848039899553,0.0,2.1105848039899553,5.009999999999938,0,1,0,7.669896828418132,2110579.793988955,501,1,0
1,17,23,0,0,0,2110547096583.8215,"[0.0, 2.1105521065848216, -5.009999999999938, -1.0]",2.1105521065848216,0.0,2.1105521065848216,5.009999999999938,0,1,0,7.669828615689767,2110547.0965838213,501,1,0
1,18,32,0,0,0,2110519848746.21,"[0.0, 2.11052485874721, -5.009999999999938, -1.0]",2.11052485874721,0.0,2.11052485874721,5.009999999999938,0,1,0,7.669874382510898,2110519.84874621,501,1,0
1,19,36,0,0,0,2110296416477.7942,"[0.0, 2.1103014264787943, -5.009999999999938, -1.0]",2.1103014264787943,0.0,2.1103014264787943,5.009999999999938,0,1,0,7.669567639532033,2110296.4164777943,501,1,0
1,20,24,0,0,0,2107947652875.674,"[0.0, 2.107952662876674, -5.009999999999938, -1.0]",2.107952662876674,0.0,2.107952662876674,5.009999999999938,0,1,0,7.644529174409399,2107947.652875674,501,1,0
1,21,2,0,0,0,1883736096304.8037,"[0.0, 1.8837411063058036, -5.009999999999938, -1.0]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.1343994140625,1883736.0963048036,501,1,0
1,22,13,0,0,0,1883736096304.8037,"[0.0, 1.8837411063058036, -5.009999999999938, -1.0]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134607504820451,1883736.0963048036,501,1,0
1,23,19,0,0,0,1883736096304.8037,"[0.0, 1.8837411063058036, -5.009999999999938, -1.0]",1.8837411063058036,0.0,1.8837411063058036,5.009999999999938,0,1,0,5.134560484468238,1883736.0963048036,501,1,0
1,24,8,0,0,0,1883725197169.7588,"[0.0, 1.883730207170759, -5.009999999999938, -1.0]",1.883730207170759,0.0,1.883730207170759,5.009999999999938,0,1,0,5.134664658049587,1883725.1971697588,501,1,0
1,25,14,0,0,0,1883703398899.6694,"[0.0, 1.8837084089006695, -5.009999999999938, -1.0]",1.8837084089006695,0.0,1.8837084089006695,5.009999999999938,0,1,0,5.134547125373501,1883703.3988996695,501,1,0
1,26,43,0,0,0,1883676151062.0579,"[0.0, 1.883681161063058, -5.009999999999938, -1.0]",1.883681161063058,0.0,1.883681161063058,5.009999999999938,0,1,0,5.134753785619978,1883676.1510620578,501,1,0
1,27,11,0,0,0,1883567159711.6118,"[0.0, 1.8835721697126118, -5.009999999999938, -1.0]",1.8835721697126118,0.0,1.8835721697126118,5.009999999999938,0,1,0,5.135508230421692,1883567.159711612,501,1,0
1,28,31,0,0,0,1883567159711.6118,"[0.0, 1.8835721697126118, -5.009999999999938, -1.0]",1.8835721697126118,0.0,1.8835721697126118,5.009999999999938,0,1,0,5.135313764971215,1883567.159711612,501,1,0
1,29,1,0,0,0,1883479966631.2544,"[0.0, 1.8834849766322543, -5.009999999999938, -1.0]",1.8834849766322543,0.0,1.8834849766322543,5.009999999999938,0,1,0,5.135655847378075,1883479.9666312544,501,1,0
1,30,4,0,0,0,1883120295174.7812,"[0.0, 1.8831253051757812, -5.009999999999938, -1.0]",1.8831253051757812,0.0,1.8831253051757812,5.009999999999938,0,1,0,5.135142648483452,1883120.2951747812,501,1,0
1,31,0,0,0,0,1882439099234.491,"[0.0, 1.8824441092354909, -5.009999999999938, -1.0]",1.8824441092354909,0.0,1.8824441092354909,5.009999999999938,0,1,0,5.136208222131245,1882439.099234491,501,1,0
1,32,17,0,0,0,1880188427847.7725,"[0.0, 1.8801934378487724, -5.009999999999938, -1.0]",1.8801934378487724,0.0,1.8801934378487724,5.009999999999938,0,1,0,5.138308052322827,1880188.4278477724,501,1,0
1,33,34,0,0,0,866628383938.7322,"[0.0, 0.8666338239397322, -5.4399999999999284, -1.0]",0.8666338239397322,0.0,0.8666338239397322,5.4399999999999284,0,1,0,16.59909322304884,866628.3839387322,544,1,0
1,34,26,0,0,0,-9320000.999999845,"[0.0, 0.0, -9.319999999999846, -1.0]",0.0,0.0,0.0,9.319999999999846,0,1,0,81.94669374322984,-9.320000999999845,932,1,0
1,35,33,0,0,0,-11150000.999999806,"[0.0, 0.0, -11.149999999999807, -1.0]",0.0,0.0,0.0,11.149999999999807,0,1,0,102.08534993440844,-11.150000999999806,1115,1,0
1,36,39,0,0,0,-15450000.999999715,"[0.0, 0.0, -15.449999999999715, -1.0]",0.0,0.0,0.0,15.449999999999715,0,1,0,144.1144170241896,-15.450000999999714,1545,1,0
1,37,3,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.60138662555255,-30.00000000000189,3000,0,1
1,38,5,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.60101189801935,-30.00000000000189,3000,0,1
1,39,12,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.60137215652503,-30.00000000000189,3000,0,1
1,40,15,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.6009409215767,-30.00000000000189,3000,0,1
1,41,16,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.54900314402767,-30.00000000000189,3000,0,1
1,42,25,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.60137315292377,-30.00000000000189,3000,0,1
1,43,27,0,0,0,-30000000.00000189,"[0.0, 0.0, -30.00000000000189, -0.0]",0.0,0.0,0.0,30.00000000000189,0,0,1,293.59959599841386,-30.00000000000189,3000,0,1
